Round,MeanBudgetK,CoverageOurs,CoverageFedRolex,CoverageRandom
1,5.1,0.8050292008032105,0.6829722255203563,0.6194190728661388
2,2.9,0.5820956305875324,0.36560581680452586,0.30871167116940895
3,3.0,0.6246092853931094,0.37042496659585505,0.29472699323107804
4,4.3,0.7074676572816276,0.5227856544497238,0.5800962385717042
5,3.2,0.6654492823583926,0.35680311049511537,0.446990160043023
6,4.0,0.6935383815873185,0.46831187688006004,0.5346785512069966
7,3.6,0.6700420110959648,0.49306057934715364,0.4834970097783612
8,2.9,0.6038080169689439,0.320494770197313,0.3478278758651899
9,4.8,0.7862391574888001,0.6140305908281818,0.5784071849093534
10,3.3,0.6449224016223889,0.37462792773139975,0.3998225428866403
11,2.7,0.5493685040897399,0.376536025190292,0.36067661591598593
12,3.6,0.6612873458006239,0.3985668129466884,0.4977049781070475
13,4.1,0.7418518087907627,0.44600207438156375,0.3728169565682796
14,3.8,0.6483004822789875,0.4855234408121861,0.4365139662210636
15,4.6,0.7741433545009454,0.5858680304521531,0.5599301865690676
16,3.9,0.6771739802435462,0.4928825835685786,0.4257274675161275
17,2.4,0.5695944925396683,0.3081258562272046,0.30972440142299895
18,2.8,0.5835714227248239,0.36264688953348345,0.3647602304650396
19,1.9,0.5046938802800389,0.2975366844146735,0.17895214396058712
20,4.8,0.7527083957349263,0.5943593017612387,0.5822852258006493
21,2.7,0.6063553244098971,0.3082929489632761,0.39840151078221997
22,2.3,0.5627501129130508,0.28970298569113473,0.30061284102216845
23,3.7,0.7016015091997356,0.39980978936405764,0.41557558342131556
24,4.0,0.6911373292973885,0.4925379585359583,0.4553769345937172
25,4.1,0.7229968303955274,0.5289115130705281,0.5030556211375872
26,5.0,0.7966220085856246,0.6643723029670092,0.6474646072596311
27,3.4,0.6530284576623433,0.4671446325936802,0.40157215723915307
28,3.5,0.6624287055102045,0.4613312108389507,0.4181595899030843
29,3.9,0.709103914730125,0.5057722226989787,0.5143921431221836
30,4.8,0.7411616957820075,0.5724872275927197,0.6482097594917919
31,2.6,0.5732065399159,0.34029992513459095,0.357249302972492
32,3.2,0.5966073742969997,0.3694406246454719,0.37954316896151863
33,5.8,0.8322219817790636,0.7322577769456174,0.7327048878463938
34,3.4,0.6450835165160367,0.46404946841925404,0.45575833881255506
35,3.3,0.640470888240327,0.4130082409149301,0.4439872203119597
36,4.4,0.7218007812749246,0.5293952622057492,0.5454055170719805
37,3.0,0.5981958803937946,0.33133303835606825,0.36796306381945626
38,3.3,0.6550002554324704,0.3872880026354747,0.41383989473699945
39,2.1,0.5171763961655913,0.29026990214376125,0.23276031157236415
40,3.7,0.6755049643116966,0.4361230416173661,0.5120575630805911
41,3.1,0.6353114376622091,0.41643611574278266,0.33474550801303005
42,3.8,0.6878606424823059,0.45632736756240355,0.5590363879314892
43,4.1,0.7123276459138197,0.5393474302299865,0.5179351531451367
44,1.6,0.4988524278601112,0.2520291896371434,0.17805858165026459
45,3.9,0.7000941836778753,0.4585974513035252,0.48547469825223477
46,3.7,0.6773826398514978,0.49541681693965633,0.42706949833854696
47,5.1,0.824116124746862,0.6541558743293563,0.6679166214413419
48,3.1,0.6246093133647586,0.40469099409958725,0.4287042944524549
49,3.5,0.6914280394293529,0.4320591972571698,0.4427620920500946
50,4.4,0.7594944395628938,0.5073113908847874,0.6005126542383846
51,4.5,0.7625978785136986,0.6609918942476602,0.5522902975436743
52,5.2,0.8155394169400939,0.5779513281761924,0.7076417308790591
53,4.2,0.7073150546134,0.44445015319110254,0.5302527429479283
54,3.5,0.6492393179976403,0.4025532341249797,0.3919907060501512
55,3.9,0.6928420232416276,0.44401336320320894,0.4737478152621195
56,3.5,0.6539049173974376,0.4227714981946181,0.42370222456290596
57,1.9,0.5017208059277615,0.20925127442317448,0.27058383376096795
58,4.3,0.7437654333880721,0.5532303486630312,0.5223920577059626
59,2.4,0.569305153068024,0.37966278404984216,0.30327819088794455
60,3.4,0.6591137081997158,0.46754249148489446,0.35683909053589297
61,4.2,0.7009108652790672,0.5137625354305705,0.5015645579714717
62,2.2,0.5500333899142741,0.2530919736110958,0.22374649785424466
63,2.6,0.5773487347839968,0.3483364968953494,0.3619286238659427
64,3.0,0.6360918082933797,0.3588769777681514,0.31789356070008545
65,2.7,0.572805134597857,0.3102853567127318,0.40385270191106004
66,4.3,0.706386748293508,0.5329551014008146,0.5357677409325274
67,5.4,0.8266345822086143,0.687164499813457,0.6551439353712721
68,2.7,0.5733191538737625,0.3750481971313761,0.3382189116899574
69,3.6,0.6371418219892249,0.4023141745012889,0.46691103830770697
70,3.3,0.608921847424466,0.3722465032829355,0.45644883611216425
71,2.7,0.5735348323965115,0.3462948290482427,0.33097231154632906
72,5.0,0.782914679365829,0.6627470707772334,0.6526055947994329
73,3.7,0.697163287040462,0.4540626244614412,0.5210009455643272
74,5.1,0.791491296593043,0.6547238020243766,0.6463638644224867
75,2.9,0.6165840002317978,0.38041272941953985,0.3556799240624794
76,3.8,0.6794098495466347,0.4496367065861303,0.515880827366209
77,2.9,0.6191561668757803,0.33712128914151934,0.366641673965603
78,4.0,0.6827997852205384,0.46981153902901374,0.4858080891935474
79,4.1,0.7004976049480083,0.5213642069954315,0.4719477894487879
80,2.4,0.5727573646291335,0.24367590592470795,0.2963569448408095
81,2.9,0.6162324831096122,0.3456270203962036,0.3508245586581673
82,3.0,0.5905433172641543,0.3875844622173628,0.40873311273513285
83,4.0,0.7154818951433306,0.48062928702041524,0.5494511960948412
84,3.5,0.6369702461170227,0.47591564806351877,0.4658591325913011
85,2.2,0.5484212855368515,0.24530534466134207,0.2924247653360821
86,3.2,0.6344643604649522,0.37820820977537334,0.413616166389836
87,4.2,0.7265281130558959,0.5737763657448893,0.5226665784412317
88,3.0,0.6316613569835462,0.3805693845936263,0.3401249092077688
89,3.7,0.6733269642541034,0.5079762217942246,0.4683385845837377
90,3.8,0.6942195949930089,0.5065876690688377,0.4175278780940099
91,3.2,0.632134999705637,0.44957785734259714,0.3779696926407906
92,3.1,0.6289481913737907,0.46509937536881296,0.40671216819126615
93,3.4,0.6751548369552751,0.3776674327638556,0.48295891088487125
94,4.7,0.7695555625249604,0.5306753361035955,0.5295635794008116
95,3.9,0.7056096984705604,0.47776595888018064,0.495413126955639
96,3.7,0.6930776568597973,0.4049030474495828,0.5298985779181986
97,3.8,0.6949947603533901,0.5307468219899245,0.43505706440811326
98,3.3,0.6747322578097216,0.4240280129343697,0.4561938077200443
99,3.4,0.6687059361714792,0.5000317936799267,0.32529274513088996
100,2.8,0.611487267258837,0.39077515388211864,0.3377391260064306
