StopBatches,Agree
16,1.0
1,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
1,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
1,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
16,1.0
