Round,Timestamp,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,SelectedExperts,ClientTrainTimesSec
1,2026-09-13 01:38:11,0.00208,1.438729248801139,10.11,10.11,1,110.5925,1:50.59,103.7862,4.1776,2.627,110.5926,1:50.59,10,"8,1,5,0,7,2,9,4,3,6","8:0,2;1:2,3;5:1,3;0:1,3;7:1,2;2:0,3;9:0,2;4:0,2;3:0,2;6:0,1","13.0019,36.1572,11.6557,12.3823,7.2120,0.5852,9.7759,7.9027,1.2974,3.8159"
2,2026-09-13 01:40:38,0.00406,1.281855105834488,10.82,10.82,2,144.0123,2:24.01,134.3667,4.8371,4.8064,257.0982,4:17.10,10,"0,1,8,5,3,4,7,9,6,2","0:1,2;1:0,3;8:0,1;5:1,2;3:0,3;4:2,3;7:0,1;9:1,2;6:1,2;2:1,3","14.4025,50.6544,17.1472,15.6502,1.1666,8.0504,9.2793,13.7589,3.7193,0.5378"
3,2026-09-13 01:43:08,0.006040000000000001,1.2175584434380915,22.07,22.07,3,150.149,2:30.15,141.4276,6.2934,2.4201,407.2691,6:47.27,10,"9,2,0,6,8,5,3,7,1,4","9:2,3;2:0,3;0:0,3;6:0,2;8:1,2;5:0,3;3:1,3;7:0,3;1:0,1;4:0,1","12.2532,0.6714,18.9809,3.6863,19.6642,16.2380,1.2067,9.2806,50.5938,8.8524"
4,2026-09-13 01:45:40,0.00802,1.1214532277519402,26.57,26.57,4,151.7273,2:31.73,141.9733,4.8244,4.9222,559.0194,9:19.02,10,"1,7,6,2,8,0,3,4,5,9","1:0,1;7:0,3;6:2,3;2:2,3;8:0,1;0:2,3;3:1,3;4:2,3;5:1,2;9:0,2","50.8290,10.2856,3.7795,2.7170,17.8626,16.9785,1.1921,8.1847,18.4720,11.6722"
5,2026-09-13 01:48:13,0.01,1.1090376117115848,22.13,26.57,4,152.7976,2:32.80,142.8595,7.4864,2.4445,711.8394,11:51.84,10,"1,5,4,8,0,7,6,3,2,9","1:1,3;5:2,3;4:2,3;8:0,1;0:1,3;7:0,3;6:2,3;3:2,3;2:1,3;9:0,2","49.6456,18.5243,8.0383,17.9043,16.9768,11.6606,3.7530,2.4380,1.5272,12.3913"
6,2026-09-13 01:50:51,0.01,1.084217058434591,32.38,32.38,6,158.5362,2:38.54,147.9449,5.6876,4.8962,870.3992,14:30.40,10,"8,2,5,7,3,1,9,0,4,6","8:0,2;2:0,1;5:1,3;7:0,2;3:0,3;1:1,2;9:1,2;0:0,3;4:2,3;6:2,3","20.4183,0.5718,16.6001,9.5363,3.4679,51.9252,14.2127,19.2488,8.1547,3.8091"
7,2026-09-13 01:53:31,0.01,1.0287947387618752,33.28,33.28,7,159.2327,2:39.23,148.0569,6.3525,4.822,1029.6551,17:09.66,10,"0,5,2,6,3,7,4,1,8,9","0:2,3;5:0,3;2:0,3;6:0,3;3:0,1;7:0,2;4:1,2;1:0,2;8:2,3;9:1,2","17.1429,16.6838,2.7381,3.7228,1.2623,11.3956,8.0125,54.4984,18.0824,14.5180"
8,2026-09-13 01:56:05,0.01,0.9908462390186816,44.25,44.25,8,154.7603,2:34.76,146.2688,6.0456,2.4433,1184.4387,19:44.44,10,"4,8,1,3,0,5,2,9,7,6","4:0,2;8:0,1;1:2,3;3:0,1;0:0,2;5:2,3;2:0,3;9:0,1;7:0,3;6:0,3","8.0370,17.9151,53.4107,1.2456,19.0906,16.3975,0.5568,14.3260,9.1659,6.1235"
9,2026-09-13 01:58:42,0.01,0.9688153585812846,34.24,44.25,8,156.5725,2:36.57,146.7006,7.4372,2.4329,1341.0331,22:21.03,10,"2,0,4,9,8,6,7,5,1,3","2:0,2;0:0,1;4:1,2;9:0,3;8:1,3;6:2,3;7:0,2;5:0,1;1:0,3;3:1,2","0.5403,19.6939,8.3435,14.0345,17.9710,5.9021,9.5192,16.1630,53.2978,1.2353"
10,2026-09-13 02:01:20,0.01,0.9350837087592797,32.65,44.25,8,157.9223,2:37.92,150.401,5.0532,2.4662,1498.9788,24:58.98,10,"4,2,7,0,6,3,5,8,9,1","4:0,2;2:2,3;7:0,2;0:1,2;6:0,2;3:2,3;5:0,3;8:1,3;9:1,2;1:0,2","8.1775,0.5236,11.7058,17.3150,5.9229,1.1912,16.3457,19.8988,12.3244,56.9961"
11,2026-09-13 02:03:59,0.01,0.956293713353317,43.24,44.25,8,158.6463,2:38.65,150.6772,5.4659,2.5001,1657.6495,27:37.65,10,"5,2,7,3,0,8,9,6,1,4","5:0,3;2:0,1;7:0,1;3:1,2;0:1,2;8:0,3;9:1,2;6:1,3;1:1,2;4:2,3","16.3198,2.6734,9.4598,1.2099,17.6246,20.3093,13.9720,3.8415,56.1304,9.1365"
12,2026-09-13 02:06:41,0.01,0.9442185455504444,33.51,44.25,8,162.5071,2:42.51,151.8949,6.6907,3.919,1820.1803,30:20.18,10,"1,5,2,4,3,7,9,6,8,0","1:1,3;5:0,3;2:0,3;4:2,3;3:1,2;7:0,3;9:0,2;6:2,3;8:0,1;0:2,3","55.6792,17.3064,0.5731,8.3701,1.2418,12.0130,12.4727,6.0427,20.8879,17.3079"
