Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 07:10:28,Ours,0.00208,1.5232343482981465,23.56,23.56,1,51.7505,0:51.75,50.4376,0.1568,1.1547,51.7505,0:51.75,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[1];5:[1,2];0:[0];7:[3];2:[2];9:[1,2];4:[0,1];3:[0,3];6:[2,3]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[1]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[0]; c7:bw=11,experts=[3]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[0,1]; c3:bw=28,experts=[0,3]; c6:bw=23,experts=[2,3]","8.0825,17.7620,5.5069,6.0125,3.3269,0.2316,4.5631,2.7166,0.5260,1.7096"
2,2026-09-18 07:11:17,Ours,0.00406,1.3784887751779868,10.16,23.56,1,49.5808,0:49.58,48.3045,0.1424,1.1327,101.6318,1:41.63,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[1,2];1:[2,3];8:[0,3];5:[0,1,3];3:[1,2,3];4:[2];7:[0,1,2];9:[0,3];6:[0];2:[3]","c0:bw=20,experts=[1,2]; c1:bw=23,experts=[2,3]; c8:bw=27,experts=[0,3]; c5:bw=38,experts=[0,1,3]; c3:bw=37,experts=[1,2,3]; c4:bw=17,experts=[2]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,3]; c6:bw=10,experts=[0]; c2:bw=12,experts=[3]","5.7191,17.9211,6.3158,5.5294,0.4823,2.6822,3.3419,4.4635,1.6554,0.1939"
3,2026-09-18 07:12:07,Ours,0.006040000000000001,1.1965666176796739,33.33,33.33,3,49.4706,0:49.47,48.2035,0.1466,1.1193,151.114,2:31.11,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[1,2];2:[0,1];0:[0,3];6:[1,2];8:[1];5:[2];3:[0];7:[3];1:[0];4:[0,3]","c9:bw=26,experts=[1,2]; c2:bw=23,experts=[0,1]; c0:bw=28,experts=[0,3]; c6:bw=22,experts=[1,2]; c8:bw=17,experts=[1]; c5:bw=10,experts=[2]; c3:bw=14,experts=[0]; c7:bw=18,experts=[3]; c1:bw=10,experts=[0]; c4:bw=29,experts=[0,3]","4.5710,0.1935,5.8780,1.6588,6.1930,5.5238,0.4701,3.3282,17.6872,2.6999"
4,2026-09-18 07:12:57,Ours,0.00802,1.2851965256233722,24.71,33.33,3,49.8637,0:49.86,48.6037,0.1427,1.116,200.9899,3:20.99,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[1,2];7:[0,1];6:[0,3];2:[0,2,3];8:[2];0:[1,2,3];3:[1];4:[1,2,3];5:[0,1,2,3];9:[3]","c1:bw=22,experts=[1,2]; c7:bw=25,experts=[0,1]; c6:bw=29,experts=[0,3]; c2:bw=33,experts=[0,2,3]; c8:bw=17,experts=[2]; c0:bw=33,experts=[1,2,3]; c3:bw=19,experts=[1]; c4:bw=31,experts=[1,2,3]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[3]","18.1361,3.3297,1.6508,0.1981,6.2415,5.7451,0.4878,2.6928,5.5578,4.5640"
5,2026-09-18 07:13:47,Ours,0.01,1.089694865660166,28.82,33.33,3,49.7173,0:49.72,48.4679,0.1458,1.1025,250.7182,4:10.72,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[3];5:[0,3];4:[0,1];8:[0,3];0:[0,1];7:[2];6:[1,2];3:[0,2,3];2:[1];9:[0,1,2]","c1:bw=11,experts=[3]; c5:bw=22,experts=[0,3]; c4:bw=27,experts=[0,1]; c8:bw=20,experts=[0,3]; c0:bw=28,experts=[0,1]; c7:bw=14,experts=[2]; c6:bw=29,experts=[1,2]; c3:bw=35,experts=[0,2,3]; c2:bw=10,experts=[1]; c9:bw=35,experts=[0,1,2]","17.8928,5.4288,2.7115,6.2693,5.8693,3.3622,1.6485,0.4829,0.1986,4.6038"
6,2026-09-18 07:14:36,Ours,0.01,1.1585600831468823,31.21,33.33,3,49.8898,0:49.89,48.6391,0.1434,1.106,300.6199,5:00.62,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[1,2,3];2:[2,3];5:[1];7:[0,1,3];3:[1,2];1:[0];9:[0,3];0:[2];4:[2];6:[3]","c8:bw=37,experts=[1,2,3]; c2:bw=23,experts=[2,3]; c5:bw=15,experts=[1]; c7:bw=32,experts=[0,1,3]; c3:bw=20,experts=[1,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,3]; c0:bw=17,experts=[2]; c4:bw=10,experts=[2]; c6:bw=11,experts=[3]","6.3032,0.1948,5.4525,3.3136,0.4856,18.0508,4.6294,5.8031,2.7284,1.6776"
7,2026-09-18 07:15:27,Ours,0.01,1.1477896332726385,37.53,37.53,7,50.1542,0:50.15,48.877,0.1449,1.1311,350.7863,5:50.79,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,3];5:[2,3];2:[0,1];6:[0];3:[3];7:[2];4:[3];1:[1];8:[0,1,2];9:[1]","c0:bw=20,experts=[0,3]; c5:bw=27,experts=[2,3]; c2:bw=22,experts=[0,1]; c6:bw=10,experts=[0]; c3:bw=15,experts=[3]; c7:bw=17,experts=[2]; c4:bw=10,experts=[3]; c1:bw=10,experts=[1]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[1]","5.8921,5.5236,0.1959,1.6612,0.4769,3.3522,2.7021,18.1115,6.4107,4.5507"
8,2026-09-18 07:16:17,Ours,0.01,1.374000976672733,16.12,37.53,7,50.6233,0:50.62,49.3515,0.1447,1.126,401.4224,6:41.42,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,3];1:[0,2,3];3:[0,1];0:[1];5:[0];2:[0,2,3];9:[0,2,3];7:[3];6:[1,2]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,3]; c1:bw=32,experts=[0,2,3]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[1]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,2,3]; c9:bw=33,experts=[0,2,3]; c7:bw=10,experts=[3]; c6:bw=23,experts=[1,2]","2.7351,6.3114,18.2314,0.6096,5.9737,5.6300,0.2017,4.6581,3.3003,1.7002"
9,2026-09-18 07:17:06,Ours,0.01,1.1792215252251435,46.48,46.48,9,48.8437,0:48.84,47.5595,0.1446,1.1384,450.2788,7:30.28,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[1];0:[2,3];4:[1,2,3];9:[1];8:[1];6:[3];7:[0,1];5:[1,2];1:[1];3:[2]","c2:bw=12,experts=[1]; c0:bw=29,experts=[2,3]; c4:bw=33,experts=[1,2,3]; c9:bw=15,experts=[1]; c8:bw=10,experts=[1]; c6:bw=17,experts=[3]; c7:bw=25,experts=[0,1]; c5:bw=29,experts=[1,2]; c1:bw=10,experts=[1]; c3:bw=13,experts=[2]","0.1973,5.7911,2.6761,4.5006,6.1305,1.6675,3.2675,5.4413,17.4168,0.4707"
10,2026-09-18 07:17:55,Ours,0.01,1.166526604080581,34.0,46.48,9,49.3612,0:49.36,48.1102,0.1467,1.1031,499.6523,8:19.65,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,1];2:[2];7:[2,3];0:[0,1,2];6:[0,1,2];3:[0,3];5:[0,1,3];8:[2,3];9:[2,3];1:[2,3]","c4:bw=20,experts=[0,1]; c2:bw=19,experts=[2]; c7:bw=21,experts=[2,3]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,3]; c5:bw=32,experts=[0,1,3]; c8:bw=20,experts=[2,3]; c9:bw=20,experts=[2,3]; c1:bw=23,experts=[2,3]","2.7257,0.1933,3.3576,5.7872,1.6554,0.4726,5.4220,6.2642,4.5443,17.6878"
