Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 07:10:28,Ours,0.00208,1.468252447641736,10.56,10.56,1,52.4388,0:52.44,51.1585,0.1287,1.1502,52.4388,0:52.44,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","8.2222,17.7866,5.5107,5.9262,3.5136,0.3103,4.6331,2.7724,0.6764,1.8070"
2,2026-09-18 07:11:18,Ours,0.00406,1.2885441168456346,30.43,30.43,2,50.0233,0:50.02,48.7925,0.1254,1.1041,102.6596,1:42.66,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,2];8:[1,2];5:[0,1,2];3:[0,1,2];4:[0];7:[0,1,2];9:[0,2];6:[0];2:[2]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]; c8:bw=27,experts=[1,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[0]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,2]; c6:bw=10,experts=[0]; c2:bw=12,experts=[2]","5.9974,17.5643,6.1550,5.6951,0.5665,2.7008,3.3946,4.6741,1.7630,0.2817"
3,2026-09-18 07:12:08,Ours,0.006040000000000001,1.1686575441372744,30.88,30.88,3,49.938,0:49.94,48.705,0.126,1.1058,152.61,2:32.61,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[0,2];2:[1,2];0:[0,2];6:[0,2];8:[2];5:[2];3:[2];7:[2];1:[2];4:[0,2]","c9:bw=26,experts=[0,2]; c2:bw=23,experts=[1,2]; c0:bw=28,experts=[0,2]; c6:bw=22,experts=[0,2]; c8:bw=17,experts=[2]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[2]; c4:bw=29,experts=[0,2]","4.6098,0.2778,5.9489,1.7224,6.2951,5.6232,0.5650,3.3553,17.6073,2.7003"
4,2026-09-18 07:12:58,Ours,0.00802,1.1955968479173722,34.13,34.13,4,50.0236,0:50.02,48.7886,0.1269,1.1033,202.6455,3:22.65,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[0,2];7:[0,1];6:[0,2];2:[0,1,2];8:[0];0:[0,1,2];3:[0];4:[0,1,2];5:[0,1,2,3];9:[0]","c1:bw=22,experts=[0,2]; c7:bw=25,experts=[0,1]; c6:bw=29,experts=[0,2]; c2:bw=33,experts=[0,1,2]; c8:bw=17,experts=[0]; c0:bw=33,experts=[0,1,2]; c3:bw=19,experts=[0]; c4:bw=31,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[0]","17.8457,3.3172,1.7215,0.2766,6.1845,5.9155,0.5596,2.7292,5.7011,4.5376"
5,2026-09-18 07:13:49,Ours,0.01,1.0757806308788986,38.2,38.2,5,50.1792,0:50.18,48.9397,0.1275,1.1108,252.8369,4:12.84,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[0];5:[0,2];4:[0,2];8:[0,1];0:[0,2];7:[0];6:[0,2];3:[0,1,2];2:[0];9:[0,1,2]","c1:bw=11,experts=[0]; c5:bw=22,experts=[0,2]; c4:bw=27,experts=[0,2]; c8:bw=20,experts=[0,1]; c0:bw=28,experts=[0,2]; c7:bw=14,experts=[0]; c6:bw=29,experts=[0,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[0]; c9:bw=35,experts=[0,1,2]","17.7207,5.6340,2.7613,6.2699,5.8086,3.4263,1.7503,0.5756,0.2719,4.7210"
6,2026-09-18 07:14:39,Ours,0.01,1.160295668522982,49.26,49.26,6,50.1197,0:50.12,48.88,0.1288,1.1096,302.9675,5:02.97,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[0,1];5:[0];7:[0,1,2];3:[0,1];1:[0];9:[0,1];0:[0];4:[0];6:[0]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[0,1]; c5:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[0,1]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,1]; c0:bw=17,experts=[0]; c4:bw=10,experts=[0]; c6:bw=11,experts=[0]","6.2924,0.2778,5.6363,3.4263,0.5648,17.7086,4.6258,5.8511,2.7543,1.7426"
7,2026-09-18 07:15:29,Ours,0.01,1.0368309945818843,49.19,49.26,6,50.2571,0:50.26,49.0296,0.126,1.1002,353.237,5:53.24,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,1];5:[0,1];2:[0,1];6:[0];3:[0];7:[0];4:[0];1:[0];8:[0,1,2];9:[0]","c0:bw=20,experts=[0,1]; c5:bw=27,experts=[0,1]; c2:bw=22,experts=[0,1]; c6:bw=10,experts=[0]; c3:bw=15,experts=[0]; c7:bw=17,experts=[0]; c4:bw=10,experts=[0]; c1:bw=10,experts=[0]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[0]","5.8315,5.7196,0.2761,1.7479,0.5693,3.3734,2.7545,17.7168,6.3823,4.6581"
8,2026-09-18 07:16:20,Ours,0.01,1.016402283372779,51.4,51.4,8,50.5672,0:50.57,49.3084,0.1284,1.1263,403.8163,6:43.82,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,1];1:[0,1,2];3:[0,1];0:[0];5:[0];2:[0,1,2];9:[0,1,2];7:[0];6:[0,1]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,1]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[0]; c6:bw=23,experts=[0,1]","2.7591,6.3227,18.0836,0.5615,5.8024,5.6792,0.2782,4.6956,3.3660,1.7601"
9,2026-09-18 07:17:10,Ours,0.01,1.000133001109998,48.02,51.4,8,50.52,0:50.52,49.2959,0.1277,1.0952,454.3494,7:34.35,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[0];0:[0,1];4:[0,1,2];9:[0];8:[0];6:[0];7:[0,1];5:[0,1];1:[0];3:[0]","c2:bw=12,experts=[0]; c0:bw=29,experts=[0,1]; c4:bw=33,experts=[0,1,2]; c9:bw=15,experts=[0]; c8:bw=10,experts=[0]; c6:bw=17,experts=[0]; c7:bw=25,experts=[0,1]; c5:bw=29,experts=[0,1]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]","0.2779,5.9164,2.7902,4.6935,6.2734,1.7416,3.3896,5.7022,17.9368,0.5742"
10,2026-09-18 07:18:01,Ours,0.01,0.9421080894728675,50.85,51.4,8,50.5019,0:50.50,49.2346,0.1302,1.1358,504.8638,8:24.86,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,1];2:[0];7:[0,1];0:[0,1,2];6:[0,1,2];3:[0,1];5:[0,1,2];8:[0,1];9:[0,1];1:[0,1]","c4:bw=20,experts=[0,1]; c2:bw=19,experts=[0]; c7:bw=21,experts=[0,1]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,1]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,1]; c9:bw=20,experts=[0,1]; c1:bw=23,experts=[0,1]","2.8130,0.2738,3.4316,5.9094,1.7364,0.5591,5.7304,6.3293,4.7170,17.7346"
11,2026-09-18 07:18:51,Ours,0.01,0.9968654980173639,59.36,59.36,11,50.1869,0:50.19,48.9658,0.1252,1.0947,555.0651,9:15.07,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[0];2:[0];7:[0,1];3:[0,1];0:[0];8:[0,1];9:[0];6:[0,1,2];1:[0,1];4:[0]","c5:bw=15,experts=[0]; c2:bw=15,experts=[0]; c7:bw=24,experts=[0,1]; c3:bw=28,experts=[0,1]; c0:bw=16,experts=[0]; c8:bw=22,experts=[0,1]; c9:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[0,1]; c4:bw=10,experts=[0]","5.6718,0.2761,3.3516,0.5690,5.8672,6.4295,4.6906,1.7644,17.5886,2.7571"
