Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-18 08:34:08,Ours,0.00208,1.4682283160930265,11.01,11.01,1,50.2534,0:50.25,49.0082,0.1265,1.1176,50.2535,0:50.25,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[2];5:[1,2];0:[2];7:[2];2:[2];9:[1,2];4:[1,2];3:[1,2];6:[1,2]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[2]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[2]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[1,2]","6.7014,17.6312,5.4772,5.8571,3.4163,0.2757,4.5917,2.7220,0.5715,1.7641"
2,2026-09-18 08:34:58,Ours,0.00406,1.3313133783313533,25.48,25.48,2,50.0526,0:50.05,48.815,0.1292,1.1072,100.5236,1:40.52,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,2];8:[0,2];5:[0,1,2];3:[0,1,2];4:[0];7:[0,1,2];9:[0,2];6:[0];2:[2]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]; c8:bw=27,experts=[0,2]; c5:bw=38,experts=[0,1,2]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[0]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,2]; c6:bw=10,experts=[0]; c2:bw=12,experts=[2]","5.9893,17.8305,6.1542,5.6645,0.5362,2.6709,3.3174,4.6737,1.7208,0.2575"
3,2026-09-18 08:35:48,Ours,0.006040000000000001,1.2146834084015454,35.8,35.8,3,49.7383,0:49.74,48.5125,0.1227,1.1018,150.2744,2:30.27,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[0,2];2:[0,2];0:[0,2];6:[0,2];8:[2];5:[2];3:[2];7:[2];1:[2];4:[0,2]","c9:bw=26,experts=[0,2]; c2:bw=23,experts=[0,2]; c0:bw=28,experts=[0,2]; c6:bw=22,experts=[0,2]; c8:bw=17,experts=[2]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[2]; c4:bw=29,experts=[0,2]","4.6638,0.2543,5.9311,1.7032,6.1635,5.6335,0.5410,3.3421,17.5960,2.6840"
4,2026-09-18 08:36:38,Ours,0.00802,1.1798646014497043,36.77,36.77,4,50.3089,0:50.31,49.0685,0.1269,1.1095,200.5945,3:20.59,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[0,2];7:[0,2];6:[0,2];2:[0,1,2];8:[0];0:[0,1,2];3:[0];4:[0,1,2];5:[0,1,2,3];9:[0]","c1:bw=22,experts=[0,2]; c7:bw=25,experts=[0,2]; c6:bw=29,experts=[0,2]; c2:bw=33,experts=[0,1,2]; c8:bw=17,experts=[0]; c0:bw=33,experts=[0,1,2]; c3:bw=19,experts=[0]; c4:bw=31,experts=[0,1,2]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[0]","18.1260,3.3465,1.6965,0.2541,6.2904,5.8813,0.5440,2.6996,5.5823,4.6477"
5,2026-09-18 08:37:28,Ours,0.01,1.1211258671800148,39.13,39.13,5,49.947,0:49.95,48.7178,0.1264,1.1017,250.5531,4:10.55,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[0];5:[0,2];4:[0,2];8:[0,2];0:[0,2];7:[0];6:[0,2];3:[0,1,2];2:[0];9:[0,1,2]","c1:bw=11,experts=[0]; c5:bw=22,experts=[0,2]; c4:bw=27,experts=[0,2]; c8:bw=20,experts=[0,2]; c0:bw=28,experts=[0,2]; c7:bw=14,experts=[0]; c6:bw=29,experts=[0,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[0]; c9:bw=35,experts=[0,1,2]","17.8237,5.6242,2.7007,6.1886,5.9033,3.3743,1.7024,0.5422,0.2443,4.6139"
6,2026-09-18 08:38:18,Ours,0.01,1.0787814226780976,47.7,47.7,6,49.9487,0:49.95,48.7197,0.1286,1.0991,300.5138,5:00.51,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[0,2];5:[0];7:[0,1,2];3:[0,2];1:[0];9:[0,2];0:[0];4:[0];6:[0]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[0,2]; c5:bw=15,experts=[0]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[0,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,2]; c0:bw=17,experts=[0]; c4:bw=10,experts=[0]; c6:bw=11,experts=[0]","6.3090,0.2512,5.4951,3.3908,0.5351,17.7587,4.6225,5.9218,2.7371,1.6984"
7,2026-09-18 08:39:08,Ours,0.01,1.0439950536495697,45.04,47.7,6,50.1232,0:50.12,48.8851,0.1241,1.1128,350.6498,5:50.65,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,2];5:[0,2];2:[0,2];6:[0];3:[0];7:[0];4:[0];1:[0];8:[0,1,2];9:[0]","c0:bw=20,experts=[0,2]; c5:bw=27,experts=[0,2]; c2:bw=22,experts=[0,2]; c6:bw=10,experts=[0]; c3:bw=15,experts=[0]; c7:bw=17,experts=[0]; c4:bw=10,experts=[0]; c1:bw=10,experts=[0]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[0]","5.9282,5.6253,0.2519,1.7194,0.5407,3.3649,2.7176,17.7776,6.3394,4.6200"
8,2026-09-18 08:39:58,Ours,0.01,1.0558146973866565,54.72,54.72,8,50.055,0:50.05,48.8198,0.1308,1.1032,400.7169,6:40.72,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,2];1:[0,1,2];3:[0,2];0:[0];5:[0];2:[0,1,2];9:[0,1,2];7:[0];6:[0,2]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,2]; c1:bw=32,experts=[0,1,2]; c3:bw=21,experts=[0,2]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,2]; c9:bw=33,experts=[0,1,2]; c7:bw=10,experts=[0]; c6:bw=23,experts=[0,2]","2.7539,6.3191,17.8574,0.5414,5.8155,5.5895,0.2547,4.6052,3.3596,1.7234"
9,2026-09-18 08:40:48,Ours,0.01,0.9987673742974416,50.79,54.72,8,50.0985,0:50.10,48.8476,0.1239,1.1257,450.828,7:30.83,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[0];0:[0,2];4:[0,1,2];9:[0];8:[0];6:[0];7:[0,2];5:[0,2];1:[0];3:[0]","c2:bw=12,experts=[0]; c0:bw=29,experts=[0,2]; c4:bw=33,experts=[0,1,2]; c9:bw=15,experts=[0]; c8:bw=10,experts=[0]; c6:bw=17,experts=[0]; c7:bw=25,experts=[0,2]; c5:bw=29,experts=[0,2]; c1:bw=10,experts=[0]; c3:bw=13,experts=[0]","0.2504,5.9213,2.8053,4.6054,6.2936,1.7116,3.3702,5.5703,17.7764,0.5431"
10,2026-09-18 08:41:39,Ours,0.01,0.9958896837885666,57.78,57.78,10,50.1575,0:50.16,48.8589,0.1792,1.1182,500.9982,8:21.00,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,2];2:[0];7:[0,2];0:[0,1,2];6:[0,1,2];3:[0,2];5:[0,1,2];8:[0,2];9:[0,2];1:[0,2]","c4:bw=20,experts=[0,2]; c2:bw=19,experts=[0]; c7:bw=21,experts=[0,2]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,2]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,2]; c9:bw=20,experts=[0,2]; c1:bw=23,experts=[0,2]","2.7788,0.2518,3.3753,5.8148,1.7261,0.5562,5.6120,6.3384,4.6129,17.7927"
11,2026-09-18 08:42:29,Ours,0.01,0.9658660331179872,56.04,57.78,10,50.0316,0:50.03,48.7926,0.1258,1.112,551.0428,9:11.04,10,"5,2,7,3,0,8,9,6,1,4",5:15;2:15;7:24;3:28;0:16;8:22;9:18;6:31;1:22;4:10,"5:[0];2:[0];7:[0,2];3:[0,2];0:[0];8:[0,2];9:[0];6:[0,1,2];1:[0,2];4:[0]","c5:bw=15,experts=[0]; c2:bw=15,experts=[0]; c7:bw=24,experts=[0,2]; c3:bw=28,experts=[0,2]; c0:bw=16,experts=[0]; c8:bw=22,experts=[0,2]; c9:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c1:bw=22,experts=[0,2]; c4:bw=10,experts=[0]","5.5655,0.2528,3.3855,0.5429,5.8783,6.2902,4.6593,1.7264,17.7620,2.7297"
