Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 08:45:53,Ours,0.00208,1.598418774393979,18.62,18.62,1,48.2796,0:48.28,47.2171,0.0365,1.0247,48.2796,0:48.28,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,3,4,5,7,11,12,13];1:[0,1,3,4,5];5:[0,1,3,4,5,11,12,13];0:[1];7:[0,1,3];2:[0,1,3,4,5];9:[0,1,3,4,5,11,12,13];4:[0,1,3,4,5,12,13];3:[0,1,3,4,5,7,11,12,13];6:[0,1,3,4,5,12,13]","c8:bw=104,experts=[0,1,2,3,4,5,7,11,12,13]; c1:bw=55,experts=[0,1,3,4,5]; c5:bw=84,experts=[0,1,3,4,5,11,12,13]; c0:bw=10,experts=[1]; c7:bw=38,experts=[0,1,3]; c2:bw=55,experts=[0,1,3,4,5]; c9:bw=86,experts=[0,1,3,4,5,11,12,13]; c4:bw=75,experts=[0,1,3,4,5,12,13]; c3:bw=96,experts=[0,1,3,4,5,7,11,12,13]; c6:bw=77,experts=[0,1,3,4,5,12,13]","6.1603,17.6007,5.0617,5.5845,3.1460,0.3629,4.5159,2.5770,0.5443,1.6637"
2,2026-09-19 08:46:42,Ours,0.00406,1.276806992983086,29.94,29.94,2,48.9755,0:48.98,47.9169,0.0391,1.018,97.4086,1:37.41,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,1,4,5,9,13];1:[0,1,4,5,9,11,13];8:[0,1,4,5,9,10,11,12,13];5:[0,1,2,3,4,5,7,9,10,11,12,13,15];3:[0,1,2,3,4,5,7,9,10,11,12,13];4:[0,1,4,5,13];7:[0,1,2,4,5,9,10,11,12,13];9:[0,1,4,5,9,10,11,13];6:[1,5,13];2:[1,4,5,13]","c0:bw=67,experts=[0,1,4,5,9,13]; c1:bw=78,experts=[0,1,4,5,9,11,13]; c8:bw=91,experts=[0,1,4,5,9,10,11,12,13]; c5:bw=130,experts=[0,1,2,3,4,5,7,9,10,11,12,13,15]; c3:bw=127,experts=[0,1,2,3,4,5,7,9,10,11,12,13]; c4:bw=56,experts=[0,1,4,5,13]; c7:bw=104,experts=[0,1,2,4,5,9,10,11,12,13]; c9:bw=88,experts=[0,1,4,5,9,10,11,13]; c6:bw=32,experts=[1,5,13]; c2:bw=41,experts=[1,4,5,13]","5.3853,17.9998,6.1149,5.3733,0.5400,2.6968,3.3764,4.5025,1.6762,0.2516"
3,2026-09-19 08:47:31,Ours,0.006040000000000001,1.180757353741439,37.44,37.44,3,49.5089,0:49.51,48.4526,0.0429,1.0075,146.9305,2:26.93,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[0,1,2,3,4,5,9,11,13];2:[0,1,2,4,5,9,13];0:[0,1,2,4,5,9,10,11,13];6:[0,1,2,4,5,9,13];8:[1,4,5,9,13];5:[1,13];3:[1,5,9,13];7:[0,1,2,5,9,13];1:[1,13];4:[0,1,2,3,4,5,9,11,13]","c9:bw=90,experts=[0,1,2,3,4,5,9,11,13]; c2:bw=78,experts=[0,1,2,4,5,9,13]; c0:bw=94,experts=[0,1,2,4,5,9,10,11,13]; c6:bw=75,experts=[0,1,2,4,5,9,13]; c8:bw=56,experts=[1,4,5,9,13]; c5:bw=25,experts=[1,13]; c3:bw=48,experts=[1,5,9,13]; c7:bw=62,experts=[0,1,2,5,9,13]; c1:bw=25,experts=[1,13]; c4:bw=98,experts=[0,1,2,3,4,5,9,11,13]","4.5943,0.2508,5.6723,1.6622,6.1046,5.4219,0.5403,3.4132,18.1292,2.6638"
4,2026-09-19 08:48:22,Ours,0.00802,1.1319331982018421,38.91,38.91,4,50.2523,0:50.25,49.1924,0.0383,1.0158,197.1947,3:17.19,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[0,1,2,4,5,9,13];7:[0,1,2,4,5,9,11,13];6:[0,1,2,4,5,7,9,10,11,13];2:[0,1,2,4,5,7,9,10,11,12,13];8:[1,2,5,9,13];0:[0,1,2,3,4,5,9,10,11,12,13];3:[0,1,2,5,9,13];4:[0,1,2,4,5,9,10,11,12,13];5:[0,1,2,3,4,5,7,9,10,11,12,13,15];9:[1,5,9,13]","c1:bw=75,experts=[0,1,2,4,5,9,13]; c7:bw=84,experts=[0,1,2,4,5,9,11,13]; c6:bw=100,experts=[0,1,2,4,5,7,9,10,11,13]; c2:bw=113,experts=[0,1,2,4,5,7,9,10,11,12,13]; c8:bw=59,experts=[1,2,5,9,13]; c0:bw=111,experts=[0,1,2,3,4,5,9,10,11,12,13]; c3:bw=64,experts=[0,1,2,5,9,13]; c4:bw=105,experts=[0,1,2,4,5,9,10,11,12,13]; c5:bw=138,experts=[0,1,2,3,4,5,7,9,10,11,12,13,15]; c9:bw=41,experts=[1,5,9,13]","18.7680,3.4153,1.7518,0.2529,6.1677,5.8147,0.5216,2.6258,5.4009,4.4737"
5,2026-09-19 08:49:11,Ours,0.01,1.1077911183250138,44.91,44.91,5,49.0502,0:49.05,48.0379,0.0356,0.9754,246.2585,4:06.26,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[1,9,13];5:[0,1,2,4,5,9,13];4:[0,1,2,4,5,9,10,12,13];8:[1,2,4,9,10,13];0:[0,1,2,4,5,9,10,12,13];7:[1,5,9,13];6:[0,1,2,4,5,9,10,11,12,13];3:[0,1,2,4,5,7,9,10,11,12,13];2:[1];9:[0,1,2,3,4,5,9,10,11,12,13]","c1:bw=37,experts=[1,9,13]; c5:bw=75,experts=[0,1,2,4,5,9,13]; c4:bw=91,experts=[0,1,2,4,5,9,10,12,13]; c8:bw=69,experts=[1,2,4,9,10,13]; c0:bw=94,experts=[0,1,2,4,5,9,10,12,13]; c7:bw=46,experts=[1,5,9,13]; c6:bw=100,experts=[0,1,2,4,5,9,10,11,12,13]; c3:bw=119,experts=[0,1,2,4,5,7,9,10,11,12,13]; c2:bw=13,experts=[1]; c9:bw=118,experts=[0,1,2,3,4,5,9,10,11,12,13]","17.8895,5.5034,2.5884,6.0013,5.6933,3.2906,1.6375,0.5456,0.2565,4.6318"
6,2026-09-19 08:50:00,Ours,0.01,1.0865040371022001,48.16,48.16,6,49.6232,0:49.62,48.5702,0.0327,1.019,295.8948,4:55.89,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,7,9,10,11,12,13,15];2:[0,1,2,4,9,12,13];5:[0,1,5,9,13];7:[0,1,2,4,5,7,9,10,11,12,13];3:[0,1,2,5,9,13];1:[0,1,4,5,9,13];9:[0,1,3,4,5,9,10,11,13];0:[1,4,5,9,13];4:[1,9,13];6:[1,9,13]","c8:bw=126,experts=[0,1,2,4,5,7,9,10,11,12,13,15]; c2:bw=79,experts=[0,1,2,4,9,12,13]; c5:bw=51,experts=[0,1,5,9,13]; c7:bw=110,experts=[0,1,2,4,5,7,9,10,11,12,13]; c3:bw=68,experts=[0,1,2,5,9,13]; c1:bw=61,experts=[0,1,4,5,9,13]; c9:bw=91,experts=[0,1,3,4,5,9,10,11,13]; c0:bw=59,experts=[1,4,5,9,13]; c4:bw=33,experts=[1,9,13]; c6:bw=38,experts=[1,9,13]","6.1250,0.2523,5.4746,3.2184,0.5241,18.2264,4.5185,5.9197,2.5510,1.7602"
7,2026-09-19 08:50:50,Ours,0.01,1.057516291443754,51.26,51.26,7,49.8493,0:49.85,48.8311,0.0365,0.9803,345.7576,5:45.76,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,1,4,5,9,13];5:[0,1,3,4,5,9,11,12,13];2:[1,2,4,9,10,12,13];6:[1,13];3:[1,2,5,9,13];7:[0,1,5,9,13];4:[1,13];1:[1];8:[0,1,2,4,5,9,10,11,12,13];9:[1]","c0:bw=68,experts=[0,1,4,5,9,13]; c5:bw=92,experts=[0,1,3,4,5,9,11,12,13]; c2:bw=75,experts=[1,2,4,9,10,12,13]; c6:bw=25,experts=[1,13]; c3:bw=50,experts=[1,2,5,9,13]; c7:bw=58,experts=[0,1,5,9,13]; c4:bw=26,experts=[1,13]; c1:bw=18,experts=[1]; c8:bw=108,experts=[0,1,2,4,5,9,10,11,12,13]; c9:bw=10,experts=[1]","5.8956,5.5800,0.2488,1.7163,0.5507,3.3493,2.5875,18.1177,6.1562,4.6290"
8,2026-09-19 08:51:40,Ours,0.01,1.0289589680817515,52.94,52.94,8,50.0619,0:50.06,49.0081,0.0315,1.0209,395.8338,6:35.83,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[1];8:[1,4,5,9,10,12,13];1:[0,1,3,4,5,7,9,10,11,12,13];3:[1,2,5,9,11,12,13];0:[0,1,4,5,9,13];5:[0,1,5,9,13];2:[0,1,2,4,5,7,9,10,12,13];9:[0,1,3,4,5,9,10,11,12,13,15];7:[1,13];6:[0,1,4,5,9,11,13]","c4:bw=10,experts=[1]; c8:bw=70,experts=[1,4,5,9,10,12,13]; c1:bw=110,experts=[0,1,3,4,5,7,9,10,11,12,13]; c3:bw=70,experts=[1,2,5,9,11,12,13]; c0:bw=61,experts=[0,1,4,5,9,13]; c5:bw=53,experts=[0,1,5,9,13]; c2:bw=102,experts=[0,1,2,4,5,7,9,10,12,13]; c9:bw=111,experts=[0,1,3,4,5,9,10,11,12,13,15]; c7:bw=28,experts=[1,13]; c6:bw=78,experts=[0,1,4,5,9,11,13]","2.5677,6.1793,18.2404,0.5499,5.9095,5.5204,0.2486,4.8269,3.1341,1.8312"
9,2026-09-19 08:52:28,Ours,0.01,1.01628336843054,54.07,54.07,9,47.8479,0:47.85,46.8473,0.0295,0.9696,443.6955,7:23.70,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[1,2,9,13];0:[0,1,3,4,5,7,9,11,13];4:[0,1,2,3,4,5,7,9,11,12,13];9:[1,5,9,13];8:[1,9,13];6:[1,4,5,9,13];7:[0,1,2,5,9,11,12,13];5:[0,1,2,3,4,5,7,9,13];1:[1,13];3:[1,5,9,13]","c2:bw=40,experts=[1,2,9,13]; c0:bw=99,experts=[0,1,3,4,5,7,9,11,13]; c4:bw=112,experts=[0,1,2,3,4,5,7,9,11,12,13]; c9:bw=49,experts=[1,5,9,13]; c8:bw=34,experts=[1,9,13]; c6:bw=59,experts=[1,4,5,9,13]; c7:bw=87,experts=[0,1,2,5,9,11,12,13]; c5:bw=99,experts=[0,1,2,3,4,5,7,9,13]; c1:bw=27,experts=[1,13]; c3:bw=43,experts=[1,5,9,13]","0.2664,5.7874,2.6452,4.3694,5.8214,1.6509,3.1088,5.2621,17.4235,0.5123"
10,2026-09-19 08:53:16,Ours,0.01,0.9974497029293776,54.88,54.88,10,47.9551,0:47.96,46.9589,0.0371,0.9577,491.6654,8:11.67,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[0,1,3,5,9,13];2:[1,2,4,5,9,13];7:[0,1,2,5,9,11,13];0:[0,1,3,4,5,7,9,10,11,12,13];6:[0,1,2,3,4,5,9,10,11,12,13,15];3:[0,1,2,4,5,9,12,13];5:[0,1,2,3,4,5,7,9,12,13];8:[1,2,4,5,9,13];9:[1,3,4,5,9,13];1:[1,2,4,5,9,12,13]","c4:bw=69,experts=[0,1,3,5,9,13]; c2:bw=64,experts=[1,2,4,5,9,13]; c7:bw=71,experts=[0,1,2,5,9,11,13]; c0:bw=111,experts=[0,1,3,4,5,7,9,10,11,12,13]; c6:bw=123,experts=[0,1,2,3,4,5,9,10,11,12,13,15]; c3:bw=87,experts=[0,1,2,4,5,9,12,13]; c5:bw=109,experts=[0,1,2,3,4,5,7,9,12,13]; c8:bw=67,experts=[1,2,4,5,9,13]; c9:bw=66,experts=[1,3,4,5,9,13]; c1:bw=77,experts=[1,2,4,5,9,12,13]","2.5822,0.2394,3.1133,5.6427,1.6720,0.5136,5.2681,5.8470,4.3965,17.6840"
