Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 09:05:18,Ours,0.00208,1.541951671245236,12.01,12.01,1,65.7882,1:05.79,61.8128,2.6425,1.3312,65.7882,1:05.79,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,4,5,6,10,11,13,15];1:[1,2,4,6,13];5:[0,1,2,4,5,6,13,15];0:[13];7:[2,6,13];2:[1,2,4,6,13];9:[0,1,2,4,5,6,13,15];4:[0,1,2,4,5,6,13];3:[0,1,2,4,5,6,11,13,15];6:[0,1,2,4,5,6,13]","c8:bw=104,experts=[0,1,2,4,5,6,10,11,13,15]; c1:bw=55,experts=[1,2,4,6,13]; c5:bw=84,experts=[0,1,2,4,5,6,13,15]; c0:bw=10,experts=[13]; c7:bw=38,experts=[2,6,13]; c2:bw=55,experts=[1,2,4,6,13]; c9:bw=86,experts=[0,1,2,4,5,6,13,15]; c4:bw=75,experts=[0,1,2,4,5,6,13]; c3:bw=96,experts=[0,1,2,4,5,6,11,13,15]; c6:bw=77,experts=[0,1,2,4,5,6,13]","9.1315,20.4205,7.1339,7.2268,4.4757,0.6643,5.8526,3.6798,0.9218,2.3059"
2,2026-09-19 09:06:22,Ours,0.00406,1.265943162876683,33.25,33.25,2,62.9842,1:02.98,58.8609,2.8072,1.3105,128.9877,2:08.99,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,4,6,8,10,13];1:[0,2,4,6,8,10,13];8:[0,1,2,4,5,6,10,12,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,14];3:[0,1,2,4,5,6,8,9,10,11,12,13];4:[0,4,6,10,13];7:[0,2,4,6,8,9,10,11,12,13];9:[0,2,4,6,8,9,10,13];6:[4,6,13];2:[0,4,6,13]","c0:bw=67,experts=[0,4,6,8,10,13]; c1:bw=78,experts=[0,2,4,6,8,10,13]; c8:bw=91,experts=[0,1,2,4,5,6,10,12,13]; c5:bw=130,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14]; c3:bw=127,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=56,experts=[0,4,6,10,13]; c7:bw=104,experts=[0,2,4,6,8,9,10,11,12,13]; c9:bw=88,experts=[0,2,4,6,8,9,10,13]; c6:bw=32,experts=[4,6,13]; c2:bw=41,experts=[0,4,6,13]","7.0661,20.9453,7.4182,6.7419,0.8813,3.4470,4.1458,5.4740,2.2007,0.5406"
3,2026-09-19 09:07:25,Ours,0.006040000000000001,1.1800139263020306,36.34,36.34,3,63.1992,1:03.20,59.1671,2.7147,1.3159,192.1993,3:12.20,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[0,1,2,4,5,6,8,10,13];2:[0,1,4,5,6,12,13];0:[0,1,2,4,5,6,8,10,13];6:[0,2,4,5,6,10,13];8:[0,4,5,6,13];5:[4,6];3:[0,4,6,13];7:[0,2,4,5,6,13];1:[4,6];4:[0,1,2,4,5,6,8,10,13]","c9:bw=90,experts=[0,1,2,4,5,6,8,10,13]; c2:bw=78,experts=[0,1,4,5,6,12,13]; c0:bw=94,experts=[0,1,2,4,5,6,8,10,13]; c6:bw=75,experts=[0,2,4,5,6,10,13]; c8:bw=56,experts=[0,4,5,6,13]; c5:bw=25,experts=[4,6]; c3:bw=48,experts=[0,4,6,13]; c7:bw=62,experts=[0,2,4,5,6,13]; c1:bw=25,experts=[4,6]; c4:bw=98,experts=[0,1,2,4,5,6,8,10,13]","5.6994,0.5418,6.9340,2.2217,7.6531,6.6968,0.8604,4.0891,21.0166,3.4542"
4,2026-09-19 09:08:29,Ours,0.00802,1.095762487800069,39.75,39.75,4,64.2548,1:04.25,59.9646,2.9521,1.3365,256.4659,4:16.47,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[0,2,4,5,6,8,13];7:[0,1,4,5,6,8,12,13];6:[0,1,2,4,5,6,8,10,11,13];2:[0,1,2,4,5,6,8,10,11,12,13];8:[0,4,5,6,13];0:[0,1,2,4,5,6,8,10,11,13,15];3:[0,1,4,5,6,13];4:[0,1,2,4,5,6,8,10,12,13];5:[0,1,2,3,4,5,6,8,10,11,13,14,15];9:[2,4,6,13]","c1:bw=75,experts=[0,2,4,5,6,8,13]; c7:bw=84,experts=[0,1,4,5,6,8,12,13]; c6:bw=100,experts=[0,1,2,4,5,6,8,10,11,13]; c2:bw=113,experts=[0,1,2,4,5,6,8,10,11,12,13]; c8:bw=59,experts=[0,4,5,6,13]; c0:bw=111,experts=[0,1,2,4,5,6,8,10,11,13,15]; c3:bw=64,experts=[0,1,4,5,6,13]; c4:bw=105,experts=[0,1,2,4,5,6,8,10,12,13]; c5:bw=138,experts=[0,1,2,3,4,5,6,8,10,11,13,14,15]; c9:bw=41,experts=[2,4,6,13]","21.3623,4.3000,2.2598,0.5472,7.5982,7.1831,0.9126,3.4738,6.7007,5.6269"
5,2026-09-19 09:09:34,Ours,0.01,1.135664308382536,42.6,42.6,5,64.4949,1:04.49,60.2842,2.8843,1.3249,320.9732,5:20.97,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[4,6,13];5:[0,1,2,4,5,6,13];4:[0,1,2,4,5,6,8,10,13];8:[0,2,4,5,6,13];0:[0,1,2,4,5,6,8,10,13];7:[0,4,6,13];6:[0,1,2,4,5,6,8,10,11,13];3:[0,1,2,4,5,6,8,10,11,12,13];2:[6];9:[0,1,2,4,5,6,8,10,13,14,15]","c1:bw=37,experts=[4,6,13]; c5:bw=75,experts=[0,1,2,4,5,6,13]; c4:bw=91,experts=[0,1,2,4,5,6,8,10,13]; c8:bw=69,experts=[0,2,4,5,6,13]; c0:bw=94,experts=[0,1,2,4,5,6,8,10,13]; c7:bw=46,experts=[0,4,6,13]; c6:bw=100,experts=[0,1,2,4,5,6,8,10,11,13]; c3:bw=119,experts=[0,1,2,4,5,6,8,10,11,12,13]; c2:bw=13,experts=[6]; c9:bw=118,experts=[0,1,2,4,5,6,8,10,13,14,15]","21.4945,6.8046,3.3760,7.7140,7.1572,4.1823,2.2891,0.9115,0.5518,5.8032"
6,2026-09-19 09:10:38,Ours,0.01,1.00480703211033,43.88,43.88,6,64.5849,1:04.58,60.5299,2.7595,1.294,385.5716,6:25.57,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,6,8,10,11,12,13,15];2:[0,1,2,4,5,6,13];5:[0,4,6,8,13];7:[0,1,2,4,5,6,8,10,11,13,15];3:[0,1,4,5,6,13];1:[0,2,4,6,8,13];9:[0,1,2,4,5,6,8,10,13];0:[0,2,4,6,13];4:[4,6,13];6:[4,6,13]","c8:bw=126,experts=[0,1,2,4,5,6,8,10,11,12,13,15]; c2:bw=79,experts=[0,1,2,4,5,6,13]; c5:bw=51,experts=[0,4,6,8,13]; c7:bw=110,experts=[0,1,2,4,5,6,8,10,11,13,15]; c3:bw=68,experts=[0,1,4,5,6,13]; c1:bw=61,experts=[0,2,4,6,8,13]; c9:bw=91,experts=[0,1,2,4,5,6,8,10,13]; c0:bw=59,experts=[0,2,4,6,13]; c4:bw=33,experts=[4,6,13]; c6:bw=38,experts=[4,6,13]","7.6036,0.5290,6.7985,4.2515,0.9143,21.8304,5.4338,7.2258,3.5899,2.3532"
7,2026-09-19 09:11:43,Ours,0.01,1.1115249712907547,51.47,51.47,7,64.7158,1:04.72,60.9478,2.5017,1.2649,450.3006,7:30.30,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,1,4,5,6,13];5:[0,1,2,4,5,6,11,12,13];2:[0,1,4,5,6,12,13];6:[4,6];3:[0,4,5,6,13];7:[0,4,5,6,13];4:[4,6];1:[6];8:[0,1,2,4,5,6,10,11,12,13];9:[6]","c0:bw=68,experts=[0,1,4,5,6,13]; c5:bw=92,experts=[0,1,2,4,5,6,11,12,13]; c2:bw=75,experts=[0,1,4,5,6,12,13]; c6:bw=25,experts=[4,6]; c3:bw=50,experts=[0,4,5,6,13]; c7:bw=58,experts=[0,4,5,6,13]; c4:bw=26,experts=[4,6]; c1:bw=18,experts=[6]; c8:bw=108,experts=[0,1,2,4,5,6,10,11,12,13]; c9:bw=10,experts=[6]","7.1762,6.8734,0.5437,2.3361,0.9075,4.2541,3.4251,21.7947,7.9815,5.6554"
8,2026-09-19 09:12:48,Ours,0.01,0.9479218806889564,53.86,53.86,8,65.6318,1:05.63,61.5911,2.7311,1.3043,515.9479,8:35.95,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[4];8:[0,1,2,4,5,6,13];1:[0,1,2,4,5,6,8,11,12,13,15];3:[0,1,2,4,5,6,13];0:[0,2,4,5,6,13];5:[2,4,6,8,13];2:[0,1,2,4,5,6,8,11,12,13];9:[0,1,2,4,5,6,8,11,12,13,14];7:[4,6];6:[0,1,2,4,5,6,13]","c4:bw=10,experts=[4]; c8:bw=70,experts=[0,1,2,4,5,6,13]; c1:bw=110,experts=[0,1,2,4,5,6,8,11,12,13,15]; c3:bw=70,experts=[0,1,2,4,5,6,13]; c0:bw=61,experts=[0,2,4,5,6,13]; c5:bw=53,experts=[2,4,6,8,13]; c2:bw=102,experts=[0,1,2,4,5,6,8,11,12,13]; c9:bw=111,experts=[0,1,2,4,5,6,8,11,12,13,14]; c7:bw=28,experts=[4,6]; c6:bw=78,experts=[0,1,2,4,5,6,13]","3.4425,8.0103,22.1994,0.9286,7.4513,6.7564,0.5591,5.7930,4.1791,2.2714"
9,2026-09-19 09:13:54,Ours,0.01,1.0016381866566673,59.15,59.15,9,65.2686,1:05.27,61.2714,2.6563,1.3344,581.2303,9:41.23,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[4,5,6,13];0:[0,1,2,4,5,6,8,11,13];4:[0,1,2,4,5,6,8,11,12,13,14];9:[0,4,6,13];8:[4,6,13];6:[0,4,5,6,13];7:[0,1,4,5,6,8,12,13];5:[0,1,2,4,5,6,10,11,13];1:[4,6];3:[0,4,6,13]","c2:bw=40,experts=[4,5,6,13]; c0:bw=99,experts=[0,1,2,4,5,6,8,11,13]; c4:bw=112,experts=[0,1,2,4,5,6,8,11,12,13,14]; c9:bw=49,experts=[0,4,6,13]; c8:bw=34,experts=[4,6,13]; c6:bw=59,experts=[0,4,5,6,13]; c7:bw=87,experts=[0,1,4,5,6,8,12,13]; c5:bw=99,experts=[0,1,2,4,5,6,10,11,13]; c1:bw=27,experts=[4,6]; c3:bw=43,experts=[0,4,6,13]","0.5379,7.5281,3.5975,5.5077,7.8892,2.3246,4.4486,6.6324,21.9208,0.8846"
10,2026-09-19 09:14:59,Ours,0.01,0.8880412264787694,49.76,59.15,9,64.7561,1:04.76,60.5333,2.879,1.3422,646.0011,10:46.00,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[0,1,4,5,6,13];2:[0,1,4,5,6,13];7:[0,1,4,5,6,8,13];0:[0,1,2,4,5,6,8,11,12,13,14];6:[0,1,2,4,5,6,8,10,11,13,14,15];3:[0,1,2,4,5,6,12,13];5:[0,1,2,4,5,6,8,11,13,14];8:[0,2,4,5,6,13];9:[0,2,4,5,6,13];1:[0,2,4,5,6,8,13]","c4:bw=69,experts=[0,1,4,5,6,13]; c2:bw=64,experts=[0,1,4,5,6,13]; c7:bw=71,experts=[0,1,4,5,6,8,13]; c0:bw=111,experts=[0,1,2,4,5,6,8,11,12,13,14]; c6:bw=123,experts=[0,1,2,4,5,6,8,10,11,13,14,15]; c3:bw=87,experts=[0,1,2,4,5,6,12,13]; c5:bw=109,experts=[0,1,2,4,5,6,8,11,13,14]; c8:bw=67,experts=[0,2,4,5,6,13]; c9:bw=66,experts=[0,2,4,5,6,13]; c1:bw=77,experts=[0,2,4,5,6,8,13]","3.4471,0.5399,4.1468,6.9346,2.2268,0.8557,6.7475,7.5909,5.4365,22.6074"
