Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 05:57:46,Ours,0.00208,1.4377184016531426,26.77,26.77,1,58.6268,0:58.63,57.1272,0.1603,1.3378,58.6268,0:58.63,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,3];1:[1];5:[0,2];0:[2];7:[1];2:[1];9:[0,2];4:[1,2];3:[1,2];6:[0,2]","c8:bw=31,experts=[0,1,3]; c1:bw=16,experts=[1]; c5:bw=25,experts=[0,2]; c0:bw=10,experts=[2]; c7:bw=11,experts=[1]; c2:bw=16,experts=[1]; c9:bw=25,experts=[0,2]; c4:bw=22,experts=[1,2]; c3:bw=28,experts=[1,2]; c6:bw=23,experts=[0,2]","8.4514,20.1484,6.3884,6.7650,3.8698,0.3343,5.2894,3.1744,0.6879,2.0183"
2,2026-09-19 05:58:44,Ours,0.00406,1.2820050607196225,30.26,30.26,2,58.143,0:58.14,56.6444,0.1564,1.3406,116.9851,1:56.99,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[0,2];1:[0,1];8:[1,2];5:[0,2,3];3:[0,1,2];4:[2];7:[0,1,2];9:[1,2];6:[2];2:[1]","c0:bw=20,experts=[0,2]; c1:bw=23,experts=[0,1]; c8:bw=27,experts=[1,2]; c5:bw=38,experts=[0,2,3]; c3:bw=37,experts=[0,1,2]; c4:bw=17,experts=[2]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[1,2]; c6:bw=10,experts=[2]; c2:bw=12,experts=[1]","6.8051,20.5043,7.2438,6.2810,0.6367,3.1568,4.0438,5.5713,2.0951,0.3065"
3,2026-09-19 05:59:43,Ours,0.006040000000000001,1.1800996562505754,37.21,37.21,3,58.9788,0:58.98,57.4714,0.1626,1.3432,175.9784,2:55.98,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[1,2];2:[1,2];0:[0,2];6:[0,2];8:[1];5:[2];3:[2];7:[2];1:[1];4:[0,2]","c9:bw=26,experts=[1,2]; c2:bw=23,experts=[1,2]; c0:bw=28,experts=[0,2]; c6:bw=22,experts=[0,2]; c8:bw=17,experts=[1]; c5:bw=10,experts=[2]; c3:bw=14,experts=[2]; c7:bw=18,experts=[2]; c1:bw=10,experts=[1]; c4:bw=29,experts=[0,2]","5.3155,0.2929,6.7300,2.0865,7.5812,6.6277,0.6429,3.9198,21.0109,3.2641"
4,2026-09-19 06:00:42,Ours,0.00802,1.15643172256618,27.77,37.21,3,58.8253,0:58.83,57.3609,0.1472,1.3123,234.8181,3:54.82,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[2,3];7:[2,3];6:[1,3];2:[0,1,3];8:[1];0:[1,2,3];3:[3];4:[0,2,3];5:[0,1,2,3];9:[3]","c1:bw=22,experts=[2,3]; c7:bw=25,experts=[2,3]; c6:bw=29,experts=[1,3]; c2:bw=33,experts=[0,1,3]; c8:bw=17,experts=[1]; c0:bw=33,experts=[1,2,3]; c3:bw=19,experts=[3]; c4:bw=31,experts=[0,2,3]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[3]","21.2338,4.0566,2.0230,0.3056,7.4928,6.6838,0.6374,3.1341,6.5457,5.2482"
5,2026-09-19 06:01:40,Ours,0.01,1.0272995012482942,41.41,41.41,5,57.8212,0:57.82,56.3423,0.1478,1.3298,292.6549,4:52.65,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[1];5:[1,2];4:[1,2];8:[0,3];0:[0,2];7:[2];6:[0,2];3:[0,1,2];2:[1];9:[0,1,2]","c1:bw=11,experts=[1]; c5:bw=22,experts=[1,2]; c4:bw=27,experts=[1,2]; c8:bw=20,experts=[0,3]; c0:bw=28,experts=[0,2]; c7:bw=14,experts=[2]; c6:bw=29,experts=[0,2]; c3:bw=35,experts=[0,1,2]; c2:bw=10,experts=[1]; c9:bw=35,experts=[0,1,2]","20.6145,6.3338,3.1722,7.3021,6.7847,3.9976,2.0072,0.6114,0.2892,5.2297"
6,2026-09-19 06:02:37,Ours,0.01,1.1400597887292352,44.1,44.1,6,57.3176,0:57.32,55.8295,0.1475,1.3393,349.9871,5:49.99,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[0,1,2];2:[1,2];5:[2];7:[0,1,2];3:[1,2];1:[0];9:[1,2];0:[2];4:[2];6:[2]","c8:bw=37,experts=[0,1,2]; c2:bw=23,experts=[1,2]; c5:bw=15,experts=[2]; c7:bw=32,experts=[0,1,2]; c3:bw=20,experts=[1,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[1,2]; c0:bw=17,experts=[2]; c4:bw=10,experts=[2]; c6:bw=11,experts=[2]","7.2119,0.2914,6.2600,3.9126,0.6242,20.4328,5.2514,6.6317,3.1794,2.0341"
7,2026-09-19 06:03:34,Ours,0.01,0.9507572089090788,46.45,46.45,7,57.1253,0:57.13,55.691,0.1542,1.2787,407.1268,6:47.13,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,2];5:[1,2];2:[0,1];6:[2];3:[2];7:[1];4:[2];1:[1];8:[0,1,3];9:[1]","c0:bw=20,experts=[0,2]; c5:bw=27,experts=[1,2]; c2:bw=22,experts=[0,1]; c6:bw=10,experts=[2]; c3:bw=15,experts=[2]; c7:bw=17,experts=[1]; c4:bw=10,experts=[2]; c1:bw=10,experts=[1]; c8:bw=32,experts=[0,1,3]; c9:bw=10,experts=[1]","6.8409,6.4597,0.2866,1.9902,0.6179,3.8197,3.1887,20.1990,7.1485,5.1399"
8,2026-09-19 06:04:31,Ours,0.01,1.071936429328176,34.92,46.45,7,56.3733,0:56.37,54.8885,0.1622,1.3211,463.5154,7:43.52,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[1,2];1:[1,2,3];3:[1,3];0:[1];5:[0];2:[1,2,3];9:[1,2,3];7:[3];6:[1,3]","c4:bw=10,experts=[0]; c8:bw=20,experts=[1,2]; c1:bw=32,experts=[1,2,3]; c3:bw=21,experts=[1,3]; c0:bw=18,experts=[1]; c5:bw=16,experts=[0]; c2:bw=30,experts=[1,2,3]; c9:bw=33,experts=[1,2,3]; c7:bw=10,experts=[3]; c6:bw=23,experts=[1,3]","3.1343,7.0541,20.0247,0.6122,6.6722,6.2317,0.2814,5.0767,3.8133,1.9880"
9,2026-09-19 06:05:28,Ours,0.01,0.9857160397643117,48.22,48.22,9,56.9293,0:56.93,55.4979,0.1561,1.2738,520.4588,8:40.46,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[2];0:[2,3];4:[1,2,3];9:[0];8:[1];6:[0];7:[1,2];5:[2,3];1:[1];3:[0]","c2:bw=12,experts=[2]; c0:bw=29,experts=[2,3]; c4:bw=33,experts=[1,2,3]; c9:bw=15,experts=[0]; c8:bw=10,experts=[1]; c6:bw=17,experts=[0]; c7:bw=25,experts=[1,2]; c5:bw=29,experts=[2,3]; c1:bw=10,experts=[1]; c3:bw=13,experts=[0]","0.2831,6.7770,3.1340,5.2995,7.2825,1.9593,3.8234,6.1914,20.1439,0.6037"
10,2026-09-19 06:06:25,Ours,0.01,1.0263077467116273,59.83,59.83,10,57.4608,0:57.46,56.0067,0.1522,1.3004,577.9353,9:37.94,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[1,2];2:[1];7:[0,1];0:[0,1,2];6:[0,1,2];3:[0,1];5:[0,1,2];8:[0,1];9:[0,1];1:[0,1]","c4:bw=20,experts=[1,2]; c2:bw=19,experts=[1]; c7:bw=21,experts=[0,1]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,1]; c5:bw=32,experts=[0,1,2]; c8:bw=20,experts=[0,1]; c9:bw=20,experts=[0,1]; c1:bw=23,experts=[0,1]","3.1626,0.2815,3.8425,6.6778,2.0219,0.6362,6.4336,7.2627,5.2817,20.4062"
