Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-19 21:00:51,Ours,0.00208,1.6791984245660743,16.02,16.02,1,48.9109,0:48.91,47.9118,0.0361,0.9592,48.911,0:48.91,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,6,7];1:[2,6];5:[0,3,5,7];0:[7];7:[4,5];2:[2,3];9:[0,1,6,7];4:[0,5,6,7];3:[0,1,2,4,6];6:[0,4,6,7]","c8:bw=55,experts=[0,2,3,6,7]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[0,3,5,7]; c0:bw=10,experts=[7]; c7:bw=20,experts=[4,5]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,1,6,7]; c4:bw=40,experts=[0,5,6,7]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[0,4,6,7]","11.5234,15.1403,4.6989,5.1056,2.9911,0.1987,3.9036,2.3702,0.4484,1.5315"
2,2026-09-19 21:01:34,Ours,0.00406,1.4955697416521907,26.76,26.76,2,42.6724,0:42.67,41.7123,0.03,0.9267,91.9628,1:31.96,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[5,6,7];1:[2,3,4,5];8:[0,2,3,4];5:[1,2,4,5,6,7];3:[0,1,2,3,5,6];4:[0,2,4];7:[0,1,2,3,7];9:[2,3,4,7];6:[3];2:[3,7]","c0:bw=36,experts=[5,6,7]; c1:bw=41,experts=[2,3,4,5]; c8:bw=48,experts=[0,2,3,4]; c5:bw=69,experts=[1,2,4,5,6,7]; c3:bw=67,experts=[0,1,2,3,5,6]; c4:bw=30,experts=[0,2,4]; c7:bw=55,experts=[0,1,2,3,7]; c9:bw=46,experts=[2,3,4,7]; c6:bw=17,experts=[3]; c2:bw=22,experts=[3,7]","5.1574,15.2931,5.3086,4.8261,0.4302,2.3824,2.8181,3.8676,1.4586,0.1701"
3,2026-09-19 21:02:18,Ours,0.006040000000000001,1.2570202374353474,21.04,26.76,2,43.7022,0:43.70,42.7644,0.0288,0.9078,135.6771,2:15.68,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,5,7];2:[0,2,4,6];0:[1,2,3,5,6];6:[0,1,2,3];8:[0,2,3];5:[6];3:[2,5];7:[1,2,5];1:[1];4:[2,4,5,6,7]","c9:bw=48,experts=[2,3,5,7]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[1,2,3,5,6]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[6]; c3:bw=26,experts=[2,5]; c7:bw=33,experts=[1,2,5]; c1:bw=13,experts=[1]; c4:bw=52,experts=[2,4,5,6,7]","3.9662,0.1676,5.2433,1.3924,5.5290,4.9118,0.4056,2.8771,15.9170,2.3543"
4,2026-09-19 21:03:00,Ours,0.00802,1.2131375071223067,28.01,28.01,4,42.1791,0:42.18,41.2514,0.0264,0.9,177.8686,2:57.87,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,7];7:[1,3,4,5];6:[0,3,5,6,7];2:[0,1,3,4,5,7];8:[1,3,6];0:[2,3,4,6,7];3:[0,4,5];4:[0,2,3,6,7];5:[0,1,2,3,4,5,6];9:[0,6]","c1:bw=40,experts=[1,2,4,7]; c7:bw=45,experts=[1,3,4,5]; c6:bw=53,experts=[0,3,5,6,7]; c2:bw=60,experts=[0,1,3,4,5,7]; c8:bw=31,experts=[1,3,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[0,4,5]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,6]","15.0337,2.7991,1.4181,0.1686,5.3777,5.1370,0.4052,2.3631,4.7053,3.8435"
5,2026-09-19 21:03:43,Ours,0.01,1.0501338767556292,33.67,33.67,5,42.7404,0:42.74,41.8068,0.0285,0.9038,220.6201,3:40.62,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[1,7];5:[1,4,5,6];4:[1,2,5,7];8:[1,2,6];0:[0,1,3,4,6];7:[1,6];6:[1,2,4,6,7];3:[0,1,4,5,6,7];2:[1];9:[0,1,3,5,6,7]","c1:bw=20,experts=[1,7]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,2,5,7]; c8:bw=37,experts=[1,2,6]; c0:bw=50,experts=[0,1,3,4,6]; c7:bw=24,experts=[1,6]; c6:bw=53,experts=[1,2,4,6,7]; c3:bw=63,experts=[0,1,4,5,6,7]; c2:bw=10,experts=[1]; c9:bw=62,experts=[0,1,3,5,6,7]","15.7043,4.7825,2.2981,5.3196,4.9242,2.8082,1.4526,0.4063,0.1643,3.9468"
6,2026-09-19 21:04:26,Ours,0.01,1.3723874816111044,35.17,35.17,6,42.7753,0:42.78,41.8455,0.0286,0.9,263.4073,4:23.41,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,4,5,6,7];2:[2,4,6,7];5:[3,4];7:[1,3,5,6,7];3:[4,5,7];1:[1,2,4];9:[0,3,4,5];0:[4,5,7];4:[5];6:[3,5]","c8:bw=67,experts=[0,1,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[1,3,5,6,7]; c3:bw=36,experts=[4,5,7]; c1:bw=32,experts=[1,2,4]; c9:bw=48,experts=[0,3,4,5]; c0:bw=31,experts=[4,5,7]; c4:bw=17,experts=[5]; c6:bw=20,experts=[3,5]","5.3628,0.1673,4.9237,2.8125,0.4217,15.3940,4.1481,4.9876,2.2324,1.3953"
7,2026-09-19 21:05:08,Ours,0.01,1.1265380579610524,40.99,40.99,7,42.4043,0:42.40,41.4685,0.0274,0.9073,305.8239,5:05.82,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,7];5:[0,2,4,7];2:[0,3,6,7];6:[6];3:[4,5];7:[1,2,5];4:[1];1:[0];8:[0,3,4,5,7];9:[6]","c0:bw=36,experts=[0,4,7]; c5:bw=49,experts=[0,2,4,7]; c2:bw=40,experts=[0,3,6,7]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[1,2,5]; c4:bw=14,experts=[1]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,3,4,5,7]; c9:bw=10,experts=[6]","5.0290,4.6788,0.1692,1.3954,0.4073,2.8280,2.2206,15.5444,5.2614,3.9345"
8,2026-09-19 21:05:50,Ours,0.01,1.266492448304192,52.65,52.65,8,41.6869,0:41.69,40.7625,0.0282,0.8951,347.5225,5:47.52,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,1,7];1:[0,2,3,6,7];3:[1,6,7];0:[4,5,6];5:[2,7];2:[2,4,5,6,7];9:[0,1,2,4,6];7:[2];6:[1,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,1,7]; c1:bw=58,experts=[0,2,3,6,7]; c3:bw=37,experts=[1,6,7]; c0:bw=32,experts=[4,5,6]; c5:bw=28,experts=[2,7]; c2:bw=54,experts=[2,4,5,6,7]; c9:bw=59,experts=[0,1,2,4,6]; c7:bw=15,experts=[2]; c6:bw=41,experts=[1,3,5,7]","2.2185,5.2287,15.1397,0.4013,4.9237,4.5992,0.1651,3.8991,2.7848,1.4022"
9,2026-09-19 21:06:32,Ours,0.01,1.072842113899488,45.62,52.65,8,42.5973,0:42.60,41.6665,0.0283,0.9013,390.1328,6:30.13,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[0,3,4,5,6];4:[1,2,3,4,6];9:[4,5];8:[1];6:[2,5,7];7:[0,1,4,5];5:[2,3,4,5,6];1:[1];3:[6,7]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[0,3,4,5,6]; c4:bw=59,experts=[1,2,3,4,6]; c9:bw=26,experts=[4,5]; c8:bw=18,experts=[1]; c6:bw=31,experts=[2,5,7]; c7:bw=46,experts=[0,1,4,5]; c5:bw=52,experts=[2,3,4,5,6]; c1:bw=14,experts=[1]; c3:bw=23,experts=[6,7]","0.1662,5.0917,2.2956,3.7744,5.2033,1.4218,2.8590,4.5841,15.8763,0.3943"
10,2026-09-19 21:07:15,Ours,0.01,1.0463245846760902,44.87,52.65,8,42.5896,0:42.59,41.6451,0.0318,0.9086,432.7354,7:12.74,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,3,5];2:[1,3,4];7:[1,5,6];0:[1,3,4,6,7];6:[1,2,4,5,6,7];3:[1,3,4,5];5:[0,3,5,6,7];8:[0,1,5];9:[2,4,7];1:[0,1,4,7]","c4:bw=37,experts=[1,3,5]; c2:bw=34,experts=[1,3,4]; c7:bw=37,experts=[1,5,6]; c0:bw=59,experts=[1,3,4,6,7]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[1,3,4,5]; c5:bw=58,experts=[0,3,5,6,7]; c8:bw=35,experts=[0,1,5]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,1,4,7]","2.2471,0.1600,2.7539,4.8164,1.3799,0.4000,4.8156,5.1744,3.7553,16.1423"
