Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 06:58:36,Ours,0.00208,1.509516219834447,10.0,10.0,1,53.3326,0:53.33,51.9136,0.2428,1.1748,53.3326,0:53.33,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,6];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","7.3526,19.0878,6.0026,5.8970,3.5442,0.2938,4.6321,2.7723,0.5828,1.7484"
2,2026-09-21 06:59:29,Ours,0.00406,1.3692108086455828,10.0,10.0,1,52.889,0:52.89,51.5294,0.2235,1.1345,106.4617,1:46.46,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[4,5,6];1:[1,4,5,6];8:[1,4,5,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[4,5,6];7:[0,1,4,5,6];9:[1,4,5,6];6:[4];2:[4,6]","c0:bw=36,experts=[4,5,6]; c1:bw=41,experts=[1,4,5,6]; c8:bw=48,experts=[1,4,5,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[4,5,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[1,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","5.9098,19.3438,6.8101,6.0534,0.5610,2.7758,3.3568,4.6080,1.8462,0.2646"
3,2026-09-21 07:00:23,Ours,0.006040000000000001,1.291510781761983,10.02,10.02,3,53.6274,0:53.63,52.2587,0.2247,1.1425,160.1048,2:40.10,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,4,5,6];2:[1,2,4,6];0:[1,2,4,5,6];6:[1,4,5,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[1,2,4,5,6]","c9:bw=48,experts=[1,4,5,6]; c2:bw=42,experts=[1,2,4,6]; c0:bw=50,experts=[1,2,4,5,6]; c6:bw=40,experts=[1,4,5,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[1,2,4,5,6]","4.7625,0.2609,6.4472,1.7995,6.8635,5.9982,0.5463,3.3755,19.3871,2.8178"
4,2026-09-21 07:01:17,Ours,0.00802,1.241528914540956,10.63,10.63,4,53.6082,0:53.61,52.26,0.2074,1.1393,213.7269,3:33.73,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,4,5,6];7:[0,4,5,6];6:[0,1,4,5,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,4,5,6];3:[0,4,6];4:[0,1,4,5,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[0,4,5,6]; c7:bw=45,experts=[0,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c3:bw=34,experts=[0,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","19.5299,3.5598,1.7959,0.2598,6.7415,6.2229,0.5671,2.9656,5.8247,4.7928"
5,2026-09-21 07:02:11,Ours,0.01,1.2112266435592525,19.89,19.89,5,54.0442,0:54.04,52.6573,0.2256,1.1597,267.7856,4:27.79,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,1,4,6];4:[0,1,4,6];8:[1,4,6];0:[0,1,4,5,6];7:[4,6];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,4,5,6,7]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[0,1,4,6]; c8:bw=37,experts=[1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,4,5,6,7]","19.5317,5.7931,2.9743,6.9480,6.3933,3.5348,1.8103,0.5537,0.2637,4.8543"
6,2026-09-21 07:03:04,Ours,0.01,1.1884333393064834,22.21,22.21,6,52.8915,0:52.89,51.5422,0.1962,1.1514,320.6903,5:20.69,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,4,5,6];5:[4,6];7:[0,1,4,5,6];3:[4,5,6];1:[4,5,6];9:[0,4,5,6];0:[0,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[4,5,6]; c1:bw=32,experts=[4,5,6]; c9:bw=48,experts=[0,4,5,6]; c0:bw=31,experts=[0,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","6.7209,0.2657,5.8392,3.4998,0.5646,19.1155,4.7972,6.0968,2.8549,1.7876"
7,2026-09-21 07:03:56,Ours,0.01,1.1740745968039628,24.79,24.79,7,52.6591,0:52.66,51.3112,0.1955,1.151,373.3637,6:13.36,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[4,5,6];5:[0,4,5,6];2:[0,4,5,6];6:[4];3:[4,6];7:[4,5,6];4:[4];1:[4];8:[0,1,4,5,6];9:[4]","c0:bw=36,experts=[4,5,6]; c5:bw=49,experts=[0,4,5,6]; c2:bw=40,experts=[0,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,4,5,6]; c9:bw=10,experts=[4]","6.2896,5.8883,0.2747,1.8125,0.5715,3.5637,2.8821,18.6109,6.6933,4.7246"
8,2026-09-21 07:04:49,Ours,0.01,1.2312031286956837,33.2,33.2,8,52.8237,0:52.82,51.4628,0.2117,1.1477,426.202,7:06.20,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,7];0:[3,4,7];5:[4,7];2:[3,4,5,6,7];9:[0,3,4,5,6];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[3,4,5,6,7]; c9:bw=59,experts=[0,3,4,5,6]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","2.9294,6.7267,18.8790,0.5786,6.1191,5.8425,0.2713,4.7398,3.5569,1.8196"
9,2026-09-21 07:05:42,Ours,0.01,1.1613429012150842,35.4,35.4,9,53.3557,0:53.36,51.9798,0.2192,1.1552,479.5726,7:59.57,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,4,5,6,7];4:[0,4,5,6,7];9:[2,4];8:[4];6:[2,4,6];7:[2,4,6,7];5:[0,2,4,5,6];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,4,5,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[2,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[2,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[0,2,4,5,6]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","0.2653,6.2649,2.9396,4.8883,6.7152,1.8584,3.5795,5.8482,19.0386,0.5819"
10,2026-09-21 07:06:36,Ours,0.01,1.1444446338018188,38.96,38.96,10,53.2521,0:53.25,51.8766,0.2109,1.1631,532.8381,8:52.84,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,5,6];2:[4,5,6];7:[4,5,6];0:[1,4,5,6,7];6:[1,2,4,5,6,7];3:[4,5,6,7];5:[1,4,5,6,7];8:[4,5,6];9:[4,5,6];1:[1,4,5,6]","c4:bw=37,experts=[4,5,6]; c2:bw=34,experts=[4,5,6]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,4,5,6,7]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[4,5,6,7]; c5:bw=58,experts=[1,4,5,6,7]; c8:bw=35,experts=[4,5,6]; c9:bw=35,experts=[4,5,6]; c1:bw=41,experts=[1,4,5,6]","2.9533,0.2707,3.6833,6.2758,1.8483,0.5871,5.8168,6.7371,4.8567,18.8474"
