Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 05:28:47,Ours,0.00208,1.5095695037680845,24.49,24.49,1,53.7976,0:53.80,52.4448,0.1833,1.1638,53.7976,0:53.80,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,6];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","7.4751,19.2069,6.0453,5.9409,3.5756,0.3045,4.7002,2.8132,0.5992,1.7839"
2,2026-09-21 05:29:38,Ours,0.00406,1.2749659597982628,34.9,34.9,2,50.612,0:50.61,49.2919,0.1841,1.1346,104.6474,1:44.65,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[4,5,6];1:[0,4,5,6];8:[0,1,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[4,5,6];7:[0,1,4,5,6];9:[0,4,5,6];6:[4];2:[4,6]","c0:bw=36,experts=[4,5,6]; c1:bw=41,experts=[0,4,5,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[4,5,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[0,4,5,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","5.9158,18.0141,6.3005,5.6595,0.5545,2.7648,3.3742,4.7014,1.7439,0.2631"
3,2026-09-21 05:30:28,Ours,0.006040000000000001,1.1741235349595818,38.66,38.66,3,50.8286,0:50.83,49.4937,0.1882,1.1409,155.4905,2:35.49,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,4,5,6];2:[0,1,4,6];0:[0,1,4,5,6];6:[1,4,5,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,4,5,6]","c9:bw=48,experts=[1,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c6:bw=40,experts=[1,4,5,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,4,5,6]","4.7452,0.2598,5.9321,1.7293,6.3539,5.6670,0.5497,3.4382,17.9904,2.8282"
4,2026-09-21 05:31:20,Ours,0.00802,1.124791581254164,43.48,43.48,4,51.6426,0:51.64,50.3142,0.1791,1.1436,207.1482,3:27.15,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,4,5,6];7:[1,4,5,6];6:[0,1,4,5,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,4,5,6];3:[1,4,6];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[1,4,5,6]; c7:bw=45,experts=[1,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","18.4982,3.4794,1.7473,0.2578,6.3965,5.9350,0.5594,2.8819,5.7980,4.7608"
5,2026-09-21 05:32:12,Ours,0.01,1.0851155279235858,44.33,44.33,5,52.0242,0:52.02,50.6887,0.178,1.1518,259.187,4:19.19,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,4,5,6];4:[1,4,5,6];8:[1,4,6];0:[0,1,4,5,6];7:[4,6];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,4,5,6]; c8:bw=37,experts=[1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","18.6830,5.7961,2.8760,6.4871,5.9791,3.4968,1.7626,0.5605,0.2714,4.7761"
6,2026-09-21 05:33:05,Ours,0.01,1.0695385539716413,49.61,49.61,6,52.5649,0:52.56,51.2284,0.1767,1.1584,311.7653,5:11.77,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,4,5,6];5:[4,6];7:[1,2,4,5,6];3:[1,4,6];1:[1,4,6];9:[1,4,5,6];0:[1,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[1,2,4,5,6]; c3:bw=36,experts=[1,4,6]; c1:bw=32,experts=[1,4,6]; c9:bw=48,experts=[1,4,5,6]; c0:bw=31,experts=[1,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","6.6363,0.2666,5.9087,3.5465,0.5626,18.7777,4.8105,6.0087,2.9061,1.8046"
7,2026-09-21 05:33:57,Ours,0.01,1.0364931708004002,52.97,52.97,7,52.5069,0:52.51,51.1833,0.1661,1.1561,364.2876,6:04.29,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[4,5,6];5:[1,4,5,6];2:[1,4,5,6];6:[4];3:[4,6];7:[1,4,6];4:[4];1:[4];8:[1,2,4,5,6];9:[4]","c0:bw=36,experts=[4,5,6]; c5:bw=49,experts=[1,4,5,6]; c2:bw=40,experts=[1,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[1,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[1,2,4,5,6]; c9:bw=10,experts=[4]","6.0467,5.8341,0.2700,1.8160,0.5746,3.5545,2.8881,18.7842,6.6332,4.7818"
8,2026-09-21 05:34:50,Ours,0.01,1.1085377946181512,52.69,52.97,7,52.4123,0:52.41,51.086,0.1702,1.1548,416.7148,6:56.71,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[1,3,4,6,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[1,3,4,6,7];9:[3,4,5,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[1,3,4,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[3,4,5,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","2.8668,6.6364,18.7420,0.5727,5.9654,5.9091,0.2682,4.7633,3.5480,1.8139"
9,2026-09-21 05:35:42,Ours,0.01,1.0150225953004424,59.13,59.13,9,52.8586,0:52.86,51.4954,0.1856,1.1761,469.5894,7:49.59,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[1,2,4,5,6];4:[2,4,5,6,7];9:[4,6];8:[4];6:[2,4,6];7:[1,4,6,7];5:[0,1,4,5,6];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[1,2,4,5,6]; c4:bw=59,experts=[2,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[2,4,6]; c7:bw=46,experts=[1,4,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","0.2704,6.1001,2.8813,4.8103,6.6072,1.8281,3.5544,5.9128,18.9540,0.5769"
10,2026-09-21 05:36:36,Ours,0.01,0.9928012533511337,51.93,59.13,9,53.6226,0:53.62,52.2744,0.1791,1.1677,523.2256,8:43.23,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,5,6];2:[1,4,6];7:[0,4,6];0:[0,1,4,5,6];6:[0,1,4,5,6,7];3:[1,4,5,6];5:[0,1,4,5,6];8:[1,4,6];9:[4,5,6];1:[0,4,5,6]","c4:bw=37,experts=[4,5,6]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[0,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,4,5,6,7]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[0,1,4,5,6]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[4,5,6]; c1:bw=41,experts=[0,4,5,6]","2.9055,0.2705,3.6013,6.2654,1.8233,0.5836,6.0201,6.6758,4.7972,19.3316"
