Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 10:22:49,Ours,0.00208,1.4122153947152103,28.63,28.63,1,51.2841,0:51.28,47.622,2.6194,1.0419,51.2841,0:51.28,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","6.5180,16.3236,5.6213,5.7781,3.2415,0.3714,4.7372,2.6459,0.6489,1.7362"
2,2026-09-21 10:23:39,Ours,0.00406,1.2524533477797175,33.46,33.46,2,50.2458,0:50.25,46.3606,2.8614,1.023,101.7518,1:41.75,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,4];8:[0,2,3,5];5:[0,2,3,4,6,7];3:[0,1,2,3,4,6];4:[0,2,3];7:[0,2,3,4,6];9:[0,2,3,4];6:[3];2:[2,3]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]; c8:bw=48,experts=[0,2,3,5]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,1,2,3,4,6]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,4,6]; c9:bw=46,experts=[0,2,3,4]; c6:bw=17,experts=[3]; c2:bw=22,experts=[2,3]","5.8325,16.3106,5.9906,5.3476,0.6226,2.7170,3.1710,4.3340,1.6850,0.3497"
3,2026-09-21 10:24:29,Ours,0.006040000000000001,1.1898547507919948,37.12,37.12,3,49.5273,0:49.53,46.0147,2.4819,1.0299,151.292,2:31.29,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,5];2:[0,2,3,5];0:[0,1,2,3,5];6:[0,2,3,5];8:[0,2,3];5:[3];3:[0,3];7:[0,2,3];1:[3];4:[0,1,2,3,5]","c9:bw=48,experts=[0,2,3,5]; c2:bw=42,experts=[0,2,3,5]; c0:bw=50,experts=[0,1,2,3,5]; c6:bw=40,experts=[0,2,3,5]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,1,2,3,5]","4.3247,0.3425,5.5253,1.6907,5.9285,5.1944,0.6105,3.1852,16.5920,2.6209"
4,2026-09-21 10:25:18,Ours,0.00802,1.1125689848683824,41.63,41.63,4,49.7428,0:49.74,45.8404,2.8809,1.0205,201.0488,3:21.05,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,5];7:[0,2,3,5];6:[0,2,3,5,6];2:[0,2,3,5,6,7];8:[0,2,3];0:[0,2,3,5,6];3:[0,2,3];4:[0,1,2,3,5];5:[0,1,2,3,4,5,6];9:[0,3]","c1:bw=40,experts=[0,2,3,5]; c7:bw=45,experts=[0,2,3,5]; c6:bw=53,experts=[0,2,3,5,6]; c2:bw=60,experts=[0,2,3,5,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,5]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,3]","16.5061,3.1894,1.6964,0.3599,5.8673,5.4926,0.5971,2.6002,5.2165,4.3148"
5,2026-09-21 10:26:08,Ours,0.01,1.1381704778298378,44.0,44.0,5,49.5844,0:49.58,45.8364,2.7257,1.0215,250.6458,4:10.65,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,5];4:[0,2,3,5];8:[0,2,3];0:[0,2,3,4,5];7:[0,3];6:[0,2,3,4,5];3:[0,2,3,4,5,6];2:[3];9:[0,1,2,3,4,5]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,5]; c4:bw=48,experts=[0,2,3,5]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,4,5]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,4,5]; c3:bw=63,experts=[0,2,3,4,5,6]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,5]","16.4090,5.2334,2.6313,5.8982,5.5204,3.1924,1.6859,0.6052,0.3455,4.3150"
6,2026-09-21 10:26:57,Ours,0.01,1.131298595925093,47.52,47.52,6,49.4043,0:49.40,45.8054,2.5779,1.0201,300.0626,5:00.06,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,5,6];2:[0,2,3,5];5:[0,3];7:[0,2,3,4,5];3:[0,2,3];1:[0,2,3];9:[0,2,3,5];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,2,3,4,5,6]; c2:bw=42,experts=[0,2,3,5]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,4,5]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,5]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","5.9104,0.3366,5.2318,3.1940,0.6181,16.3676,4.3279,5.5124,2.5971,1.7095"
7,2026-09-21 10:27:47,Ours,0.01,1.0928725416317278,49.7,49.7,7,49.1729,0:49.17,45.7569,2.3737,1.0415,349.249,5:49.25,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,4,5];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,4,5]; c9:bw=10,experts=[3]","5.5431,5.2495,0.3582,1.6921,0.6034,3.1974,2.5940,16.3143,5.8816,4.3234"
8,2026-09-21 10:28:36,Ours,0.01,1.1319594026640634,52.39,52.39,8,49.4605,0:49.46,45.8005,2.6317,1.0275,398.7221,6:38.72,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[4];8:[1,3,7];1:[0,1,3,6,7];3:[0,3,7];0:[0,3,7];5:[0,3];2:[0,1,2,3,4];9:[0,2,3,6,7];7:[1];6:[0,1,3,7]","c4:bw=10,experts=[4]; c8:bw=37,experts=[1,3,7]; c1:bw=58,experts=[0,1,3,6,7]; c3:bw=37,experts=[0,3,7]; c0:bw=32,experts=[0,3,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,1,2,3,4]; c9:bw=59,experts=[0,2,3,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,3,7]","2.5908,5.8806,16.4347,0.6303,5.5158,5.2213,0.3468,4.3294,3.1665,1.6841"
9,2026-09-21 10:29:26,Ours,0.01,1.010368070971626,55.86,55.86,9,49.4851,0:49.49,45.7173,2.7325,1.0344,448.224,7:28.22,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,4,5];4:[0,2,3,6,7];9:[0,3];8:[3];6:[0,2,3];7:[0,2,3,7];5:[0,1,2,3,5];1:[3];3:[0,3]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,4,5]; c4:bw=59,experts=[0,2,3,6,7]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[3]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,3,7]; c5:bw=52,experts=[0,1,2,3,5]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,3]","0.3354,5.5479,2.6310,4.3467,5.8521,1.6869,3.2027,5.2020,16.3019,0.6107"
10,2026-09-21 10:30:15,Ours,0.01,0.9943074268798485,59.47,59.47,10,49.5114,0:49.51,45.6569,2.8115,1.0421,497.7486,8:17.75,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,3,6];0:[0,2,3,4,5];6:[0,1,2,3,4,5];3:[0,1,2,3];5:[0,2,3,5,7];8:[0,2,3];9:[0,2,3];1:[0,2,3,4]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,3,6]; c0:bw=59,experts=[0,2,3,4,5]; c6:bw=65,experts=[0,1,2,3,4,5]; c3:bw=46,experts=[0,1,2,3]; c5:bw=58,experts=[0,2,3,5,7]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]","2.6420,0.3499,3.1851,5.5362,1.6757,0.6067,5.1898,5.8890,4.2897,16.2929"
