Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 09:28:25,Ours,0.00208,1.4121548995664412,10.38,10.38,1,42.253,0:42.25,41.1502,0.164,0.938,42.253,0:42.25,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","5.6589,14.2822,4.9037,4.9820,2.7421,0.2535,4.1203,2.2675,0.4926,1.4473"
2,2026-09-21 09:29:06,Ours,0.00406,1.3384986722531853,12.08,12.08,2,41.3414,0:41.34,40.3009,0.1447,0.895,83.8037,1:23.80,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,7];1:[0,2,3,7];8:[0,2,3,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,7];7:[0,2,3,6,7];9:[0,2,3,7];6:[2];2:[0,2]","c0:bw=36,experts=[0,2,7]; c1:bw=41,experts=[0,2,3,7]; c8:bw=48,experts=[0,2,3,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,7]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,2]","4.8307,14.2939,5.0819,4.9300,0.4602,2.2539,2.7330,4.0777,1.4206,0.2191"
3,2026-09-21 09:29:47,Ours,0.006040000000000001,1.266961645717566,10.22,12.08,2,41.3957,0:41.40,40.3483,0.1494,0.8972,125.212,2:05.21,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,2,3];2:[0,1,2,3];0:[0,1,2,3,7];6:[0,1,2,3];8:[0,2,3];5:[0];3:[0,2];7:[0,2,3];1:[0];4:[0,1,2,3,7]","c9:bw=48,experts=[0,1,2,3]; c2:bw=42,experts=[0,1,2,3]; c0:bw=50,experts=[0,1,2,3,7]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,1,2,3,7]","3.9738,0.2131,4.7549,1.4869,5.0695,4.7881,0.4563,2.7106,14.6743,2.2210"
4,2026-09-21 09:30:30,Ours,0.00802,1.2203024888754939,27.35,27.35,4,42.5345,0:42.53,41.4913,0.1466,0.8958,167.758,2:47.76,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,7];7:[0,2,3,7];6:[0,1,2,3,7];2:[0,1,2,3,5,7];8:[0,2,3];0:[0,2,3,5,7];3:[0,2,3];4:[0,2,3,5,7];5:[0,1,2,3,5,6,7];9:[0,2]","c1:bw=40,experts=[0,2,3,7]; c7:bw=45,experts=[0,2,3,7]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[0,1,2,3,5,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,5,7]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,2]","15.7934,2.7086,1.4050,0.2177,5.1574,4.7230,0.4375,2.2195,4.9137,3.9155"
5,2026-09-21 09:31:13,Ours,0.01,1.1946651697194055,23.47,27.35,4,42.6058,0:42.61,41.5633,0.1467,0.8949,210.3775,3:30.38,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,7];4:[0,2,3,7];8:[0,2,3];0:[0,1,2,3,7];7:[0,3];6:[0,1,2,3,7];3:[0,1,2,3,4,7];2:[0];9:[0,1,2,3,4,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,7]; c4:bw=48,experts=[0,2,3,7]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,7]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,7]; c3:bw=63,experts=[0,1,2,3,4,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,7]","15.6156,4.9012,2.2035,5.2011,4.7847,2.7364,1.3895,0.4491,0.2193,4.0629"
6,2026-09-21 09:31:55,Ours,0.01,1.1819153659139483,30.6,30.6,6,42.5753,0:42.58,41.5304,0.1502,0.8939,252.965,4:12.97,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,5,7];2:[0,2,3,7];5:[0,3];7:[0,1,2,3,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,1,2,3,5,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","5.1510,0.2112,4.8071,2.9358,0.4434,15.2767,3.9564,4.9848,2.3700,1.3940"
7,2026-09-21 09:32:37,Ours,0.01,1.1806802352645869,28.99,30.6,6,41.9819,0:41.98,40.9281,0.1422,0.9109,294.9605,4:54.96,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,7];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,7]; c9:bw=10,experts=[3]","5.1080,4.6928,0.2165,1.4594,0.4431,2.8118,2.2694,15.1011,5.1548,3.6711"
8,2026-09-21 09:33:19,Ours,0.01,1.2041208199458149,30.33,30.6,6,41.9463,0:41.95,40.9105,0.1442,0.8907,336.9202,5:36.92,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[4];8:[0,3,6];1:[1,3,4,5,6];3:[0,2,3];0:[3,4,6];5:[3,4];2:[0,2,3,4,6];9:[0,2,3,6,7];7:[4];6:[0,3,4,6]","c4:bw=10,experts=[4]; c8:bw=37,experts=[0,3,6]; c1:bw=58,experts=[1,3,4,5,6]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[0,2,3,4,6]; c9:bw=59,experts=[0,2,3,6,7]; c7:bw=15,experts=[4]; c6:bw=41,experts=[0,3,4,6]","2.2389,5.1231,15.6219,0.4454,4.9275,4.4364,0.2070,3.7996,2.6903,1.4202"
9,2026-09-21 09:34:01,Ours,0.01,1.1787439084270723,31.87,31.87,9,41.6786,0:41.68,40.6372,0.1569,0.8837,378.6124,6:18.61,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,4,5];4:[0,2,3,5,6];9:[3,5];8:[4];6:[0,3,5];7:[0,2,3,5];5:[0,2,3,5,7];1:[3];3:[3,5]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,4,5]; c4:bw=59,experts=[0,2,3,5,6]; c9:bw=26,experts=[3,5]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,5,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[3,5]","0.2129,4.8517,2.2543,3.9724,5.2295,1.3846,2.7065,4.7262,14.8530,0.4460"
10,2026-09-21 09:34:42,Ours,0.01,1.1560850423909472,34.92,34.92,10,40.7176,0:40.72,39.6648,0.1461,0.906,419.3431,6:59.34,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,3,6];0:[0,1,2,3,5];6:[0,1,2,3,5,7];3:[0,2,3,6];5:[0,1,2,3,5];8:[0,2,3];9:[0,2,3];1:[0,2,3,5]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,3,6]; c0:bw=59,experts=[0,1,2,3,5]; c6:bw=65,experts=[0,1,2,3,5,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,1,2,3,5]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,5]","2.2756,0.2080,2.7258,4.9679,1.3732,0.4392,4.5346,5.0662,3.6632,14.4111"
