Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 09:41:01,Ours,0.00208,1.412206020666339,10.57,10.57,1,42.8611,0:42.86,41.7628,0.1962,0.9012,42.8611,0:42.86,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","5.8359,14.4368,4.9585,5.0718,2.7677,0.2600,4.1728,2.2826,0.5069,1.4700"
2,2026-09-21 09:41:44,Ours,0.00406,1.3318146129351542,12.91,12.91,2,42.1499,0:42.15,41.0524,0.1883,0.9082,85.2574,1:25.26,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,7];1:[0,2,3,7];8:[0,2,3,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,7];6:[2];2:[0,2]","c0:bw=36,experts=[0,2,7]; c1:bw=41,experts=[0,2,3,7]; c8:bw=48,experts=[0,2,3,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,2]","4.9120,14.7372,5.1208,4.9657,0.4739,2.3192,2.7468,4.1204,1.4321,0.2244"
3,2026-09-21 09:42:26,Ours,0.006040000000000001,1.2646459765738005,22.67,22.67,3,42.7286,0:42.73,41.6465,0.185,0.8962,128.0011,2:08.00,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,2,3];2:[0,1,2,3];0:[0,1,2,3,6];6:[0,1,2,3];8:[0,2,3];5:[0];3:[0,2];7:[0,2,3];1:[0];4:[0,1,2,3,6]","c9:bw=48,experts=[0,1,2,3]; c2:bw=42,experts=[0,1,2,3]; c0:bw=50,experts=[0,1,2,3,6]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,1,2,3,6]","4.1019,0.2200,4.8296,1.4336,5.1565,4.8936,0.4672,2.8942,15.2913,2.3585"
4,2026-09-21 09:43:10,Ours,0.00802,1.2123620804688149,29.52,29.52,4,43.9098,0:43.91,42.8665,0.1386,0.9037,171.9249,2:51.92,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,3];7:[0,1,2,3];6:[0,1,2,3,5];2:[0,1,2,3,5,7];8:[0,2,3];0:[0,1,2,3,5];3:[0,2,3];4:[0,1,2,3,5];5:[0,1,2,3,4,5,7];9:[0,3]","c1:bw=40,experts=[0,1,2,3]; c7:bw=45,experts=[0,1,2,3]; c6:bw=53,experts=[0,1,2,3,5]; c2:bw=60,experts=[0,1,2,3,5,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,5]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,5]; c5:bw=73,experts=[0,1,2,3,4,5,7]; c9:bw=22,experts=[0,3]","16.0037,3.0554,1.4165,0.2262,5.2099,5.0759,0.4547,2.4507,4.9342,4.0393"
5,2026-09-21 09:43:53,Ours,0.01,1.1848043511547008,29.54,29.54,5,42.7069,0:42.71,41.6209,0.1822,0.9029,214.647,3:34.65,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,1,2,3];4:[0,1,2,3];8:[0,2,3];0:[0,1,2,3,7];7:[0,3];6:[0,1,2,3,7];3:[0,1,2,3,4,7];2:[3];9:[0,1,2,3,4,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,1,2,3]; c4:bw=48,experts=[0,1,2,3]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,7]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,7]; c3:bw=63,experts=[0,1,2,3,4,7]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,7]","15.4181,4.8985,2.3667,5.2190,5.0481,2.7758,1.4255,0.4519,0.2144,3.8028"
6,2026-09-21 09:44:35,Ours,0.01,1.1698437689473136,31.85,31.85,6,41.8169,0:41.82,40.7276,0.1889,0.8995,256.4778,4:16.48,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,5,7];2:[0,2,3,7];5:[0,3];7:[0,2,3,5,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,1,2,3,5,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,5,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","5.2634,0.2113,4.7461,2.7431,0.4487,15.0936,3.7755,4.8140,2.2243,1.4077"
7,2026-09-21 09:45:16,Ours,0.01,1.1579492311514819,34.25,34.25,7,41.394,0:41.39,40.3298,0.1551,0.9083,297.8853,4:57.89,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,7];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,7]; c9:bw=10,experts=[3]","4.9977,4.6358,0.2182,1.3992,0.4511,2.7326,2.2208,14.4772,5.3280,3.8692"
8,2026-09-21 09:45:57,Ours,0.01,1.1808288300235423,36.08,36.08,8,40.9774,0:40.98,39.8862,0.179,0.9113,338.877,5:38.88,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[4];8:[0,3,6];1:[0,3,4,5,6];3:[0,2,3];0:[0,3,4];5:[0,3];2:[0,2,3,4,6];9:[0,2,3,5,6];7:[4];6:[0,3,4,6]","c4:bw=10,experts=[4]; c8:bw=37,experts=[0,3,6]; c1:bw=58,experts=[0,3,4,5,6]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[0,3,4]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,4,6]; c9:bw=59,experts=[0,2,3,5,6]; c7:bw=15,experts=[4]; c6:bw=41,experts=[0,3,4,6]","2.2323,5.1703,14.5814,0.4538,4.8061,4.5805,0.2132,3.7352,2.7121,1.4013"
9,2026-09-21 09:46:38,Ours,0.01,1.152146697281375,36.66,36.66,9,40.8686,0:40.87,39.7642,0.197,0.9065,379.762,6:19.76,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,5,7];4:[0,2,3,5,7];9:[0,3];8:[4];6:[0,2,3];7:[0,2,3,7];5:[0,2,3,5,7];1:[3];3:[3,5]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,5,7]; c4:bw=59,experts=[0,2,3,5,7]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,3,7]; c5:bw=52,experts=[0,2,3,5,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[3,5]","0.2174,4.8528,2.2554,3.7667,5.2042,1.4037,2.7374,4.5250,14.3511,0.4504"
10,2026-09-21 09:47:34,Ours,0.01,1.1385459053185454,39.01,39.01,10,55.8641,0:55.86,54.1641,0.2841,1.4072,435.6391,7:15.64,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,3,6];0:[0,1,2,3,5];6:[0,1,2,3,5,7];3:[0,2,3,6];5:[0,2,3,5,6];8:[0,2,3];9:[0,2,3];1:[0,2,3,7]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,3,6]; c0:bw=59,experts=[0,1,2,3,5]; c6:bw=65,experts=[0,1,2,3,5,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,2,3,5,6]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,7]","2.2429,0.2155,2.7224,4.8086,1.4011,0.4455,4.4975,7.0799,6.2736,24.4771"
