Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 08:18:06,Ours,0.00208,1.4121690820633814,27.73,27.73,1,42.5703,0:42.57,41.5016,0.1221,0.9458,42.5703,0:42.57,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","5.7321,14.4173,4.9349,5.0381,2.7660,0.2534,4.1370,2.2763,0.4995,1.4470"
2,2026-09-21 08:18:47,Ours,0.00406,1.2673217475574123,35.67,35.67,2,40.9692,0:40.97,39.938,0.1194,0.9069,83.7561,1:23.76,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,4];8:[0,1,2,3];5:[0,2,3,4,6,7];3:[0,1,2,3,4,6];4:[0,2,3];7:[0,2,3,4,6];9:[0,2,3,4];6:[3];2:[2,3]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]; c8:bw=48,experts=[0,1,2,3]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,1,2,3,4,6]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,4,6]; c9:bw=46,experts=[0,2,3,4]; c6:bw=17,experts=[3]; c2:bw=22,experts=[2,3]","4.8760,14.4355,5.1854,4.7053,0.4517,2.2183,2.6900,3.7508,1.4093,0.2157"
3,2026-09-21 08:19:28,Ours,0.006040000000000001,1.1548167550827713,40.78,40.78,3,41.2409,0:41.24,40.2077,0.1248,0.9077,125.0088,2:05.01,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,4];2:[0,2,3,5];0:[0,1,2,3,4];6:[0,2,3,4];8:[0,2,3];5:[3];3:[0,3];7:[0,2,3];1:[3];4:[0,1,2,3,4]","c9:bw=48,experts=[0,2,3,4]; c2:bw=42,experts=[0,2,3,5]; c0:bw=50,experts=[0,1,2,3,4]; c6:bw=40,experts=[0,2,3,4]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,1,2,3,4]","3.7764,0.2139,4.8418,1.4266,5.2056,4.4930,0.4512,2.7486,14.7911,2.2594"
4,2026-09-21 08:20:09,Ours,0.00802,1.1000499643960169,43.25,43.25,4,41.2679,0:41.27,40.2308,0.1231,0.9133,166.2883,2:46.29,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,7];7:[0,2,3,7];6:[0,1,2,3,7];2:[0,1,2,3,5,7];8:[0,2,3];0:[0,1,2,3,7];3:[0,2,3];4:[0,1,2,3,7];5:[0,1,2,3,4,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,7]; c7:bw=45,experts=[0,2,3,7]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[0,1,2,3,5,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,7]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,3]","14.7402,2.7397,1.4087,0.2186,5.1143,4.9224,0.4435,2.2732,4.6091,3.7611"
5,2026-09-21 08:20:51,Ours,0.01,1.0791470201807218,45.16,45.16,5,42.0076,0:42.01,41.0062,0.12,0.8806,208.3083,3:28.31,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,7];4:[0,2,3,7];8:[0,2,3];0:[0,1,2,3,7];7:[0,3];6:[0,1,2,3,7];3:[0,1,2,3,5,7];2:[3];9:[0,1,2,3,4,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,7]; c4:bw=48,experts=[0,2,3,7]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,7]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,7]; c3:bw=63,experts=[0,1,2,3,5,7]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,7]","14.7947,4.9181,2.2913,5.2215,4.9540,2.7690,1.4353,0.4583,0.2152,3.9488"
6,2026-09-21 08:21:33,Ours,0.01,1.0593727265179689,50.0,50.0,6,41.7216,0:41.72,40.7129,0.1225,0.8854,250.0418,4:10.04,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,5,6,7];2:[0,2,3,7];5:[0,3];7:[0,2,3,5,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,2,3,5,6,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,5,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","5.1936,0.2159,4.7482,2.7534,0.4504,14.7224,3.9538,5.0085,2.2541,1.4125"
7,2026-09-21 08:22:16,Ours,0.01,1.0408162866747896,50.14,50.14,7,42.6883,0:42.69,41.689,0.1191,0.8795,292.7435,4:52.74,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,1,2,3];2:[0,2,3,7];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,7];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,1,2,3]; c2:bw=40,experts=[0,2,3,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,7]; c9:bw=10,experts=[3]","5.0652,4.8074,0.2185,1.4440,0.4521,2.8090,2.2772,15.3179,5.2103,4.0873"
8,2026-09-21 08:22:59,Ours,0.01,1.0871814104917523,50.33,50.33,8,42.7714,0:42.77,41.7654,0.1205,0.8848,335.5264,5:35.53,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[6];8:[0,2,3];1:[0,1,3,5,6];3:[0,2,3];0:[3,5,6];5:[0,3];2:[0,2,3,4,6];9:[0,1,2,3,6];7:[1];6:[0,2,3,6]","c4:bw=10,experts=[6]; c8:bw=37,experts=[0,2,3]; c1:bw=58,experts=[0,1,3,5,6]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[3,5,6]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,4,6]; c9:bw=59,experts=[0,1,2,3,6]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,2,3,6]","2.3326,5.3345,15.3380,0.4492,5.0497,4.8562,0.2080,4.0150,2.7446,1.4378"
9,2026-09-21 08:23:42,Ours,0.01,1.026039360884467,58.96,58.96,9,43.4035,0:43.40,42.3937,0.1232,0.8859,378.9436,6:18.94,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,1,2,3,7];4:[0,2,3,5,7];9:[3,5];8:[4];6:[0,3,5];7:[0,2,3,7];5:[0,2,3,5,7];1:[3];3:[0,3]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,1,2,3,7]; c4:bw=59,experts=[0,2,3,5,7]; c9:bw=26,experts=[3,5]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,2,3,7]; c5:bw=52,experts=[0,2,3,5,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,3]","0.2113,5.0931,2.3599,4.0266,5.2207,1.4571,2.8325,4.8816,15.8633,0.4475"
10,2026-09-21 08:24:25,Ours,0.01,0.9856849461082356,60.07,60.07,10,42.918,0:42.92,41.8859,0.1207,0.9107,421.8742,7:01.87,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[3,4,6];0:[0,1,2,3,7];6:[0,1,2,3,5,7];3:[0,3,4,6];5:[0,1,2,3,7];8:[0,1,3];9:[0,2,3];1:[0,2,3,4]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[3,4,6]; c0:bw=59,experts=[0,1,2,3,7]; c6:bw=65,experts=[0,1,2,3,5,7]; c3:bw=46,experts=[0,3,4,6]; c5:bw=58,experts=[0,1,2,3,7]; c8:bw=35,experts=[0,1,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]","2.3448,0.2103,2.7897,5.1535,1.4790,0.4483,4.8684,5.2904,4.0845,15.2171"
