Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 08:53:51,Ours,0.00208,1.4122003918502024,27.43,27.43,1,51.1414,0:51.14,47.9343,2.1664,1.037,51.1414,0:51.14,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","6.5450,16.4885,5.6603,5.7988,3.2350,0.3930,4.7414,2.6606,0.6725,1.7391"
2,2026-09-21 08:54:41,Ours,0.00406,1.2473599743010702,35.91,35.91,2,49.7624,0:49.76,46.6136,2.0881,1.0598,101.1154,1:41.12,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,4];8:[0,2,3,5];5:[0,2,3,4,6,7];3:[0,1,2,3,4,6];4:[0,2,3];7:[0,2,3,4,6];9:[0,2,3,4];6:[3];2:[2,3]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]; c8:bw=48,experts=[0,2,3,5]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,1,2,3,4,6]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,4,6]; c9:bw=46,experts=[0,2,3,4]; c6:bw=17,experts=[3]; c2:bw=22,experts=[2,3]","5.6347,16.7269,5.9869,5.2605,0.6242,2.6683,3.2496,4.4046,1.7044,0.3536"
3,2026-09-21 08:55:31,Ours,0.006040000000000001,1.1618177275426103,40.42,40.42,3,50.0073,0:50.01,46.8232,2.1251,1.0582,151.1348,2:31.13,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,4];2:[0,2,3,5];0:[0,2,3,4,7];6:[0,2,3,4];8:[0,2,3];5:[3];3:[2,3];7:[0,2,3];1:[3];4:[0,2,3,4,5]","c9:bw=48,experts=[0,2,3,4]; c2:bw=42,experts=[0,2,3,5]; c0:bw=50,experts=[0,2,3,4,7]; c6:bw=40,experts=[0,2,3,4]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[2,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,2,3,4,5]","4.4307,0.3550,5.6536,1.7217,5.9928,5.2961,0.6172,3.2517,16.8198,2.6845"
4,2026-09-21 08:56:22,Ours,0.00802,1.1051794927340042,42.61,42.61,4,50.2863,0:50.29,47.1605,2.0702,1.0547,201.4332,3:21.43,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,7];7:[0,2,3,7];6:[0,2,3,5,7];2:[0,2,3,4,5,7];8:[0,2,3];0:[0,2,3,5,7];3:[0,2,3];4:[0,2,3,5,7];5:[0,1,2,3,4,5,7];9:[2,3]","c1:bw=40,experts=[0,2,3,7]; c7:bw=45,experts=[0,2,3,7]; c6:bw=53,experts=[0,2,3,5,7]; c2:bw=60,experts=[0,2,3,4,5,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,5,7]; c5:bw=73,experts=[0,1,2,3,4,5,7]; c9:bw=22,experts=[2,3]","17.0880,3.2688,1.7263,0.3487,6.0097,5.6739,0.6183,2.6563,5.3203,4.4501"
5,2026-09-21 08:57:12,Ours,0.01,1.0928428849811012,44.9,44.9,5,50.5398,0:50.54,47.3851,2.0894,1.0644,251.9876,4:11.99,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[2,3];5:[0,2,3,5];4:[0,2,3,5];8:[0,2,3];0:[0,2,3,5,7];7:[2,3];6:[0,2,3,5,7];3:[0,2,3,4,5,7];2:[3];9:[0,1,2,3,4,5]","c1:bw=20,experts=[2,3]; c5:bw=40,experts=[0,2,3,5]; c4:bw=48,experts=[0,2,3,5]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,5,7]; c7:bw=24,experts=[2,3]; c6:bw=53,experts=[0,2,3,5,7]; c3:bw=63,experts=[0,2,3,4,5,7]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,5]","17.1404,5.4176,2.6678,6.0150,5.6294,3.2636,1.7126,0.6277,0.3549,4.5560"
6,2026-09-21 08:58:04,Ours,0.01,1.062104110622436,49.23,49.23,6,51.3952,0:51.40,48.2155,2.1322,1.0467,303.4004,5:03.40,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,5,7];2:[0,2,3,7];5:[2,3];7:[0,1,2,3,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,5];0:[0,2,3];4:[3];6:[2,3]","c8:bw=67,experts=[0,1,2,3,5,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[2,3]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,5]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[2,3]","6.1516,0.3561,5.4394,3.3469,0.6264,17.4241,4.5941,5.8304,2.7246,1.7217"
7,2026-09-21 08:58:55,Ours,0.01,1.0520658441073474,51.74,51.74,7,51.7466,0:51.75,48.4826,2.1809,1.0823,355.1627,5:55.16,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,7];2:[0,2,3,7];6:[3];3:[2,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,7];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,7]; c2:bw=40,experts=[0,2,3,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[2,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,7]; c9:bw=10,experts=[3]","5.9388,5.5028,0.3671,1.8076,0.6508,3.2910,2.7492,17.3981,6.1922,4.5849"
8,2026-09-21 08:59:48,Ours,0.01,1.0919011266880552,52.08,52.08,8,52.2589,0:52.26,49.03,2.1592,1.0689,407.4344,6:47.43,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[2,3,6];1:[1,2,3,5,6];3:[0,2,3];0:[1,3,6];5:[2,3];2:[0,1,2,3,6];9:[0,2,3,6,7];7:[5];6:[0,1,3,6]","c4:bw=10,experts=[1]; c8:bw=37,experts=[2,3,6]; c1:bw=58,experts=[1,2,3,5,6]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[1,3,6]; c5:bw=28,experts=[2,3]; c2:bw=54,experts=[0,1,2,3,6]; c9:bw=59,experts=[0,2,3,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,1,3,6]","2.7262,6.3188,17.7772,0.6558,5.9207,5.4958,0.3577,4.5942,3.3904,1.7932"
9,2026-09-21 09:00:40,Ours,0.01,1.062542553072273,55.36,55.36,9,52.4856,0:52.49,49.258,2.163,1.0638,459.9328,7:39.93,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,3];0:[0,2,3,5,7];4:[0,2,3,6,7];9:[2,3];8:[4];6:[0,2,3];7:[0,2,3,7];5:[0,2,3,5,7];1:[3];3:[2,3]","c2:bw=21,experts=[2,3]; c0:bw=52,experts=[0,2,3,5,7]; c4:bw=59,experts=[0,2,3,6,7]; c9:bw=26,experts=[2,3]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,3,7]; c5:bw=52,experts=[0,2,3,5,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[2,3]","0.3603,5.9511,2.7916,4.6408,6.2940,1.8273,3.4324,5.5944,17.7138,0.6523"
10,2026-09-21 09:01:33,Ours,0.01,1.0310722324338335,56.61,56.61,10,52.4413,0:52.44,49.2729,2.0939,1.0737,512.3884,8:32.39,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[3,4,6];0:[0,1,2,3,7];6:[0,1,2,3,4,7];3:[1,2,3,6];5:[0,2,3,6,7];8:[0,2,3];9:[0,2,3];1:[0,2,3,4]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[3,4,6]; c0:bw=59,experts=[0,1,2,3,7]; c6:bw=65,experts=[0,1,2,3,4,7]; c3:bw=46,experts=[1,2,3,6]; c5:bw=58,experts=[0,2,3,6,7]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,4]","2.8105,0.3623,3.3701,5.9249,1.8340,0.6482,5.5769,6.3078,4.6883,17.7498"
11,2026-09-21 09:02:25,Ours,0.01,1.0571017890033834,55.31,56.61,10,52.4552,0:52.46,49.22,2.1609,1.0735,564.8583,9:24.86,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[2,3];2:[0,3];7:[0,2,3,7];3:[0,2,3,5,7];0:[3,4];8:[0,2,3];9:[0,2,3];6:[0,1,2,3,7];1:[0,2,3,7];4:[4]","c5:bw=28,experts=[2,3]; c2:bw=27,experts=[0,3]; c7:bw=44,experts=[0,2,3,7]; c3:bw=50,experts=[0,2,3,5,7]; c0:bw=28,experts=[3,4]; c8:bw=39,experts=[0,2,3]; c9:bw=33,experts=[0,2,3]; c6:bw=55,experts=[0,1,2,3,7]; c1:bw=40,experts=[0,2,3,7]; c4:bw=16,experts=[4]","5.5594,0.3605,3.4133,0.6495,5.8759,6.3090,4.6550,1.8223,17.8081,2.7669"
12,2026-09-21 09:03:18,Ours,0.01,0.9920952156118281,59.26,59.26,12,52.7263,0:52.73,49.4984,2.1208,1.1063,617.598,10:17.60,10,"1,5,2,4,3,7,9,6,8,0",1:42;5:56;2:57;4:28;3:35;7:30;9:42;6:29;8:55;0:49,"1:[0,2,3,7];5:[0,1,2,3,4];2:[0,2,3,4,5];4:[2,3];3:[0,2,3];7:[0,2,3];9:[0,2,3,7];6:[0,3];8:[0,2,3,5,7];0:[0,2,3,7]","c1:bw=42,experts=[0,2,3,7]; c5:bw=56,experts=[0,1,2,3,4]; c2:bw=57,experts=[0,2,3,4,5]; c4:bw=28,experts=[2,3]; c3:bw=35,experts=[0,2,3]; c7:bw=30,experts=[0,2,3]; c9:bw=42,experts=[0,2,3,7]; c6:bw=29,experts=[0,3]; c8:bw=55,experts=[0,2,3,5,7]; c0:bw=49,experts=[0,2,3,7]","17.8776,5.6046,0.3710,2.8032,0.6416,3.4177,4.6804,1.8111,6.3502,5.9409"
