Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 13:27:05,Ours,0.00208,3.711176785287672,1.86,1.86,1,52.1447,0:52.14,50.8283,0.1887,1.1265,52.1447,0:52.14,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","5.6798,4.3761,5.9364,4.6559,4.4545,3.7586,3.4766,6.9020,4.9438,6.6445"
2,2026-09-21 13:27:57,Ours,0.00406,3.3044618831480967,3.86,3.86,2,52.3224,0:52.32,51.008,0.1824,1.1306,104.6765,1:44.68,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,2,4,5,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,2,4,5,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","4.6640,4.2848,5.3580,6.2878,5.0682,6.7151,4.6667,3.5246,6.7118,3.7271"
3,2026-09-21 13:28:49,Ours,0.006040000000000001,3.175023033851528,4.96,4.96,3,51.5764,0:51.58,50.2547,0.1802,1.14,156.2658,2:36.27,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,4,6];2:[0,2,4,6];0:[0,2,3,4,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,2,3,4,6]","c9:bw=48,experts=[2,3,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,2,3,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,2,3,4,6]","3.5060,3.7360,4.5763,6.6249,5.2149,6.0754,5.0320,4.5423,4.2416,6.7053"
4,2026-09-21 13:29:41,Ours,0.00802,3.0736570922186806,5.12,5.12,4,52.1411,0:52.14,50.8063,0.1836,1.1499,208.4189,3:28.42,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,3,4,6];7:[2,3,4,6];6:[2,3,4,6,7];2:[2,3,4,5,6,7];8:[2,4,6];0:[2,3,4,6,7];3:[2,4,6];4:[2,3,4,6,7];5:[1,2,3,4,5,6,7];9:[2,4]","c1:bw=40,experts=[2,3,4,6]; c7:bw=45,experts=[2,3,4,6]; c6:bw=53,experts=[2,3,4,6,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[2,3,4,6,7]; c5:bw=73,experts=[1,2,3,4,5,6,7]; c9:bw=22,experts=[2,4]","4.3464,4.6079,6.7386,3.7559,5.2437,4.6034,5.0798,6.7967,6.1761,3.4577"
5,2026-09-21 13:30:34,Ours,0.01,2.976903571061907,5.48,5.48,5,52.4095,0:52.41,51.0796,0.1747,1.1539,260.8403,4:20.84,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[2,4];5:[2,3,4,6];4:[2,3,4,6];8:[2,4,6];0:[2,3,4,6,7];7:[2,4];6:[2,3,4,6,7];3:[1,2,3,4,6,7];2:[4];9:[1,2,3,4,6,7]","c1:bw=20,experts=[2,4]; c5:bw=40,experts=[2,3,4,6]; c4:bw=48,experts=[2,3,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[2,3,4,6,7]; c7:bw=24,experts=[2,4]; c6:bw=53,experts=[2,3,4,6,7]; c3:bw=63,experts=[1,2,3,4,6,7]; c2:bw=10,experts=[4]; c9:bw=62,experts=[1,2,3,4,6,7]","4.3406,6.2414,6.8424,5.3075,4.6719,4.5879,6.7305,5.1049,3.7453,3.5070"
6,2026-09-21 13:31:26,Ours,0.01,2.8686642328271335,10.07,10.07,6,52.137,0:52.14,50.7976,0.1891,1.149,312.989,5:12.99,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,6,7];2:[2,3,4,6];5:[2,4];7:[2,3,4,6,7];3:[2,3,4];1:[2,4,7];9:[2,3,4,6];0:[2,3,4];4:[4];6:[2,4]","c8:bw=67,experts=[0,2,3,4,6,7]; c2:bw=42,experts=[2,3,4,6]; c5:bw=27,experts=[2,4]; c7:bw=58,experts=[2,3,4,6,7]; c3:bw=36,experts=[2,3,4]; c1:bw=32,experts=[2,4,7]; c9:bw=48,experts=[2,3,4,6]; c0:bw=31,experts=[2,3,4]; c4:bw=17,experts=[4]; c6:bw=20,experts=[2,4]","5.3498,3.7678,6.1761,4.5920,5.1215,4.3171,3.5074,4.6521,6.6511,6.6626"
7,2026-09-21 13:32:17,Ours,0.01,2.750445986038248,12.17,12.17,7,51.6635,0:51.66,50.3325,0.1711,1.1537,364.6662,6:04.67,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[2,4,6,7];2:[2,4,6,7];6:[4];3:[2,4];7:[2,4,6];4:[4];1:[4];8:[2,3,4,6,7];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[2,4,6,7]; c2:bw=40,experts=[2,4,6,7]; c6:bw=13,experts=[4]; c3:bw=26,experts=[2,4]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[2,3,4,6,7]; c9:bw=10,experts=[4]","4.6285,6.1666,3.7500,6.6100,5.0475,4.5715,6.6329,4.2221,5.2574,3.4460"
8,2026-09-21 13:33:09,Ours,0.01,2.7476344888060114,15.47,15.47,8,51.4965,0:51.50,50.138,0.1907,1.1666,416.1748,6:56.17,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[2,4,6];1:[1,2,4,5,6];3:[2,4,6];0:[1,4,5];5:[2,4];2:[1,2,4,6,7];9:[2,4,5,6,7];7:[1];6:[2,4,5,6]","c4:bw=10,experts=[5]; c8:bw=37,experts=[2,4,6]; c1:bw=58,experts=[1,2,4,5,6]; c3:bw=37,experts=[2,4,6]; c0:bw=32,experts=[1,4,5]; c5:bw=28,experts=[2,4]; c2:bw=54,experts=[1,2,4,6,7]; c9:bw=59,experts=[2,4,5,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[2,4,5,6]","6.6691,5.2661,4.2460,5.0202,4.6016,6.1301,3.7138,3.4559,4.4582,6.5770"
9,2026-09-21 13:34:00,Ours,0.01,2.5737278052326924,20.97,20.97,9,51.4047,0:51.40,50.0939,0.179,1.1305,467.5926,7:47.59,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[2,3,4,6,7];4:[1,2,4,6,7];9:[2,4];8:[1];6:[1,2,4];7:[2,4,6,7];5:[2,3,4,6,7];1:[4];3:[2,4]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[2,3,4,6,7]; c4:bw=59,experts=[1,2,4,6,7]; c9:bw=26,experts=[2,4]; c8:bw=18,experts=[1]; c6:bw=31,experts=[1,2,4]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[2,3,4,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[2,4]","3.7040,4.6476,6.6765,3.4736,5.1602,6.5639,4.5356,6.1350,4.1879,5.0096"
10,2026-09-21 13:34:52,Ours,0.01,2.4362421084619963,21.58,21.58,10,51.5413,0:51.54,50.2224,0.1821,1.1355,519.1469,8:39.15,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,7];2:[2,4,6];7:[0,4,5];0:[2,3,4,6,7];6:[0,2,3,4,6,7];3:[0,2,4,5];5:[0,2,4,6,7];8:[2,4,5];9:[0,2,4];1:[0,2,4,6]","c4:bw=37,experts=[2,4,7]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[0,4,5]; c0:bw=59,experts=[2,3,4,6,7]; c6:bw=65,experts=[0,2,3,4,6,7]; c3:bw=46,experts=[0,2,4,5]; c5:bw=58,experts=[0,2,4,6,7]; c8:bw=35,experts=[2,4,5]; c9:bw=35,experts=[0,2,4]; c1:bw=41,experts=[0,2,4,6]","6.7255,3.7159,4.5399,4.6392,6.6192,4.9997,6.1121,5.2079,3.4471,4.2158"
