Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 12:08:19,Ours,0.00208,3.711766209877182,1.03,1.03,1,52.0163,0:52.02,50.6964,0.1776,1.1411,52.0163,0:52.02,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","5.6648,4.3842,5.9564,4.6631,4.4472,3.7396,3.4390,6.8878,4.9307,6.5836"
2,2026-09-21 12:09:12,Ours,0.00406,3.48956879153753,1.06,1.06,2,52.9561,0:52.96,51.6603,0.1731,1.1213,105.1833,1:45.18,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,1,4];1:[0,1,4,5];8:[0,1,4,5];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[0,1,4];7:[0,1,2,4,5];9:[0,1,4,5];6:[4];2:[1,4]","c0:bw=36,experts=[0,1,4]; c1:bw=41,experts=[0,1,4,5]; c8:bw=48,experts=[0,1,4,5]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,1,4]; c7:bw=55,experts=[0,1,2,4,5]; c9:bw=46,experts=[0,1,4,5]; c6:bw=17,experts=[4]; c2:bw=22,experts=[1,4]","4.8149,4.4417,5.4742,6.3881,4.8553,6.8631,4.5860,3.6121,6.8191,3.8057"
3,2026-09-21 12:10:06,Ours,0.006040000000000001,3.3773566445266234,1.12,1.12,3,53.7021,0:53.70,52.4146,0.1652,1.1209,158.8982,2:38.90,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,5];2:[0,1,4,5];0:[0,1,2,4,5];6:[0,1,4,5];8:[0,1,4];5:[4];3:[0,4];7:[0,1,4];1:[4];4:[0,1,2,4,5]","c9:bw=48,experts=[0,1,4,5]; c2:bw=42,experts=[0,1,4,5]; c0:bw=50,experts=[0,1,2,4,5]; c6:bw=40,experts=[0,1,4,5]; c8:bw=30,experts=[0,1,4]; c5:bw=13,experts=[4]; c3:bw=26,experts=[0,4]; c7:bw=33,experts=[0,1,4]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,5]","3.6644,3.8917,4.8763,6.9019,5.4467,6.4066,5.2481,4.5887,4.4094,6.9809"
4,2026-09-21 12:11:00,Ours,0.00802,3.3237631530837874,1.52,1.52,4,54.3747,0:54.37,53.1001,0.1591,1.114,213.2854,3:33.29,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,5];7:[0,1,4,5];6:[0,1,4,5,6];2:[0,1,2,4,5,6];8:[0,1,4];0:[0,1,4,5,6];3:[0,1,4];4:[0,1,4,5,6];5:[0,1,2,4,5,6,7];9:[0,4]","c1:bw=40,experts=[0,1,4,5]; c7:bw=45,experts=[0,1,4,5]; c6:bw=53,experts=[0,1,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[0,1,4]; c0:bw=59,experts=[0,1,4,5,6]; c3:bw=34,experts=[0,1,4]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[0,4]","4.5161,4.6677,6.9706,3.9566,5.5425,4.8987,5.3325,7.0578,6.5485,3.6093"
5,2026-09-21 12:11:54,Ours,0.01,3.288440608185637,1.1,1.52,4,54.4654,0:54.47,53.1592,0.168,1.1368,267.7629,4:27.76,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,4];5:[0,1,4,5];4:[0,1,4,5];8:[0,1,4];0:[0,1,4,5,6];7:[0,4];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[0,4]; c5:bw=40,experts=[0,1,4,5]; c4:bw=48,experts=[0,1,4,5]; c8:bw=37,experts=[0,1,4]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[0,4]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","4.4597,6.5481,7.0964,5.5177,4.9100,4.7815,6.9836,5.3365,3.8695,3.6563"
6,2026-09-21 12:12:49,Ours,0.01,3.256271294963863,1.36,1.52,4,54.451,0:54.45,53.1643,0.17,1.1153,322.2257,5:22.23,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,1,4,5];5:[0,4];7:[0,1,4,5,6];3:[0,4,5];1:[0,4,5];9:[0,1,4,5];0:[0,4,5];4:[4];6:[0,4]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,1,4,5]; c5:bw=27,experts=[0,4]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[0,4,5]; c1:bw=32,experts=[0,4,5]; c9:bw=48,experts=[0,1,4,5]; c0:bw=31,experts=[0,4,5]; c4:bw=17,experts=[4]; c6:bw=20,experts=[0,4]","5.5803,3.9467,6.4970,4.8178,5.3414,4.4844,3.6465,4.8866,7.0311,6.9323"
7,2026-09-21 12:13:43,Ours,0.01,3.223996152180722,1.64,1.64,7,54.2216,0:54.22,52.9208,0.1636,1.1358,376.4601,6:16.46,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,1,4];5:[0,1,4,5];2:[0,1,4,5];6:[4];3:[1,4];7:[0,1,4];4:[4];1:[4];8:[0,1,4,5,6];9:[4]","c0:bw=36,experts=[0,1,4]; c5:bw=49,experts=[0,1,4,5]; c2:bw=40,experts=[0,1,4,5]; c6:bw=13,experts=[4]; c3:bw=26,experts=[1,4]; c7:bw=31,experts=[0,1,4]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,4,5,6]; c9:bw=10,experts=[4]","4.9181,6.5130,3.9006,6.8778,5.2533,4.7652,7.0611,4.4734,5.5636,3.5947"
8,2026-09-21 12:14:38,Ours,0.01,3.3196372683545414,3.21,3.21,8,54.3854,0:54.39,53.0652,0.1634,1.1555,430.8585,7:10.86,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[0,3,4,6,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[0,3,4,5,7];9:[0,3,4,5,7];7:[3];6:[0,3,4,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[0,3,4,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[0,3,4,5,7]; c9:bw=59,experts=[0,3,4,5,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[0,3,4,7]","6.9578,5.5496,4.5401,5.3006,4.8883,6.4866,3.9060,3.6705,4.7912,6.9745"
9,2026-09-21 12:15:32,Ours,0.01,3.213768297705746,4.59,4.59,9,54.8854,0:54.89,53.5733,0.1634,1.1473,485.7575,8:05.76,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,1,4,5,6];4:[0,1,4,6,7];9:[0,4];8:[4];6:[0,2,4];7:[0,1,4,7];5:[0,1,4,5,6];1:[2];3:[0,4]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[0,1,4,6,7]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,4]; c7:bw=46,experts=[0,1,4,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[2]; c3:bw=23,experts=[0,4]","3.9228,4.9418,7.1968,3.6949,5.5247,7.0088,4.8321,6.5776,4.5020,5.3718"
10,2026-09-21 12:16:27,Ours,0.01,3.122223804535289,5.54,5.54,10,54.9453,0:54.95,53.6218,0.1657,1.1564,540.7158,9:00.72,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,5,6];2:[4,5,6];7:[2,4,6];0:[0,1,4,5,6];6:[0,1,4,5,6,7];3:[1,4,5,6];5:[1,4,5,6,7];8:[1,4,6];9:[4,5,6];1:[1,4,5,6]","c4:bw=37,experts=[4,5,6]; c2:bw=34,experts=[4,5,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,4,5,6,7]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[1,4,5,6,7]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[4,5,6]; c1:bw=41,experts=[1,4,5,6]","7.1603,3.9597,4.8534,4.9325,7.0390,5.3567,6.5298,5.5486,3.6854,4.5565"
