Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 10:51:42,Ours,0.00208,3.9686064787668607,1.21,1.21,1,52.7663,0:52.77,51.4658,0.135,1.164,52.7663,0:52.77,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,6,7];1:[2,6];5:[0,3,5,7];0:[7];7:[4,5];2:[2,3];9:[0,1,6,7];4:[0,5,6,7];3:[0,1,2,4,6];6:[0,4,6,7]","c8:bw=55,experts=[0,2,3,6,7]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[0,3,5,7]; c0:bw=10,experts=[7]; c7:bw=20,experts=[4,5]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,1,6,7]; c4:bw=40,experts=[0,5,6,7]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[0,4,6,7]","7.0812,4.1591,6.0334,4.5643,4.3845,3.8111,3.5035,6.5069,4.8348,6.5870"
2,2026-09-21 10:52:33,Ours,0.00406,3.5454841263586845,2.73,2.73,2,50.5681,0:50.57,49.2945,0.1307,1.1415,103.6622,1:43.66,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[5,6,7];1:[2,3,4,5];8:[0,2,3,4];5:[1,2,4,5,6,7];3:[0,1,2,3,5,6];4:[0,2,4];7:[0,1,2,3,7];9:[2,3,4,7];6:[3];2:[3,7]","c0:bw=36,experts=[5,6,7]; c1:bw=41,experts=[2,3,4,5]; c8:bw=48,experts=[0,2,3,4]; c5:bw=69,experts=[1,2,4,5,6,7]; c3:bw=67,experts=[0,1,2,3,5,6]; c4:bw=30,experts=[0,2,4]; c7:bw=55,experts=[0,1,2,3,7]; c9:bw=46,experts=[2,3,4,7]; c6:bw=17,experts=[3]; c2:bw=22,experts=[3,7]","4.4728,4.2280,5.1517,5.9524,4.7664,6.6818,4.4901,3.2825,6.6102,3.6585"
3,2026-09-21 10:53:23,Ours,0.006040000000000001,3.539446246786601,3.44,3.44,3,49.8146,0:49.81,48.5527,0.1308,1.1298,153.4898,2:33.49,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,5,7];2:[0,2,4,6];0:[1,2,3,5,6];6:[0,1,2,3];8:[0,2,3];5:[6];3:[2,5];7:[1,2,5];1:[1];4:[2,4,5,6,7]","c9:bw=48,experts=[2,3,5,7]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[1,2,3,5,6]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[6]; c3:bw=26,experts=[2,5]; c7:bw=33,experts=[1,2,5]; c1:bw=13,experts=[1]; c4:bw=52,experts=[2,4,5,6,7]","3.3778,3.6686,4.4368,6.2635,5.1287,5.7915,4.8929,4.3364,4.1346,6.5220"
4,2026-09-21 10:54:14,Ours,0.00802,3.240600891192775,7.08,7.08,4,51.2647,0:51.26,49.9973,0.1276,1.1384,204.767,3:24.77,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,7];7:[1,3,4,5];6:[0,3,5,6,7];2:[0,1,3,4,5,7];8:[1,3,6];0:[2,3,4,6,7];3:[0,4,5];4:[0,2,3,6,7];5:[0,1,2,3,4,5,6];9:[0,6]","c1:bw=40,experts=[1,2,4,7]; c7:bw=45,experts=[1,3,4,5]; c6:bw=53,experts=[0,3,5,6,7]; c2:bw=60,experts=[0,1,3,4,5,7]; c8:bw=31,experts=[1,3,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[0,4,5]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,6]","4.2485,4.4968,6.5558,3.5082,5.3690,4.5208,5.0156,6.5720,6.2837,3.4267"
5,2026-09-21 10:55:05,Ours,0.01,3.259268655021309,6.68,7.08,4,50.7291,0:50.73,49.4543,0.1338,1.1395,255.5078,4:15.51,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[1,7];5:[1,4,5,6];4:[1,2,5,7];8:[1,2,6];0:[0,1,3,4,6];7:[1,6];6:[1,2,4,6,7];3:[0,1,4,5,6,7];2:[1];9:[0,1,3,5,6,7]","c1:bw=20,experts=[1,7]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,2,5,7]; c8:bw=37,experts=[1,2,6]; c0:bw=50,experts=[0,1,3,4,6]; c7:bw=24,experts=[1,6]; c6:bw=53,experts=[1,2,4,6,7]; c3:bw=63,experts=[0,1,4,5,6,7]; c2:bw=10,experts=[1]; c9:bw=62,experts=[0,1,3,5,6,7]","4.2448,6.1158,6.5924,5.0243,4.4787,4.3437,6.4721,5.1892,3.5534,3.4398"
6,2026-09-21 10:55:56,Ours,0.01,3.2332728796041876,9.6,9.6,6,50.8187,0:50.82,49.5722,0.1305,1.1148,306.3397,5:06.34,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,4,5,6,7];2:[2,4,6,7];5:[3,4];7:[1,3,5,6,7];3:[4,5,7];1:[1,2,4];9:[0,3,4,5];0:[4,5,7];4:[5];6:[3,5]","c8:bw=67,experts=[0,1,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[1,3,5,6,7]; c3:bw=36,experts=[4,5,7]; c1:bw=32,experts=[1,2,4]; c9:bw=48,experts=[0,3,4,5]; c0:bw=31,experts=[4,5,7]; c4:bw=17,experts=[5]; c6:bw=20,experts=[3,5]","5.2830,3.5630,6.1791,4.4256,4.9815,4.2616,3.2849,4.5841,6.4818,6.5274"
7,2026-09-21 10:56:45,Ours,0.01,3.191640923151695,9.55,9.6,6,49.4833,0:49.48,48.2071,0.1437,1.1281,355.8353,5:55.84,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,7];5:[0,2,4,7];2:[0,3,6,7];6:[6];3:[4,5];7:[1,2,5];4:[1];1:[0];8:[0,3,4,5,7];9:[6]","c0:bw=36,experts=[0,4,7]; c5:bw=49,experts=[0,2,4,7]; c2:bw=40,experts=[0,3,6,7]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[1,2,5]; c4:bw=14,experts=[1]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,3,4,5,7]; c9:bw=10,experts=[6]","4.4975,5.8369,3.4989,6.3791,4.8057,4.4758,6.4207,4.0440,4.9718,3.2768"
8,2026-09-21 10:57:35,Ours,0.01,3.195145990117166,9.95,9.95,8,49.9612,0:49.96,48.6287,0.153,1.1782,405.8086,6:45.81,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,1,7];1:[0,2,3,6,7];3:[1,6,7];0:[4,5,6];5:[2,7];2:[2,4,5,6,7];9:[0,1,2,4,6];7:[2];6:[1,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,1,7]; c1:bw=58,experts=[0,2,3,6,7]; c3:bw=37,experts=[1,6,7]; c0:bw=32,experts=[4,5,6]; c5:bw=28,experts=[2,7]; c2:bw=54,experts=[2,4,5,6,7]; c9:bw=59,experts=[0,1,2,4,6]; c7:bw=15,experts=[2]; c6:bw=41,experts=[1,3,5,7]","6.3936,4.9531,4.0190,4.7936,4.3511,5.8010,3.6390,3.4314,4.6164,6.6304"
9,2026-09-21 10:58:25,Ours,0.01,2.9518661981509338,15.79,15.79,9,49.2761,0:49.28,47.9908,0.141,1.1431,455.0985,7:35.10,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[0,3,4,5,6];4:[1,2,3,4,6];9:[4,5];8:[1];6:[2,5,7];7:[0,1,4,5];5:[2,3,4,5,6];1:[1];3:[6,7]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[0,3,4,5,6]; c4:bw=59,experts=[1,2,3,4,6]; c9:bw=26,experts=[4,5]; c8:bw=18,experts=[1]; c6:bw=31,experts=[2,5,7]; c7:bw=46,experts=[0,1,4,5]; c5:bw=52,experts=[2,3,4,5,6]; c1:bw=14,experts=[1]; c3:bw=23,experts=[6,7]","3.5093,4.4232,6.3634,3.2728,5.1698,6.3124,4.2820,5.8639,4.0202,4.7738"
10,2026-09-21 10:59:14,Ours,0.01,2.826261967569498,17.52,17.52,10,49.1907,0:49.19,47.9343,0.1428,1.1124,504.3025,8:24.30,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,3,5];2:[1,3,4];7:[1,5,6];0:[1,3,4,6,7];6:[1,2,4,5,6,7];3:[1,3,4,5];5:[0,3,5,6,7];8:[0,1,5];9:[2,4,7];1:[0,1,4,7]","c4:bw=37,experts=[1,3,5]; c2:bw=34,experts=[1,3,4]; c7:bw=37,experts=[1,5,6]; c0:bw=59,experts=[1,3,4,6,7]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[1,3,4,5]; c5:bw=58,experts=[0,3,5,6,7]; c8:bw=35,experts=[0,1,5]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,1,4,7]","6.3790,3.5102,4.3180,4.3620,6.2738,4.7584,5.8036,5.2394,3.2709,4.0191"
