Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 14:53:59,Ours,0.00208,3.5480690835083037,2.91,2.91,1,42.5272,0:42.53,41.471,0.1577,0.8977,42.5272,0:42.53,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","4.7077,3.4555,5.1492,3.8355,3.7007,2.9686,2.9662,5.3115,4.0922,5.2839"
2,2026-09-21 14:54:42,Ours,0.00406,3.217341582534921,4.67,4.67,2,42.7365,0:42.74,41.6973,0.1462,0.8921,85.4801,1:25.48,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,6];5:[0,1,2,3,4,6];3:[0,2,3,4,6,7];4:[0,2,3];7:[0,2,3,4,6];9:[0,2,3,6];6:[2];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,1,2,3,4,6]; c3:bw=67,experts=[0,2,3,4,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,4,6]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,2]","3.9598,3.3389,4.2706,5.3946,4.4226,5.7119,3.7703,2.7407,5.1137,2.9742"
3,2026-09-21 14:55:24,Ours,0.006040000000000001,3.089981405076762,5.82,5.82,3,41.9994,0:42.00,40.9395,0.1555,0.9036,127.4939,2:07.49,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,4];2:[0,2,3,4];0:[0,2,3,4,6];6:[0,2,3,4];8:[0,2,3];5:[3];3:[2,3];7:[0,2,3];1:[3];4:[0,2,3,4,6]","c9:bw=48,experts=[0,2,3,4]; c2:bw=42,experts=[0,2,3,4]; c0:bw=50,experts=[0,2,3,4,6]; c6:bw=40,experts=[0,2,3,4]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[2,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,2,3,4,6]","2.7492,2.9864,3.8208,5.1939,4.3295,5.3792,4.1011,3.5939,3.3181,5.4673"
4,2026-09-21 14:56:05,Ours,0.00802,2.9896680171729004,9.13,9.13,4,40.878,0:40.88,39.8479,0.1418,0.8876,168.3843,2:48.38,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,2,3,4,5,6];8:[0,2,3];0:[0,2,3,4,6];3:[0,2,3];4:[0,2,3,4,6];5:[0,1,2,3,4,5,6];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,2,3,4,5,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,4,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,3]","3.3613,3.5922,5.1839,2.9233,4.2652,3.6503,4.0513,5.2220,4.8682,2.7302"
5,2026-09-21 14:56:46,Ours,0.01,2.9214688592159295,9.82,9.82,5,41.2573,0:41.26,40.2007,0.1461,0.9097,209.6566,3:29.66,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[2,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,2,3,4,6];7:[2,3];6:[0,2,3,4,6];3:[0,2,3,4,5,6];2:[2];9:[0,2,3,4,5,6]","c1:bw=20,experts=[2,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,4,6]; c7:bw=24,experts=[2,3]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,2,3,4,5,6]; c2:bw=10,experts=[2]; c9:bw=62,experts=[0,2,3,4,5,6]","3.3575,4.8603,5.5460,4.4566,3.6347,3.5626,5.1471,3.9534,2.9279,2.7545"
6,2026-09-21 14:57:28,Ours,0.01,2.8062933279879134,11.65,11.65,6,41.6302,0:41.63,40.5772,0.145,0.9072,251.2995,4:11.30,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,4,6];2:[0,2,3,6];5:[2,3];7:[0,2,3,5,6];3:[0,2,3];1:[0,2,3];9:[0,2,3,6];0:[0,2,3];4:[3];6:[2,3]","c8:bw=67,experts=[0,1,2,3,4,6]; c2:bw=42,experts=[0,2,3,6]; c5:bw=27,experts=[2,3]; c7:bw=58,experts=[0,2,3,5,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[2,3]","4.5643,3.0128,4.8414,3.5778,3.9731,3.3323,2.7246,3.6313,5.7810,5.1385"
7,2026-09-21 14:58:10,Ours,0.01,2.7207800898448724,16.82,16.82,7,42.4259,0:42.43,41.3857,0.15,0.8895,293.7388,4:53.74,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[3];3:[2,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,6];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[3]; c3:bw=26,experts=[2,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,6]; c9:bw=10,experts=[3]","3.7853,5.1255,3.0793,5.2931,4.1328,3.6871,5.3987,3.4238,4.7581,2.7017"
8,2026-09-21 14:58:51,Ours,0.01,2.6945815931996124,16.47,16.82,7,41.3534,0:41.35,40.2046,0.2385,0.9095,335.1054,5:35.11,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[2,3,7];1:[1,3,4,5,7];3:[1,2,3];0:[1,5,7];5:[3,7];2:[0,1,2,3,7];9:[0,1,2,3,7];7:[1];6:[1,2,3,7]","c4:bw=10,experts=[1]; c8:bw=37,experts=[2,3,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[1,2,3]; c0:bw=32,experts=[1,5,7]; c5:bw=28,experts=[3,7]; c2:bw=54,experts=[0,1,2,3,7]; c9:bw=59,experts=[0,1,2,3,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[1,2,3,7]","5.2491,4.4492,3.3770,4.0693,3.6973,4.8752,2.9396,2.7844,3.5694,5.1942"
9,2026-09-21 14:59:33,Ours,0.01,2.5449886887609394,20.02,20.02,9,41.8174,0:41.82,40.7454,0.1445,0.9267,376.9372,6:16.94,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,3];0:[0,2,3,4,5];4:[0,2,3,5,7];9:[2,3];8:[2];6:[2,3,5];7:[0,2,3,7];5:[0,2,3,4,5];1:[2];3:[2,3]","c2:bw=21,experts=[2,3]; c0:bw=52,experts=[0,2,3,4,5]; c4:bw=59,experts=[0,2,3,5,7]; c9:bw=26,experts=[2,3]; c8:bw=18,experts=[2]; c6:bw=31,experts=[2,3,5]; c7:bw=46,experts=[0,2,3,7]; c5:bw=52,experts=[0,2,3,4,5]; c1:bw=14,experts=[2]; c3:bw=23,experts=[2,3]","2.9834,3.6644,5.4239,2.7176,4.3903,5.6802,3.8301,4.8204,3.3080,3.9272"
10,2026-09-21 15:00:15,Ours,0.01,2.437179820061835,22.69,22.69,10,41.5583,0:41.56,40.4625,0.1508,0.9443,418.51,6:58.51,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[2,3,4];0:[0,2,3,4,5];6:[0,2,3,4,5,6];3:[0,2,3,7];5:[0,2,3,4,5];8:[0,2,3];9:[0,2,3];1:[0,2,3,5]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[2,3,4]; c0:bw=59,experts=[0,2,3,4,5]; c6:bw=65,experts=[0,2,3,4,5,6]; c3:bw=46,experts=[0,2,3,7]; c5:bw=58,experts=[0,2,3,4,5]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,5]","5.2697,2.9482,3.6003,3.8610,5.3888,4.0371,4.8327,4.2373,2.8402,3.4471"
