Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:32:24,Ours,0.00208,2.0412223140171633,9.875,9.875,1,11.0375,0:11.04,8.2027,0.2211,2.6124,11.0375,0:11.04,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.6202,1.0440,0.6626,0.6693,1.4326,0.9927,0.2720,0.8560,1.1744,0.4789"
2,2026-09-22 01:32:35,Ours,0.00406,1.7244913061574583,10.775,10.775,2,10.0776,0:10.08,7.2944,0.2002,2.5816,21.3274,0:21.33,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,3,4,6];8:[0,3,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,3,4,6];9:[0,3,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,3,4,6]; c8:bw=48,experts=[0,3,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,3,4,6]; c9:bw=46,experts=[0,3,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.6391,0.9369,0.0765,0.6216,1.1653,0.8106,1.3938,0.2392,0.4663,0.9450"
3,2026-09-22 01:32:45,Ours,0.006040000000000001,1.5825296547590468,17.7375,17.7375,3,9.8157,0:09.82,7.0963,0.1783,2.5398,31.1539,0:31.15,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,2,3,4,6];6:[0,2,4,6];8:[2,4,6];5:[6];3:[4,6];7:[2,4,6];1:[6];4:[0,2,4,6,7]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,2,3,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[6]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[6]; c4:bw=52,experts=[0,2,4,6,7]","0.2404,0.9050,0.5896,0.4754,0.0776,0.6210,1.1400,1.3307,0.9293,0.7873"
4,2026-09-22 01:32:54,Ours,0.00802,1.468527248783627,16.925,17.7375,3,9.8244,0:09.82,7.0969,0.1809,2.5452,40.9898,0:40.99,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,3,4,6];7:[2,4,6,7];6:[0,2,3,4,6];2:[0,2,3,4,6,7];8:[2,4,6];0:[2,3,4,6,7];3:[2,4,6];4:[2,3,4,6,7];5:[0,2,3,4,5,6,7];9:[4,6]","c1:bw=40,experts=[2,3,4,6]; c7:bw=45,experts=[2,4,6,7]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,2,3,4,6,7]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[2,3,4,6,7]; c5:bw=73,experts=[0,2,3,4,5,6,7]; c9:bw=22,experts=[4,6]","0.9324,1.3383,0.4740,0.9401,0.0785,0.6267,1.1271,0.7381,0.6018,0.2398"
5,2026-09-22 01:33:04,Ours,0.01,1.3328639612520534,16.45,17.7375,3,9.8894,0:09.89,7.1365,0.1824,2.5663,50.8906,0:50.89,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[2,3,4,6];4:[2,3,4,6];8:[2,4,6];0:[2,3,4,6,7];7:[4,6];6:[2,3,4,6,7];3:[0,2,3,4,6,7];2:[6];9:[0,2,3,4,6,7]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[2,3,4,6]; c4:bw=48,experts=[2,3,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[2,3,4,6,7]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[2,3,4,6,7]; c3:bw=63,experts=[0,2,3,4,6,7]; c2:bw=10,experts=[6]; c9:bw=62,experts=[0,2,3,4,6,7]","0.9256,0.6190,0.7896,0.0790,0.6164,1.3375,0.4676,1.1412,0.9243,0.2362"
6,2026-09-22 01:33:15,Ours,0.01,1.3999886273370863,22.0625,22.0625,6,10.6375,0:10.64,7.753,0.1796,2.7035,61.541,1:01.54,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[2,3,4,6];5:[4,6];7:[2,3,4,6,7];3:[2,4,6];1:[2,4,6];9:[2,3,4,6];0:[2,4,6];4:[6];6:[4,6]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[2,3,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[2,3,4,6,7]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[2,3,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[6]; c6:bw=20,experts=[4,6]","0.0840,0.9807,0.6347,1.4496,1.2383,1.0372,0.2798,0.7119,0.8550,0.4819"
7,2026-09-22 01:33:25,Ours,0.01,1.4293416466122575,20.8375,22.0625,6,10.2074,0:10.21,7.2869,0.1857,2.7334,71.7604,1:11.76,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[2,4,6,7];2:[2,3,4,6];6:[6];3:[4,6];7:[2,4,6];4:[6];1:[6];8:[2,3,4,6,7];9:[6]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[2,4,6,7]; c2:bw=40,experts=[2,3,4,6]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[6]; c1:bw=10,experts=[6]; c8:bw=57,experts=[2,3,4,6,7]; c9:bw=10,experts=[6]","0.6572,0.6401,0.9630,0.4794,1.1561,1.3257,0.7855,0.9504,0.0832,0.2460"
8,2026-09-22 01:33:36,Ours,0.01,1.5540973188407952,26.8375,26.8375,8,10.6313,0:10.63,7.6369,0.1927,2.8002,82.4065,1:22.41,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[2,4,6];1:[1,4,5,6,7];3:[2,4,6];0:[1,5,6];5:[4,6];2:[1,2,4,5,6];9:[2,4,5,6,7];7:[5];6:[2,4,5,6]","c4:bw=10,experts=[5]; c8:bw=37,experts=[2,4,6]; c1:bw=58,experts=[1,4,5,6,7]; c3:bw=37,experts=[2,4,6]; c0:bw=32,experts=[1,5,6]; c5:bw=28,experts=[4,6]; c2:bw=54,experts=[1,2,4,5,6]; c9:bw=59,experts=[2,4,5,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[2,4,5,6]","0.8443,0.0810,0.9542,1.1971,0.6564,0.6744,1.0279,0.2639,1.4318,0.5060"
9,2026-09-22 01:33:47,Ours,0.01,1.367037592515103,26.25,26.8375,8,11.2147,0:11.21,8.1303,0.1934,2.8896,93.6365,1:33.64,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[2,3,4,6,7];4:[1,2,4,6,7];9:[1,6];8:[1];6:[1,4,6];7:[2,4,6,7];5:[2,3,4,6,7];1:[6];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[2,3,4,6,7]; c4:bw=59,experts=[1,2,4,6,7]; c9:bw=26,experts=[1,6]; c8:bw=18,experts=[1]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[2,3,4,6,7]; c1:bw=14,experts=[6]; c3:bw=23,experts=[4,6]","1.0919,0.7226,0.9023,0.2730,0.0855,0.5242,1.4912,0.6999,1.0492,1.2906"
10,2026-09-22 01:33:58,Ours,0.01,1.3748813919289167,27.2875,27.2875,10,10.8906,0:10.89,8.0109,0.1848,2.6893,104.5418,1:44.54,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[0,1,6];0:[2,3,4,6,7];6:[2,3,4,5,6,7];3:[1,4,5,6];5:[1,2,4,6,7];8:[0,4,6];9:[2,4,6];1:[0,2,4,6]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[0,1,6]; c0:bw=59,experts=[2,3,4,6,7]; c6:bw=65,experts=[2,3,4,5,6,7]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[1,2,4,6,7]; c8:bw=35,experts=[0,4,6]; c9:bw=35,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]","0.9172,1.0879,1.4608,0.6939,0.5415,1.2835,0.7086,0.0890,0.2724,0.9561"
