Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:23:24,Ours,0.00208,2.0412397268806766,10.8375,10.8375,1,11.1505,0:11.15,8.2508,0.2044,2.694,11.1505,0:11.15,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.5623,1.0164,0.6787,0.6715,1.4588,1.0043,0.2725,0.8713,1.2163,0.4986"
2,2026-09-22 01:23:35,Ours,0.00406,1.8023432691404722,9.9625,10.8375,1,10.3009,0:10.30,7.4124,0.1672,2.72,21.6935,0:21.69,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,4,5,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.6529,0.9747,0.0859,0.6545,1.1702,0.7930,1.3495,0.2410,0.4935,0.9972"
3,2026-09-22 01:23:45,Ours,0.006040000000000001,1.6834956862318293,10.1125,10.8375,1,10.3412,0:10.34,7.5609,0.1598,2.6192,32.0469,0:32.05,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,1,4,6];0:[0,1,4,5,6];6:[0,1,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,4,5,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,4,5,6]","0.2562,1.0172,0.6632,0.5053,0.0829,0.6826,1.1660,1.3844,0.9767,0.8265"
4,2026-09-22 01:23:55,Ours,0.00802,1.5871094511357335,10.4375,10.8375,1,10.3637,0:10.36,7.5088,0.1639,2.6896,42.4215,0:42.42,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,4,5,6];7:[1,4,5,6];6:[1,2,4,5,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[1,2,4,5,6];3:[1,4,6];4:[0,1,4,5,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[1,4,5,6]; c7:bw=45,experts=[1,4,5,6]; c6:bw=53,experts=[1,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[1,2,4,5,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","0.9306,1.4221,0.4931,1.0109,0.0775,0.6617,1.1936,0.8217,0.6499,0.2476"
5,2026-09-22 01:24:06,Ours,0.01,1.5091882157564935,10.0375,10.8375,1,10.5276,0:10.53,7.6753,0.1581,2.6929,52.962,0:52.96,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,4,5,6];4:[1,4,5,6];8:[4,5,6];0:[0,1,4,5,6];7:[4,6];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,4,5,6]; c8:bw=37,experts=[4,5,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","1.0224,0.6966,0.8819,0.0841,0.6815,1.4666,0.4904,1.1676,0.9458,0.2384"
6,2026-09-22 01:24:16,Ours,0.01,1.4763139729410768,11.375,11.375,6,10.5957,0:10.60,7.7398,0.1605,2.694,63.5719,1:03.57,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,4,5,6];5:[4,6];7:[0,1,4,5,6];3:[4,5,6];1:[4,5,6];9:[0,4,5,6];0:[4,5,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[4,5,6]; c1:bw=32,experts=[4,5,6]; c9:bw=48,experts=[0,4,5,6]; c0:bw=31,experts=[4,5,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","0.0875,1.0257,0.6651,1.4356,1.2253,0.9970,0.2516,0.6839,0.8631,0.5050"
7,2026-09-22 01:24:27,Ours,0.01,1.4438913027553126,17.7,17.7,7,10.3428,0:10.34,7.4609,0.1636,2.7169,73.9277,1:13.93,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[4,5,6];5:[1,4,5,6];2:[1,4,5,6];6:[4];3:[4,6];7:[4,5,6];4:[4];1:[4];8:[0,1,4,5,6];9:[4]","c0:bw=36,experts=[4,5,6]; c5:bw=49,experts=[1,4,5,6]; c2:bw=40,experts=[1,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,4,5,6]; c9:bw=10,experts=[4]","0.6614,0.6217,0.9342,0.4683,1.1770,1.4262,0.8539,0.9858,0.0805,0.2519"
8,2026-09-22 01:24:37,Ours,0.01,1.5469426470545256,13.4125,17.7,7,10.3365,0:10.34,7.538,0.152,2.6451,84.2769,1:24.28,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[1,3,4,6,7];3:[4,6,7];0:[3,4,7];5:[4,7];2:[1,3,4,6,7];9:[1,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[1,3,4,6,7]; c3:bw=37,experts=[4,6,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","0.8491,0.0789,0.9917,1.2107,0.6696,0.6482,1.0052,0.2542,1.3591,0.4714"
9,2026-09-22 01:24:48,Ours,0.01,1.4574764397054294,21.475,21.475,9,10.5609,0:10.56,7.6647,0.1559,2.7389,94.8518,1:34.85,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,4,5,6];4:[1,2,4,6,7];9:[4,6];8:[4];6:[1,4,6];7:[2,4,6,7];5:[1,4,5,6,7];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[1,2,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[1,4,5,6,7]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","1.0091,0.6713,0.8488,0.2532,0.0812,0.5081,1.4224,0.6611,0.9841,1.2252"
10,2026-09-22 01:24:58,Ours,0.01,1.4126489450652198,24.3625,24.3625,10,10.368,0:10.37,7.4572,0.1671,2.7421,105.2335,1:45.23,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,4,6];2:[1,4,6];7:[1,4,6];0:[0,1,2,4,6];6:[0,1,2,3,4,6];3:[1,3,4,6];5:[1,4,5,6,7];8:[4,6,7];9:[1,4,6];1:[0,1,4,6]","c4:bw=37,experts=[1,4,6]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[1,3,4,6]; c5:bw=58,experts=[1,4,5,6,7]; c8:bw=35,experts=[4,6,7]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]","0.8568,0.9888,1.3431,0.6331,0.4681,1.1990,0.6538,0.0803,0.2520,0.9824"
11,2026-09-22 01:25:09,Ours,0.01,1.4106092968121722,25.775,25.775,11,10.5255,0:10.53,7.7768,0.1565,2.5893,115.7735,1:55.77,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[4,6];2:[4,6];7:[1,3,4,6];3:[0,1,3,4,6];0:[4,6];8:[4,6,7];9:[1,4,6];6:[0,2,3,4,6];1:[1,3,4,6];4:[4]","c5:bw=28,experts=[4,6]; c2:bw=27,experts=[4,6]; c7:bw=44,experts=[1,3,4,6]; c3:bw=50,experts=[0,1,3,4,6]; c0:bw=28,experts=[4,6]; c8:bw=39,experts=[4,6,7]; c9:bw=33,experts=[1,4,6]; c6:bw=55,experts=[0,2,3,4,6]; c1:bw=40,experts=[1,3,4,6]; c4:bw=16,experts=[4]","0.6712,1.0153,1.4545,1.2486,0.6894,0.0834,0.2596,0.5206,0.9964,0.8378"
12,2026-09-22 01:25:19,Ours,0.01,1.4151772646539742,24.6625,25.775,11,10.688,0:10.69,7.7806,0.1671,2.7389,126.5894,2:06.59,10,"1,5,2,4,3,7,9,6,8,0",1:42;5:56;2:57;4:28;3:35;7:30;9:42;6:29;8:55;0:49,"1:[0,3,4,6];5:[0,2,3,4,6];2:[0,2,4,6,7];4:[0,4];3:[3,4,6];7:[3,4,6];9:[1,4,6,7];6:[4,6];8:[1,4,5,6,7];0:[2,3,4,6]","c1:bw=42,experts=[0,3,4,6]; c5:bw=56,experts=[0,2,3,4,6]; c2:bw=57,experts=[0,2,4,6,7]; c4:bw=28,experts=[0,4]; c3:bw=35,experts=[3,4,6]; c7:bw=30,experts=[3,4,6]; c9:bw=42,experts=[1,4,6,7]; c6:bw=29,experts=[4,6]; c8:bw=55,experts=[1,4,5,6,7]; c0:bw=49,experts=[2,3,4,6]","1.0008,0.6755,1.0215,0.8669,1.2346,1.4513,0.2562,0.5115,0.0825,0.6797"
13,2026-09-22 01:25:30,Ours,0.01,1.5347687403443737,25.0,25.775,11,10.4645,0:10.46,7.5418,0.1663,2.7549,137.069,2:17.07,10,"3,1,4,5,8,6,9,7,0,2",3:30;1:47;4:10;5:29;8:15;6:36;9:15;7:58;0:25;2:16,"3:[2,4,6];1:[0,3,4,6];4:[5];5:[4,6];8:[4];6:[4,5,6];9:[2];7:[0,1,3,4,6];0:[4,6];2:[4]","c3:bw=30,experts=[2,4,6]; c1:bw=47,experts=[0,3,4,6]; c4:bw=10,experts=[5]; c5:bw=29,experts=[4,6]; c8:bw=15,experts=[4]; c6:bw=36,experts=[4,5,6]; c9:bw=15,experts=[2]; c7:bw=58,experts=[0,1,3,4,6]; c0:bw=25,experts=[4,6]; c2:bw=16,experts=[4]","1.2370,0.9987,0.8175,0.6298,0.0779,0.4817,0.2396,1.3684,0.6806,1.0105"
14,2026-09-22 01:25:41,Ours,0.01,1.4155760247395572,25.5625,25.775,11,10.5823,0:10.58,7.806,0.163,2.612,147.6663,2:27.67,10,"2,4,5,1,7,0,9,3,8,6",2:45;4:10;5:64;1:38;7:25;0:25;9:32;3:45;8:21;6:67,"2:[3,4,6,7];4:[4];5:[1,3,4,5,6,7];1:[4,5,6];7:[4,6];0:[4,6];9:[0,4,5];3:[3,4,5,6];8:[2,4];6:[0,1,2,3,4,6]","c2:bw=45,experts=[3,4,6,7]; c4:bw=10,experts=[4]; c5:bw=64,experts=[1,3,4,5,6,7]; c1:bw=38,experts=[4,5,6]; c7:bw=25,experts=[4,6]; c0:bw=25,experts=[4,6]; c9:bw=32,experts=[0,4,5]; c3:bw=45,experts=[3,4,5,6]; c8:bw=21,experts=[2,4]; c6:bw=67,experts=[0,1,2,3,4,6]","1.0372,0.8662,0.6827,1.0066,1.4548,0.6763,0.2569,1.2319,0.0815,0.5120"
15,2026-09-22 01:25:51,Ours,0.01,1.419570073896203,26.3375,26.3375,15,10.6244,0:10.62,7.7143,0.1628,2.746,158.3046,2:38.30,10,"7,0,1,8,3,2,4,5,9,6",7:59;0:20;1:14;8:52;3:10;2:53;4:47;5:18;9:19;6:33,"7:[3,4,5,6,7];0:[4,6];1:[4];8:[0,3,4,6,7];3:[4];2:[3,4,5,6,7];4:[3,4,6,7];5:[4];9:[4];6:[3,4,6]","c7:bw=59,experts=[3,4,5,6,7]; c0:bw=20,experts=[4,6]; c1:bw=14,experts=[4]; c8:bw=52,experts=[0,3,4,6,7]; c3:bw=10,experts=[4]; c2:bw=53,experts=[3,4,5,6,7]; c4:bw=47,experts=[3,4,6,7]; c5:bw=18,experts=[4]; c9:bw=19,experts=[4]; c6:bw=33,experts=[3,4,6]","1.4007,0.6820,0.9941,0.0872,1.2385,1.0175,0.8577,0.6689,0.2579,0.5097"
16,2026-09-22 01:26:02,Ours,0.01,1.4196922554930478,26.0125,26.3375,15,10.5045,0:10.50,7.6018,0.1631,2.7382,168.8262,2:48.83,10,"6,1,3,8,7,5,4,9,0,2",6:40;1:29;3:43;8:49;7:22;5:40;4:35;9:24;0:57;2:52,"6:[3,4,6,7];1:[4,7];3:[3,4,6,7];8:[3,4,6,7];7:[4,6];5:[3,4,6,7];4:[4,6,7];9:[3,4];0:[2,3,4,6,7];2:[0,3,4,6,7]","c6:bw=40,experts=[3,4,6,7]; c1:bw=29,experts=[4,7]; c3:bw=43,experts=[3,4,6,7]; c8:bw=49,experts=[3,4,6,7]; c7:bw=22,experts=[4,6]; c5:bw=40,experts=[3,4,6,7]; c4:bw=35,experts=[4,6,7]; c9:bw=24,experts=[3,4]; c0:bw=57,experts=[2,3,4,6,7]; c2:bw=52,experts=[0,3,4,6,7]","0.5205,1.0168,1.2383,0.0868,1.4040,0.6338,0.7990,0.2443,0.6330,1.0252"
17,2026-09-22 01:26:12,Ours,0.01,1.452024636152609,26.4375,26.4375,17,10.6381,0:10.64,7.7728,0.1628,2.6991,179.4816,2:59.48,10,"4,7,8,3,5,1,0,2,9,6",4:58;7:25;8:10;3:52;5:10;1:29;0:11;2:19;9:37;6:39,"4:[2,3,4,6,7];7:[2,4];8:[4];3:[2,3,4,6,7];5:[4];1:[2,4];0:[5];2:[4];9:[4,6,7];6:[3,4,6]","c4:bw=58,experts=[2,3,4,6,7]; c7:bw=25,experts=[2,4]; c8:bw=10,experts=[4]; c3:bw=52,experts=[2,3,4,6,7]; c5:bw=10,experts=[4]; c1:bw=29,experts=[2,4]; c0:bw=11,experts=[5]; c2:bw=19,experts=[4]; c9:bw=37,experts=[4,6,7]; c6:bw=39,experts=[3,4,6]","0.8775,1.4422,0.0821,1.2411,0.6648,1.0051,0.6773,1.0124,0.2586,0.5118"
