Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:24:20,Ours,0.00208,2.041274132866728,10.7375,10.7375,1,17.2334,0:17.23,9.9577,4.7017,2.5727,17.2334,0:17.23,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.7316,1.1965,0.8625,0.8563,1.6271,1.1757,0.4290,1.0021,1.3877,0.6892"
2,2026-09-22 01:24:36,Ours,0.00406,1.800195234788868,9.9125,10.7375,1,16.2095,0:16.21,9.0837,4.5537,2.5707,33.6386,0:33.64,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,4,5,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.8246,1.1125,0.2454,0.8089,1.3580,0.9844,1.5693,0.4057,0.6448,1.1301"
3,2026-09-22 01:24:53,Ours,0.006040000000000001,1.6533167053711355,10.7125,10.7375,1,16.1068,0:16.11,9.1922,4.3516,2.5616,49.7567,0:49.76,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,1,4,6];0:[0,1,4,5,6];6:[0,1,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,4,5,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,4,5,6]","0.4179,1.1627,0.8315,0.6596,0.2441,0.8143,1.3288,1.5536,1.1467,1.0330"
4,2026-09-22 01:25:09,Ours,0.00802,1.538051305754499,10.0375,10.7375,1,16.4295,0:16.43,9.1865,4.657,2.5847,66.198,1:06.20,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,4,5,6];7:[1,4,5,6];6:[1,2,4,5,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[1,2,4,5,6];3:[1,4,6];4:[0,1,4,5,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[1,4,5,6]; c7:bw=45,experts=[1,4,5,6]; c6:bw=53,experts=[1,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[1,2,4,5,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,4,5,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","1.1209,1.5851,0.6581,1.1580,0.2667,0.8179,1.3261,1.0184,0.8255,0.4096"
5,2026-09-22 01:25:25,Ours,0.01,1.473461947792398,10.0,10.7375,1,16.2229,0:16.22,9.1617,4.4834,2.5765,82.4315,1:22.43,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,4,5,6];4:[0,4,5,6];8:[4,5,6];0:[0,1,4,5,6];7:[4,6];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,4,5,6]; c4:bw=48,experts=[0,4,5,6]; c8:bw=37,experts=[4,5,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","1.1338,0.8167,1.0019,0.2503,0.8303,1.5440,0.6676,1.3415,1.1350,0.4404"
6,2026-09-22 01:25:41,Ours,0.01,1.454220606269829,11.8625,11.8625,6,16.2199,0:16.22,9.1665,4.4906,2.5614,98.6622,1:38.66,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,4,5,6,7];2:[0,4,5,6];5:[4,6];7:[0,1,4,5,6];3:[0,4,6];1:[4,5,6];9:[0,4,5,6];0:[0,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,4,5,6,7]; c2:bw=42,experts=[0,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[4,5,6]; c9:bw=48,experts=[0,4,5,6]; c0:bw=31,experts=[0,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","0.2668,1.1510,0.7979,1.5406,1.3528,1.1286,0.4284,0.8255,1.0008,0.6741"
7,2026-09-22 01:25:57,Ours,0.01,1.4282185446235995,17.4875,17.4875,7,16.0269,0:16.03,9.1375,4.3062,2.5818,114.7003,1:54.70,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[4,5,6];5:[4,5,6,7];2:[0,4,5,6];6:[4];3:[4,6];7:[4,5,6];4:[4];1:[4];8:[0,4,5,6,7];9:[4]","c0:bw=36,experts=[4,5,6]; c5:bw=49,experts=[4,5,6,7]; c2:bw=40,experts=[0,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,4,5,6,7]; c9:bw=10,experts=[4]","0.8240,0.8141,1.1531,0.6658,1.3427,1.5422,0.9882,1.1414,0.2518,0.4143"
8,2026-09-22 01:26:14,Ours,0.01,1.5417790451793767,13.325,17.4875,7,16.0709,0:16.07,9.1359,4.3677,2.5661,130.7858,2:10.79,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,6];1:[0,3,4,6,7];3:[4,6,7];0:[3,4,7];5:[4,6];2:[0,3,4,6,7];9:[0,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,6]; c1:bw=58,experts=[0,3,4,6,7]; c3:bw=37,experts=[4,6,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[4,6]; c2:bw=54,experts=[0,3,4,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","0.9830,0.2678,1.1151,1.3424,0.8285,0.8206,1.1355,0.4302,1.5490,0.6638"
9,2026-09-22 01:26:30,Ours,0.01,1.4617194532951943,22.875,22.875,9,16.1728,0:16.17,9.1487,4.4348,2.5862,146.9705,2:26.97,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,4,6,7];4:[1,2,4,6,7];9:[4,6];8:[2];6:[0,4,6];7:[2,4,6,7];5:[0,1,4,6,7];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,4,6,7]; c4:bw=59,experts=[1,2,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[2]; c6:bw=31,experts=[0,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[0,1,4,6,7]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","1.1407,0.8224,0.9920,0.4332,0.2782,0.6598,1.5586,0.8029,1.1186,1.3422"
10,2026-09-22 01:26:46,Ours,0.01,1.4142035929334864,25.325,25.325,10,16.4044,0:16.40,9.1102,4.7256,2.5672,163.3869,2:43.39,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,6,7];2:[0,4,6];7:[0,4,6];0:[0,2,3,4,6];6:[0,1,2,3,4,6];3:[0,3,4,6];5:[0,4,5,6,7];8:[4,6,7];9:[4,6,7];1:[0,3,4,6]","c4:bw=37,experts=[4,6,7]; c2:bw=34,experts=[0,4,6]; c7:bw=37,experts=[0,4,6]; c0:bw=59,experts=[0,2,3,4,6]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[0,3,4,6]; c5:bw=58,experts=[0,4,5,6,7]; c8:bw=35,experts=[4,6,7]; c9:bw=35,experts=[4,6,7]; c1:bw=41,experts=[0,3,4,6]","0.9895,1.1319,1.5365,0.8368,0.6658,1.3353,0.8140,0.2456,0.4272,1.1275"
11,2026-09-22 01:27:02,Ours,0.01,1.4180411525386647,26.7625,26.7625,11,16.2361,0:16.24,9.1764,4.4723,2.586,179.6358,2:59.64,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[4,6];2:[4,6];7:[0,3,4,6];3:[0,2,3,4,6];0:[4,6];8:[4,6,7];9:[4,6,7];6:[0,2,3,4,6];1:[0,3,4,6];4:[4]","c5:bw=28,experts=[4,6]; c2:bw=27,experts=[4,6]; c7:bw=44,experts=[0,3,4,6]; c3:bw=50,experts=[0,2,3,4,6]; c0:bw=28,experts=[4,6]; c8:bw=39,experts=[4,6,7]; c9:bw=33,experts=[4,6,7]; c6:bw=55,experts=[0,2,3,4,6]; c1:bw=40,experts=[0,3,4,6]; c4:bw=16,experts=[4]","0.8207,1.1639,1.5562,1.3556,0.8268,0.2475,0.4187,0.6639,1.1317,0.9912"
12,2026-09-22 01:27:19,Ours,0.01,1.4168946309393085,25.625,26.7625,11,16.3553,0:16.36,9.1524,4.6289,2.5727,196.0802,3:16.08,10,"1,5,2,4,3,7,9,6,8,0",1:42;5:56;2:57;4:28;3:35;7:30;9:42;6:29;8:55;0:49,"1:[1,3,4,6];5:[2,3,4,6,7];2:[1,2,4,6,7];4:[4,6];3:[3,4,6];7:[3,4,6];9:[3,4,6,7];6:[4,6];8:[0,3,4,6,7];0:[2,3,4,6]","c1:bw=42,experts=[1,3,4,6]; c5:bw=56,experts=[2,3,4,6,7]; c2:bw=57,experts=[1,2,4,6,7]; c4:bw=28,experts=[4,6]; c3:bw=35,experts=[3,4,6]; c7:bw=30,experts=[3,4,6]; c9:bw=42,experts=[3,4,6,7]; c6:bw=29,experts=[4,6]; c8:bw=55,experts=[0,3,4,6,7]; c0:bw=49,experts=[2,3,4,6]","1.1340,0.8186,1.1392,0.9868,1.3393,1.5470,0.4256,0.6619,0.2553,0.8446"
