Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:12:56,Ours,0.00208,2.0412727209650052,9.9625,9.9625,1,12.9173,0:12.92,9.5995,0.2522,3.0642,12.9173,0:12.92,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.7131,1.2084,0.7887,0.7937,1.6876,1.1699,0.3233,1.0027,1.3357,0.5764"
2,2026-09-22 01:13:08,Ours,0.00406,1.7255220050269657,11.7,11.7,2,11.9253,0:11.93,8.6667,0.2146,3.0424,25.1149,0:25.11,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,3,4,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,3,4,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.7507,1.1319,0.0986,0.7432,1.3765,0.9654,1.6121,0.2883,0.5687,1.1311"
3,2026-09-22 01:13:20,Ours,0.006040000000000001,1.6189241268452226,18.675,18.675,3,12.0211,0:12.02,8.7064,0.2075,3.1055,37.1482,0:37.15,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","0.2882,1.1476,0.7570,0.5652,0.0966,0.7633,1.3885,1.6317,1.1040,0.9642"
4,2026-09-22 01:13:32,Ours,0.00802,1.4845363569586694,14.2625,18.675,3,12.0607,0:12.06,8.8753,0.212,2.9718,49.2214,0:49.22,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,3,4,6];7:[2,3,4,6];6:[0,2,3,4,6];2:[0,2,3,4,6,7];8:[2,4,6];0:[0,2,3,4,6];3:[2,4,6];4:[0,2,3,4,6];5:[0,1,2,3,4,6,7];9:[4,6]","c1:bw=40,experts=[2,3,4,6]; c7:bw=45,experts=[2,3,4,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,2,3,4,6,7]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,2,3,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,2,3,4,6]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[4,6]","1.0904,1.5335,0.5633,1.2108,0.1053,0.8062,1.4933,1.0318,0.7631,0.2777"
5,2026-09-22 01:13:44,Ours,0.01,1.365618809145836,17.2,18.675,3,11.638,0:11.64,8.4019,0.217,3.0176,60.8737,1:00.87,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[2,6];5:[2,3,4,6];4:[2,3,4,6];8:[2,4,6];0:[2,3,4,6,7];7:[2,4];6:[2,3,4,6,7];3:[0,2,3,4,6,7];2:[2];9:[0,2,3,4,6,7]","c1:bw=20,experts=[2,6]; c5:bw=40,experts=[2,3,4,6]; c4:bw=48,experts=[2,3,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[2,3,4,6,7]; c7:bw=24,experts=[2,4]; c6:bw=53,experts=[2,3,4,6,7]; c3:bw=63,experts=[0,2,3,4,6,7]; c2:bw=10,experts=[2]; c9:bw=62,experts=[0,2,3,4,6,7]","1.0961,0.7426,0.9458,0.0921,0.7386,1.5396,0.5318,1.3437,1.0949,0.2767"
6,2026-09-22 01:13:56,Ours,0.01,1.4790860429440138,25.6,25.6,6,11.8155,0:11.82,8.5739,0.1979,3.0422,72.7037,1:12.70,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,6,7];2:[2,3,4,6];5:[4,6];7:[2,3,4,6,7];3:[2,4,6];1:[2,4,6];9:[2,3,4,6];0:[2,4,6];4:[6];6:[2,6]","c8:bw=67,experts=[0,2,3,4,6,7]; c2:bw=42,experts=[2,3,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[2,3,4,6,7]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[2,3,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[6]; c6:bw=20,experts=[2,6]","0.1060,1.1641,0.7393,1.6090,1.3719,1.1107,0.2829,0.7541,0.9197,0.5163"
7,2026-09-22 01:14:08,Ours,0.01,1.3942787690837277,26.4625,26.4625,7,11.7955,0:11.80,8.5931,0.2033,2.9976,84.5133,1:24.51,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[2,4,6,7];2:[2,3,4,6];6:[4];3:[4,6];7:[2,4,6];4:[4];1:[4];8:[2,3,4,6,7];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[2,4,6,7]; c2:bw=40,experts=[2,3,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[2,3,4,6,7]; c9:bw=10,experts=[4]","0.7483,0.7593,1.1325,0.5605,1.3648,1.5869,0.9481,1.1033,0.0986,0.2907"
8,2026-09-22 01:14:19,Ours,0.01,1.5163079684952128,28.2625,28.2625,8,11.7952,0:11.80,8.5097,0.2093,3.0746,96.3224,1:36.32,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[2,4,6];1:[2,4,5,6,7];3:[2,4,6];0:[4,5,6];5:[4,6];2:[1,2,4,5,6];9:[2,4,5,6,7];7:[5];6:[2,4,5,6]","c4:bw=10,experts=[5]; c8:bw=37,experts=[2,4,6]; c1:bw=58,experts=[2,4,5,6,7]; c3:bw=37,experts=[2,4,6]; c0:bw=32,experts=[4,5,6]; c5:bw=28,experts=[4,6]; c2:bw=54,experts=[1,2,4,5,6]; c9:bw=59,experts=[2,4,5,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[2,4,5,6]","0.8655,0.0846,1.1033,1.4321,0.7877,0.7516,1.1113,0.2812,1.5350,0.5575"
9,2026-09-22 01:14:31,Ours,0.01,1.408975366458355,29.8125,29.8125,9,11.6676,0:11.67,8.4145,0.1924,3.0592,108.005,1:48.01,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[2,3,4,6,7];4:[2,3,4,6,7];9:[4,6];8:[5];6:[1,2,4];7:[2,4,6,7];5:[2,3,4,6,7];1:[4];3:[2,4]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[2,3,4,6,7]; c4:bw=59,experts=[2,3,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[5]; c6:bw=31,experts=[1,2,4]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[2,3,4,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[2,4]","1.1280,0.7387,0.9600,0.2846,0.0859,0.5384,1.5349,0.7307,1.0781,1.3352"
10,2026-09-22 01:14:43,Ours,0.01,1.3423854772250072,30.275,30.275,10,11.8394,0:11.84,8.5761,0.1978,3.064,119.8596,1:59.86,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[0,1,4];0:[2,3,4,6,7];6:[0,2,3,4,6,7];3:[1,4,5,6];5:[2,4,5,6,7];8:[1,4,6];9:[1,4,6];1:[0,1,2,4]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[0,1,4]; c0:bw=59,experts=[2,3,4,6,7]; c6:bw=65,experts=[0,2,3,4,6,7]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[2,4,5,6,7]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[0,1,2,4]","0.9504,1.1674,1.6002,0.7335,0.5608,1.3484,0.7391,0.0947,0.2814,1.1001"
