Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 23:55:08,Ours,0.00208,2.0411501638372003,9.975,9.975,1,12.7508,0:12.75,9.5393,0.1965,3.0107,12.7508,0:12.75,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.7188,1.1922,0.7724,0.7821,1.6663,1.1609,0.3319,0.9543,1.3802,0.5803"
2,2026-09-21 23:55:20,Ours,0.00406,1.7225237712809762,10.175,10.175,2,11.613,0:11.61,8.5619,0.1948,2.8549,24.6289,0:24.63,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,3,4,6];8:[0,3,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,3,4,6];9:[0,3,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,3,4,6]; c8:bw=48,experts=[0,3,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,3,4,6]; c9:bw=46,experts=[0,3,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.7361,1.1156,0.1027,0.7311,1.3306,0.9666,1.6265,0.2914,0.5648,1.0965"
3,2026-09-21 23:55:31,Ours,0.006040000000000001,1.5525062489352255,19.375,19.375,3,11.7967,0:11.80,8.5496,0.1904,3.0552,36.4395,0:36.44,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[0,4,6];5:[6];3:[4,6];7:[2,4,6];1:[6];4:[0,1,2,4,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[0,4,6]; c5:bw=13,experts=[6]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[6]; c4:bw=52,experts=[0,1,2,4,6]","0.2767,1.1086,0.7852,0.5533,0.0933,0.7398,1.3603,1.5636,1.1248,0.9438"
4,2026-09-21 23:55:43,Ours,0.00802,1.4285970109050854,22.7375,22.7375,4,11.7742,0:11.77,8.5418,0.1985,3.0296,48.2275,0:48.23,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,6];7:[1,2,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[2,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[1,2,4,5,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[1,2,4,6]; c7:bw=45,experts=[1,2,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[1,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","1.1031,1.5675,0.5785,1.1197,0.0962,0.7324,1.3827,0.9353,0.7325,0.2938"
5,2026-09-21 23:55:55,Ours,0.01,1.3782740748509357,16.975,22.7375,4,11.705,0:11.70,8.5121,0.193,2.9935,59.9467,0:59.95,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,2,4,6];4:[1,2,4,6];8:[2,4,6];0:[0,1,2,4,6];7:[4,6];6:[0,1,2,4,6];3:[0,1,2,4,5,6];2:[6];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,2,4,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,2,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[6]; c9:bw=62,experts=[0,1,2,4,5,6]","1.1332,0.8014,0.9413,0.0962,0.7366,1.4856,0.5440,1.3598,1.1218,0.2921"
6,2026-09-21 23:56:06,Ours,0.01,1.451322823240211,24.2875,24.2875,6,11.5555,0:11.56,8.3943,0.1634,2.9965,71.5168,1:11.52,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[1,2,4,5,6,7];2:[1,2,4,6];5:[4,6];7:[0,1,2,4,6];3:[2,4,6];1:[2,4,6];9:[1,2,4,6];0:[2,4,6];4:[6];6:[4,6]","c8:bw=67,experts=[1,2,4,5,6,7]; c2:bw=42,experts=[1,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[1,2,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[6]; c6:bw=20,experts=[4,6]","0.1059,1.1228,0.7308,1.6068,1.3697,1.0979,0.2834,0.7311,0.8714,0.4745"
7,2026-09-21 23:56:18,Ours,0.01,1.4963421396620422,20.7875,24.2875,6,11.8995,0:11.90,8.745,0.1924,2.9606,83.4324,1:23.43,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[1,2,4,6];2:[1,2,4,6];6:[4];3:[4,6];7:[2,4,6];4:[6];1:[6];8:[1,2,4,6,7];9:[6]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[1,2,4,6]; c2:bw=40,experts=[1,2,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[6]; c1:bw=10,experts=[6]; c8:bw=57,experts=[1,2,4,6,7]; c9:bw=10,experts=[6]","0.7516,0.7685,1.1572,0.5848,1.4070,1.6011,0.9412,1.1479,0.0902,0.2955"
8,2026-09-21 23:56:30,Ours,0.01,1.4950284807030625,24.725,24.725,8,11.7253,0:11.73,8.5139,0.189,3.021,95.1712,1:35.17,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[2,4,6];1:[2,4,5,6,7];3:[4,6,7];0:[3,5,7];5:[4,6];2:[2,3,4,6,7];9:[1,2,4,6,7];7:[5];6:[3,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[2,4,6]; c1:bw=58,experts=[2,4,5,6,7]; c3:bw=37,experts=[4,6,7]; c0:bw=32,experts=[3,5,7]; c5:bw=28,experts=[4,6]; c2:bw=54,experts=[2,3,4,6,7]; c9:bw=59,experts=[1,2,4,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[3,5,6,7]","0.9059,0.0969,1.1138,1.3664,0.7341,0.7363,1.1055,0.2850,1.6073,0.5626"
9,2026-09-21 23:56:42,Ours,0.01,1.427253365603058,19.9875,24.725,8,11.5933,0:11.59,8.3861,0.1993,3.0065,106.7784,1:46.78,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,2,4,6];4:[0,2,4,6,7];9:[4,6];8:[6];6:[2,4,6];7:[2,4,6,7];5:[0,2,4,5,6];1:[6];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,2,4,6]; c4:bw=59,experts=[0,2,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[6]; c6:bw=31,experts=[2,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[0,2,4,5,6]; c1:bw=14,experts=[6]; c3:bw=23,experts=[4,6]","1.1154,0.7473,0.8996,0.2586,0.0874,0.5214,1.5575,0.7420,1.0974,1.3595"
10,2026-09-21 23:56:53,Ours,0.01,1.3389397407782753,25.825,25.825,10,11.6663,0:11.67,8.4544,0.1975,3.0129,118.4592,1:58.46,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[3,4,6];0:[0,1,2,4,6];6:[0,1,2,3,4,6];3:[2,3,4,6];5:[2,3,4,5,6];8:[3,4,6];9:[3,4,6];1:[0,3,4,6]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[3,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[2,3,4,6]; c5:bw=58,experts=[2,3,4,5,6]; c8:bw=35,experts=[3,4,6]; c9:bw=35,experts=[3,4,6]; c1:bw=41,experts=[0,3,4,6]","0.9382,1.1183,1.5575,0.7386,0.5549,1.3581,0.7357,0.0872,0.2779,1.0880"
