Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 00:33:23,Ours,0.00208,2.0930210028863163,10.0,10.0,1,12.3674,0:12.37,9.0879,0.1984,3.0797,12.3674,0:12.37,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,6,7];1:[2,6];5:[0,3,5,7];0:[7];7:[4,5];2:[2,3];9:[0,1,6,7];4:[0,5,6,7];3:[0,1,2,4,6];6:[0,4,6,7]","c8:bw=55,experts=[0,2,3,6,7]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[0,3,5,7]; c0:bw=10,experts=[7]; c7:bw=20,experts=[4,5]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,1,6,7]; c4:bw=40,experts=[0,5,6,7]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[0,4,6,7]","0.7049,1.1561,0.7333,0.7157,1.6521,1.0951,0.2694,0.9236,1.3304,0.5072"
2,2026-09-22 00:33:34,Ours,0.00406,2.039511856387067,11.2875,11.2875,2,11.4004,0:11.40,8.1494,0.2016,3.0479,24.0339,0:24.03,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[5,6,7];1:[2,3,4,5];8:[0,2,3,4];5:[1,2,4,5,6,7];3:[0,1,2,3,5,6];4:[0,2,4];7:[0,1,2,3,7];9:[2,3,4,7];6:[3];2:[3,7]","c0:bw=36,experts=[5,6,7]; c1:bw=41,experts=[2,3,4,5]; c8:bw=48,experts=[0,2,3,4]; c5:bw=69,experts=[1,2,4,5,6,7]; c3:bw=67,experts=[0,1,2,3,5,6]; c4:bw=30,experts=[0,2,4]; c7:bw=55,experts=[0,1,2,3,7]; c9:bw=46,experts=[2,3,4,7]; c6:bw=17,experts=[3]; c2:bw=22,experts=[3,7]","0.6819,1.1045,0.0857,0.7025,1.3645,0.8922,1.5736,0.2294,0.4884,1.0266"
3,2026-09-22 00:33:45,Ours,0.006040000000000001,1.6879682976978347,16.9125,16.9125,3,10.6169,0:10.62,7.5755,0.1835,2.852,34.6639,0:34.66,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,5,7];2:[0,2,4,6];0:[1,2,3,5,6];6:[0,1,2,3];8:[0,2,3];5:[6];3:[2,5];7:[1,2,5];1:[1];4:[2,4,5,6,7]","c9:bw=48,experts=[2,3,5,7]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[1,2,3,5,6]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[6]; c3:bw=26,experts=[2,5]; c7:bw=33,experts=[1,2,5]; c1:bw=13,experts=[1]; c4:bw=52,experts=[2,4,5,6,7]","0.2215,1.0390,0.6847,0.4790,0.0671,0.6160,1.2391,1.4355,0.9820,0.8116"
4,2026-09-22 00:33:56,Ours,0.00802,1.3674454944975902,22.25,22.25,4,11.293,0:11.29,7.9625,0.1939,3.1351,45.9704,0:45.97,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,7];7:[1,3,4,5];6:[0,3,5,6,7];2:[0,1,3,4,5,7];8:[1,3,6];0:[2,3,4,6,7];3:[0,4,5];4:[0,2,3,6,7];5:[0,1,2,3,4,5,6];9:[0,6]","c1:bw=40,experts=[1,2,4,7]; c7:bw=45,experts=[1,3,4,5]; c6:bw=53,experts=[0,3,5,6,7]; c2:bw=60,experts=[0,1,3,4,5,7]; c8:bw=31,experts=[1,3,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[0,4,5]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,6]","1.0099,1.5667,0.5019,1.0297,0.0777,0.6755,1.2634,0.9030,0.6840,0.2507"
5,2026-09-22 00:34:07,Ours,0.01,1.8621573511569447,21.0,22.25,4,10.9238,0:10.92,7.7487,0.1897,2.984,56.9065,0:56.91,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[1,7];5:[1,4,5,6];4:[1,2,5,7];8:[1,2,6];0:[0,1,3,4,6];7:[1,6];6:[1,2,4,6,7];3:[0,1,4,5,6,7];2:[1];9:[0,1,3,5,6,7]","c1:bw=20,experts=[1,7]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,2,5,7]; c8:bw=37,experts=[1,2,6]; c0:bw=50,experts=[0,1,3,4,6]; c7:bw=24,experts=[1,6]; c6:bw=53,experts=[1,2,4,6,7]; c3:bw=63,experts=[0,1,4,5,6,7]; c2:bw=10,experts=[1]; c9:bw=62,experts=[0,1,3,5,6,7]","1.0526,0.6779,0.8907,0.0827,0.5952,1.4498,0.4768,1.2823,1.0096,0.2311"
6,2026-09-22 00:34:18,Ours,0.01,1.5741102806276444,23.2625,23.2625,6,10.9248,0:10.92,7.7298,0.1535,3.0369,67.8457,1:07.85,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,4,5,6,7];2:[2,4,6,7];5:[3,4];7:[1,3,5,6,7];3:[4,5,7];1:[1,2,4];9:[0,3,4,5];0:[4,5,7];4:[5];6:[3,5]","c8:bw=67,experts=[0,1,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[1,3,5,6,7]; c3:bw=36,experts=[4,5,7]; c1:bw=32,experts=[1,2,4]; c9:bw=48,experts=[0,3,4,5]; c0:bw=31,experts=[4,5,7]; c4:bw=17,experts=[5]; c6:bw=20,experts=[3,5]","0.0841,1.0609,0.6440,1.5041,1.2865,0.9985,0.2230,0.6447,0.8300,0.4540"
7,2026-09-22 00:34:30,Ours,0.01,1.7897119998963624,21.1375,23.2625,6,11.435,0:11.43,8.2048,0.1961,3.0326,79.296,1:19.30,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,7];5:[0,2,4,7];2:[0,3,6,7];6:[6];3:[4,5];7:[1,2,5];4:[1];1:[0];8:[0,3,4,5,7];9:[6]","c0:bw=36,experts=[0,4,7]; c5:bw=49,experts=[0,2,4,7]; c2:bw=40,experts=[0,3,6,7]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[1,2,5]; c4:bw=14,experts=[1]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,3,4,5,7]; c9:bw=10,experts=[6]","0.6845,0.6890,1.0773,0.5191,1.3429,1.5752,0.9096,1.0781,0.0902,0.2390"
8,2026-09-22 00:34:41,Ours,0.01,1.7261677897895502,21.8,23.2625,6,11.0372,0:11.04,7.8943,0.1895,2.9519,90.3472,1:30.35,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,1,7];1:[0,2,3,6,7];3:[1,6,7];0:[4,5,6];5:[2,7];2:[2,4,5,6,7];9:[0,1,2,4,6];7:[2];6:[1,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,1,7]; c1:bw=58,experts=[0,2,3,6,7]; c3:bw=37,experts=[1,6,7]; c0:bw=32,experts=[4,5,6]; c5:bw=28,experts=[2,7]; c2:bw=54,experts=[2,4,5,6,7]; c9:bw=59,experts=[0,1,2,4,6]; c7:bw=15,experts=[2]; c6:bw=41,experts=[1,3,5,7]","0.8406,0.0803,1.0497,1.3287,0.6711,0.6595,1.0465,0.2311,1.5034,0.4833"
9,2026-09-22 00:34:52,Ours,0.01,1.463171598115045,26.5,26.5,9,11.0877,0:11.09,7.8712,0.1937,3.0213,101.4498,1:41.45,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[0,3,4,5,6];4:[1,2,3,4,6];9:[4,5];8:[1];6:[2,5,7];7:[0,1,4,5];5:[2,3,4,5,6];1:[1];3:[6,7]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[0,3,4,5,6]; c4:bw=59,experts=[1,2,3,4,6]; c9:bw=26,experts=[4,5]; c8:bw=18,experts=[1]; c6:bw=31,experts=[2,5,7]; c7:bw=46,experts=[0,1,4,5]; c5:bw=52,experts=[2,3,4,5,6]; c1:bw=14,experts=[1]; c3:bw=23,experts=[6,7]","1.0583,0.6835,0.8942,0.2220,0.0877,0.4857,1.4649,0.6661,1.0345,1.2743"
10,2026-09-22 00:35:03,Ours,0.01,1.6228528367820085,21.025,26.5,9,11.2449,0:11.24,8.1284,0.184,2.9285,112.7106,1:52.71,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,3,5];2:[1,3,4];7:[1,5,6];0:[1,3,4,6,7];6:[1,2,4,5,6,7];3:[1,3,4,5];5:[0,3,5,6,7];8:[0,1,5];9:[2,4,7];1:[0,1,4,7]","c4:bw=37,experts=[1,3,5]; c2:bw=34,experts=[1,3,4]; c7:bw=37,experts=[1,5,6]; c0:bw=59,experts=[1,3,4,6,7]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[1,3,4,5]; c5:bw=58,experts=[0,3,5,6,7]; c8:bw=35,experts=[0,1,5]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,1,4,7]","0.8995,1.0790,1.5810,0.6909,0.5108,1.3121,0.6859,0.0846,0.2387,1.0459"
