Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 00:52:44,Ours,0.00208,2.041300501601085,9.6125,9.6125,1,12.5343,0:12.53,9.3583,0.2226,2.952,12.5344,0:12.53,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,6];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,6]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","0.7162,1.1832,0.7621,0.7820,1.6459,1.0641,0.3115,0.9765,1.3491,0.5677"
2,2026-09-22 00:52:56,Ours,0.00406,1.8360293696003116,10.0375,10.0375,2,11.898,0:11.90,8.6128,0.2157,3.0648,24.7241,0:24.72,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,3,4,6];8:[0,3,4,6];5:[0,1,3,4,5,6];3:[0,1,3,4,5,6];4:[0,4,6];7:[0,1,3,4,6];9:[0,3,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,3,4,6]; c8:bw=48,experts=[0,3,4,6]; c5:bw=69,experts=[0,1,3,4,5,6]; c3:bw=67,experts=[0,1,3,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,3,4,6]; c9:bw=46,experts=[0,3,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","0.7547,1.1522,0.0966,0.7482,1.3734,0.9543,1.6287,0.2888,0.5326,1.0831"
3,2026-09-22 00:53:08,Ours,0.006040000000000001,1.542614305820687,17.8375,17.8375,3,11.6842,0:11.68,8.6253,0.2038,2.8534,36.4214,0:36.42,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,1,4,6];0:[0,1,4,5,6];6:[0,1,4,6];8:[0,4,6];5:[6];3:[4,6];7:[0,4,6];1:[6];4:[0,1,4,5,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c6:bw=40,experts=[0,1,4,6]; c8:bw=30,experts=[0,4,6]; c5:bw=13,experts=[6]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[0,4,6]; c1:bw=13,experts=[6]; c4:bw=52,experts=[0,1,4,5,6]","0.3649,1.1333,0.7472,0.5675,0.0937,0.7400,1.3659,1.5930,1.0844,0.9354"
4,2026-09-22 00:53:20,Ours,0.00802,1.4371823903384093,24.7375,24.7375,4,11.7713,0:11.77,8.5101,0.2202,3.0356,48.2051,0:48.21,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,4,6];7:[1,2,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[0,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,2,4,6]; c7:bw=45,experts=[1,2,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[0,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","1.0871,1.5581,0.5484,1.1274,0.0921,0.7485,1.3698,0.9469,0.7363,0.2953"
5,2026-09-22 00:53:31,Ours,0.01,1.4234169377807988,21.675,24.7375,4,11.3408,0:11.34,8.1821,0.1817,2.9728,59.5595,0:59.56,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,1,4,6];4:[0,2,4,6];8:[2,4,6];0:[0,1,2,4,6];7:[4,6];6:[0,2,3,4,6];3:[0,1,2,4,5,6];2:[6];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[0,2,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[6]; c9:bw=62,experts=[0,1,2,4,5,6]","1.1028,0.7508,0.8540,0.0799,0.6590,1.5160,0.5461,1.3134,1.0817,0.2783"
6,2026-09-22 00:53:43,Ours,0.01,1.4167504439018095,25.7375,25.7375,6,11.8059,0:11.81,8.5162,0.2151,3.073,71.3794,1:11.38,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,2,4,6];5:[4,6];7:[0,1,2,4,6];3:[2,4,6];1:[2,4,6];9:[0,1,4,6];0:[2,4,6];4:[6];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[0,1,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[6]; c6:bw=20,experts=[4,6]","0.0968,1.1352,0.7471,1.5971,1.3415,1.0840,0.2748,0.7242,0.9458,0.5696"
7,2026-09-22 00:53:55,Ours,0.01,1.4092009053464412,25.8625,25.8625,7,11.9314,0:11.93,8.6803,0.1911,3.0557,83.3246,1:23.32,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[0,1,4,6];2:[0,2,4,6];6:[6];3:[4,6];7:[2,4,6];4:[6];1:[6];8:[0,1,2,4,6];9:[6]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[0,1,4,6]; c2:bw=40,experts=[0,2,4,6]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[6]; c1:bw=10,experts=[6]; c8:bw=57,experts=[0,1,2,4,6]; c9:bw=10,experts=[6]","0.7549,0.7568,1.1381,0.5648,1.3899,1.6239,0.9551,1.1155,0.0920,0.2891"
8,2026-09-22 00:54:07,Ours,0.01,1.510655453104714,27.1125,27.1125,8,11.8694,0:11.87,8.5901,0.2182,3.0567,95.2085,1:35.21,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[4,6,7];1:[1,4,5,6,7];3:[4,6,7];0:[3,6,7];5:[4,6];2:[2,3,4,6,7];9:[1,2,4,6,7];7:[5];6:[4,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[4,6,7]; c1:bw=58,experts=[1,4,5,6,7]; c3:bw=37,experts=[4,6,7]; c0:bw=32,experts=[3,6,7]; c5:bw=28,experts=[4,6]; c2:bw=54,experts=[2,3,4,6,7]; c9:bw=59,experts=[1,2,4,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[4,5,6,7]","0.9421,0.0948,1.1217,1.3688,0.7457,0.7407,1.1442,0.2830,1.5828,0.5665"
9,2026-09-22 00:54:19,Ours,0.01,1.4401001549348293,22.25,27.1125,8,11.8809,0:11.88,8.5907,0.2071,3.0817,107.1047,1:47.10,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,2,4,6];4:[1,2,4,6,7];9:[4,6];8:[6];6:[2,4,6];7:[2,4,6,7];5:[0,1,2,4,6];1:[6];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,2,4,6]; c4:bw=59,experts=[1,2,4,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[6]; c6:bw=31,experts=[2,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[0,1,2,4,6]; c1:bw=14,experts=[6]; c3:bw=23,experts=[4,6]","1.1055,0.7418,0.9562,0.2879,0.0930,0.5589,1.6116,0.7480,1.1142,1.3735"
10,2026-09-22 00:54:30,Ours,0.01,1.434619955319906,29.225,29.225,10,11.5079,0:11.51,8.4942,0.178,2.8303,118.6284,1:58.63,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[3,4,6];0:[0,1,2,4,6];6:[0,1,2,4,5,6];3:[2,3,4,6];5:[1,2,3,4,6];8:[3,4,6];9:[3,4,6];1:[2,3,4,6]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[3,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[2,3,4,6]; c5:bw=58,experts=[1,2,3,4,6]; c8:bw=35,experts=[3,4,6]; c9:bw=35,experts=[3,4,6]; c1:bw=41,experts=[2,3,4,6]","1.0700,1.1325,1.6094,0.7242,0.5302,1.2930,0.7156,0.0920,0.2735,1.0537"
