Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 02:16:45,Ours,0.00208,2.0988283137354893,10.075,10.075,1,10.4221,0:10.42,7.7876,0.1566,2.4772,10.4222,0:10.42,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.5316,0.9785,0.6440,0.6344,1.3487,0.9504,0.2503,0.8050,1.1569,0.4877"
2,2026-09-22 02:16:55,Ours,0.00406,1.683046327305601,21.975,21.975,2,9.5641,0:09.56,6.9611,0.1469,2.4552,20.2107,0:20.21,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,6];7:[0,1,2,6,7];9:[0,2,6,7];6:[0];2:[0,6]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,6]","0.5939,0.9023,0.0643,0.5819,1.1010,0.7505,1.3337,0.2376,0.4656,0.9303"
3,2026-09-22 02:17:05,Ours,0.006040000000000001,1.4512057664207836,23.7375,23.7375,3,9.851,0:09.85,7.1109,0.1382,2.5997,30.0731,0:30.07,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,1,2,3,6];6:[0,2,3,6];8:[0,2,3];5:[0];3:[0,3];7:[0,2,3];1:[0];4:[0,1,2,3,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,1,2,3,6]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,1,2,3,6]","0.2227,0.9277,0.6190,0.4641,0.0691,0.6024,1.1222,1.3190,0.9213,0.8434"
4,2026-09-22 02:17:15,Ours,0.00802,1.3106300635690322,32.975,32.975,4,10.3908,0:10.39,7.5752,0.1474,2.6673,40.4777,0:40.48,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,1,2,3];6:[0,1,2,3,6];2:[0,1,2,3,5,6];8:[0,2,3];0:[0,1,2,3,6];3:[0,2,3];4:[0,1,2,3,5];5:[0,1,2,3,5,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,1,2,3]; c6:bw=53,experts=[0,1,2,3,6]; c2:bw=60,experts=[0,1,2,3,5,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,5]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,3]","0.9619,1.4256,0.4993,0.9956,0.0763,0.6532,1.2106,0.8419,0.6562,0.2546"
5,2026-09-22 02:17:26,Ours,0.01,1.3365886621980239,29.8875,32.975,4,10.3666,0:10.37,7.5598,0.1363,2.6678,50.8566,0:50.86,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,5];4:[0,2,3,5];8:[0,2,3];0:[0,1,2,3,4];7:[0,3];6:[0,1,2,3,4];3:[0,1,2,3,4,5];2:[0];9:[0,1,2,3,4,5]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,5]; c4:bw=48,experts=[0,2,3,5]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,4]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,4]; c3:bw=63,experts=[0,1,2,3,4,5]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,5]","0.9703,0.6643,0.8359,0.0769,0.6523,1.4172,0.4967,1.2053,0.9869,0.2540"
6,2026-09-22 02:17:35,Ours,0.01,1.3983878407816248,26.075,32.975,4,9.4982,0:09.50,6.9113,0.1344,2.4517,60.3675,1:00.37,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,4,5];2:[0,2,3,5];5:[0,3];7:[0,2,3,4,5];3:[0,2,3];1:[0,2,3];9:[0,2,3,5];0:[0,2,3];4:[0];6:[0,3]","c8:bw=67,experts=[0,1,2,3,4,5]; c2:bw=42,experts=[0,2,3,5]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,4,5]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,5]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","0.0750,0.9984,0.6040,1.2885,1.0791,0.8496,0.2256,0.5741,0.7581,0.4589"
7,2026-09-22 02:17:45,Ours,0.01,1.379316842590852,30.6625,32.975,4,9.5757,0:09.58,6.9657,0.1338,2.4753,69.9546,1:09.95,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[0];3:[0,3];7:[0,2,3];4:[0];1:[0];8:[0,2,3,4,5];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,4,5]; c9:bw=10,experts=[0]","0.5914,0.6116,0.9250,0.4584,1.1130,1.2914,0.7680,0.9044,0.0656,0.2369"
8,2026-09-22 02:17:54,Ours,0.01,1.3969642041764008,35.2625,35.2625,8,9.341,0:09.34,6.7687,0.1303,2.44,79.3081,1:19.31,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,2,3];1:[0,1,2,3,5];3:[0,2,3];0:[0,5,7];5:[0,3];2:[0,2,3,5,7];9:[0,2,3,4,5];7:[0];6:[0,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,2,3]; c1:bw=58,experts=[0,1,2,3,5]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[0,5,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,5,7]; c9:bw=59,experts=[0,2,3,4,5]; c7:bw=15,experts=[0]; c6:bw=41,experts=[0,3,5,7]","0.7253,0.0703,0.8585,1.0463,0.6011,0.5975,0.9001,0.2332,1.2828,0.4538"
9,2026-09-22 02:18:03,Ours,0.01,1.2715976693230677,35.7625,35.7625,9,9.3707,0:09.37,6.863,0.1268,2.38,88.6903,1:28.69,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,2,3,4,5];4:[0,2,3,4,5];9:[0,3];8:[0];6:[0,2,3];7:[0,2,3,5];5:[0,2,3,4,5];1:[4];3:[0,3]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,2,3,4,5]; c4:bw=59,experts=[0,2,3,4,5]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,4,5]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,3]","0.8812,0.5989,0.7672,0.2344,0.0670,0.4561,1.2828,0.5938,0.8830,1.0985"
10,2026-09-22 02:18:13,Ours,0.01,1.2482030826466068,36.875,36.875,10,9.4477,0:09.45,6.8594,0.1337,2.4537,98.1498,1:38.15,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,3,5];2:[0,3,5];7:[0,6,7];0:[0,2,3,4,5];6:[0,2,3,4,5,6];3:[0,3,6,7];5:[0,2,3,4,5];8:[0,6,7];9:[0,3,7];1:[0,3,5,7]","c4:bw=37,experts=[0,3,5]; c2:bw=34,experts=[0,3,5]; c7:bw=37,experts=[0,6,7]; c0:bw=59,experts=[0,2,3,4,5]; c6:bw=65,experts=[0,2,3,4,5,6]; c3:bw=46,experts=[0,3,6,7]; c5:bw=58,experts=[0,2,3,4,5]; c8:bw=35,experts=[0,6,7]; c9:bw=35,experts=[0,3,7]; c1:bw=41,experts=[0,3,5,7]","0.7365,0.9066,1.2798,0.5970,0.4529,1.0957,0.5950,0.0656,0.2339,0.8964"
