Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 02:09:35,Ours,0.00208,2.0989343362812023,10.0,10.0,1,12.4283,0:12.43,9.3306,0.214,2.8829,12.4284,0:12.43,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.6826,1.1910,0.7780,0.7397,1.5862,1.1203,0.2893,0.9435,1.4015,0.5984"
2,2026-09-22 02:09:47,Ours,0.00406,1.8967094739700279,10.7,10.7,2,11.1353,0:11.14,8.1212,0.1858,2.8275,23.8127,0:23.81,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,6,7];1:[1,2,6,7];8:[1,2,6,7];5:[0,1,2,4,6,7];3:[0,1,2,4,6,7];4:[2,6,7];7:[0,1,2,6,7];9:[1,2,6,7];6:[6];2:[6,7]","c0:bw=36,experts=[2,6,7]; c1:bw=41,experts=[1,2,6,7]; c8:bw=48,experts=[1,2,6,7]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,6,7]; c4:bw=30,experts=[2,6,7]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[1,2,6,7]; c6:bw=17,experts=[6]; c2:bw=22,experts=[6,7]","0.6978,1.0469,0.0839,0.7115,1.2934,0.8873,1.5171,0.2722,0.5321,1.0788"
3,2026-09-22 02:09:58,Ours,0.006040000000000001,1.6634197581024541,10.075,10.7,2,11.1262,0:11.13,8.1239,0.1674,2.8341,34.9515,0:34.95,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,6];5:[0];3:[0,2];7:[0,2,6];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,6]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","0.2627,1.0855,0.6612,0.4993,0.0786,0.7064,1.3156,1.5538,1.0659,0.8948"
4,2026-09-22 02:10:09,Ours,0.00802,1.5500655879381537,10.475,10.7,2,11.3137,0:11.31,8.2887,0.173,2.8512,46.2773,0:46.28,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,6,7];2:[0,1,2,3,6,7];8:[0,2,3];0:[0,2,3,6,7];3:[0,2,3];4:[0,1,2,3,6];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,6,7]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,6,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,6]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","1.0595,1.5463,0.5287,1.1237,0.0990,0.7259,1.2927,0.9080,0.7304,0.2744"
5,2026-09-22 02:10:20,Ours,0.01,1.4598546925692737,13.0375,13.0375,5,11.103,0:11.10,8.1413,0.1682,2.7927,57.3932,0:57.39,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,6];4:[0,1,2,3];8:[0,2,3];0:[0,1,2,3,6];7:[0,2];6:[0,1,2,3,6];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,1,2,3]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,6]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,1,2,3,6]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","1.0575,0.7097,0.8839,0.0747,0.6890,1.5102,0.5222,1.3316,1.0971,0.2653"
6,2026-09-22 02:10:32,Ours,0.01,1.4165082368310125,22.8625,22.8625,6,11.4658,0:11.47,8.3455,0.1667,2.9527,68.8724,1:08.87,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,2,3,6];5:[0,2];7:[0,1,2,3,6];3:[0,2,3];1:[0,2,3];9:[0,2,3,6];0:[0,2,3];4:[0];6:[0,2]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,2,3,6]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,1,2,3,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","0.0751,1.0951,0.6985,1.5661,1.3731,1.1240,0.2733,0.7080,0.8951,0.5371"
7,2026-09-22 02:10:43,Ours,0.01,1.3821313801982475,24.8875,24.8875,7,11.4322,0:11.43,8.3331,0.168,2.9272,80.3188,1:20.32,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,6];5:[0,1,2,6];2:[0,1,2,6];6:[0];3:[0,2];7:[0,2,6];4:[0];1:[0];8:[0,1,2,3,6];9:[0]","c0:bw=36,experts=[0,2,6]; c5:bw=49,experts=[0,1,2,6]; c2:bw=40,experts=[0,1,2,6]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[0]","0.7059,0.7182,1.0478,0.5234,1.3609,1.6142,0.9118,1.0867,0.0875,0.2766"
8,2026-09-22 02:10:54,Ours,0.01,1.4434415429859302,24.575,24.8875,7,11.1879,0:11.19,8.0918,0.1721,2.9191,91.5212,1:31.52,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[0,2,5];1:[0,2,5,6,7];3:[0,2,5];0:[0,2,5];5:[0,5];2:[0,1,2,5,6];9:[0,1,2,5,6];7:[5];6:[0,2,5,6]","c4:bw=10,experts=[5]; c8:bw=37,experts=[0,2,5]; c1:bw=58,experts=[0,2,5,6,7]; c3:bw=37,experts=[0,2,5]; c0:bw=32,experts=[0,2,5]; c5:bw=28,experts=[0,5]; c2:bw=54,experts=[0,1,2,5,6]; c9:bw=59,experts=[0,1,2,5,6]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,2,5,6]","0.9061,0.0831,1.0719,1.3084,0.7044,0.6993,1.0206,0.2563,1.5044,0.5374"
9,2026-09-22 02:11:05,Ours,0.01,1.3820212170279658,27.65,27.65,9,10.8999,0:10.90,7.9501,0.1775,2.7713,102.4353,1:42.44,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,1,2,4,6];4:[0,1,2,4,6];9:[0,4];8:[4];6:[0,2,4];7:[0,2,4,6];5:[0,1,2,3,6];1:[4];3:[0,2]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,1,2,4,6]; c4:bw=59,experts=[0,1,2,4,6]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,4]; c7:bw=46,experts=[0,2,4,6]; c5:bw=52,experts=[0,1,2,3,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,2]","1.0489,0.7109,0.8868,0.2699,0.0769,0.5277,1.4641,0.6845,1.0165,1.2638"
10,2026-09-22 02:11:16,Ours,0.01,1.321657721028027,29.1,29.1,10,10.9778,0:10.98,7.8697,0.1709,2.9307,113.4274,1:53.43,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,1,2];2:[0,1,2];7:[0,2,7];0:[0,1,2,3,6];6:[0,1,2,3,4,6];3:[0,2,4,6];5:[0,1,2,3,6];8:[0,1,2];9:[0,1,2];1:[0,1,2,6]","c4:bw=37,experts=[0,1,2]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[0,2,7]; c0:bw=59,experts=[0,1,2,3,6]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[0,2,4,6]; c5:bw=58,experts=[0,1,2,3,6]; c8:bw=35,experts=[0,1,2]; c9:bw=35,experts=[0,1,2]; c1:bw=41,experts=[0,1,2,6]","0.8603,1.0317,1.4666,0.6860,0.5200,1.2650,0.6816,0.0842,0.2607,1.0136"
