Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 02:11:32,Ours,0.00208,2.0988907232662335,10.0,10.0,1,14.3116,0:14.31,9.1051,2.6375,2.5683,14.3116,0:14.31,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.6191,1.1115,0.7876,0.7804,1.4970,1.0981,0.3730,0.9362,1.3014,0.6006"
2,2026-09-22 02:11:46,Ours,0.00406,1.892990487473123,10.0,10.0,1,13.8256,0:13.83,8.6131,2.6353,2.5764,28.3424,0:28.34,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,6,7];1:[1,2,6,7];8:[1,2,6,7];5:[0,1,2,4,6,7];3:[0,1,2,4,6,7];4:[2,6,7];7:[0,1,2,6,7];9:[1,2,6,7];6:[6];2:[6,7]","c0:bw=36,experts=[2,6,7]; c1:bw=41,experts=[1,2,6,7]; c8:bw=48,experts=[1,2,6,7]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,6,7]; c4:bw=30,experts=[2,6,7]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[1,2,6,7]; c6:bw=17,experts=[6]; c2:bw=22,experts=[6,7]","0.7664,1.0896,0.1889,0.7603,1.2964,0.9299,1.5202,0.3540,0.6024,1.1049"
3,2026-09-22 02:12:00,Ours,0.006040000000000001,1.6460619518988833,10.0,10.0,1,13.6525,0:13.65,8.666,2.4283,2.5574,42.0053,0:42.01,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,6];5:[0];3:[0,2];7:[0,2,6];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,6]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","0.3397,1.1091,0.7605,0.5950,0.1838,0.7621,1.3340,1.5475,1.0996,0.9346"
4,2026-09-22 02:12:14,Ours,0.00802,1.513051868666271,10.0125,10.0125,4,13.8883,0:13.89,8.5525,2.7593,2.5757,55.9046,0:55.90,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,1,2,3,6,7];8:[0,2,3];0:[0,2,3,6,7];3:[0,2,3];4:[0,1,2,3,6];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,6,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,6]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","1.0954,1.5108,0.5814,1.1083,0.1690,0.7519,1.3259,0.9178,0.7499,0.3421"
5,2026-09-22 02:12:27,Ours,0.01,1.4168015141219943,11.6375,11.6375,5,13.5632,0:13.56,8.4191,2.5756,2.5677,69.4796,1:09.48,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,1,2,3,6];7:[0,2];6:[0,1,2,3,6];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,6]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,1,2,3,6]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","1.0454,0.7384,0.9206,0.1804,0.7363,1.4880,0.5836,1.2841,1.0903,0.3519"
6,2026-09-22 02:12:41,Ours,0.01,1.3818748620845467,21.8625,21.8625,6,13.4985,0:13.50,8.3863,2.5374,2.574,82.9887,1:22.99,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,1,2,6];5:[0,2];7:[0,1,2,3,6];3:[0,2,6];1:[0,2,6];9:[0,1,2,6];0:[0,2,6];4:[0];6:[0,2]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,1,2,6]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,1,2,3,6]; c3:bw=36,experts=[0,2,6]; c1:bw=32,experts=[0,2,6]; c9:bw=48,experts=[0,1,2,6]; c0:bw=31,experts=[0,2,6]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","0.1714,1.0709,0.7341,1.4704,1.2955,1.0737,0.3547,0.7305,0.8962,0.5888"
7,2026-09-22 02:12:54,Ours,0.01,1.3556119241369164,22.525,22.525,7,13.2687,0:13.27,8.3793,2.3401,2.5485,96.2686,1:36.27,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,6];5:[0,1,2,6];2:[0,2,6,7];6:[0];3:[0,2];7:[0,2,6];4:[0];1:[0];8:[0,1,2,6,7];9:[0]","c0:bw=36,experts=[0,2,6]; c5:bw=49,experts=[0,1,2,6]; c2:bw=40,experts=[0,2,6,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,6,7]; c9:bw=10,experts=[0]","0.7254,0.7437,1.0714,0.5914,1.2884,1.4699,0.9104,1.0552,0.1819,0.3415"
8,2026-09-22 02:13:08,Ours,0.01,1.4317403409782035,24.675,24.675,8,13.4873,0:13.49,8.3791,2.5649,2.5426,109.7679,1:49.77,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[0,2,5];1:[0,2,5,6,7];3:[0,2,5];0:[0,2,5];5:[0,5];2:[0,1,2,5,6];9:[0,1,2,5,6];7:[5];6:[0,2,5,7]","c4:bw=10,experts=[5]; c8:bw=37,experts=[0,2,5]; c1:bw=58,experts=[0,2,5,6,7]; c3:bw=37,experts=[0,2,5]; c0:bw=32,experts=[0,2,5]; c5:bw=28,experts=[0,5]; c2:bw=54,experts=[0,1,2,5,6]; c9:bw=59,experts=[0,1,2,5,6]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,2,5,7]","0.9054,0.1701,1.0628,1.2980,0.7393,0.7428,1.0534,0.3500,1.4647,0.5927"
9,2026-09-22 02:13:21,Ours,0.01,1.3674488142956105,28.675,28.675,9,13.4206,0:13.42,8.343,2.5343,2.5424,123.2008,2:03.20,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,2,3,4,6];4:[0,1,2,4,6];9:[0,4];8:[4];6:[0,2,6];7:[0,2,4,6];5:[0,1,2,3,6];1:[4];3:[0,2]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,2,3,4,6]; c4:bw=59,experts=[0,1,2,4,6]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,6]; c7:bw=46,experts=[0,2,4,6]; c5:bw=52,experts=[0,1,2,3,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,2]","1.0348,0.7412,0.9109,0.3621,0.1755,0.5880,1.4632,0.7375,1.0552,1.2745"
10,2026-09-22 02:13:35,Ours,0.01,1.317514957195048,29.95,29.95,10,13.6156,0:13.62,8.3557,2.7007,2.5583,136.8294,2:16.83,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,1,2];2:[0,1,2];7:[0,2,7];0:[0,1,2,4,6];6:[0,1,2,3,4,6];3:[0,2,4,6];5:[0,1,2,3,6];8:[0,1,2];9:[0,1,2];1:[0,1,2,6]","c4:bw=37,experts=[0,1,2]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[0,2,7]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[0,2,4,6]; c5:bw=58,experts=[0,1,2,3,6]; c8:bw=35,experts=[0,1,2]; c9:bw=35,experts=[0,1,2]; c1:bw=41,experts=[0,1,2,6]","0.8995,1.0620,1.4555,0.7468,0.5990,1.2672,0.7316,0.1843,0.3522,1.0575"
