Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 02:00:12,Ours,0.00208,2.098944698975827,10.0625,10.0625,1,13.0462,0:13.05,9.7208,0.2232,3.1013,13.0463,0:13.05,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.6933,1.2045,0.7981,0.7796,1.6754,1.1882,0.3093,1.0095,1.4541,0.6089"
2,2026-09-22 02:00:24,Ours,0.00406,1.709539591529357,23.0,23.0,2,11.954,0:11.95,8.858,0.1924,2.902,25.2675,0:25.27,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,6];7:[0,1,2,6,7];9:[0,2,6,7];6:[0];2:[0,6]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,6]","0.7461,1.1642,0.0984,0.7659,1.4334,0.9547,1.6621,0.2904,0.5773,1.1657"
3,2026-09-22 02:00:36,Ours,0.006040000000000001,1.4769197831774015,22.4875,23.0,2,11.9698,0:11.97,8.6915,0.1714,3.106,37.2507,0:37.25,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,1,2,3,6];6:[0,2,3,6];8:[0,2,3];5:[0];3:[0,3];7:[0,2,3];1:[0];4:[0,1,2,3,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,1,2,3,6]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,1,2,3,6]","0.2776,1.1552,0.7635,0.5535,0.0776,0.7414,1.3743,1.6509,1.1265,0.9709"
4,2026-09-22 02:00:48,Ours,0.00802,1.3252085026986282,31.175,31.175,4,12.2093,0:12.21,9.0633,0.1285,3.0166,49.4737,0:49.47,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,1,2,3];6:[0,1,2,3,6];2:[0,1,2,3,5,6];8:[0,2,3];0:[0,1,2,3,6];3:[0,2,3];4:[0,1,2,3,5];5:[0,1,2,3,5,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,1,2,3]; c6:bw=53,experts=[0,1,2,3,6]; c2:bw=60,experts=[0,1,2,3,5,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,5]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,3]","1.1225,1.7490,0.6046,1.2647,0.0953,0.8234,1.4377,0.9510,0.7347,0.2803"
5,2026-09-22 02:01:00,Ours,0.01,1.3180010921409617,30.35,31.175,4,11.6369,0:11.64,8.5435,0.1624,2.9301,61.1247,1:01.12,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,1,2,3];4:[0,2,3,5];8:[0,2,3];0:[0,1,2,3,4];7:[0,3];6:[0,1,2,3,4];3:[0,1,2,3,4,5];2:[0];9:[0,1,2,3,4,5]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,1,2,3]; c4:bw=48,experts=[0,2,3,5]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,1,2,3,4]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,4]; c3:bw=63,experts=[0,1,2,3,4,5]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,5]","1.0828,0.7454,0.9391,0.0882,0.7325,1.6013,0.5728,1.3749,1.1248,0.2817"
6,2026-09-22 02:01:12,Ours,0.01,1.3825596764205526,28.0125,31.175,4,12.0347,0:12.03,8.7118,0.18,3.1419,73.1733,1:13.17,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,4,5];2:[0,2,3,5];5:[0,3];7:[0,1,2,3,5];3:[0,2,3];1:[0,2,3];9:[0,2,3,5];0:[0,2,3];4:[0];6:[0,3]","c8:bw=67,experts=[0,1,2,3,4,5]; c2:bw=42,experts=[0,2,3,5]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,1,2,3,5]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,5]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","0.0826,1.1470,0.7566,1.6296,1.3906,1.1355,0.2891,0.7571,0.9557,0.5680"
7,2026-09-22 02:01:24,Ours,0.01,1.3892391174641283,31.625,31.625,7,11.8139,0:11.81,8.6487,0.1751,2.9891,85.0025,1:25.00,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,5];2:[0,2,3,5];6:[0];3:[0,3];7:[0,2,3];4:[0];1:[0];8:[0,2,3,4,5];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,5]; c2:bw=40,experts=[0,2,3,5]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,4,5]; c9:bw=10,experts=[0]","0.7466,0.7573,1.1309,0.5740,1.3775,1.6185,0.9607,1.1139,0.0833,0.2859"
8,2026-09-22 02:01:35,Ours,0.01,1.4237424627098931,34.175,34.175,8,11.4409,0:11.44,8.1623,0.1743,3.1034,96.4573,1:36.46,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,3,5];1:[0,1,2,3,5];3:[0,2,3];0:[0,5,7];5:[0,3];2:[0,2,3,5,7];9:[0,2,3,4,5];7:[0];6:[0,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,3,5]; c1:bw=58,experts=[0,1,2,3,5]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[0,5,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,5,7]; c9:bw=59,experts=[0,2,3,4,5]; c7:bw=15,experts=[0]; c6:bw=41,experts=[0,3,5,7]","0.9031,0.0893,1.0950,1.3296,0.7159,0.6433,1.0006,0.2802,1.5463,0.5589"
9,2026-09-22 02:01:47,Ours,0.01,1.297273572592063,33.375,34.175,8,11.906,0:11.91,8.5973,0.2376,3.0701,108.3783,1:48.38,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,2,3,4,5];4:[0,2,3,4,5];9:[0,3];8:[0];6:[0,2,3];7:[0,3,4,5];5:[0,2,3,4,5];1:[4];3:[0,3]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,2,3,4,5]; c4:bw=59,experts=[0,2,3,4,5]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,3,4,5]; c5:bw=52,experts=[0,2,3,4,5]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,3]","1.1191,0.7582,0.9617,0.2950,0.0877,0.5743,1.5975,0.7386,1.0961,1.3689"
10,2026-09-22 02:01:59,Ours,0.01,1.2400459592194086,38.15,38.15,10,11.7905,0:11.79,8.5842,0.1732,3.0322,120.1848,2:00.18,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,3,5];2:[0,3,5];7:[0,6,7];0:[0,2,3,4,5];6:[0,2,3,4,5,6];3:[0,3,6,7];5:[0,2,3,4,5];8:[0,6,7];9:[0,3,7];1:[0,3,5,7]","c4:bw=37,experts=[0,3,5]; c2:bw=34,experts=[0,3,5]; c7:bw=37,experts=[0,6,7]; c0:bw=59,experts=[0,2,3,4,5]; c6:bw=65,experts=[0,2,3,4,5,6]; c3:bw=46,experts=[0,3,6,7]; c5:bw=58,experts=[0,2,3,4,5]; c8:bw=35,experts=[0,6,7]; c9:bw=35,experts=[0,3,7]; c1:bw=41,experts=[0,3,5,7]","0.9244,1.1191,1.6073,0.7490,0.5674,1.3847,0.7586,0.0853,0.2935,1.0950"
