Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:41:28,Ours,0.00208,2.0988442482107525,10.025,10.025,1,11.2384,0:11.24,8.4164,0.1292,2.6907,11.2384,0:11.24,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.5749,1.0563,0.6914,0.6730,1.4455,1.0242,0.2685,0.8718,1.2664,0.5444"
2,2026-09-22 01:41:38,Ours,0.00406,1.8302692594553374,17.05,17.05,2,10.4134,0:10.41,7.5771,0.1261,2.7093,21.876,0:21.88,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,6];7:[0,1,2,6,7];9:[0,2,6,7];6:[0];2:[0,6]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,6]","0.6113,0.9769,0.0693,0.6621,1.2501,0.8173,1.4563,0.2532,0.4935,0.9872"
3,2026-09-22 01:41:49,Ours,0.006040000000000001,1.4063604492455677,30.55,30.55,3,10.4555,0:10.46,7.6298,0.1165,2.7084,32.3431,0:32.34,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,1,2,3,6];6:[0,2,3,6];8:[0,3,6];5:[0];3:[0,3];7:[0,3,6];1:[0];4:[0,1,2,3,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,1,2,3,6]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,3,6]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,3,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,1,2,3,6]","0.2494,1.0926,0.6737,0.5225,0.0780,0.6558,1.2292,1.3741,0.9414,0.8131"
4,2026-09-22 01:41:59,Ours,0.00802,1.3376518123412349,24.65,30.55,3,10.571,0:10.57,7.7456,0.1275,2.697,42.9268,0:42.93,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,1,2,3,6,7];8:[0,2,3];0:[0,1,2,3,6];3:[0,2,3];4:[0,1,2,3,6];5:[0,1,2,3,5,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,1,2,3,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,6]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,3]","0.9983,1.4558,0.5110,1.0196,0.0779,0.6593,1.2488,0.8512,0.6615,0.2623"
5,2026-09-22 01:42:10,Ours,0.01,1.3243017524219094,30.55,30.55,3,10.4352,0:10.44,7.5686,0.1244,2.7415,53.3754,0:53.38,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,1,2,3];4:[0,1,2,3];8:[0,1,3];0:[0,1,2,3,6];7:[0,3];6:[0,1,2,3,6];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,1,2,3]; c4:bw=48,experts=[0,1,2,3]; c8:bw=37,experts=[0,1,3]; c0:bw=50,experts=[0,1,2,3,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,6]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","0.9356,0.6293,0.8011,0.0820,0.6239,1.4536,0.5083,1.2521,1.0187,0.2642"
6,2026-09-22 01:42:20,Ours,0.01,1.3059972464803693,22.3625,30.55,3,10.5389,0:10.54,7.7492,0.1197,2.6665,63.9293,1:03.93,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,1,2,3];5:[0,3];7:[0,1,2,3,6];3:[0,2,3];1:[0,2,3];9:[0,1,2,3];0:[0,2,3];4:[0];6:[0,3]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,1,2,3]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,1,2,3,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,1,2,3]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","0.0772,1.0424,0.6736,1.4825,1.2628,1.0023,0.2623,0.6628,0.8032,0.4801"
7,2026-09-22 01:42:31,Ours,0.01,1.3301926425179051,33.05,33.05,7,10.5762,0:10.58,7.7261,0.1225,2.7267,74.5188,1:14.52,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,3,6];5:[0,1,2,3];2:[0,2,3,6];6:[0];3:[0,3];7:[0,3,6];4:[0];1:[0];8:[0,1,2,3,6];9:[0]","c0:bw=36,experts=[0,3,6]; c5:bw=49,experts=[0,1,2,3]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,3,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[0]","0.6535,0.6703,1.0239,0.5036,1.2544,1.4646,0.8332,0.9890,0.0767,0.2569"
8,2026-09-22 01:42:41,Ours,0.01,1.4240593790314653,27.9875,33.05,7,10.4069,0:10.41,7.582,0.1154,2.7066,84.9396,1:24.94,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[0,3,5];1:[0,1,3,5,6];3:[0,3,5];0:[0,5,7];5:[0,3];2:[0,1,2,3,5];9:[0,1,2,3,5];7:[5];6:[0,3,5,7]","c4:bw=10,experts=[5]; c8:bw=37,experts=[0,3,5]; c1:bw=58,experts=[0,1,3,5,6]; c3:bw=37,experts=[0,3,5]; c0:bw=32,experts=[0,5,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,1,2,3,5]; c9:bw=59,experts=[0,1,2,3,5]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,3,5,7]","0.8388,0.0857,0.9972,1.1801,0.6258,0.6380,1.0035,0.2586,1.4495,0.5047"
9,2026-09-22 01:42:52,Ours,0.01,1.2450074960155495,30.1125,33.05,7,10.4049,0:10.40,7.727,0.1195,2.5576,95.3574,1:35.36,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,2,3,4,6];4:[0,1,3,4,7];9:[0,4];8:[4];6:[0,3,6];7:[0,3,4,6];5:[0,1,2,3,4];1:[4];3:[0,4]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,2,3,4,6]; c4:bw=59,experts=[0,1,3,4,7]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,3,6]; c7:bw=46,experts=[0,3,4,6]; c5:bw=52,experts=[0,1,2,3,4]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,4]","1.0013,0.6667,0.8484,0.2555,0.0726,0.5096,1.4579,0.6713,0.9992,1.2446"
10,2026-09-22 01:43:02,Ours,0.01,1.331476756716006,29.325,33.05,7,10.6485,0:10.65,7.7929,0.1258,2.7262,106.0195,1:46.02,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,1,3];2:[0,1,3];7:[0,3,7];0:[0,1,2,3,6];6:[0,1,2,3,6,7];3:[0,2,3,6];5:[0,1,2,3,6];8:[0,1,3];9:[0,1,3];1:[0,3,6,7]","c4:bw=37,experts=[0,1,3]; c2:bw=34,experts=[0,1,3]; c7:bw=37,experts=[0,3,7]; c0:bw=59,experts=[0,1,2,3,6]; c6:bw=65,experts=[0,1,2,3,6,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,1,2,3,6]; c8:bw=35,experts=[0,1,3]; c9:bw=35,experts=[0,1,3]; c1:bw=41,experts=[0,3,6,7]","0.8391,1.0369,1.4720,0.6693,0.5099,1.2601,0.6724,0.0778,0.2582,0.9972"
