Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 01:59:26,Ours,0.00208,2.0988506779098755,10.7,10.7,1,10.7949,0:10.79,8.1435,0.1405,2.508,10.7949,0:10.79,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,7];1:[3,4];5:[0,2,3,4];0:[4];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,7];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,7]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[4]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,7]; c6:bw=41,experts=[0,2,3,4]","0.5572,1.0206,0.6748,0.6630,1.4054,0.9918,0.2569,0.8459,1.2176,0.5102"
2,2026-09-22 01:59:36,Ours,0.00406,1.7912347774034245,11.6625,11.6625,2,10.0757,0:10.08,7.3455,0.1315,2.5964,21.0858,0:21.09,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,6];7:[0,1,2,6,7];9:[0,2,6,7];6:[0];2:[0,6]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,1,2,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,6]","0.5866,0.9317,0.0752,0.6433,1.1963,0.8172,1.3804,0.2511,0.4969,0.9669"
3,2026-09-22 01:59:46,Ours,0.006040000000000001,1.5661331435500896,19.2,19.2,3,9.8814,0:09.88,7.1995,0.1247,2.5549,30.9781,0:30.98,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,6,7];2:[0,2,6,7];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,6];5:[0];3:[0,6];7:[0,2,6];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,6,7]; c2:bw=42,experts=[0,2,6,7]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,6]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,6]; c7:bw=33,experts=[0,2,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","0.2361,0.9681,0.6539,0.4873,0.0688,0.6261,1.1721,1.3060,0.9059,0.7751"
4,2026-09-22 01:59:56,Ours,0.00802,1.4612071034684821,26.85,26.85,4,10.2088,0:10.21,7.4854,0.1333,2.5878,41.1983,0:41.20,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,1,2,3,6,7];8:[0,2,3];0:[0,2,3,4,6];3:[0,2,3];4:[0,1,2,3,6];5:[0,1,2,3,5,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,4,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,1,2,3,6]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,3]","0.9697,1.4058,0.4952,0.9855,0.0723,0.6513,1.1893,0.8275,0.6390,0.2498"
5,2026-09-22 02:00:06,Ours,0.01,1.418405346102956,24.6125,26.85,4,10.0722,0:10.07,7.3451,0.1323,2.5926,51.2831,0:51.28,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,1,2,3];4:[0,1,2,3];8:[0,2,3];0:[0,2,3,4,6];7:[0,3];6:[0,2,3,4,6];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,1,2,3]; c4:bw=48,experts=[0,1,2,3]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,4,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","0.9291,0.6024,0.7776,0.0668,0.6241,1.3863,0.4978,1.2096,0.9979,0.2536"
6,2026-09-22 02:00:16,Ours,0.01,1.4071837313276665,28.575,28.575,6,10.1282,0:10.13,7.4683,0.1237,2.534,61.4252,1:01.43,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,1,2,3];5:[0,2];7:[0,1,2,3,6];3:[0,2,3];1:[0,3,6];9:[0,1,2,3];0:[0,2,3];4:[0];6:[0,3]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,1,2,3]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,1,2,3,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,3,6]; c9:bw=48,experts=[0,1,2,3]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","0.0752,1.0165,0.6516,1.4214,1.2003,0.9738,0.2491,0.6477,0.7734,0.4592"
7,2026-09-22 02:00:27,Ours,0.01,1.3913544200205261,23.075,28.575,6,10.1976,0:10.20,7.4632,0.1327,2.5996,71.6356,1:11.64,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,1,2,6];2:[0,1,2,3];6:[0];3:[0,3];7:[0,3,6];4:[0];1:[0];8:[0,1,2,3,6];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,1,2,6]; c2:bw=40,experts=[0,1,2,3]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,3,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[0]","0.6404,0.6468,1.0004,0.4872,1.2033,1.3915,0.8126,0.9616,0.0718,0.2476"
8,2026-09-22 02:00:37,Ours,0.01,1.5467080778706515,29.9375,29.9375,8,10.0983,0:10.10,7.3455,0.1328,2.6176,81.7468,1:21.75,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[5];8:[0,1,5];1:[0,1,3,5,6];3:[0,3,5];0:[0,1,5];5:[0,1];2:[0,2,3,5,6];9:[0,1,2,3,5];7:[5];6:[0,1,5,7]","c4:bw=10,experts=[5]; c8:bw=37,experts=[0,1,5]; c1:bw=58,experts=[0,1,3,5,6]; c3:bw=37,experts=[0,3,5]; c0:bw=32,experts=[0,1,5]; c5:bw=28,experts=[0,1]; c2:bw=54,experts=[0,2,3,5,6]; c9:bw=59,experts=[0,1,2,3,5]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,1,5,7]","0.8034,0.0742,0.9855,1.1442,0.6083,0.6041,0.9748,0.2570,1.4028,0.4912"
9,2026-09-22 02:00:47,Ours,0.01,1.4913316666488012,20.7375,29.9375,8,10.1013,0:10.10,7.4996,0.1277,2.4732,91.8616,1:31.86,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,4];0:[0,1,2,3,6];4:[0,1,2,4,6];9:[0,4];8:[4];6:[0,2,3];7:[0,3,4,6];5:[0,1,2,4,6];1:[4];3:[0,4]","c2:bw=21,experts=[0,4]; c0:bw=52,experts=[0,1,2,3,6]; c4:bw=59,experts=[0,1,2,4,6]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,3,4,6]; c5:bw=52,experts=[0,1,2,4,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,4]","0.9898,0.6611,0.8353,0.2514,0.0706,0.5027,1.3940,0.6393,0.9622,1.1933"
10,2026-09-22 02:00:57,Ours,0.01,1.4456031132845104,32.1625,32.1625,10,10.2474,0:10.25,7.5213,0.1321,2.5918,102.121,1:42.12,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,1,2];2:[0,2,3];7:[0,3,7];0:[0,2,3,4,6];6:[0,2,3,4,6,7];3:[0,2,3,6];5:[0,1,2,6,7];8:[0,1,3];9:[0,2,3];1:[0,3,6,7]","c4:bw=37,experts=[0,1,2]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,3,7]; c0:bw=59,experts=[0,2,3,4,6]; c6:bw=65,experts=[0,2,3,4,6,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,1,2,6,7]; c8:bw=35,experts=[0,1,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,3,6,7]","0.7716,1.0085,1.4054,0.6524,0.4951,1.2297,0.6503,0.0736,0.2511,0.9834"
