Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 19:26:45,Ours,0.00208,1.492351508179326,24.158727719729562,24.158727719729562,1,79.3845,1:19.38,75.7166,0.2177,3.4488,79.3845,1:19.38,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","3.6179,13.6113,2.8505,4.9415,14.1703,9.9898,3.8639,8.9505,1.6318,12.0891"
2,2026-09-21 19:28:03,Ours,0.00406,1.1518654356092743,36.301475107559924,36.301475107559924,2,77.9427,1:17.94,74.6169,0.1712,3.1532,157.4979,2:37.50,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,2,4,5,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,2,4,5,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","5.6690,13.8688,3.2092,2.8063,1.5560,8.6617,14.6202,3.6498,11.1643,9.4116"
3,2026-09-21 19:29:20,Ours,0.006040000000000001,0.8712118918554175,34.34234787953288,36.301475107559924,2,76.7297,1:16.73,73.4228,0.1612,3.1442,234.2403,3:54.24,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,4,6];2:[2,3,4,6];0:[1,2,3,4,6];6:[2,3,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[2,3,4,6,7]","c9:bw=48,experts=[2,3,4,6]; c2:bw=42,experts=[2,3,4,6]; c0:bw=50,experts=[1,2,3,4,6]; c6:bw=40,experts=[2,3,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[2,3,4,6,7]","3.6970,9.5607,5.0260,11.1196,3.2224,2.7640,1.5335,14.7232,13.1701,8.6063"
4,2026-09-21 19:30:38,Ours,0.00802,0.7723173160443116,53.15765212046712,53.15765212046712,4,77.8644,1:17.86,74.5749,0.1566,3.1316,312.1182,5:12.12,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,4,6,7];7:[2,4,6,7];6:[2,3,4,6,7];2:[0,2,3,4,6,7];8:[2,4,6];0:[2,3,4,6,7];3:[2,4,6];4:[2,3,4,6,7];5:[0,1,2,3,4,6,7];9:[4,6]","c1:bw=40,experts=[2,4,6,7]; c7:bw=45,experts=[2,4,6,7]; c6:bw=53,experts=[2,3,4,6,7]; c2:bw=60,experts=[0,2,3,4,6,7]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[2,3,4,6,7]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[4,6]","13.7816,15.3768,11.1160,9.3522,3.2300,5.1998,1.5396,8.5344,2.7818,3.6626"
5,2026-09-21 19:31:56,Ours,0.01,0.7326016463483047,61.94299323909035,61.94299323909035,5,77.8061,1:17.81,74.3214,0.1722,3.3111,389.9375,6:29.94,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[2,4];5:[2,4,6,7];4:[2,4,6,7];8:[2,4,7];0:[2,3,4,6,7];7:[2,4];6:[2,3,4,6,7];3:[0,2,3,4,6,7];2:[4];9:[0,2,3,4,6,7]","c1:bw=20,experts=[2,4]; c5:bw=40,experts=[2,4,6,7]; c4:bw=48,experts=[2,4,6,7]; c8:bw=37,experts=[2,4,7]; c0:bw=50,experts=[2,3,4,6,7]; c7:bw=24,experts=[2,4]; c6:bw=53,experts=[2,3,4,6,7]; c3:bw=63,experts=[0,2,3,4,6,7]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,2,3,4,6,7]","13.3716,2.8499,8.7908,3.2545,5.0862,14.7035,11.1421,1.5621,9.4717,4.0889"
6,2026-09-21 19:33:16,Ours,0.01,0.7093472224709289,71.42363245236632,71.42363245236632,6,80.5603,1:20.56,77.229,0.1619,3.168,470.5141,7:50.51,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[2,4,6,7];5:[2,4];7:[2,3,4,6,7];3:[2,4,7];1:[2,4,6];9:[2,4,6,7];0:[2,4,7];4:[4];6:[2,4]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[2,4]; c7:bw=58,experts=[2,3,4,6,7]; c3:bw=36,experts=[2,4,7]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[2,4,6,7]; c0:bw=31,experts=[2,4,7]; c4:bw=17,experts=[4]; c6:bw=20,experts=[2,4]","3.5532,9.8487,2.8121,16.7499,1.7892,13.7724,3.8330,5.0647,8.6534,11.1524"
7,2026-09-21 19:34:34,Ours,0.01,0.6847710559637255,83.15150583896742,83.15150583896742,7,77.3495,1:17.35,74.0658,0.1557,3.1266,547.879,9:07.88,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,7];5:[2,4,6,7];2:[2,4,6,7];6:[4];3:[2,4];7:[2,4,7];4:[4];1:[4];8:[2,3,4,6,7];9:[4]","c0:bw=36,experts=[2,4,7]; c5:bw=49,experts=[2,4,6,7]; c2:bw=40,experts=[2,4,6,7]; c6:bw=13,experts=[4]; c3:bw=26,experts=[2,4]; c7:bw=31,experts=[2,4,7]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[2,3,4,6,7]; c9:bw=10,experts=[4]","5.0807,2.8593,9.4848,11.1726,1.5964,15.0502,8.6417,13.1594,3.2574,3.7633"
8,2026-09-21 19:35:51,Ours,0.01,0.6759370238867903,86.23617086662568,86.23617086662568,8,77.6453,1:17.65,74.4136,0.1604,3.0701,625.5424,10:25.54,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[0];8:[2,4,7];1:[1,2,3,4,5];3:[2,4,7];0:[0,4,5];5:[2,4];2:[1,2,4,5,7];9:[2,4,5,6,7];7:[1];6:[0,2,4,5]","c4:bw=10,experts=[0]; c8:bw=37,experts=[2,4,7]; c1:bw=58,experts=[1,2,3,4,5]; c3:bw=37,experts=[2,4,7]; c0:bw=32,experts=[0,4,5]; c5:bw=28,experts=[2,4]; c2:bw=54,experts=[1,2,4,5,7]; c9:bw=59,experts=[2,4,5,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,2,4,5]","8.6794,3.3306,13.5870,1.7067,5.4235,2.9134,9.4589,3.7496,14.3974,11.1670"
9,2026-09-21 19:37:08,Ours,0.01,0.6472238630341067,90.46942224953902,90.46942224953902,9,76.4854,1:16.49,73.224,0.1533,3.1067,702.0417,11:42.04,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[2,3,4,6,7];4:[1,2,4,5,7];9:[1,4];8:[1];6:[1,4,7];7:[2,4,6,7];5:[2,3,4,6,7];1:[4];3:[2,4]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[2,3,4,6,7]; c4:bw=59,experts=[1,2,4,5,7]; c9:bw=26,experts=[1,4]; c8:bw=18,experts=[1]; c6:bw=31,experts=[1,4,7]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[2,3,4,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[2,4]","9.4370,5.0511,8.7676,3.7370,3.1861,11.0670,14.7488,2.7754,12.9202,1.5337"
10,2026-09-21 19:38:28,Ours,0.01,0.6376835633931929,91.55270436385986,91.55270436385986,10,79.9562,1:19.96,76.7477,0.1576,3.0496,782.0121,13:02.01,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,7];2:[2,4,7];7:[0,4,5];0:[2,3,4,6,7];6:[2,3,4,5,6,7];3:[1,2,4,5];5:[2,4,5,6,7];8:[0,4,7];9:[2,4,7];1:[0,2,4,7]","c4:bw=37,experts=[2,4,7]; c2:bw=34,experts=[2,4,7]; c7:bw=37,experts=[0,4,5]; c0:bw=59,experts=[2,3,4,6,7]; c6:bw=65,experts=[2,3,4,5,6,7]; c3:bw=46,experts=[1,2,4,5]; c5:bw=58,experts=[2,4,5,6,7]; c8:bw=35,experts=[0,4,7]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,2,4,7]","8.7821,9.7592,15.4933,5.0174,11.7431,1.7705,3.1405,3.6299,4.1777,13.2341"
