Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 18:36:59,Ours,0.00208,1.4904761823194903,11.543484941610325,11.543484941610325,1,93.5966,1:33.60,89.4817,0.2724,3.8411,93.5966,1:33.60,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","4.5156,16.4086,3.2442,6.1486,17.2907,11.6345,4.4227,10.3458,1.8336,13.6374"
2,2026-09-21 18:38:32,Ours,0.00406,1.375230401737079,11.07098955132145,11.543484941610325,1,93.1022,1:33.10,89.1233,0.2429,3.7344,186.8747,3:06.87,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,1,2,4,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","6.4964,15.8424,3.5623,3.1223,1.8976,10.7968,16.8872,4.5447,14.3766,11.5970"
3,2026-09-21 18:40:07,Ours,0.006040000000000001,1.3066030719204467,19.552858020897357,19.552858020897357,3,94.9328,1:34.93,91.11,0.214,3.6073,281.8229,4:41.82,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,4,5,6];2:[2,4,5,6];0:[0,2,4,5,6];6:[2,4,5,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,2,4,5,6]","c9:bw=48,experts=[2,4,5,6]; c2:bw=42,experts=[2,4,5,6]; c0:bw=50,experts=[0,2,4,5,6]; c6:bw=40,experts=[2,4,5,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,2,4,5,6]","4.4528,12.2342,5.7750,14.3867,4.0523,3.5893,1.8693,17.1337,16.5199,11.0967"
4,2026-09-21 18:41:43,Ours,0.00802,1.1974915005068616,19.587430854333128,19.587430854333128,4,95.8197,1:35.82,91.8338,0.2182,3.7661,377.6588,6:17.66,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,6];7:[1,2,4,6];6:[1,2,4,5,6];2:[0,1,2,4,5,6];8:[2,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[1,2,4,6]; c7:bw=45,experts=[1,2,4,6]; c6:bw=53,experts=[1,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","17.1190,17.2732,14.4501,11.9281,4.1303,6.5170,1.8820,10.5096,3.5397,4.4848"
5,2026-09-21 18:43:19,Ours,0.01,1.0588340533966376,19.587430854333128,19.587430854333128,4,95.7012,1:35.70,91.7313,0.2088,3.7596,473.3746,7:53.37,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,4];5:[0,1,4,6];4:[0,1,4,6];8:[0,4,6];0:[0,1,4,5,6];7:[0,4];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[0,4]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[0,1,4,6]; c8:bw=37,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[0,4]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","16.4649,3.4264,10.8584,4.0964,6.5479,17.7158,14.4588,1.9925,11.6578,4.5123"
6,2026-09-21 18:44:54,Ours,0.01,0.9736543271611857,19.587430854333128,19.587430854333128,4,95.6113,1:35.61,91.6365,0.203,3.7703,569.0013,9:29.00,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,1,4,6];5:[4,6];7:[0,1,4,5,6];3:[0,4,6];1:[0,4,6];9:[0,1,4,6];0:[0,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c9:bw=48,experts=[0,1,4,6]; c0:bw=31,experts=[0,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","4.1153,12.1676,3.2896,18.5327,2.0065,15.9963,4.7440,6.4229,10.3770,13.9845"
7,2026-09-21 18:46:30,Ours,0.01,0.908030569608143,20.47480024585126,20.47480024585126,7,95.4494,1:35.45,91.4983,0.2044,3.7449,664.4657,11:04.47,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,6];5:[0,2,4,6];2:[0,2,4,6];6:[4];3:[4,6];7:[0,4,6];4:[4];1:[4];8:[0,1,2,4,6];9:[4]","c0:bw=36,experts=[0,4,6]; c5:bw=49,experts=[0,2,4,6]; c2:bw=40,experts=[0,2,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[0,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]","6.4021,3.4933,11.9434,14.0279,2.0086,18.2092,10.8861,15.7073,4.0691,4.7511"
8,2026-09-21 18:48:05,Ours,0.01,0.8946209459364051,24.585125998770742,24.585125998770742,8,95.1362,1:35.14,91.1629,0.1964,3.7754,759.6183,12:39.62,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[0,3,4,5,7];3:[3,4,7];0:[3,4,7];5:[4,7];2:[0,3,4,6,7];9:[0,3,4,6,7];7:[3];6:[0,3,4,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[0,3,4,5,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[0,3,4,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[0,3,4,7]","10.8861,3.7207,16.4115,1.9736,6.3749,3.3470,11.8021,4.7207,18.1346,13.7914"
9,2026-09-21 18:49:41,Ours,0.01,0.8327455201247786,44.99078057775046,44.99078057775046,9,96.3154,1:36.32,92.1851,0.2011,3.9276,855.9513,14:15.95,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,5];0:[0,1,4,5,6];4:[0,1,4,5,7];9:[4,5];8:[4];6:[1,4,5];7:[1,4,5,7];5:[0,1,4,5,6];1:[4];3:[4,5]","c2:bw=21,experts=[4,5]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[0,1,4,5,7]; c9:bw=26,experts=[4,5]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,5]; c7:bw=46,experts=[1,4,5,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,5]","12.2098,6.1926,10.9681,4.8226,4.0502,13.5269,18.8926,3.5466,15.9601,2.0155"
10,2026-09-21 18:51:18,Ours,0.01,0.8039821992473796,51.26767055931162,51.26767055931162,10,96.9556,1:36.96,92.8606,0.211,3.8823,952.9241,15:52.92,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,4,6];2:[4,5,6];7:[1,4,6];0:[0,1,4,5,6];6:[0,1,3,4,5,6];3:[0,4,5,6];5:[0,1,4,5,6];8:[4,5,6];9:[4,5,6];1:[0,4,5,6]","c4:bw=37,experts=[0,4,6]; c2:bw=34,experts=[4,5,6]; c7:bw=37,experts=[1,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,3,4,5,6]; c3:bw=46,experts=[0,4,5,6]; c5:bw=58,experts=[0,1,4,5,6]; c8:bw=35,experts=[4,5,6]; c9:bw=35,experts=[4,5,6]; c1:bw=41,experts=[0,4,5,6]","10.6507,12.3141,18.5358,6.5693,14.1740,2.0015,3.6296,4.1408,4.8095,16.0353"
