Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 18:50:46,Ours,0.00208,1.4943075164802746,11.240012292563,11.240012292563,1,90.3492,1:30.35,82.316,4.7091,3.3228,90.3492,1:30.35,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","4.0994,14.9726,3.1465,5.5726,15.7117,10.8646,4.1464,9.4257,1.8462,12.5301"
2,2026-09-21 18:52:17,Ours,0.00406,1.374415296169309,12.596035648432698,12.596035648432698,2,90.4229,1:30.42,82.5774,4.4911,3.353,180.9127,3:00.91,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[1,2,4,6];8:[1,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[1,2,4,5,6];9:[1,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[1,2,4,6]; c8:bw=48,experts=[1,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[1,2,4,5,6]; c9:bw=46,experts=[1,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","5.8108,14.8614,3.7144,3.1594,1.8250,9.9289,15.7618,4.0918,12.6394,10.7845"
3,2026-09-21 18:53:49,Ours,0.006040000000000001,1.293246654178863,19.591272280270438,19.591272280270438,3,91.8589,1:31.86,84.1077,4.3644,3.3854,272.7837,4:32.78,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[0,4,6];5:[4];3:[4,6];7:[0,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[0,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[0,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","4.2431,10.9341,5.8798,12.7033,3.7885,3.3163,1.8733,16.4291,14.9779,9.9622"
4,2026-09-21 18:55:21,Ours,0.00802,1.1595693463994752,19.587430854333128,19.591272280270438,3,92.2229,1:32.22,84.182,4.7095,3.3301,365.0207,6:05.02,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,4,6];7:[0,4,5,6];6:[0,1,4,5,6];2:[0,1,2,4,5,6];8:[0,4,6];0:[0,1,4,5,6];3:[0,4,6];4:[0,2,4,5,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,2,4,6]; c7:bw=45,experts=[0,4,5,6]; c6:bw=53,experts=[0,1,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[0,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c3:bw=34,experts=[0,4,6]; c4:bw=56,experts=[0,2,4,5,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","15.0544,16.8409,12.7311,10.7495,3.7446,5.8526,1.8866,9.6915,3.3623,4.2686"
5,2026-09-21 18:56:52,Ours,0.01,1.0187595064197938,19.587430854333128,19.591272280270438,3,91.1322,1:31.13,83.2863,4.5123,3.3323,456.1659,7:36.17,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,4];5:[0,2,4,6];4:[0,2,4,6];8:[0,4,6];0:[0,2,4,5,6];7:[0,4];6:[0,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[0,4]; c5:bw=40,experts=[0,2,4,6]; c4:bw=48,experts=[0,2,4,6]; c8:bw=37,experts=[0,4,6]; c0:bw=50,experts=[0,2,4,5,6]; c7:bw=24,experts=[0,4]; c6:bw=53,experts=[0,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","14.7190,3.3416,9.7467,3.7371,5.7743,16.7794,12.4412,1.9228,10.5064,4.3177"
6,2026-09-21 18:58:23,Ours,0.01,0.937164660153319,19.93315918869084,19.93315918869084,6,90.9945,1:30.99,83.0911,4.4884,3.4136,547.174,9:07.17,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,4,5,6];5:[0,4];7:[0,2,4,5,6];3:[0,4,6];1:[0,4,6];9:[0,4,5,6];0:[0,4,6];4:[4];6:[0,4]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,4,5,6]; c5:bw=27,experts=[0,4]; c7:bw=58,experts=[0,2,4,5,6]; c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c9:bw=48,experts=[0,4,5,6]; c0:bw=31,experts=[0,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[0,4]","3.8093,10.5976,3.3410,16.6780,1.9220,14.7624,4.3062,5.7049,9.6740,12.2957"
7,2026-09-21 18:59:54,Ours,0.01,0.8711282379520255,32.486939151813154,32.486939151813154,7,90.971,1:30.97,83.2619,4.2928,3.415,638.1582,10:38.16,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,6];5:[0,2,4,6];2:[0,4,5,6];6:[4];3:[4,6];7:[0,4,6];4:[4];1:[4];8:[0,2,4,5,6];9:[4]","c0:bw=36,experts=[0,4,6]; c5:bw=49,experts=[0,2,4,6]; c2:bw=40,experts=[0,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[0,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,2,4,5,6]; c9:bw=10,experts=[4]","5.7747,3.3452,10.6836,12.3522,1.9026,16.6154,9.7747,14.7045,3.8064,4.3025"
8,2026-09-21 19:01:26,Ours,0.01,0.8573077558426331,40.04686539643516,40.04686539643516,8,91.9938,1:31.99,84.0546,4.4958,3.442,730.1669,12:10.17,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[0,3,4,6,7];9:[0,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[0,3,4,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","9.8413,3.8157,15.0596,1.8934,5.7926,3.2862,10.6782,4.3697,16.6831,12.6348"
9,2026-09-21 19:02:58,Ours,0.01,0.7984039399541176,49.969268592501535,49.969268592501535,9,92.094,1:32.09,84.1832,4.562,3.3475,822.2753,13:42.28,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[1,2,4,5,6];4:[1,4,5,6,7];9:[4,6];8:[4];6:[4,5,6];7:[1,4,6,7];5:[0,1,4,5,6];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[1,2,4,5,6]; c4:bw=59,experts=[1,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[4,5,6]; c7:bw=46,experts=[1,4,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","10.8206,5.8291,10.0212,4.3746,3.7668,12.5589,16.7297,3.3284,14.8369,1.9172"
10,2026-09-21 19:04:31,Ours,0.01,0.7749333263982715,50.84511370620775,50.84511370620775,10,92.4203,1:32.42,84.4489,4.539,3.431,914.7091,15:14.71,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[3,4,6];2:[3,4,6];7:[3,4,6];0:[1,2,3,4,6];6:[1,2,3,4,5,6];3:[3,4,5,6];5:[1,2,3,4,6];8:[3,4,6];9:[3,4,6];1:[1,3,4,6]","c4:bw=37,experts=[3,4,6]; c2:bw=34,experts=[3,4,6]; c7:bw=37,experts=[3,4,6]; c0:bw=59,experts=[1,2,3,4,6]; c6:bw=65,experts=[1,2,3,4,5,6]; c3:bw=46,experts=[3,4,5,6]; c5:bw=58,experts=[1,2,3,4,6]; c8:bw=35,experts=[3,4,6]; c9:bw=35,experts=[3,4,6]; c1:bw=41,experts=[1,3,4,6]","10.0075,10.8029,16.7884,5.8302,12.7073,1.9380,3.3529,3.7911,4.3333,14.8975"
