Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 18:18:26,Ours,0.00208,1.494676215940205,21.800092194222497,21.800092194222497,1,77.0284,1:17.03,73.6881,0.2344,3.1047,77.0285,1:17.03,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","3.6252,13.6368,2.6972,4.8865,14.0490,9.6745,3.5832,8.3614,1.5101,11.6643"
2,2026-09-21 18:19:43,Ours,0.00406,1.1630382201896574,32.10663798401967,32.10663798401967,2,76.3086,1:16.31,73.0717,0.1752,3.0603,153.4804,2:33.48,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,1,2,4,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","4.9521,13.0682,3.2003,2.8207,1.5538,8.5151,14.8476,3.6580,11.0791,9.3768"
3,2026-09-21 18:21:01,Ours,0.006040000000000001,0.8794734343060702,38.78687768899815,38.78687768899815,3,78.4326,1:18.43,75.0526,0.1871,3.1915,231.9248,3:51.92,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,4,6];2:[1,2,4,6];0:[1,2,4,6,7];6:[1,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[1,2,4,6,7]","c9:bw=48,experts=[1,2,4,6]; c2:bw=42,experts=[1,2,4,6]; c0:bw=50,experts=[1,2,4,6,7]; c6:bw=40,experts=[1,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[1,2,4,6,7]","3.9334,9.9600,5.1289,11.2129,3.4203,2.8342,1.5964,14.8479,13.4203,8.6982"
4,2026-09-21 18:22:21,Ours,0.00802,0.7779783174780033,49.896281499692684,49.896281499692684,4,79.639,1:19.64,76.2731,0.1816,3.1829,311.5769,5:11.58,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,4,6,7];7:[2,3,4,6];6:[2,3,4,6,7];2:[2,3,4,5,6,7];8:[2,4,6];0:[1,2,3,4,6];3:[2,4,6];4:[2,3,4,6,7];5:[1,2,3,4,5,6,7];9:[4,6]","c1:bw=40,experts=[2,4,6,7]; c7:bw=45,experts=[2,3,4,6]; c6:bw=53,experts=[2,3,4,6,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[1,2,3,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[2,3,4,6,7]; c5:bw=73,experts=[1,2,3,4,5,6,7]; c9:bw=22,experts=[4,6]","13.7107,15.1267,11.7424,9.8333,3.3172,5.2670,1.6297,8.8541,2.9028,3.8893"
5,2026-09-21 18:23:41,Ours,0.01,0.7359025016058859,53.03088506453596,53.03088506453596,5,80.1339,1:20.13,76.723,0.1861,3.2233,391.7242,6:31.72,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[2,4,6,7];4:[2,4,6,7];8:[2,4,6];0:[2,3,4,6,7];7:[2,4];6:[2,3,4,6,7];3:[2,3,4,5,6,7];2:[4];9:[2,3,4,5,6,7]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[2,4,6,7]; c4:bw=48,experts=[2,4,6,7]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[2,3,4,6,7]; c7:bw=24,experts=[2,4]; c6:bw=53,experts=[2,3,4,6,7]; c3:bw=63,experts=[2,3,4,5,6,7]; c2:bw=10,experts=[4]; c9:bw=62,experts=[2,3,4,5,6,7]","13.8242,2.9670,9.0531,3.3597,5.2393,15.2236,11.6145,1.6426,9.8617,3.9374"
6,2026-09-21 18:25:01,Ours,0.01,0.711168281318945,66.98294406883835,66.98294406883835,6,79.4594,1:19.46,76.1438,0.1824,3.1317,471.1969,7:51.20,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[2,4,6,7];5:[2,4];7:[2,3,4,6,7];3:[2,4,6];1:[2,4,7];9:[2,4,6,7];0:[2,4,7];4:[4];6:[2,4]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[2,4]; c7:bw=58,experts=[2,3,4,6,7]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,7]; c9:bw=48,experts=[2,4,6,7]; c0:bw=31,experts=[2,4,7]; c4:bw=17,experts=[4]; c6:bw=20,experts=[2,4]","3.3901,9.9166,2.9501,15.5433,1.6024,13.4265,3.8395,5.1706,8.8772,11.4275"
7,2026-09-21 18:26:20,Ours,0.01,0.6872185623835726,83.8237553779963,83.8237553779963,7,79.29,1:19.29,75.8799,0.186,3.2194,550.501,9:10.50,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,7];5:[2,3,4,7];2:[2,3,4,7];6:[4];3:[4,7];7:[2,4,7];4:[4];1:[4];8:[2,3,4,6,7];9:[4]","c0:bw=36,experts=[2,4,7]; c5:bw=49,experts=[2,3,4,7]; c2:bw=40,experts=[2,3,4,7]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,7]; c7:bw=31,experts=[2,4,7]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[2,3,4,6,7]; c9:bw=10,experts=[4]","5.2045,3.0059,9.7493,11.3949,1.5926,15.3727,8.8587,13.4702,3.3527,3.8783"
8,2026-09-21 18:27:39,Ours,0.01,0.6832584233623229,90.20436385986478,90.20436385986478,8,78.8594,1:18.86,75.4684,0.1844,3.2052,629.3737,10:29.37,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[0];8:[2,4,7];1:[1,3,4,5,7];3:[2,4,7];0:[0,4,5];5:[4,7];2:[0,2,3,4,7];9:[2,3,4,6,7];7:[5];6:[0,4,5,7]","c4:bw=10,experts=[0]; c8:bw=37,experts=[2,4,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[2,4,7]; c0:bw=32,experts=[0,4,5]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[0,2,3,4,7]; c9:bw=59,experts=[2,3,4,6,7]; c7:bw=15,experts=[5]; c6:bw=41,experts=[0,4,5,7]","8.8352,3.2950,13.5605,1.6103,5.1256,2.8731,9.6613,3.8673,14.9580,11.6822"
9,2026-09-21 18:29:00,Ours,0.01,0.653205362065125,92.07897971727105,92.07897971727105,9,81.513,1:21.51,78.0605,0.1882,3.2629,710.9009,11:50.90,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,7];0:[2,3,4,6,7];4:[2,3,4,5,7];9:[4,7];8:[1];6:[3,4,7];7:[2,3,4,7];5:[2,3,4,6,7];1:[4];3:[4,7]","c2:bw=21,experts=[4,7]; c0:bw=52,experts=[2,3,4,6,7]; c4:bw=59,experts=[2,3,4,5,7]; c9:bw=26,experts=[4,7]; c8:bw=18,experts=[1]; c6:bw=31,experts=[3,4,7]; c7:bw=46,experts=[2,3,4,7]; c5:bw=52,experts=[2,3,4,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,7]","10.1238,5.3438,9.1993,3.9433,3.4284,11.7965,15.7751,2.9903,13.8191,1.6408"
10,2026-09-21 18:30:21,Ours,0.01,0.6405053478093542,92.40550092194222,92.40550092194222,10,81.0781,1:21.08,77.6068,0.1829,3.287,791.9943,13:11.99,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,7];2:[3,4,7];7:[0,1,4];0:[2,3,4,6,7];6:[2,3,4,5,6,7];3:[0,1,4,7];5:[0,2,3,4,7];8:[0,4,7];9:[0,4,7];1:[0,2,4,7]","c4:bw=37,experts=[2,4,7]; c2:bw=34,experts=[3,4,7]; c7:bw=37,experts=[0,1,4]; c0:bw=59,experts=[2,3,4,6,7]; c6:bw=65,experts=[2,3,4,5,6,7]; c3:bw=46,experts=[0,1,4,7]; c5:bw=58,experts=[0,2,3,4,7]; c8:bw=35,experts=[0,4,7]; c9:bw=35,experts=[0,4,7]; c1:bw=41,experts=[0,2,4,7]","9.1898,10.0919,15.7034,5.3223,11.7770,1.6539,2.9518,3.3771,3.9043,13.6352"
