Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 16:09:18,Ours,0.00208,1.4917139828717427,22.856484326982176,22.856484326982176,1,77.2107,1:17.21,73.9947,0.1836,3.031,77.2107,1:17.21,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","4.9464,13.3913,2.6702,4.8388,14.1299,9.5928,3.5259,8.2328,1.4969,11.1695"
2,2026-09-21 16:10:33,Ours,0.00406,1.1468619203577681,39.347725875845114,39.347725875845114,2,74.6768,1:14.68,71.5328,0.1725,2.9678,152.1306,2:32.13,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,2,4,5,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,2,4,5,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","4.8997,13.1209,3.1706,2.7419,1.5157,8.3558,14.2486,3.5804,10.7296,9.1696"
3,2026-09-21 16:11:48,Ours,0.006040000000000001,0.8796719385971192,61.82775046097111,61.82775046097111,3,75.2857,1:15.29,72.1585,0.1484,2.9776,227.4286,3:47.43,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","3.6711,9.3079,4.9751,10.9621,3.2113,2.7696,1.5182,14.3455,12.9405,8.4572"
4,2026-09-21 16:13:04,Ours,0.00802,0.7817841049922075,68.31207744314689,68.31207744314689,4,75.9146,1:15.91,72.7024,0.1719,3.039,303.3553,5:03.36,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,6];7:[0,2,4,6];6:[0,2,4,5,6];2:[0,1,2,4,5,6];8:[2,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[1,2,4,6]; c7:bw=45,experts=[0,2,4,6]; c6:bw=53,experts=[0,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","13.1292,14.4045,11.0456,9.3813,3.2151,5.0352,1.5299,8.5266,2.8006,3.6343"
5,2026-09-21 16:14:21,Ours,0.01,0.7424394136257487,75.59926244622004,75.59926244622004,5,76.358,1:16.36,73.1504,0.1721,3.0342,379.727,6:19.73,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,2,4,6];4:[1,2,4,6];8:[2,4,6];0:[0,1,2,4,6];7:[4,6];6:[0,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,2,4,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","13.0076,2.8059,8.7266,3.3227,5.0428,14.5046,11.3053,1.5204,9.2373,3.6772"
6,2026-09-21 16:15:37,Ours,0.01,0.7189361674007897,84.33466502765826,84.33466502765826,6,76.0191,1:16.02,72.8036,0.1528,3.0615,455.7584,7:35.76,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[2,4,5,6];5:[4,6];7:[0,2,4,5,6];3:[2,4,6];1:[2,4,6];9:[2,4,5,6];0:[2,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[2,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,2,4,5,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[2,4,5,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","3.2246,9.2724,2.7913,14.2962,1.5208,13.0956,3.6894,5.0319,8.6481,11.2332"
7,2026-09-21 16:16:53,Ours,0.01,0.6911089616671188,86.73939766441303,86.73939766441303,7,75.9393,1:15.94,72.7129,0.1719,3.0533,531.7102,8:51.71,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[1,2,4,6];2:[2,4,5,6];6:[4];3:[4,6];7:[2,4,6];4:[4];1:[4];8:[1,2,4,5,6];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[1,2,4,6]; c2:bw=40,experts=[2,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[1,2,4,5,6]; c9:bw=10,experts=[4]","5.0211,2.8105,9.2560,11.0912,1.5207,14.3545,8.6345,13.1101,3.2481,3.6661"
8,2026-09-21 16:18:09,Ours,0.01,0.6923454365932077,76.19852489244008,86.73939766441303,7,76.3292,1:16.33,73.0585,0.1716,3.0977,608.0531,10:08.05,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,7];0:[3,5,7];5:[4,7];2:[2,3,4,6,7];9:[2,3,4,6,7];7:[1];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,5,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[2,3,4,6,7]; c9:bw=59,experts=[2,3,4,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[3,4,6,7]","8.6427,3.2131,13.1709,1.5074,4.9541,2.7658,9.3122,3.6972,14.5315,11.2636"
9,2026-09-21 16:19:25,Ours,0.01,0.6616408893537871,89.27473878303627,89.27473878303627,9,76.0491,1:16.05,72.7355,0.173,3.1393,684.1153,11:24.12,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,2,4,6];4:[2,4,5,6,7];9:[4,6];8:[4];6:[1,4,6];7:[2,3,4,7];5:[0,1,2,4,6];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,2,4,6]; c4:bw=59,experts=[2,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[2,3,4,7]; c5:bw=52,experts=[0,1,2,4,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","9.3608,5.0650,8.5408,3.6317,3.2005,11.2441,14.2763,2.8097,13.0859,1.5207"
10,2026-09-21 16:20:46,Ours,0.01,0.6618313018796793,89.62046711739397,89.62046711739397,10,80.9134,1:20.91,77.58,0.187,3.1452,765.0446,12:45.04,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[2,4,6];0:[0,1,2,4,6];6:[0,1,2,4,5,6];3:[1,2,4,6];5:[0,1,2,4,6];8:[2,4,6];9:[2,4,6];1:[0,2,4,6]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[1,2,4,6]; c5:bw=58,experts=[0,1,2,4,6]; c8:bw=35,experts=[2,4,6]; c9:bw=35,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]","8.7974,9.4416,15.4229,5.4704,11.7081,1.6707,3.1010,3.5884,3.9933,14.3863"
