Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 17:13:32,Ours,0.00208,1.4936828752272355,22.357098955132145,22.357098955132145,1,78.4903,1:18.49,75.2114,0.17,3.1054,78.4903,1:18.49,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,4];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[0,1,2,4,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,4]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[1,2,4,6]","3.6838,13.6148,2.8583,5.3943,14.7808,9.8462,3.6321,8.5346,1.5339,11.3325"
2,2026-09-21 17:14:48,Ours,0.00406,1.1521243061226172,38.917486170866624,38.917486170866624,2,76.0803,1:16.08,72.8476,0.1676,3.0596,154.7266,2:34.73,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,2,4,5,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,2,4,5,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","4.9759,13.2371,3.1875,2.7839,1.5258,8.4563,14.6582,3.6379,10.9402,9.4448"
3,2026-09-21 17:16:06,Ours,0.006040000000000001,0.8801989344113654,64.6319913952059,64.6319913952059,3,77.8933,1:17.89,74.6623,0.1668,3.0602,232.6328,3:52.63,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","3.7168,10.3384,5.4146,11.1550,3.2363,2.8189,1.5446,14.7207,13.1879,8.5291"
4,2026-09-21 17:17:27,Ours,0.00802,0.7831916367306788,68.27366318377382,68.27366318377382,4,80.3662,1:20.37,76.8565,0.1818,3.3265,313.0126,5:13.01,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[2,4,5,6];7:[0,2,4,6];6:[0,2,4,5,6];2:[0,1,2,4,5,6];8:[2,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[2,4,5,6]; c7:bw=45,experts=[0,2,4,6]; c6:bw=53,experts=[0,2,4,5,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","13.3026,14.9476,12.6936,9.9043,3.2335,5.0722,1.5614,8.9266,3.1098,4.1050"
5,2026-09-21 17:18:44,Ours,0.01,0.7451689333239538,76.80162876459742,76.80162876459742,5,77.1755,1:17.18,73.8754,0.1478,3.1487,390.2018,6:30.20,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,2,4,6];4:[1,2,4,6];8:[2,4,6];0:[0,1,2,4,6];7:[4,6];6:[1,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,2,4,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[1,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","13.3009,2.8492,8.6765,3.2288,5.1023,14.7227,11.2719,1.5581,9.4123,3.7527"
6,2026-09-21 17:20:02,Ours,0.01,0.7190651985185283,83.63552550706822,83.63552550706822,6,78.296,1:18.30,75.0477,0.1679,3.077,468.5135,7:48.51,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[2,4,5,6];5:[4,6];7:[0,1,2,4,6];3:[2,4,6];1:[2,4,6];9:[2,4,5,6];0:[2,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[2,4,5,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[2,4,5,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","3.3618,9.5300,2.8318,14.7476,1.6018,13.2309,3.7237,5.5682,9.2919,11.1599"
7,2026-09-21 17:21:20,Ours,0.01,0.6933726512393952,86.15165949600491,86.15165949600491,7,77.3309,1:17.33,74.1111,0.1535,3.0651,545.8597,9:05.86,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[1,2,4,6];2:[2,4,5,6];6:[4];3:[4,6];7:[2,4,6];4:[4];1:[4];8:[1,2,4,5,6];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[1,2,4,6]; c2:bw=40,experts=[2,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[1,2,4,5,6]; c9:bw=10,experts=[4]","5.1288,2.8359,9.6763,11.2254,1.5688,14.7019,8.5908,13.2743,3.2890,3.8199"
8,2026-09-21 17:22:39,Ours,0.01,0.6965614897325292,74.89244007375538,86.15165949600491,7,79.2877,1:19.29,75.9067,0.1654,3.2123,625.1628,10:25.16,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[1,3,4,6,7];3:[3,4,7];0:[3,5,7];5:[4,7];2:[2,3,4,6,7];9:[2,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[1,3,4,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,5,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[2,3,4,6,7]; c9:bw=59,experts=[2,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","8.6753,3.2669,13.4484,1.5605,5.0296,2.9160,10.3003,3.9173,15.2454,11.5470"
9,2026-09-21 17:23:59,Ours,0.01,0.6977858966166415,87.82652120467118,87.82652120467118,9,79.6262,1:19.63,76.4345,0.1636,3.0267,704.8047,11:44.80,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,2,4,6];4:[1,4,5,6,7];9:[4,6];8:[4];6:[2,4,6];7:[2,4,6,7];5:[0,1,2,4,6];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,2,4,6]; c4:bw=59,experts=[1,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[2,4,6]; c7:bw=46,experts=[2,4,6,7]; c5:bw=52,experts=[0,1,2,4,6]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","9.6931,5.0864,9.6444,4.2672,3.7415,11.7608,14.5985,2.8398,13.2394,1.5632"
10,2026-09-21 17:25:17,Ours,0.01,0.6722745813989313,91.01106330669944,91.01106330669944,10,78.9276,1:18.93,75.6156,0.177,3.1312,783.7485,13:03.75,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[2,4,6];2:[2,4,6];7:[2,4,5];0:[0,1,2,4,6];6:[0,1,2,4,5,6];3:[1,2,4,6];5:[0,1,2,4,6];8:[2,4,6];9:[2,4,6];1:[0,2,4,6]","c4:bw=37,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c7:bw=37,experts=[2,4,5]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[1,2,4,6]; c5:bw=58,experts=[0,1,2,4,6]; c8:bw=35,experts=[2,4,6]; c9:bw=35,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]","8.6622,9.7061,15.5602,5.1996,11.6772,1.5923,2.8684,3.2888,3.7425,13.3183"
