Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 23:41:35,Ours,0.00208,1.4132437855532514,9.868623232944069,9.868623232944069,1,84.6419,1:24.64,81.0358,0.2351,3.3701,84.6419,1:24.64,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","4.1528,13.8952,3.2224,5.6523,16.0286,9.8254,4.0112,10.6783,1.8902,11.6794"
2,2026-09-21 23:43:00,Ours,0.00406,1.121506715146017,36.18239090350338,36.18239090350338,2,84.4499,1:24.45,80.8784,0.2299,3.3401,169.2611,2:49.26,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,6];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,6];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","5.5148,14.3925,3.0520,2.8847,1.6499,9.4521,17.0844,3.7312,12.5758,10.5409"
3,2026-09-21 23:44:26,Ours,0.006040000000000001,0.9095827179434395,44.78334357713583,44.78334357713583,3,86.4121,1:26.41,83.0075,0.189,3.2146,255.6901,4:15.69,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,5,6];6:[0,2,3,6];8:[0,2,3];5:[3];3:[0,3];7:[0,2,3];1:[3];4:[0,2,3,5,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,5,6]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,2,3,5,6]","3.7261,10.7846,5.7133,12.4171,3.2044,3.0998,1.7066,18.5213,14.3951,9.4394"
4,2026-09-21 23:45:48,Ours,0.00802,0.8211528273140771,53.56484326982176,53.56484326982176,4,82.1011,1:22.10,78.698,0.1758,3.2263,337.8066,5:37.81,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,1,2,3,4,6];8:[0,2,3];0:[0,2,3,5,6];3:[0,2,3];4:[0,2,3,4,6];5:[0,1,2,3,4,5,6];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,3]","13.6513,15.9616,12.5522,10.2628,3.3474,5.4291,1.6918,9.3265,2.9129,3.5623"
5,2026-09-21 23:47:13,Ours,0.01,0.7797874489484463,71.00875845113706,71.00875845113706,5,84.7268,1:24.73,81.0035,0.181,3.5413,422.5489,7:02.55,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,2,3,5,6];7:[0,3];6:[0,2,3,4,6];3:[0,2,3,4,5,6];2:[3];9:[0,2,3,4,5,6]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,5,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,2,3,4,5,6]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,2,3,4,5,6]","13.7680,3.1109,9.2358,3.4953,5.4976,16.5929,13.1133,1.8487,10.2892,4.0517"
6,2026-09-21 23:48:38,Ours,0.01,0.7421180047001953,79.54056545789797,79.54056545789797,6,85.4904,1:25.49,81.9298,0.1944,3.3653,508.0557,8:28.06,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,5,6];2:[0,2,3,6];5:[0,3];7:[0,2,3,4,6];3:[0,2,3];1:[0,2,3];9:[0,2,3,6];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,2,3,4,5,6]; c2:bw=42,experts=[0,2,3,6]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,4,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","3.2478,10.2025,3.0733,17.2428,1.6806,14.5938,4.0555,5.4171,9.5569,12.8594"
7,2026-09-21 23:50:02,Ours,0.01,0.716700015711786,86.69714197910264,86.69714197910264,7,84.0541,1:24.05,80.6345,0.16,3.2587,592.1258,9:52.13,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,6];2:[0,2,3,6];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,5,6];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,5,6]; c9:bw=10,experts=[3]","5.5847,3.2217,11.2370,12.2695,1.7268,15.4360,9.3867,15.0489,3.0964,3.6267"
8,2026-09-21 23:51:28,Ours,0.01,0.7112663695653308,86.65488629379226,86.69714197910264,7,85.7157,1:25.72,81.5167,0.1964,4.0016,677.8591,11:17.86,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[1,3,7];1:[1,3,4,5,7];3:[0,2,3];0:[1,4,7];5:[0,3];2:[0,2,3,5,7];9:[0,1,2,3,7];7:[1];6:[0,1,3,7]","c4:bw=10,experts=[1]; c8:bw=37,experts=[1,3,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[1,4,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,5,7]; c9:bw=59,experts=[0,1,2,3,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,3,7]","9.6667,3.5095,14.7189,1.4340,5.4362,3.0317,10.2083,4.3885,16.6682,12.4547"
9,2026-09-21 23:52:52,Ours,0.01,0.6813259237290247,91.35295021511985,91.35295021511985,9,83.5787,1:23.58,80.0467,0.1913,3.3396,761.4557,12:41.46,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,5,6];4:[0,2,3,6,7];9:[0,3];8:[3];6:[0,3,5];7:[0,2,3,5];5:[0,2,3,5,6];1:[3];3:[0,3]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,5,6]; c4:bw=59,experts=[0,2,3,6,7]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[3]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,5,6]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,3]","10.0434,5.9386,9.1838,3.9356,3.3642,11.3757,16.1428,3.0397,15.2528,1.7701"
10,2026-09-21 23:54:16,Ours,0.01,0.6706128829214275,89.88552550706822,91.35295021511985,9,84.5152,1:24.52,81.1645,0.1987,3.151,845.9884,14:05.99,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,3,6];2:[0,3,6];7:[0,3,7];0:[0,2,3,5,6];6:[0,2,3,4,5,6];3:[0,1,3,7];5:[0,2,3,6,7];8:[0,3,6];9:[0,3,6];1:[0,2,3,6]","c4:bw=37,experts=[0,3,6]; c2:bw=34,experts=[0,3,6]; c7:bw=37,experts=[0,3,7]; c0:bw=59,experts=[0,2,3,5,6]; c6:bw=65,experts=[0,2,3,4,5,6]; c3:bw=46,experts=[0,1,3,7]; c5:bw=58,experts=[0,2,3,6,7]; c8:bw=35,experts=[0,3,6]; c9:bw=35,experts=[0,3,6]; c1:bw=41,experts=[0,2,3,6]","10.2269,9.9919,16.1608,5.5130,12.7684,1.9974,3.2137,3.4533,4.1142,13.7249"
