Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 23:18:14,Ours,0.00208,1.4132597623816345,15.346496619545174,15.346496619545174,1,72.8392,1:12.84,67.4216,2.6335,2.7833,72.8392,1:12.84,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","3.4292,11.4469,2.7194,4.6708,13.0907,8.5733,3.4146,8.5172,1.6185,9.9411"
2,2026-09-21 23:19:26,Ours,0.00406,1.336420934074747,9.173325138291334,15.346496619545174,1,72.0328,1:12.03,66.5902,2.6489,2.7928,145.0142,2:25.01,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,4,6,7];3:[0,1,2,4,6,7];4:[0,2,6];7:[0,2,4,6,7];9:[0,2,6,7];6:[2];2:[0,2]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,2,4,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,2]","4.4786,11.5096,2.9618,2.6005,1.6124,8.3209,13.0504,3.4617,9.9554,8.6388"
3,2026-09-21 23:20:40,Ours,0.006040000000000001,1.2509957439766182,9.157959434542102,15.346496619545174,1,73.2775,1:13.28,68.0928,2.4562,2.7277,218.305,3:38.30,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,7];2:[0,2,3,7];0:[0,2,3,6,7];6:[0,2,3,7];8:[0,2,7];5:[0];3:[0,2];7:[0,2,7];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,7]; c2:bw=42,experts=[0,2,3,7]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,7]; c8:bw=30,experts=[0,2,7]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,7]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","3.5249,8.9051,4.5166,10.1495,2.9353,2.7757,1.5790,13.7597,11.5895,8.3574"
4,2026-09-21 23:21:55,Ours,0.00802,1.1511010018112615,9.23478795328826,15.346496619545174,1,75.0042,1:15.00,69.4651,2.7526,2.7857,293.3229,4:53.32,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,6,7];7:[0,2,6,7];6:[0,1,2,6,7];2:[0,1,2,3,6,7];8:[0,2,7];0:[0,1,2,6,7];3:[0,2,7];4:[0,1,2,6,7];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,2,6,7]; c7:bw=45,experts=[0,2,6,7]; c6:bw=53,experts=[0,1,2,6,7]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,7]; c0:bw=59,experts=[0,1,2,6,7]; c3:bw=34,experts=[0,2,7]; c4:bw=56,experts=[0,1,2,6,7]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","11.5861,14.1653,10.7341,9.2693,2.9206,4.4831,1.5849,8.3257,2.8135,3.5825"
5,2026-09-21 23:23:10,Ours,0.01,1.0657211341049044,24.827135832821142,24.827135832821142,5,75.0245,1:15.02,69.6288,2.6104,2.7846,368.3601,6:08.36,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,6];0:[0,2,3,6,7];7:[0,2];6:[0,2,3,6,7];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,6]; c0:bw=50,experts=[0,2,3,6,7]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,2,3,6,7]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","12.3297,2.7777,8.2267,3.0801,4.5316,14.0489,10.6134,1.5584,8.8806,3.5817"
6,2026-09-21 23:24:23,Ours,0.01,1.0026064484989965,27.412415488629378,27.412415488629378,6,73.4027,1:13.40,68.0719,2.5398,2.7901,441.7779,7:21.78,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,2,6,7];5:[0,2];7:[0,2,3,6,7];3:[0,2,6];1:[0,2,6];9:[0,2,6,7];0:[0,2,6];4:[0];6:[0,2]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,2,6,7]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,2,6]; c1:bw=32,experts=[0,2,6]; c9:bw=48,experts=[0,2,6,7]; c0:bw=31,experts=[0,2,6]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","2.9379,8.7989,2.6415,14.0563,1.5156,11.5895,3.5272,4.6724,8.0202,10.3125"
7,2026-09-21 23:25:36,Ours,0.01,0.9485368969043237,28.60325752919484,28.60325752919484,7,73.3887,1:13.39,68.2887,2.37,2.7292,515.1792,8:35.18,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,6];5:[0,2,6,7];2:[0,2,6,7];6:[0];3:[0,2];7:[0,2,6];4:[0];1:[0];8:[0,2,3,6,7];9:[0]","c0:bw=36,experts=[0,2,6]; c5:bw=49,experts=[0,2,6,7]; c2:bw=40,experts=[0,2,6,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,6,7]; c9:bw=10,experts=[0]","4.6125,2.6409,8.7676,10.2226,1.5100,13.7918,8.1818,12.0664,2.9843,3.5109"
8,2026-09-21 23:26:50,Ours,0.01,0.9279009057433173,33.355101413644746,33.355101413644746,8,73.9078,1:13.91,68.4738,2.6283,2.8048,589.0994,9:49.10,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[4];8:[0,2,7];1:[0,1,2,4,5];3:[0,2,6];0:[0,4,5];5:[0,2];2:[0,2,4,5,7];9:[0,2,4,6,7];7:[1];6:[0,2,4,6]","c4:bw=10,experts=[4]; c8:bw=37,experts=[0,2,7]; c1:bw=58,experts=[0,1,2,4,5]; c3:bw=37,experts=[0,2,6]; c0:bw=32,experts=[0,4,5]; c5:bw=28,experts=[0,2]; c2:bw=54,experts=[0,2,4,5,7]; c9:bw=59,experts=[0,2,4,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,2,4,6]","8.2003,3.0056,12.3209,1.5031,4.6623,2.6108,8.6525,3.5159,13.8847,10.1175"
9,2026-09-21 23:28:04,Ours,0.01,0.8975000779827231,51.96681007990166,51.96681007990166,9,73.4922,1:13.49,68.0452,2.6377,2.8084,662.6049,11:02.60,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,2];0:[0,2,3,6,7];4:[0,2,5,6,7];9:[0,5];8:[4];6:[0,2,5];7:[0,2,5,7];5:[0,2,5,6,7];1:[3];3:[0,5]","c2:bw=21,experts=[0,2]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,2,5,6,7]; c9:bw=26,experts=[0,5]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,5]; c7:bw=46,experts=[0,2,5,7]; c5:bw=52,experts=[0,2,5,6,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,5]","8.7361,4.6443,8.0360,3.4523,3.1009,10.0488,13.5764,2.6159,12.3366,1.4979"
10,2026-09-21 23:29:17,Ours,0.01,0.8626999454349249,51.48279041180086,51.96681007990166,9,72.6735,1:12.67,67.0794,2.7942,2.799,735.2919,12:15.29,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,7];2:[0,2,7];7:[0,2,4];0:[0,2,3,6,7];6:[0,1,2,4,6,7];3:[0,2,4,6];5:[0,1,2,6,7];8:[0,2,5];9:[0,2,6];1:[0,2,6,7]","c4:bw=37,experts=[0,2,7]; c2:bw=34,experts=[0,2,7]; c7:bw=37,experts=[0,2,4]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,1,2,4,6,7]; c3:bw=46,experts=[0,2,4,6]; c5:bw=58,experts=[0,1,2,6,7]; c8:bw=35,experts=[0,2,5]; c9:bw=35,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]","8.0478,8.6676,13.5154,4.5739,9.9749,1.4891,2.5982,2.9895,3.4337,11.7893"
