Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 23:20:43,Ours,0.00208,1.4132038157562685,15.41180086047941,15.41180086047941,1,60.7203,1:00.72,58.1604,0.1623,2.3969,60.7203,1:00.72,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","2.9614,9.9160,2.2943,3.9805,11.3274,7.4815,2.9096,7.4222,1.3423,8.5253"
2,2026-09-21 23:21:44,Ours,0.00406,1.3347916054502424,9.157959434542102,15.41180086047941,1,60.5188,1:00.52,57.9082,0.1348,2.4749,121.3778,2:01.38,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,6];1:[0,2,6,7];8:[0,2,6,7];5:[0,1,2,4,6,7];3:[0,1,2,4,6,7];4:[0,2,6];7:[0,2,4,6,7];9:[0,2,6,7];6:[2];2:[0,2]","c0:bw=36,experts=[0,2,6]; c1:bw=41,experts=[0,2,6,7]; c8:bw=48,experts=[0,2,6,7]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,6,7]; c4:bw=30,experts=[0,2,6]; c7:bw=55,experts=[0,2,4,6,7]; c9:bw=46,experts=[0,2,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[0,2]","3.8686,9.9966,2.5848,2.2554,1.4549,7.3281,11.3492,2.9379,8.5930,7.5398"
3,2026-09-21 23:22:47,Ours,0.006040000000000001,1.2269626790159327,9.157959434542102,15.41180086047941,1,63.3887,1:03.39,60.7192,0.1387,2.53,184.7799,3:04.78,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,6];5:[0];3:[0,2];7:[0,2,6];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,6]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,6]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","3.0553,7.6746,3.9273,9.1816,2.5237,2.3631,1.3170,12.3724,10.9837,7.3204"
4,2026-09-21 23:23:53,Ours,0.00802,1.1034155587139884,10.34880147510756,15.41180086047941,1,65.5212,1:05.52,62.7065,0.1423,2.6688,250.314,4:10.31,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,6,7];7:[0,2,6,7];6:[0,2,3,6,7];2:[0,1,2,3,6,7];8:[0,2,6];0:[0,2,3,6,7];3:[0,2,6];4:[0,2,3,6,7];5:[0,1,2,3,5,6,7];9:[0,2]","c1:bw=40,experts=[0,2,6,7]; c7:bw=45,experts=[0,2,6,7]; c6:bw=53,experts=[0,2,3,6,7]; c2:bw=60,experts=[0,1,2,3,6,7]; c8:bw=31,experts=[0,2,6]; c0:bw=59,experts=[0,2,3,6,7]; c3:bw=34,experts=[0,2,6]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,2]","10.5885,12.9755,9.3961,8.1319,2.6067,4.1818,1.3524,7.7251,2.5097,3.2388"
5,2026-09-21 23:24:59,Ours,0.01,1.0174014980737751,28.203749231714813,28.203749231714813,5,66.4114,1:06.41,63.6068,0.1442,2.6595,316.7407,5:16.74,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,6];0:[0,2,3,6,7];7:[0,2];6:[0,2,3,6,7];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,6]; c0:bw=50,experts=[0,2,3,6,7]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,2,3,6,7]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","11.5103,2.4419,7.6307,2.6273,4.4388,12.8679,9.7494,1.3660,7.8480,3.1265"
6,2026-09-21 23:26:02,Ours,0.01,0.9488809799589542,29.037338660110635,29.037338660110635,6,63.1684,1:03.17,60.4727,0.1384,2.5566,379.9221,6:19.92,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,6,7];2:[0,2,6,7];5:[0,2];7:[0,2,3,6,7];3:[0,2,6];1:[0,2,6];9:[0,2,6,7];0:[0,2,6];4:[0];6:[0,2]","c8:bw=67,experts=[0,1,2,3,6,7]; c2:bw=42,experts=[0,2,6,7]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,2,6]; c1:bw=32,experts=[0,2,6]; c9:bw=48,experts=[0,2,6,7]; c0:bw=31,experts=[0,2,6]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","2.6446,7.8845,2.2740,12.3446,1.2861,10.8997,3.0382,4.1413,6.9467,9.0130"
7,2026-09-21 23:27:04,Ours,0.01,0.9025137458029675,33.355101413644746,33.355101413644746,7,62.0592,1:02.06,59.4379,0.1412,2.4792,441.9962,7:22.00,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,6];5:[0,2,6,7];2:[0,2,6,7];6:[0];3:[0,2];7:[0,2,6];4:[0];1:[0];8:[0,1,2,6,7];9:[0]","c0:bw=36,experts=[0,2,6]; c5:bw=49,experts=[0,2,6,7]; c2:bw=40,experts=[0,2,6,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,2,6,7]; c9:bw=10,experts=[0]","4.0797,2.2404,7.6781,8.9139,1.2535,12.1436,7.0913,10.4285,2.6043,3.0044"
8,2026-09-21 23:28:07,Ours,0.01,0.8773462192194657,47.357098955132145,47.357098955132145,8,63.0594,1:03.06,60.3668,0.11,2.5818,505.0692,8:25.07,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[0,2,6];1:[0,1,2,4,5];3:[0,2,6];0:[1,4,5];5:[0,2];2:[0,2,4,5,6];9:[0,2,4,6,7];7:[1];6:[0,1,2,4]","c4:bw=10,experts=[1]; c8:bw=37,experts=[0,2,6]; c1:bw=58,experts=[0,1,2,4,5]; c3:bw=37,experts=[0,2,6]; c0:bw=32,experts=[1,4,5]; c5:bw=28,experts=[0,2]; c2:bw=54,experts=[0,2,4,5,6]; c9:bw=59,experts=[0,2,4,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,2,4]","7.0047,2.6085,10.6251,1.2442,4.1860,2.3066,7.7934,3.0503,12.4726,9.0754"
9,2026-09-21 23:29:11,Ours,0.01,0.8468560722525986,58.155347264904734,58.155347264904734,9,63.4437,1:03.44,60.6968,0.1415,2.6046,568.5267,9:28.53,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,6];0:[0,2,3,6,7];4:[0,2,4,5,6];9:[0,5];8:[4];6:[0,2,5];7:[0,2,5,6];5:[0,2,3,6,7];1:[3];3:[0,5]","c2:bw=21,experts=[0,6]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,2,4,5,6]; c9:bw=26,experts=[0,5]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,5]; c7:bw=46,experts=[0,2,5,6]; c5:bw=52,experts=[0,2,3,6,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,5]","7.7739,4.0896,7.0030,3.0062,2.6894,9.1620,12.2983,2.3197,11.0928,1.2617"
10,2026-09-21 23:30:14,Ours,0.01,0.818232378695139,62.64213275968039,62.64213275968039,10,62.7636,1:02.76,60.0758,0.138,2.5489,631.3063,10:31.31,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,6];2:[0,2,6];7:[0,2,4];0:[0,2,3,6,7];6:[0,1,2,3,6,7];3:[0,2,4,6];5:[0,2,3,4,6];8:[0,5,6];9:[0,2,6];1:[0,2,3,6]","c4:bw=37,experts=[0,2,6]; c2:bw=34,experts=[0,2,6]; c7:bw=37,experts=[0,2,4]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,1,2,3,6,7]; c3:bw=46,experts=[0,2,4,6]; c5:bw=58,experts=[0,2,3,4,6]; c8:bw=35,experts=[0,5,6]; c9:bw=35,experts=[0,2,6]; c1:bw=41,experts=[0,2,3,6]","7.0864,7.8415,12.1040,4.2046,9.1358,1.2685,2.2669,2.6020,3.0035,10.5626"
