Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 22:12:02,Ours,0.00208,1.4130907466262053,11.508912108174554,11.508912108174554,1,60.8557,1:00.86,58.2596,0.1879,2.4074,60.8557,1:00.86,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","3.0058,9.9226,2.3023,3.9833,11.3643,7.4329,2.8994,7.4072,1.3395,8.6023"
2,2026-09-21 22:13:03,Ours,0.00406,1.1377289280919092,32.483097725875844,32.483097725875844,2,60.213,1:00.21,57.6902,0.145,2.377,121.2222,2:01.22,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,6];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,6];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","3.8347,9.8979,2.5029,2.1242,1.1922,6.9372,12.0766,2.8231,9.1170,7.1844"
3,2026-09-21 22:14:02,Ours,0.006040000000000001,0.9317569832518278,50.65688383527966,50.65688383527966,3,59.3603,0:59.36,56.847,0.1573,2.3552,180.5944,3:00.59,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,5,6];6:[0,2,3,6];8:[0,2,3];5:[3];3:[0,3];7:[0,2,3];1:[3];4:[0,2,3,5,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,5,6]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,2,3,5,6]","2.8790,7.2667,3.8684,8.5027,2.5200,2.1796,1.1899,11.7909,9.9549,6.6949"
4,2026-09-21 22:15:01,Ours,0.00802,0.8370249891732191,56.35755992624462,56.35755992624462,4,58.9737,0:58.97,56.4721,0.1485,2.3523,239.5795,3:59.58,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,4,6];2:[0,1,2,3,4,6];8:[0,2,3];0:[0,2,3,5,6];3:[0,2,3];4:[0,2,3,4,6];5:[0,1,2,3,4,5,6];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,4,6]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,3]","10.3225,11.3460,8.4421,7.2265,2.4928,3.8461,1.1882,6.5730,2.1595,2.8754"
5,2026-09-21 22:16:00,Ours,0.01,0.7924525159056023,70.67839582052858,70.67839582052858,5,59.215,0:59.22,56.6708,0.1505,2.393,298.8064,4:58.81,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,2,3,4,6];7:[0,3];6:[0,2,3,4,6];3:[0,2,3,4,5,6];2:[3];9:[0,1,2,3,4,6]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,4,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,2,3,4,5,6]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,6]","10.2085,2.1920,6.6361,2.4929,3.8655,11.3005,8.6846,1.1967,7.2347,2.8592"
6,2026-09-21 22:16:59,Ours,0.01,0.7545774367361782,78.20374923171481,78.20374923171481,6,58.5081,0:58.51,55.965,0.1424,2.3998,357.3261,5:57.33,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,5,6];2:[0,2,3,6];5:[0,3];7:[0,2,3,4,6];3:[0,2,3];1:[0,2,3];9:[0,2,3,6];0:[0,2,3];4:[3];6:[0,3]","c8:bw=67,experts=[0,2,3,4,5,6]; c2:bw=42,experts=[0,2,3,6]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,4,6]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[3]; c6:bw=20,experts=[0,3]","2.4922,7.2604,2.1484,11.3035,1.1966,9.9577,2.8483,3.8192,6.5451,8.3935"
7,2026-09-21 22:17:57,Ours,0.01,0.7264932248483502,84.0081438229871,84.0081438229871,7,58.5253,0:58.53,56.0066,0.1474,2.3705,415.8636,6:55.86,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,6];2:[0,2,3,6];6:[3];3:[0,3];7:[0,2,3];4:[3];1:[3];8:[0,2,3,4,6];9:[3]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,2,3,4,6]; c9:bw=10,experts=[3]","3.8531,2.1496,7.2468,8.4554,1.1988,11.3350,6.5674,9.9249,2.4474,2.8283"
8,2026-09-21 22:18:55,Ours,0.01,0.7194586984758924,88.8060848186847,88.8060848186847,8,58.2666,0:58.27,55.7649,0.1427,2.3583,474.1416,7:54.14,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[1,3,7];1:[1,3,4,5,7];3:[0,2,3];0:[1,3,7];5:[0,3];2:[0,2,3,5,7];9:[0,2,3,6,7];7:[1];6:[0,1,3,7]","c4:bw=10,experts=[1]; c8:bw=37,experts=[1,3,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[0,2,3]; c0:bw=32,experts=[1,3,7]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,2,3,5,7]; c9:bw=59,experts=[0,2,3,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,3,7]","6.5890,2.4468,9.9973,1.1978,3.8142,2.1225,7.1789,2.8239,11.1465,8.4481"
9,2026-09-21 22:19:54,Ours,0.01,0.6889034469831607,90.78057775046098,90.78057775046098,9,58.7132,0:58.71,56.1466,0.1506,2.4152,532.8675,8:52.87,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,5,6];4:[0,2,3,6,7];9:[3,5];8:[3];6:[0,3,5];7:[0,2,3,5];5:[0,2,3,4,6];1:[3];3:[0,3]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,5,6]; c4:bw=59,experts=[0,2,3,6,7]; c9:bw=26,experts=[3,5]; c8:bw=18,experts=[3]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,4,6]; c1:bw=14,experts=[3]; c3:bw=23,experts=[0,3]","7.2904,3.8365,6.6376,2.8455,2.4535,8.4363,11.3304,2.1469,9.9738,1.1957"
10,2026-09-21 22:20:53,Ours,0.01,0.6772287944701489,90.22357098955132,90.78057775046098,9,58.4741,0:58.47,55.9624,0.1458,2.3651,591.3534,9:51.35,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,3,7];0:[0,2,3,5,6];6:[0,2,3,4,5,6];3:[0,1,3,7];5:[0,2,3,6,7];8:[0,2,3];9:[0,2,3];1:[0,2,3,6]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,3,7]; c0:bw=59,experts=[0,2,3,5,6]; c6:bw=65,experts=[0,2,3,4,5,6]; c3:bw=46,experts=[0,1,3,7]; c5:bw=58,experts=[0,2,3,6,7]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]","6.6484,7.2458,11.2903,3.8266,8.4094,1.1982,2.1278,2.4549,2.8286,9.9325"
