Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 21:23:05,Ours,0.00208,1.437439303006283,26.09096496619545,26.09096496619545,1,70.9223,1:10.92,66.9587,1.2264,2.7364,70.9223,1:10.92,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,3,4];1:[1,2];5:[0,5,6,7];0:[0];7:[0,7];2:[2,3];9:[1,2,3,4];4:[4,5,6,7];3:[3,4,5,6,7];6:[0,1,6,7]","c8:bw=55,experts=[0,1,2,3,4]; c1:bw=29,experts=[1,2]; c5:bw=44,experts=[0,5,6,7]; c0:bw=10,experts=[0]; c7:bw=20,experts=[0,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[1,2,3,4]; c4:bw=40,experts=[4,5,6,7]; c3:bw=51,experts=[3,4,5,6,7]; c6:bw=41,experts=[0,1,6,7]","3.3711,12.2951,2.7486,4.5369,12.9845,8.4053,3.4384,7.6065,1.4916,10.0807"
2,2026-09-21 21:24:16,Ours,0.00406,1.1202304865574335,19.860172095881993,26.09096496619545,1,70.2752,1:10.28,66.2093,1.2714,2.7926,141.3426,2:21.34,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,2,3];1:[3,4,5,6];8:[0,5,6,7];5:[1,2,3,4,5,6];3:[0,1,2,3,4,5];4:[0,1,2];7:[1,2,3,4,5];9:[0,5,6,7];6:[2];2:[4,5]","c0:bw=36,experts=[1,2,3]; c1:bw=41,experts=[3,4,5,6]; c8:bw=48,experts=[0,5,6,7]; c5:bw=69,experts=[1,2,3,4,5,6]; c3:bw=67,experts=[0,1,2,3,4,5]; c4:bw=30,experts=[0,1,2]; c7:bw=55,experts=[1,2,3,4,5]; c9:bw=46,experts=[0,5,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[4,5]","4.5713,11.8123,2.8110,2.5270,1.4187,7.8236,13.3625,3.3841,10.1222,8.3765"
3,2026-09-21 21:25:26,Ours,0.006040000000000001,0.9237263734251193,53.307467732022126,53.307467732022126,3,70.8368,1:10.84,66.8157,1.2523,2.768,212.1919,3:32.19,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,3,4];2:[0,1,6,7];0:[0,4,5,6,7];6:[3,4,5,6];8:[1,2,3];5:[7];3:[6,7];7:[0,6,7];1:[7];4:[3,4,5,6,7]","c9:bw=48,experts=[1,2,3,4]; c2:bw=42,experts=[0,1,6,7]; c0:bw=50,experts=[0,4,5,6,7]; c6:bw=40,experts=[3,4,5,6]; c8:bw=30,experts=[1,2,3]; c5:bw=13,experts=[7]; c3:bw=26,experts=[6,7]; c7:bw=33,experts=[0,6,7]; c1:bw=13,experts=[7]; c4:bw=52,experts=[3,4,5,6,7]","3.4204,8.5454,4.5651,9.9551,2.9288,2.5511,1.4408,13.5432,12.0574,7.8083"
4,2026-09-21 21:26:37,Ours,0.00802,0.8353623233220591,55.65842040565458,55.65842040565458,4,71.1028,1:11.10,66.9736,1.3599,2.7685,283.3082,4:43.31,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,3];7:[1,2,3,4];6:[0,1,2,3,7];2:[2,3,4,5,6,7];8:[4,5,6];0:[1,2,3,4,5];3:[0,1,2];4:[0,1,2,3,4];5:[0,1,2,3,4,5,6];9:[5,6]","c1:bw=40,experts=[0,1,2,3]; c7:bw=45,experts=[1,2,3,4]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c3:bw=34,experts=[0,1,2]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[5,6]","11.8954,13.4700,9.9099,8.8694,2.9902,4.5641,1.4131,7.9130,2.6488,3.2997"
5,2026-09-21 21:27:49,Ours,0.01,0.7914258918826668,75.70298094652735,75.70298094652735,5,71.7233,1:11.72,67.6168,1.2914,2.8143,355.0434,5:55.04,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,5];5:[0,1,2,7];4:[0,5,6,7];8:[0,1,7];0:[0,1,2,6,7];7:[5,6];6:[0,4,5,6,7];3:[0,3,4,5,6,7];2:[0];9:[0,1,2,3,4,7]","c1:bw=20,experts=[4,5]; c5:bw=40,experts=[0,1,2,7]; c4:bw=48,experts=[0,5,6,7]; c8:bw=37,experts=[0,1,7]; c0:bw=50,experts=[0,1,2,6,7]; c7:bw=24,experts=[5,6]; c6:bw=53,experts=[0,4,5,6,7]; c3:bw=63,experts=[0,3,4,5,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,7]","12.0085,2.6524,8.0953,3.0030,4.6300,13.7237,10.0636,1.4668,8.5168,3.4566"
6,2026-09-21 21:29:01,Ours,0.01,0.7641831260707674,53.31899200983405,75.70298094652735,5,71.9303,1:11.93,67.9611,1.2329,2.7355,426.986,7:06.99,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[1,2,3,4];5:[3,4];7:[0,1,2,3,7];3:[1,2,3];1:[0,6,7];9:[0,5,6,7];0:[3,4,5];4:[1];6:[1,2]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[1,2,3,4]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[1,2,3]; c1:bw=32,experts=[0,6,7]; c9:bw=48,experts=[0,5,6,7]; c0:bw=31,experts=[3,4,5]; c4:bw=17,experts=[1]; c6:bw=20,experts=[1,2]","2.9928,8.8339,2.6322,13.7874,1.4484,11.9819,3.4522,4.7525,8.0749,10.0049"
7,2026-09-21 21:30:12,Ours,0.01,0.7512818866662059,52.63137676705593,75.70298094652735,5,70.8776,1:10.88,66.9268,1.1716,2.7784,497.877,8:17.88,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,6,7];5:[0,5,6,7];2:[0,5,6,7];6:[3];3:[4,5];7:[4,5,6];4:[2];1:[1];8:[0,1,2,3,4];9:[1]","c0:bw=36,experts=[0,6,7]; c5:bw=49,experts=[0,5,6,7]; c2:bw=40,experts=[0,5,6,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[2]; c1:bw=10,experts=[1]; c8:bw=57,experts=[0,1,2,3,4]; c9:bw=10,experts=[1]","4.6819,2.5674,8.8173,9.6740,1.4331,13.7384,7.6972,11.8740,3.0133,3.4303"
8,2026-09-21 21:31:24,Ours,0.01,0.7565811977008532,56.73017824216349,75.70298094652735,5,71.6031,1:11.60,67.5925,1.2142,2.7955,569.4936,9:29.49,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[5,6,7];1:[2,3,4,5,6];3:[0,6,7];0:[1,2,3];5:[1,2];2:[1,2,3,4,5];9:[2,3,4,5,6];7:[7];6:[4,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[5,6,7]; c1:bw=58,experts=[2,3,4,5,6]; c3:bw=37,experts=[0,6,7]; c0:bw=32,experts=[1,2,3]; c5:bw=28,experts=[1,2]; c2:bw=54,experts=[1,2,3,4,5]; c9:bw=59,experts=[2,3,4,5,6]; c7:bw=15,experts=[7]; c6:bw=41,experts=[4,5,6,7]","8.0015,3.0473,12.2429,1.4467,4.7327,2.5374,8.8066,3.4803,13.3688,9.9283"
9,2026-09-21 21:32:36,Ours,0.01,0.7197043757767013,63.61017209588199,75.70298094652735,5,71.8941,1:11.89,67.8435,1.2118,2.8381,641.4017,10:41.40,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[6,7];0:[0,4,5,6,7];4:[0,4,5,6,7];9:[0,7];8:[0];6:[0,1,2];7:[0,1,2,3];5:[3,4,5,6,7];1:[7];3:[1,2]","c2:bw=21,experts=[6,7]; c0:bw=52,experts=[0,4,5,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,7]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c7:bw=46,experts=[0,1,2,3]; c5:bw=52,experts=[3,4,5,6,7]; c1:bw=14,experts=[7]; c3:bw=23,experts=[1,2]","8.9623,4.6516,7.9544,3.4572,2.9446,9.7416,13.9858,2.5365,12.1559,1.4536"
10,2026-09-21 21:33:46,Ours,0.01,0.7517775918168462,61.95067609096497,75.70298094652735,5,70.0987,1:10.10,65.9808,1.3185,2.7985,711.5145,11:51.51,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,2,3];2:[0,1,2];7:[4,5,6];0:[1,2,3,4,5];6:[0,3,4,5,6,7];3:[3,4,5,6];5:[0,1,2,3,4];8:[1,2,3];9:[1,2,3];1:[0,1,2,3]","c4:bw=37,experts=[1,2,3]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c6:bw=65,experts=[0,3,4,5,6,7]; c3:bw=46,experts=[3,4,5,6]; c5:bw=58,experts=[0,1,2,3,4]; c8:bw=35,experts=[1,2,3]; c9:bw=35,experts=[1,2,3]; c1:bw=41,experts=[0,1,2,3]","7.6660,8.9711,13.3009,4.7517,9.6647,1.4006,2.5331,2.8544,3.2960,11.5424"
