Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 20:31:07,Ours,0.00208,1.4130557965920822,13.452673632452367,13.452673632452367,1,74.9217,1:14.92,72.1434,0.1614,2.6134,74.9217,1:14.92,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","3.7192,12.3487,2.8410,4.9983,14.1464,9.2477,3.6814,9.4347,1.6747,10.0512"
2,2026-09-21 20:32:07,Ours,0.00406,1.1142835498370542,43.799938537185,43.799938537185,2,60.1155,1:00.12,57.6356,0.128,2.3512,135.1819,2:15.18,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,6];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,6];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","3.9503,10.2445,2.5866,2.1939,1.2301,6.9945,11.6396,2.8135,8.8852,7.0973"
3,2026-09-21 20:33:07,Ours,0.006040000000000001,0.9138136133756156,44.25322679778734,44.25322679778734,3,59.2146,0:59.21,56.6982,0.1492,2.3665,194.4079,3:14.41,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,3];5:[3];3:[0,3];7:[0,2,3];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","2.8467,7.4163,3.9093,8.4219,2.5053,2.1809,1.1965,11.4787,10.0010,6.7415"
4,2026-09-21 20:34:06,Ours,0.00802,0.8405369295861957,70.0061462814997,70.0061462814997,4,59.7936,0:59.79,57.3098,0.1327,2.3503,254.2131,4:14.21,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,1,2,3,6];2:[0,1,2,3,4,6];8:[0,2,3];0:[0,2,3,5,6];3:[0,2,3];4:[0,2,3,4,6];5:[0,1,2,3,4,5,6];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,1,2,3,6]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,6]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,3]","10.1286,11.7516,8.7818,7.3222,2.5084,3.8870,1.2463,6.6912,2.1588,2.8337"
5,2026-09-21 20:35:07,Ours,0.01,0.7922656545172427,70.42486170866626,70.42486170866626,5,60.1752,1:00.18,57.6001,0.1344,2.4372,314.4002,5:14.40,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,2,3,5,6];7:[0,3];6:[0,2,3,4,6];3:[0,1,2,3,4,6];2:[0];9:[0,1,2,3,5,6]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,5,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,4,6]; c3:bw=63,experts=[0,1,2,3,4,6]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,5,6]","10.2098,2.2103,6.7911,2.5055,3.8818,11.7149,8.7667,1.2084,7.4622,2.8494"
6,2026-09-21 20:36:06,Ours,0.01,0.756766504314921,72.33789182544561,72.33789182544561,6,59.4305,0:59.43,56.8905,0.1342,2.4051,373.8435,6:13.84,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,4,6];2:[0,2,3,6];5:[0,3];7:[0,2,3,6,7];3:[0,3,6];1:[0,3,6];9:[0,2,3,6];0:[0,3,6];4:[0];6:[0,3]","c8:bw=67,experts=[0,1,2,3,4,6]; c2:bw=42,experts=[0,2,3,6]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,3,6]; c1:bw=32,experts=[0,3,6]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,3,6]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","2.4695,7.2794,2.1386,11.6795,1.1918,9.9225,2.8438,3.8447,6.6539,8.8668"
7,2026-09-21 20:37:07,Ours,0.01,0.7324902984674224,81.44975414874001,81.44975414874001,7,60.9489,1:00.95,58.4247,0.1341,2.3893,434.8031,7:14.80,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,3,6];5:[0,2,3,6];2:[0,2,3,6];6:[3];3:[0,3];7:[0,2,3];4:[0];1:[3];8:[0,1,2,3,6];9:[3]","c0:bw=36,experts=[0,3,6]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[3]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[3]","4.0003,2.1841,7.3676,8.9711,1.2458,11.9278,6.8866,10.2247,2.6421,2.9747"
8,2026-09-21 20:38:06,Ours,0.01,0.7251320863458883,79.86324523663184,81.44975414874001,7,58.8945,0:58.89,56.3996,0.1345,2.3596,493.7102,8:13.71,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[0,3,7];1:[0,1,4,5,7];3:[0,3,6];0:[0,1,4];5:[0,3];2:[0,3,5,6,7];9:[0,3,4,6,7];7:[1];6:[0,3,6,7]","c4:bw=10,experts=[1]; c8:bw=37,experts=[0,3,7]; c1:bw=58,experts=[0,1,4,5,7]; c3:bw=37,experts=[0,3,6]; c0:bw=32,experts=[0,1,4]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,3,5,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,3,6,7]","6.5418,2.4995,10.1201,1.1996,3.7805,2.1156,7.1820,2.8013,11.7925,8.3667"
9,2026-09-21 20:39:06,Ours,0.01,0.7084088345996195,84.11954517516902,84.11954517516902,9,60.2338,1:00.23,57.6946,0.1342,2.4042,553.9561,9:13.96,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,5,6];4:[0,2,3,5,6];9:[0,3];8:[5];6:[0,3,5];7:[0,3,4,5];5:[0,2,3,4,6];1:[3];3:[3,5]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,5,6]; c4:bw=59,experts=[0,2,3,5,6]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[5]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,3,4,5]; c5:bw=52,experts=[0,2,3,4,6]; c1:bw=14,experts=[3]; c3:bw=23,experts=[3,5]","7.2691,3.8170,6.6115,2.9433,2.6898,8.4971,11.7821,2.1594,10.7083,1.2169"
10,2026-09-21 20:40:05,Ours,0.01,0.7055177805137831,84.65350338045482,84.65350338045482,10,58.6251,0:58.63,56.0719,0.1948,2.3575,612.5945,10:12.59,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,3,6];2:[0,3,6];7:[0,2,3];0:[0,2,3,5,6];6:[0,1,3,4,5,6];3:[0,3,6,7];5:[0,2,3,6,7];8:[0,3,6];9:[0,3,6];1:[0,1,3,6]","c4:bw=37,experts=[0,3,6]; c2:bw=34,experts=[0,3,6]; c7:bw=37,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,5,6]; c6:bw=65,experts=[0,1,3,4,5,6]; c3:bw=46,experts=[0,3,6,7]; c5:bw=58,experts=[0,2,3,6,7]; c8:bw=35,experts=[0,3,6]; c9:bw=35,experts=[0,3,6]; c1:bw=41,experts=[0,1,3,6]","6.5799,7.2449,11.4540,3.8073,8.3518,1.2046,2.1569,2.4637,2.8464,9.9624"
