Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-21 21:33:38,Ours,0.00208,1.4133328179593063,19.19560540872772,19.19560540872772,1,63.5794,1:03.58,60.8791,0.153,2.5437,63.5794,1:03.58,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","3.1283,10.3772,2.4199,4.2091,11.9056,7.7876,3.0372,7.7052,1.3898,8.9191"
2,2026-09-21 21:34:42,Ours,0.00406,1.1204551571970232,43.235248924400736,43.235248924400736,2,64.1572,1:04.16,61.379,0.1437,2.6314,127.8847,2:07.88,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,6];5:[0,2,3,5,6,7];3:[0,1,2,3,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,6];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,2,3,5,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","4.0707,10.6899,2.6270,2.3680,1.3142,7.1622,12.4064,3.1106,9.0141,8.6157"
3,2026-09-21 21:35:50,Ours,0.006040000000000001,0.9216570252167765,55.82360172095882,55.82360172095882,3,67.5473,1:07.55,64.8395,0.1318,2.5752,195.445,3:15.45,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,3,6];5:[3];3:[3,6];7:[0,3,6];1:[3];4:[0,1,2,3,6]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,3,6]; c5:bw=13,experts=[3]; c3:bw=26,experts=[3,6]; c7:bw=33,experts=[0,3,6]; c1:bw=13,experts=[3]; c4:bw=52,experts=[0,1,2,3,6]","3.2880,8.4479,4.3630,10.1937,2.9579,2.4424,1.3736,12.8637,11.2598,7.6494"
4,2026-09-21 21:36:55,Ours,0.00802,0.8367691022725247,69.1418254456054,69.1418254456054,4,65.0565,1:05.06,62.4717,0.1358,2.4459,260.5155,4:20.52,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,1,2,3,6];2:[0,1,2,3,4,6];8:[2,3,6];0:[0,1,2,3,6];3:[2,3,6];4:[0,1,2,3,6];5:[0,1,2,3,4,5,6];9:[3,6]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,1,2,3,6]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[2,3,6]; c0:bw=59,experts=[0,1,2,3,6]; c3:bw=34,experts=[2,3,6]; c4:bw=56,experts=[0,1,2,3,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[3,6]","11.4764,12.7015,9.6277,7.9899,2.6808,4.1359,1.2816,7.1801,2.3606,3.0372"
5,2026-09-21 21:37:58,Ours,0.01,0.7932031936126451,71.94606637984019,71.94606637984019,5,63.0129,1:03.01,60.4273,0.1212,2.4636,323.5411,5:23.54,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,3,6];0:[0,1,2,3,6];7:[0,3];6:[0,1,2,3,6];3:[0,1,2,3,4,6];2:[3];9:[0,1,2,3,4,6]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,3,6]; c0:bw=50,experts=[0,1,2,3,6]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,1,2,3,6]; c3:bw=63,experts=[0,1,2,3,4,6]; c2:bw=10,experts=[3]; c9:bw=62,experts=[0,1,2,3,4,6]","10.7135,2.2894,7.1255,2.6541,4.0782,12.0381,9.4510,1.2840,7.7760,3.0173"
6,2026-09-21 21:39:01,Ours,0.01,0.7583469185163527,83.78918254456055,83.78918254456055,6,62.7345,1:02.73,60.1926,0.127,2.4141,386.2894,6:26.29,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,3,4,6];2:[0,1,3,6];5:[0,3];7:[0,1,2,3,6];3:[2,3,6];1:[0,3,6];9:[0,2,3,6];0:[0,3,6];4:[3];6:[3,6]","c8:bw=67,experts=[0,1,2,3,4,6]; c2:bw=42,experts=[0,1,3,6]; c5:bw=27,experts=[0,3]; c7:bw=58,experts=[0,1,2,3,6]; c3:bw=36,experts=[2,3,6]; c1:bw=32,experts=[0,3,6]; c9:bw=48,experts=[0,2,3,6]; c0:bw=31,experts=[0,3,6]; c4:bw=17,experts=[3]; c6:bw=20,experts=[3,6]","2.6716,7.7996,2.2326,12.2227,1.2682,10.7240,3.0209,4.0431,7.0206,9.1893"
7,2026-09-21 21:40:03,Ours,0.01,0.7371933902398428,85.73678549477566,85.73678549477566,7,62.7399,1:02.74,60.1298,0.1263,2.4831,449.042,7:29.04,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,3,6];5:[0,2,3,6];2:[0,2,3,6];6:[3];3:[2,3];7:[0,2,3];4:[3];1:[3];8:[0,1,2,3,6];9:[3]","c0:bw=36,experts=[0,3,6]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[3]; c3:bw=26,experts=[2,3]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[3]; c1:bw=10,experts=[3]; c8:bw=57,experts=[0,1,2,3,6]; c9:bw=10,experts=[3]","4.0798,2.2424,7.7953,9.2799,1.2611,12.1013,7.0699,10.6656,2.6409,2.9934"
8,2026-09-21 21:41:06,Ours,0.01,0.738540414302756,81.4420712968654,85.73678549477566,7,62.6442,1:02.64,60.0677,0.1328,2.4408,511.6994,8:31.70,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[4];8:[0,3,7];1:[1,3,4,5,7];3:[0,3,6];0:[3,4,5];5:[0,3];2:[0,3,5,6,7];9:[0,2,3,6,7];7:[4];6:[0,3,4,7]","c4:bw=10,experts=[4]; c8:bw=37,experts=[0,3,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[0,3,6]; c0:bw=32,experts=[3,4,5]; c5:bw=28,experts=[0,3]; c2:bw=54,experts=[0,3,5,6,7]; c9:bw=59,experts=[0,2,3,6,7]; c7:bw=15,experts=[4]; c6:bw=41,experts=[0,3,4,7]","7.0726,2.6015,10.7126,1.2725,4.0456,2.2152,7.9552,3.0486,11.8654,9.2786"
9,2026-09-21 21:42:10,Ours,0.01,0.7663979656285853,86.58958205285802,86.58958205285802,9,63.5726,1:03.57,60.9536,0.1278,2.4905,575.2851,9:35.29,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,3];0:[0,2,3,6,7];4:[0,3,5,6,7];9:[3,5];8:[5];6:[0,3,5];7:[0,2,3,5];5:[0,2,3,6,7];1:[3];3:[3,5]","c2:bw=21,experts=[0,3]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,3,5,6,7]; c9:bw=26,experts=[3,5]; c8:bw=18,experts=[5]; c6:bw=31,experts=[0,3,5]; c7:bw=46,experts=[0,2,3,5]; c5:bw=52,experts=[0,2,3,6,7]; c1:bw=14,experts=[3]; c3:bw=23,experts=[3,5]","7.9360,4.1604,7.2503,3.0145,2.6481,9.3623,12.2975,2.2823,10.7358,1.2664"
10,2026-09-21 21:43:14,Ours,0.01,0.7103203035618229,88.9520590043024,88.9520590043024,10,63.8216,1:03.82,61.2267,0.1332,2.4587,639.1201,10:39.12,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,3,6];2:[0,3,6];7:[0,3,7];0:[0,2,3,6,7];6:[0,1,2,3,4,6];3:[2,3,6,7];5:[0,1,2,3,6];8:[0,3,6];9:[0,3,6];1:[0,2,3,6]","c4:bw=37,experts=[0,3,6]; c2:bw=34,experts=[0,3,6]; c7:bw=37,experts=[0,3,7]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,1,2,3,4,6]; c3:bw=46,experts=[2,3,6,7]; c5:bw=58,experts=[0,1,2,3,6]; c8:bw=35,experts=[0,3,6]; c9:bw=35,experts=[0,3,6]; c1:bw=41,experts=[0,2,3,6]","7.2856,7.9462,12.2575,4.1571,9.4009,1.2637,2.2866,2.6611,3.0531,10.9150"
