Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 21:55:00,Ours,0.00208,1.3783296326659777,10.0,10.0,1,193.1953,3:13.20,146.4169,0.2206,46.5564,193.1953,3:13.20,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","9.2561,13.1135,13.6364,5.1517,0.6363,13.0771,4.4473,66.0540,5.5632,15.4813"
2,2026-09-22 21:58:08,Ours,0.00406,1.2368423692377286,10.0,10.0,1,187.6768,3:07.68,140.6499,0.1868,46.8387,381.1187,6:21.12,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[1,4,6];7:[0,1,4,5,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[1,4,6]; c7:bw=55,experts=[0,1,4,5,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","6.0921,13.9099,8.9845,14.2556,5.6557,58.6147,0.5853,4.0934,15.5013,12.9574"
3,2026-09-22 22:01:20,Ours,0.006040000000000001,1.183054050392998,10.0,10.0,1,192.118,3:12.12,145.1776,0.1936,46.7453,573.2498,9:33.25,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,4,6];2:[1,2,4,6];0:[1,2,4,5,6];6:[1,2,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[1,2,4,5,6]","c9:bw=48,experts=[1,2,4,6]; c2:bw=42,experts=[1,2,4,6]; c0:bw=50,experts=[1,2,4,5,6]; c6:bw=40,experts=[1,2,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[1,2,4,5,6]","3.1745,13.1194,6.1459,18.2358,10.4028,14.4978,5.6904,0.6164,13.2082,60.0863"
4,2026-09-22 22:04:37,Ours,0.00802,1.1413490660394303,12.326666666666666,12.326666666666666,4,196.1046,3:16.10,149.7304,0.1803,46.1924,769.3697,12:49.37,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,6];7:[0,1,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,2,4,6];3:[1,4,6];4:[0,1,2,4,6];5:[0,1,2,3,4,5,6];9:[4,6]","c1:bw=40,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[4,6]","13.5436,0.6220,16.3877,15.6315,13.6167,7.5703,5.9096,58.3830,14.0873,3.9787"
5,2026-09-22 22:07:43,Ours,0.01,1.1036590665279717,14.945555555555556,14.945555555555556,5,186.8713,3:06.87,140.3651,0.1844,46.3204,956.2548,15:56.25,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,4,5,6];4:[1,4,5,6];8:[1,4,6];0:[1,2,4,5,6];7:[4,6];6:[1,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,4,5,6]; c8:bw=37,experts=[1,4,6]; c0:bw=50,experts=[1,2,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[1,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","13.5648,14.3072,58.1563,8.3338,6.2273,0.6273,16.2421,6.0124,12.8024,4.0914"
6,2026-09-22 22:10:47,Ours,0.01,1.0713832452932943,14.46888888888889,14.945555555555556,5,183.9834,3:03.98,137.0378,0.1777,46.7665,1140.2511,19:00.25,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,2,4,6];5:[4,6];7:[1,2,4,5,6];3:[1,4,6];1:[1,4,6];9:[1,2,4,6];0:[1,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[1,2,4,5,6]; c3:bw=36,experts=[1,4,6]; c1:bw=32,experts=[1,4,6]; c9:bw=48,experts=[1,2,4,6]; c0:bw=31,experts=[1,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","6.1655,13.0908,14.1846,0.6403,5.8825,13.2503,3.9970,6.1721,57.7378,15.9170"
7,2026-09-22 22:14:00,Ours,0.01,1.0483073854103142,24.11888888888889,24.11888888888889,7,192.5181,3:12.52,147.2723,0.171,45.0734,1332.7825,22:12.78,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,6];5:[0,1,4,6];2:[0,1,4,6];6:[4];3:[4,6];7:[1,4,6];4:[4];1:[4];8:[0,1,2,4,6];9:[4]","c0:bw=36,experts=[0,4,6]; c5:bw=49,experts=[0,1,4,6]; c2:bw=40,experts=[0,1,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[1,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]","6.4504,14.3274,16.2632,20.4571,5.8575,0.6112,57.2758,13.2102,8.8439,3.9755"
8,2026-09-22 22:17:05,Ours,0.01,1.0573558231162095,32.82,32.82,8,184.9378,3:04.94,139.407,0.1751,45.3543,1517.7346,25:17.73,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,7];0:[3,4,7];5:[4,7];2:[1,3,4,6,7];9:[1,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[4,7]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","58.2873,8.9358,13.4192,5.5866,6.3336,13.8598,12.6666,3.9646,0.6089,15.7445"
9,2026-09-22 22:20:16,Ours,0.01,1.0264366080461513,47.03888888888889,47.03888888888889,9,191.2693,3:11.27,141.8732,0.1715,49.2232,1709.019,28:29.02,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,4,5,6];4:[1,4,5,6,7];9:[4,6];8:[4];6:[4,6,7];7:[1,4,6,7];5:[1,4,5,6,7];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[1,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[4,6,7]; c7:bw=46,experts=[1,4,6,7]; c5:bw=52,experts=[1,4,5,6,7]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","12.7341,6.1641,59.2388,4.7108,9.3133,16.0580,0.6220,13.9662,13.4733,5.5925"
10,2026-09-22 22:23:31,Ours,0.01,0.9973401398601022,46.22888888888889,47.03888888888889,9,194.5907,3:14.59,147.571,0.1734,46.8448,1903.6263,31:43.63,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,6,7];2:[1,4,6];7:[4,6,7];0:[0,1,2,4,6];6:[0,1,3,4,6,7];3:[0,2,4,6];5:[1,4,5,6,7];8:[2,4,6];9:[1,4,6];1:[1,2,4,6]","c4:bw=37,experts=[4,6,7]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[4,6,7]; c0:bw=59,experts=[0,1,2,4,6]; c6:bw=65,experts=[0,1,3,4,6,7]; c3:bw=46,experts=[0,2,4,6]; c5:bw=58,experts=[1,4,5,6,7]; c8:bw=35,experts=[2,4,6]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[1,2,4,6]","65.4456,12.5158,0.6399,6.5030,16.0340,5.8163,14.1852,8.7745,4.0140,13.6426"
