Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 20:30:12,Ours,0.00208,1.3782385328149724,18.691111111111113,18.691111111111113,1,311.4509,5:11.45,207.7792,3.2471,100.4204,311.451,5:11.45,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","13.9385,20.2187,20.4787,9.3232,1.0856,19.3927,6.2141,85.7108,8.4990,22.9179"
2,2026-09-22 20:33:39,Ours,0.00406,1.1231045113505922,40.43666666666667,40.43666666666667,2,206.5009,3:26.50,146.4675,3.1944,56.8359,518.1793,8:38.18,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[1,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,1,2,4,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[1,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","6.5884,14.1337,9.4445,14.6140,6.2951,60.7173,0.8131,4.3010,16.3346,13.2257"
3,2026-09-22 20:36:56,Ours,0.006040000000000001,1.029329288628916,46.312222222222225,46.312222222222225,3,197.2496,3:17.25,146.3269,3.2481,47.6716,715.4418,11:55.44,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[1,2,4,6];0:[0,2,4,5,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[1,2,4,6]; c0:bw=50,experts=[0,2,4,5,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","4.4266,13.5845,6.5745,16.7651,9.5212,14.7412,6.1591,0.8144,13.4317,60.3086"
4,2026-09-22 20:40:11,Ours,0.00802,0.9925638019805529,50.42666666666667,50.42666666666667,4,194.9259,3:14.93,144.6883,3.1487,47.0856,910.3808,15:10.38,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,6];7:[0,2,4,6];6:[0,1,2,4,6];2:[0,1,2,3,4,6];8:[2,4,6];0:[0,1,2,4,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[1,2,4,6]; c7:bw=45,experts=[0,2,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","13.5806,0.8157,16.5770,13.5096,9.3060,6.6061,5.7226,59.6047,14.5453,4.4207"
5,2026-09-22 20:43:36,Ours,0.01,0.9598663870334174,54.45333333333333,54.45333333333333,5,204.9473,3:24.95,153.7368,3.205,48.0013,1115.3417,18:35.34,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[2,4,5,6];4:[2,4,5,6];8:[2,4,6];0:[0,2,4,5,6];7:[4,6];6:[0,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[2,4,5,6]; c4:bw=48,experts=[2,4,5,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,2,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","14.0610,14.8030,61.0598,9.5475,12.5077,0.8406,16.7380,6.3185,13.4598,4.4008"
6,2026-09-22 20:46:53,Ours,0.01,0.9316895759637094,54.39888888888889,54.45333333333333,5,197.6947,3:17.69,147.2823,3.2298,47.1787,1313.0504,21:53.05,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,2,4,6];5:[4,6];7:[0,2,4,5,6];3:[2,4,6];1:[2,4,6];9:[1,2,4,6];0:[2,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,2,4,5,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[1,2,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","9.5147,13.5788,15.0493,0.8047,6.2792,14.2868,4.3542,6.6436,59.9735,16.7975"
7,2026-09-22 20:50:13,Ours,0.01,0.9107712755941378,57.09444444444444,57.09444444444444,7,199.6833,3:19.68,148.5675,3.2788,47.8355,1512.7473,25:12.75,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[2,4,5,6];2:[1,2,4,6];6:[4];3:[4,6];7:[2,4,6];4:[4];1:[4];8:[0,2,4,5,6];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[2,4,5,6]; c2:bw=40,experts=[1,2,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,2,4,5,6]; c9:bw=10,experts=[4]","6.7623,15.4691,13.7734,16.8888,6.1660,0.8115,60.5217,14.0551,9.6255,4.4942"
8,2026-09-22 20:53:42,Ours,0.01,0.9193179815342928,53.736666666666665,57.09444444444444,7,208.865,3:28.87,157.9463,3.2398,47.6738,1721.626,28:41.63,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[0,3,4,5,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[2,4,5,6,7];9:[2,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[0,3,4,5,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[2,4,5,6,7]; c9:bw=59,experts=[2,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","70.3029,9.5005,14.3810,6.3016,6.7236,15.1281,13.3651,4.3791,0.8389,17.0255"
9,2026-09-22 20:57:01,Ours,0.01,0.9188010150611424,56.425555555555555,57.09444444444444,7,199.4317,3:19.43,148.6382,3.2606,47.5288,1921.0719,32:01.07,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,2,4,5,6];4:[2,4,5,6,7];9:[4,6];8:[4];6:[4,5,6];7:[4,5,6,7];5:[2,4,5,6,7];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,2,4,5,6]; c4:bw=59,experts=[2,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[4,5,6]; c7:bw=46,experts=[4,5,6,7]; c5:bw=52,experts=[2,4,5,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","12.8991,6.8161,62.1925,4.5113,9.4998,16.0052,0.8107,15.2873,14.3122,6.3040"
10,2026-09-22 21:00:29,Ours,0.01,0.879716568999943,59.22555555555556,59.22555555555556,10,207.8154,3:27.82,150.5958,3.1779,54.0367,2128.9027,35:28.90,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,5,6];2:[4,5,6];7:[1,4,6];0:[0,2,4,5,6];6:[0,2,4,5,6,7];3:[2,4,5,6];5:[2,4,5,6,7];8:[4,5,6];9:[4,6,7];1:[1,4,5,6]","c4:bw=37,experts=[4,5,6]; c2:bw=34,experts=[4,5,6]; c7:bw=37,experts=[1,4,6]; c0:bw=59,experts=[0,2,4,5,6]; c6:bw=65,experts=[0,2,4,5,6,7]; c3:bw=46,experts=[2,4,5,6]; c5:bw=58,experts=[2,4,5,6,7]; c8:bw=35,experts=[4,5,6]; c9:bw=35,experts=[4,6,7]; c1:bw=41,experts=[1,4,5,6]","60.8413,13.6582,0.8177,6.7882,17.1962,6.2904,15.2139,9.5167,4.4506,15.8226"
