Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 16:06:52,Ours,0.00208,1.3781655041503467,17.43111111111111,17.43111111111111,1,351.127,5:51.13,236.6999,0.2012,114.2217,351.127,5:51.13,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[1,2,4,5,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,4];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[1,2,4,5,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,4]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","14.9910,22.4307,23.4235,9.7420,1.0179,21.3964,6.5582,102.2303,9.1418,25.7682"
2,2026-09-22 16:10:31,Ours,0.00406,1.115579895282322,38.87555555555556,38.87555555555556,2,218.2775,3:38.28,164.6097,0.1911,53.4726,569.7009,9:29.70,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[2,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[2,4,6];7:[0,1,2,4,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[2,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[2,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","7.4346,16.0671,10.4331,16.9333,6.9088,68.1614,0.7561,4.7351,18.4613,14.7192"
3,2026-09-22 16:14:13,Ours,0.006040000000000001,1.0265225190631106,46.41111111111111,46.41111111111111,3,222.2117,3:42.21,168.1478,0.185,53.8746,791.9311,13:11.93,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,4,6];2:[0,2,4,6];0:[0,1,2,4,6];6:[0,2,4,6];8:[2,4,6];5:[4];3:[4,6];7:[2,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,2,4,6]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[0,2,4,6]; c8:bw=30,experts=[2,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[2,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","4.9692,15.3849,7.4874,19.2517,10.8499,16.9131,6.6673,0.7704,15.7555,70.0985"
4,2026-09-22 16:17:53,Ours,0.00802,0.9894916157085983,51.43222222222222,51.43222222222222,4,220.0928,3:40.09,166.6153,0.1622,53.3137,1012.0391,16:52.04,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,4,6];7:[0,2,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[2,4,6];0:[0,2,4,5,6];3:[2,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,2,4,6]; c7:bw=45,experts=[0,2,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[2,4,6]; c0:bw=59,experts=[0,2,4,5,6]; c3:bw=34,experts=[2,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","15.1152,0.7496,19.0027,15.1752,10.5064,7.0545,6.9799,70.3267,16.7884,4.9167"
5,2026-09-22 16:21:38,Ours,0.01,0.9590583599376107,53.91777777777778,53.91777777777778,5,224.9932,3:44.99,169.099,0.1812,55.7093,1237.0512,20:37.05,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[2,4,5,6];4:[2,4,5,6];8:[2,4,6];0:[0,2,4,5,6];7:[4,6];6:[1,2,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[2,4,5,6]; c4:bw=48,experts=[2,4,5,6]; c8:bw=37,experts=[2,4,6]; c0:bw=50,experts=[0,2,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[1,2,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","15.9122,17.7316,70.6426,10.8317,7.4882,0.7512,19.1285,7.1634,14.6810,4.7686"
6,2026-09-22 16:25:23,Ours,0.01,0.9285872242039458,55.46333333333333,55.46333333333333,6,225.372,3:45.37,170.4373,0.1959,54.732,1462.4409,24:22.44,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[1,2,4,6];5:[4,6];7:[1,2,4,5,6];3:[2,4,6];1:[2,4,6];9:[1,2,4,6];0:[2,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[1,2,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[1,2,4,5,6]; c3:bw=36,experts=[2,4,6]; c1:bw=32,experts=[2,4,6]; c9:bw=48,experts=[1,2,4,6]; c0:bw=31,experts=[2,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","10.8620,16.6554,17.0787,0.7753,6.5634,16.3236,4.9992,7.2233,70.5350,19.4215"
7,2026-09-22 16:29:09,Ours,0.01,0.9099066697995646,56.99111111111111,56.99111111111111,7,225.3856,3:45.39,171.3022,0.1979,53.8838,1687.8441,28:07.84,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[2,4,6];5:[4,5,6,7];2:[2,4,5,6];6:[4];3:[4,6];7:[2,4,6];4:[4];1:[4];8:[1,2,4,5,6];9:[4]","c0:bw=36,experts=[2,4,6]; c5:bw=49,experts=[4,5,6,7]; c2:bw=40,experts=[2,4,5,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[2,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[1,2,4,5,6]; c9:bw=10,experts=[4]","7.8665,17.3159,15.8972,18.7598,7.1155,0.7534,71.4623,16.4876,10.6950,4.9491"
8,2026-09-22 16:32:56,Ours,0.01,0.9196533783201912,54.09111111111111,56.99111111111111,7,227.4392,3:47.44,173.7035,0.2551,53.4756,1915.3014,31:55.30,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[1,3,4,5,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[2,3,4,6,7];9:[3,4,5,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[1,3,4,5,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[2,3,4,6,7]; c9:bw=59,experts=[3,4,5,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","70.9349,11.6866,19.0693,7.1347,7.6668,17.1595,16.0091,4.3861,0.6407,19.0157"
9,2026-09-22 16:36:53,Ours,0.01,0.8654427179956574,56.583333333333336,56.99111111111111,7,237.038,3:57.04,182.7322,0.195,54.1058,2152.3576,35:52.36,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,2,4,5,6];4:[2,4,5,6,7];9:[4,6];8:[4];6:[4,5,6];7:[4,5,6,7];5:[2,4,5,6,7];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,2,4,5,6]; c4:bw=59,experts=[2,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[4,5,6]; c7:bw=46,experts=[4,5,6,7]; c5:bw=52,experts=[2,4,5,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","15.3311,7.8537,75.9051,5.0718,10.6723,22.8894,0.7692,18.9576,17.9274,7.3545"
10,2026-09-22 16:40:44,Ours,0.01,0.879289167887374,60.29,60.29,10,230.9,3:50.90,177.3668,0.1759,53.3556,2383.2782,39:43.28,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,6,7];2:[4,5,6];7:[4,6,7];0:[0,2,4,5,6];6:[1,2,4,5,6,7];3:[2,4,5,6];5:[2,4,5,6,7];8:[4,5,6];9:[4,6,7];1:[4,5,6,7]","c4:bw=37,experts=[4,6,7]; c2:bw=34,experts=[4,5,6]; c7:bw=37,experts=[4,6,7]; c0:bw=59,experts=[0,2,4,5,6]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[2,4,5,6]; c5:bw=58,experts=[2,4,5,6,7]; c8:bw=35,experts=[4,5,6]; c9:bw=35,experts=[4,6,7]; c1:bw=41,experts=[4,5,6,7]","72.6852,16.0645,0.7639,7.8184,19.9360,7.2369,17.7216,10.8120,5.9515,18.3767"
