Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 19:54:04,Ours,0.00208,1.4139623850585399,20.697777777777777,20.697777777777777,1,272.2516,4:32.25,180.2219,0.1684,91.8601,272.2516,4:32.25,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,6,7];1:[2,6];5:[0,3,5,7];0:[7];7:[4,5];2:[2,3];9:[0,1,6,7];4:[0,5,6,7];3:[0,1,2,4,6];6:[0,4,6,7]","c8:bw=55,experts=[0,2,3,6,7]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[0,3,5,7]; c0:bw=10,experts=[7]; c7:bw=20,experts=[4,5]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,1,6,7]; c4:bw=40,experts=[0,5,6,7]; c3:bw=51,experts=[0,1,2,4,6]; c6:bw=41,experts=[0,4,6,7]","12.1792,17.0487,18.0585,7.8234,0.6643,16.1093,5.0941,75.7013,7.2821,20.2612"
2,2026-09-22 19:57:09,Ours,0.00406,1.170425535663686,21.447777777777777,21.447777777777777,2,185.6428,3:05.64,130.9796,0.1514,54.5104,458.1091,7:38.11,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[5,6,7];1:[2,3,4,5];8:[0,2,3,4];5:[1,2,4,5,6,7];3:[0,1,2,3,5,6];4:[0,2,4];7:[0,1,2,3,7];9:[2,3,4,7];6:[3];2:[3,7]","c0:bw=36,experts=[5,6,7]; c1:bw=41,experts=[2,3,4,5]; c8:bw=48,experts=[0,2,3,4]; c5:bw=69,experts=[1,2,4,5,6,7]; c3:bw=67,experts=[0,1,2,3,5,6]; c4:bw=30,experts=[0,2,4]; c7:bw=55,experts=[0,1,2,3,7]; c9:bw=46,experts=[2,3,4,7]; c6:bw=17,experts=[3]; c2:bw=22,experts=[3,7]","5.7871,12.3158,8.2046,13.1647,5.3868,56.1490,0.4827,3.6386,14.0293,11.8212"
3,2026-09-22 20:00:02,Ours,0.006040000000000001,1.0983221236022516,24.967777777777776,24.967777777777776,3,172.4249,2:52.42,128.353,0.1513,43.9193,630.5465,10:30.55,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[2,3,5,7];2:[0,2,4,6];0:[1,2,3,5,6];6:[0,1,2,3];8:[0,2,3];5:[6];3:[2,5];7:[1,2,5];1:[1];4:[2,4,5,6,7]","c9:bw=48,experts=[2,3,5,7]; c2:bw=42,experts=[0,2,4,6]; c0:bw=50,experts=[1,2,3,5,6]; c6:bw=40,experts=[0,1,2,3]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[6]; c3:bw=26,experts=[2,5]; c7:bw=33,experts=[1,2,5]; c1:bw=13,experts=[1]; c4:bw=52,experts=[2,4,5,6,7]","3.7122,11.8755,5.7347,12.5247,8.1292,13.0378,5.3008,0.4713,12.2943,55.2726"
4,2026-09-22 20:02:57,Ours,0.00802,1.0257630789816132,47.41777777777778,47.41777777777778,4,175.2804,2:55.28,130.9376,0.1534,44.188,805.8401,13:25.84,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[1,2,4,7];7:[1,3,4,5];6:[0,3,5,6,7];2:[0,1,3,4,5,7];8:[1,3,6];0:[2,3,4,6,7];3:[0,4,5];4:[0,2,3,6,7];5:[0,1,2,3,4,5,6];9:[0,6]","c1:bw=40,experts=[1,2,4,7]; c7:bw=45,experts=[1,3,4,5]; c6:bw=53,experts=[0,3,5,6,7]; c2:bw=60,experts=[0,1,3,4,5,7]; c8:bw=31,experts=[1,3,6]; c0:bw=59,experts=[2,3,4,6,7]; c3:bw=34,experts=[0,4,5]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[0,6]","12.8659,0.4843,14.5264,11.7629,8.1506,5.7577,5.3872,54.9214,13.3616,3.7197"
5,2026-09-22 20:05:56,Ours,0.01,1.0397520718451427,40.053333333333335,47.41777777777778,4,178.3801,2:58.38,132.9174,0.151,45.3072,984.2339,16:24.23,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[1,7];5:[1,4,5,6];4:[1,2,5,7];8:[1,2,6];0:[0,1,3,4,6];7:[1,6];6:[1,2,4,6,7];3:[0,1,4,5,6,7];2:[1];9:[0,1,3,5,6,7]","c1:bw=20,experts=[1,7]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,2,5,7]; c8:bw=37,experts=[1,2,6]; c0:bw=50,experts=[0,1,3,4,6]; c7:bw=24,experts=[1,6]; c6:bw=53,experts=[1,2,4,6,7]; c3:bw=63,experts=[0,1,4,5,6,7]; c2:bw=10,experts=[1]; c9:bw=62,experts=[0,1,3,5,6,7]","11.9153,13.5801,56.3140,8.3060,5.8326,0.4844,15.2769,5.4654,12.2094,3.5333"
6,2026-09-22 20:09:00,Ours,0.01,1.1370553335623943,37.85888888888889,47.41777777777778,4,184.6491,3:04.65,140.4501,0.1527,44.045,1168.8974,19:28.90,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,4,5,6,7];2:[2,4,6,7];5:[3,4];7:[1,3,5,6,7];3:[4,5,7];1:[1,2,4];9:[0,3,4,5];0:[4,5,7];4:[5];6:[3,5]","c8:bw=67,experts=[0,1,4,5,6,7]; c2:bw=42,experts=[2,4,6,7]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[1,3,5,6,7]; c3:bw=36,experts=[4,5,7]; c1:bw=32,experts=[1,2,4]; c9:bw=48,experts=[0,3,4,5]; c0:bw=31,experts=[4,5,7]; c4:bw=17,experts=[5]; c6:bw=20,experts=[3,5]","14.6667,13.4918,13.5872,0.5004,5.5132,12.7847,3.1277,5.7493,55.9129,15.1160"
7,2026-09-22 20:11:57,Ours,0.01,1.1333046192596024,44.8,47.41777777777778,4,176.2366,2:56.24,131.6839,0.2423,44.3091,1345.1483,22:25.15,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,4,7];5:[0,2,4,7];2:[0,3,6,7];6:[6];3:[4,5];7:[1,2,5];4:[1];1:[0];8:[0,3,4,5,7];9:[6]","c0:bw=36,experts=[0,4,7]; c5:bw=49,experts=[0,2,4,7]; c2:bw=40,experts=[0,3,6,7]; c6:bw=13,experts=[6]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[1,2,5]; c4:bw=14,experts=[1]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,3,4,5,7]; c9:bw=10,experts=[6]","5.9011,13.1925,12.3381,12.6657,5.5086,0.4891,56.1978,12.9575,8.6181,3.8154"
8,2026-09-22 20:14:57,Ours,0.01,0.9537883270017854,30.185555555555556,47.41777777777778,4,180.4751,3:00.48,133.8091,0.1491,46.5157,1525.6381,25:25.64,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[7];8:[0,1,7];1:[0,2,3,6,7];3:[1,6,7];0:[4,5,6];5:[2,7];2:[2,4,5,6,7];9:[0,1,2,4,6];7:[2];6:[1,3,5,7]","c4:bw=10,experts=[7]; c8:bw=37,experts=[0,1,7]; c1:bw=58,experts=[0,2,3,6,7]; c3:bw=37,experts=[1,6,7]; c0:bw=32,experts=[4,5,6]; c5:bw=28,experts=[2,7]; c2:bw=54,experts=[2,4,5,6,7]; c9:bw=59,experts=[0,1,2,4,6]; c7:bw=15,experts=[2]; c6:bw=41,experts=[1,3,5,7]","56.5808,8.5268,13.0261,4.8037,5.5408,13.3382,12.4744,3.7957,0.4996,15.2230"
9,2026-09-22 20:18:02,Ours,0.01,1.1104270501001372,50.23444444444444,50.23444444444444,9,184.8842,3:04.88,140.4798,0.1482,44.2527,1710.5374,28:30.54,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[2,4];0:[0,3,4,5,6];4:[1,2,3,4,6];9:[4,5];8:[1];6:[2,5,7];7:[0,1,4,5];5:[2,3,4,5,6];1:[1];3:[6,7]","c2:bw=21,experts=[2,4]; c0:bw=52,experts=[0,3,4,5,6]; c4:bw=59,experts=[1,2,3,4,6]; c9:bw=26,experts=[4,5]; c8:bw=18,experts=[1]; c6:bw=31,experts=[2,5,7]; c7:bw=46,experts=[0,1,4,5]; c5:bw=52,experts=[2,3,4,5,6]; c1:bw=14,experts=[1]; c3:bw=23,experts=[6,7]","18.8417,5.2430,56.1463,3.8467,8.5277,15.3394,0.4935,13.5726,12.8841,5.5847"
10,2026-09-22 20:21:02,Ours,0.01,1.1618062773056297,46.324444444444445,50.23444444444444,9,180.188,3:00.19,134.903,0.1521,45.1316,1890.7406,31:30.74,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,3,5];2:[1,3,4];7:[1,5,6];0:[1,3,4,6,7];6:[1,2,4,5,6,7];3:[1,3,4,5];5:[0,3,5,6,7];8:[0,1,5];9:[2,4,7];1:[0,1,4,7]","c4:bw=37,experts=[1,3,5]; c2:bw=34,experts=[1,3,4]; c7:bw=37,experts=[1,5,6]; c0:bw=59,experts=[1,3,4,6,7]; c6:bw=65,experts=[1,2,4,5,6,7]; c3:bw=46,experts=[1,3,4,5]; c5:bw=58,experts=[0,3,5,6,7]; c8:bw=35,experts=[0,1,5]; c9:bw=35,experts=[2,4,7]; c1:bw=41,experts=[0,1,4,7]","56.8313,12.0789,0.4934,6.0341,15.2166,5.4608,13.5260,8.5331,3.9201,12.8088"
