Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 03:04:24,Ours,0.00208,1.2552881612708104,10.746666666666666,10.746666666666666,1,162.4067,2:42.41,119.5548,0.1842,42.6668,162.4068,2:42.41,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","7.9114,12.0391,12.5880,5.2429,0.5802,10.6450,3.5566,48.4596,4.9840,13.5480"
2,2026-09-23 03:07:05,Ours,0.00406,1.1820378058782814,10.0,10.746666666666666,1,161.0916,2:41.09,117.8975,0.1618,43.0314,323.7172,5:23.72,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,3,7];1:[0,2,3,7];8:[0,2,3,7];5:[0,1,2,3,6,7];3:[0,1,2,3,6,7];4:[0,3,7];7:[0,2,3,6,7];9:[0,2,3,7];6:[0];2:[0,3]","c0:bw=36,experts=[0,3,7]; c1:bw=41,experts=[0,2,3,7]; c8:bw=48,experts=[0,2,3,7]; c5:bw=69,experts=[0,1,2,3,6,7]; c3:bw=67,experts=[0,1,2,3,6,7]; c4:bw=30,experts=[0,3,7]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,3]","5.3259,11.1766,7.4276,12.4593,5.1924,47.9053,0.5497,3.6102,13.3197,10.9307"
3,2026-09-23 03:09:59,Ours,0.006040000000000001,1.1414543201000433,13.184444444444445,13.184444444444445,3,173.523,2:53.52,125.4864,0.1617,47.8739,497.253,8:17.25,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,7];2:[0,2,3,7];0:[0,1,2,3,7];6:[0,2,3,7];8:[0,2,3];5:[0];3:[0,2];7:[0,2,7];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,7]; c2:bw=42,experts=[0,2,3,7]; c0:bw=50,experts=[0,1,2,3,7]; c6:bw=40,experts=[0,2,3,7]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,7]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","3.7086,10.1328,5.4323,13.2835,7.5560,12.5290,5.0553,0.5422,11.2282,56.0185"
4,2026-09-23 03:12:55,Ours,0.00802,1.1090022890984583,11.662222222222223,13.184444444444445,3,176.5461,2:56.55,128.9957,0.157,47.3923,673.815,11:13.82,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,4];7:[0,1,2,3];6:[0,1,2,3,4];2:[0,1,2,3,4,6];8:[0,1,2];0:[0,1,2,3,4];3:[0,1,2];4:[0,1,2,3,4];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,1,2,4]; c7:bw=45,experts=[0,1,2,3]; c6:bw=53,experts=[0,1,2,3,4]; c2:bw=60,experts=[0,1,2,3,4,6]; c8:bw=31,experts=[0,1,2]; c0:bw=59,experts=[0,1,2,3,4]; c3:bw=34,experts=[0,1,2]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","11.5622,0.5456,14.2378,11.1484,7.7325,5.4335,5.1033,55.4152,13.8044,4.0128"
5,2026-09-23 03:15:53,Ours,0.01,1.078390371082254,13.87,13.87,5,177.0958,2:57.10,133.6428,0.1173,43.3347,850.9251,14:10.93,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,1];5:[0,1,2,6];4:[0,1,2,7];8:[0,1,2];0:[0,1,2,3,7];7:[0,1];6:[0,1,2,6,7];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,1]; c5:bw=40,experts=[0,1,2,6]; c4:bw=48,experts=[0,1,2,7]; c8:bw=37,experts=[0,1,2]; c0:bw=50,experts=[0,1,2,3,7]; c7:bw=24,experts=[0,1]; c6:bw=53,experts=[0,1,2,6,7]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","11.6740,14.5435,58.0224,8.9352,6.1523,0.6130,14.1757,4.9624,11.0286,3.5357"
6,2026-09-23 03:18:38,Ours,0.01,1.0527487825994224,18.583333333333332,18.583333333333332,6,165.6695,2:45.67,122.5885,0.1526,42.9275,1016.6097,16:56.61,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,3,5,6,7];2:[0,1,3,6];5:[0,6];7:[0,1,3,6,7];3:[0,3,6];1:[0,3,6];9:[0,1,3,6];0:[0,3,6];4:[0];6:[0,6]","c8:bw=67,experts=[0,1,3,5,6,7]; c2:bw=42,experts=[0,1,3,6]; c5:bw=27,experts=[0,6]; c7:bw=58,experts=[0,1,3,6,7]; c3:bw=36,experts=[0,3,6]; c1:bw=32,experts=[0,3,6]; c9:bw=48,experts=[0,1,3,6]; c0:bw=31,experts=[0,3,6]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,6]","7.7521,11.1309,12.2219,0.5992,5.2594,11.7549,3.6852,5.3165,51.1237,13.7447"
7,2026-09-23 03:21:22,Ours,0.01,1.0365229721883966,32.48888888888889,32.48888888888889,7,164.238,2:44.24,121.0189,0.1591,43.0556,1180.8625,19:40.86,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,1,6];5:[0,1,5,6];2:[0,1,6,7];6:[0];3:[0,1];7:[0,1,6];4:[0];1:[0];8:[0,1,3,6,7];9:[0]","c0:bw=36,experts=[0,1,6]; c5:bw=49,experts=[0,1,5,6]; c2:bw=40,experts=[0,1,6,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,1]; c7:bw=31,experts=[0,1,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,1,3,6,7]; c9:bw=10,experts=[0]","5.4171,12.2799,11.0500,13.7476,5.1653,0.4435,50.3624,11.3621,7.6515,3.5395"
8,2026-09-23 03:24:07,Ours,0.01,1.0524831307597136,41.31444444444445,41.31444444444445,8,164.6567,2:44.66,121.1051,0.1554,43.3953,1345.5338,22:25.53,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[0];8:[0,3,6];1:[0,2,5,6,7];3:[0,3,6];0:[0,5,6];5:[0,6];2:[0,2,5,6,7];9:[0,4,5,6,7];7:[4];6:[0,5,6,7]","c4:bw=10,experts=[0]; c8:bw=37,experts=[0,3,6]; c1:bw=58,experts=[0,2,5,6,7]; c3:bw=37,experts=[0,3,6]; c0:bw=32,experts=[0,5,6]; c5:bw=28,experts=[0,6]; c2:bw=54,experts=[0,2,5,6,7]; c9:bw=59,experts=[0,4,5,6,7]; c7:bw=15,experts=[4]; c6:bw=41,experts=[0,5,6,7]","49.9408,7.7492,11.5835,5.0802,5.2758,12.2809,11.1010,3.6191,0.5403,13.9342"
9,2026-09-23 03:26:54,Ours,0.01,1.0783477543059932,44.25111111111111,44.25111111111111,9,167.0312,2:47.03,123.4104,0.1535,43.4664,1512.5807,25:12.58,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,6];0:[0,3,4,6,7];4:[0,1,5,6,7];9:[0,3];8:[4];6:[0,5,6];7:[0,1,5,6];5:[0,1,5,6,7];1:[0];3:[4,5]","c2:bw=21,experts=[0,6]; c0:bw=52,experts=[0,3,4,6,7]; c4:bw=59,experts=[0,1,5,6,7]; c9:bw=26,experts=[0,3]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,5,6]; c7:bw=46,experts=[0,1,5,6]; c5:bw=52,experts=[0,1,5,6,7]; c1:bw=14,experts=[0]; c3:bw=23,experts=[4,5]","11.2266,5.4614,51.4364,3.7609,7.5293,14.3835,0.5457,12.3668,11.7633,4.9364"
10,2026-09-23 03:29:42,Ours,0.01,1.0111382392493697,46.93222222222222,46.93222222222222,10,167.9167,2:47.92,124.6924,0.1517,43.0716,1680.5133,28:00.51,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,5,6];2:[0,5,6];7:[0,5,6];0:[0,2,3,6,7];6:[0,1,3,5,6,7];3:[0,3,6,7];5:[0,1,5,6,7];8:[0,3,6];9:[0,3,5];1:[0,3,5,6]","c4:bw=37,experts=[0,5,6]; c2:bw=34,experts=[0,5,6]; c7:bw=37,experts=[0,5,6]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,1,3,5,6,7]; c3:bw=46,experts=[0,3,6,7]; c5:bw=58,experts=[0,1,5,6,7]; c8:bw=35,experts=[0,3,6]; c9:bw=35,experts=[0,3,5]; c1:bw=41,experts=[0,3,5,6]","52.4079,11.3252,0.5652,5.4429,14.1117,5.2001,12.4124,7.7910,3.5766,11.8594"
