Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 02:57:07,Ours,0.00208,1.2552998178887516,32.223333333333336,32.223333333333336,1,166.7284,2:46.73,122.8557,0.1617,43.7078,166.7284,2:46.73,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[2,3];5:[0,2,3,5];0:[3];7:[2,3];2:[2,3];9:[0,2,3,5];4:[0,2,3,5];3:[0,2,3,4,5];6:[0,2,3,5]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[2,3]; c5:bw=44,experts=[0,2,3,5]; c0:bw=10,experts=[3]; c7:bw=20,experts=[2,3]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[0,2,3,5]; c4:bw=40,experts=[0,2,3,5]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,5]","8.2636,12.3847,13.3891,5.4575,0.6026,11.1208,2.9616,49.8350,5.2613,13.5794"
2,2026-09-23 02:59:57,Ours,0.00406,1.1045954792474701,41.992222222222225,41.992222222222225,2,168.8401,2:48.84,124.1803,0.1456,44.5108,335.8007,5:35.80,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,6];8:[0,2,3,4];5:[0,2,3,4,6,7];3:[0,1,2,3,4,6];4:[0,2,3];7:[0,2,3,4,6];9:[0,2,3,6];6:[0];2:[0,3]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]; c8:bw=48,experts=[0,2,3,4]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,1,2,3,4,6]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,4,6]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,3]","5.4153,10.9996,7.7700,12.3029,5.0146,53.3659,0.5492,3.5579,14.0107,11.1941"
3,2026-09-23 03:02:47,Ours,0.006040000000000001,1.0258137457609267,45.99666666666667,45.99666666666667,3,170.1115,2:50.11,124.8947,0.151,45.0621,505.9287,8:25.93,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,6];2:[0,2,3,6];0:[0,2,3,6,7];6:[0,2,3,6];8:[0,2,3];5:[0];3:[0,3];7:[0,2,3];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,6]; c2:bw=42,experts=[0,2,3,6]; c0:bw=50,experts=[0,2,3,6,7]; c6:bw=40,experts=[0,2,3,6]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","3.6713,11.2898,5.5660,13.8100,7.8542,12.4916,5.1662,0.5626,11.8822,52.6008"
4,2026-09-23 03:05:38,Ours,0.00802,0.9996960310984401,50.34444444444444,50.34444444444444,4,171.2053,2:51.21,126.5253,0.1402,44.5368,677.1514,11:17.15,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,6];7:[0,2,3,6];6:[0,2,3,6,7];2:[0,2,3,5,6,7];8:[0,2,3];0:[0,2,3,4,7];3:[0,2,3];4:[0,2,3,6,7];5:[0,1,2,3,5,6,7];9:[0,3]","c1:bw=40,experts=[0,2,3,6]; c7:bw=45,experts=[0,2,3,6]; c6:bw=53,experts=[0,2,3,6,7]; c2:bw=60,experts=[0,2,3,5,6,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,4,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,6,7]; c5:bw=73,experts=[0,1,2,3,5,6,7]; c9:bw=22,experts=[0,3]","11.9891,0.5875,14.4411,11.4482,7.7606,5.4992,5.1528,53.1736,12.8824,3.5907"
5,2026-09-23 03:08:34,Ours,0.01,0.9714375188787056,51.434444444444445,51.434444444444445,5,175.9829,2:55.98,127.8518,0.1487,47.9792,853.1491,14:13.15,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,3];5:[0,2,3,6];4:[0,2,3,6];8:[0,2,3];0:[0,2,3,6,7];7:[0,3];6:[0,2,3,6,7];3:[0,1,2,3,6,7];2:[0];9:[0,1,2,3,6,7]","c1:bw=20,experts=[0,3]; c5:bw=40,experts=[0,2,3,6]; c4:bw=48,experts=[0,2,3,6]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,6,7]; c7:bw=24,experts=[0,3]; c6:bw=53,experts=[0,2,3,6,7]; c3:bw=63,experts=[0,1,2,3,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,6,7]","12.4093,12.8937,52.9803,8.1221,5.7896,0.6123,14.7693,5.3215,11.2332,3.7206"
6,2026-09-23 03:11:25,Ours,0.01,0.9556927928990249,52.13333333333333,52.13333333333333,6,171.5337,2:51.53,127.41,0.1576,43.9652,1024.6974,17:04.70,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,4,6,7];2:[0,2,3,7];5:[0,6];7:[0,2,3,6,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[0];6:[0,3]","c8:bw=67,experts=[0,2,3,4,6,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,6]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,3]","7.9897,11.3582,13.0672,0.5860,3.9094,13.2719,4.2716,5.7956,52.8983,14.2622"
7,2026-09-23 03:14:17,Ours,0.01,0.9404758721500525,53.455555555555556,53.455555555555556,7,171.2086,2:51.21,126.5692,0.1433,44.4953,1195.9245,19:55.92,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,3,7];5:[0,1,2,6];2:[0,3,6,7];6:[0];3:[0,3];7:[0,3,6];4:[0];1:[0];8:[0,2,3,6,7];9:[0]","c0:bw=36,experts=[0,3,7]; c5:bw=49,experts=[0,1,2,6]; c2:bw=40,experts=[0,3,6,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,3]; c7:bw=31,experts=[0,3,6]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,6,7]; c9:bw=10,experts=[0]","5.6895,13.0231,11.6779,11.6330,5.2611,0.5841,54.3983,12.3975,8.1627,3.7420"
8,2026-09-23 03:17:10,Ours,0.01,0.9430134920541926,47.17666666666667,53.455555555555556,7,173.2906,2:53.29,128.5202,0.139,44.6306,1369.2285,22:49.23,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[0,1,6];1:[0,1,4,5,7];3:[0,3,7];0:[0,1,5];5:[0,6];2:[0,1,4,6,7];9:[0,1,4,6,7];7:[1];6:[0,1,4,6]","c4:bw=10,experts=[1]; c8:bw=37,experts=[0,1,6]; c1:bw=58,experts=[0,1,4,5,7]; c3:bw=37,experts=[0,3,7]; c0:bw=32,experts=[0,1,5]; c5:bw=28,experts=[0,6]; c2:bw=54,experts=[0,1,4,6,7]; c9:bw=59,experts=[0,1,4,6,7]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,4,6]","53.5729,8.1354,12.3470,5.4100,5.8323,12.2098,11.8345,3.7417,0.5660,14.8703"
9,2026-09-23 03:19:55,Ours,0.01,1.0278334828026845,52.23777777777778,53.455555555555556,7,165.4416,2:45.44,122.1427,0.1418,43.1562,1534.684,25:34.68,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,7];0:[0,2,3,6,7];4:[0,4,5,6,7];9:[0,5];8:[5];6:[0,5,6];7:[0,5,6,7];5:[0,1,2,6,7];1:[0];3:[0,5]","c2:bw=21,experts=[0,7]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,5]; c8:bw=18,experts=[5]; c6:bw=31,experts=[0,5,6]; c7:bw=46,experts=[0,5,6,7]; c5:bw=52,experts=[0,1,2,6,7]; c1:bw=14,experts=[0]; c3:bw=23,experts=[0,5]","11.5059,4.4115,51.1668,3.6989,7.7392,14.1020,0.5516,12.2064,11.7425,5.0180"
10,2026-09-23 03:23:04,Ours,0.01,0.9100814758537925,55.98444444444444,55.98444444444444,10,188.3324,3:08.33,137.2762,0.1702,50.885,1723.0299,28:43.03,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,6,7];2:[0,6,7];7:[0,4,6];0:[0,3,4,6,7];6:[0,1,2,4,6,7];3:[0,4,6,7];5:[0,1,4,6,7];8:[0,6,7];9:[0,6,7];1:[0,1,6,7]","c4:bw=37,experts=[0,6,7]; c2:bw=34,experts=[0,6,7]; c7:bw=37,experts=[0,4,6]; c0:bw=59,experts=[0,3,4,6,7]; c6:bw=65,experts=[0,1,2,4,6,7]; c3:bw=46,experts=[0,4,6,7]; c5:bw=58,experts=[0,1,4,6,7]; c8:bw=35,experts=[0,6,7]; c9:bw=35,experts=[0,6,7]; c1:bw=41,experts=[0,1,6,7]","51.9718,10.8063,0.5403,5.6681,17.3968,6.3411,15.5619,9.8499,4.4163,14.7238"
11,2026-09-23 03:26:09,Ours,0.01,0.8915870615535187,56.66,56.66,11,185.4537,3:05.45,140.8595,0.1414,44.4519,1908.5024,31:48.50,10,"5,2,7,3,0,8,9,6,1,4",5:28;2:27;7:44;3:50;0:28;8:39;9:33;6:55;1:40;4:16,"5:[0,6];2:[0,6];7:[0,1,6,7];3:[0,2,3,6,7];0:[0,3];8:[0,6,7];9:[0,6,7];6:[0,1,2,6,7];1:[0,1,6,7];4:[0]","c5:bw=28,experts=[0,6]; c2:bw=27,experts=[0,6]; c7:bw=44,experts=[0,1,6,7]; c3:bw=50,experts=[0,2,3,6,7]; c0:bw=28,experts=[0,3]; c8:bw=39,experts=[0,6,7]; c9:bw=33,experts=[0,6,7]; c6:bw=55,experts=[0,1,2,6,7]; c1:bw=40,experts=[0,1,6,7]; c4:bw=16,experts=[0]","15.5709,14.1706,0.7011,6.3158,6.6749,7.4271,4.1400,16.4518,13.7479,55.6596"
