Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 01:00:15,Ours,0.00208,1.2677131904006211,26.101111111111113,26.101111111111113,1,156.1011,2:36.10,115.1102,0.1329,40.8572,156.1011,2:36.10,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,3,4];1:[1,2];5:[0,5,6,7];0:[0];7:[0,7];2:[2,3];9:[1,2,3,4];4:[4,5,6,7];3:[3,4,5,6,7];6:[0,1,6,7]","c8:bw=55,experts=[0,1,2,3,4]; c1:bw=29,experts=[1,2]; c5:bw=44,experts=[0,5,6,7]; c0:bw=10,experts=[0]; c7:bw=20,experts=[0,7]; c2:bw=29,experts=[2,3]; c9:bw=45,experts=[1,2,3,4]; c4:bw=40,experts=[4,5,6,7]; c3:bw=51,experts=[3,4,5,6,7]; c6:bw=41,experts=[0,1,6,7]","7.6134,11.4489,12.2419,5.2525,0.4495,10.2036,3.3951,46.8483,4.6841,12.9729"
2,2026-09-23 01:02:50,Ours,0.00406,1.1213364096833263,38.35444444444445,38.35444444444445,2,154.6645,2:34.66,112.8351,0.1214,41.7072,310.9788,5:10.98,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,2,3];1:[3,4,5,6];8:[0,5,6,7];5:[1,2,3,4,5,6];3:[0,1,2,3,4,5];4:[0,1,2];7:[1,2,3,4,5];9:[0,5,6,7];6:[2];2:[4,5]","c0:bw=36,experts=[1,2,3]; c1:bw=41,experts=[3,4,5,6]; c8:bw=48,experts=[0,5,6,7]; c5:bw=69,experts=[1,2,3,4,5,6]; c3:bw=67,experts=[0,1,2,3,4,5]; c4:bw=30,experts=[0,1,2]; c7:bw=55,experts=[1,2,3,4,5]; c9:bw=46,experts=[0,5,6,7]; c6:bw=17,experts=[2]; c2:bw=22,experts=[4,5]","4.9463,11.0043,7.1121,11.3614,4.6775,47.0126,0.4100,3.2948,13.0436,9.9725"
3,2026-09-23 01:05:22,Ours,0.006040000000000001,1.0479506596951709,16.532222222222224,38.35444444444445,2,152.3156,2:32.32,110.2856,0.1272,41.902,463.3086,7:43.31,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,3,4];2:[0,1,6,7];0:[0,4,5,6,7];6:[3,4,5,6];8:[1,2,3];5:[7];3:[6,7];7:[0,6,7];1:[7];4:[3,4,5,6,7]","c9:bw=48,experts=[1,2,3,4]; c2:bw=42,experts=[0,1,6,7]; c0:bw=50,experts=[0,4,5,6,7]; c6:bw=40,experts=[3,4,5,6]; c8:bw=30,experts=[1,2,3]; c5:bw=13,experts=[7]; c3:bw=26,experts=[6,7]; c7:bw=33,experts=[0,6,7]; c1:bw=13,experts=[7]; c4:bw=52,experts=[3,4,5,6,7]","3.2540,9.6725,4.1794,12.7776,7.0691,11.5572,4.6278,0.4253,10.7427,45.9800"
4,2026-09-23 01:07:59,Ours,0.00802,1.0732949400833254,43.54555555555555,43.54555555555555,4,156.3693,2:36.37,114.677,0.1276,41.5637,619.6929,10:19.69,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,2,3];7:[1,2,3,4];6:[0,1,2,3,7];2:[2,3,4,5,6,7];8:[4,5,6];0:[1,2,3,4,5];3:[0,1,2];4:[0,1,2,3,4];5:[0,1,2,3,4,5,6];9:[5,6]","c1:bw=40,experts=[0,1,2,3]; c7:bw=45,experts=[1,2,3,4]; c6:bw=53,experts=[0,1,2,3,7]; c2:bw=60,experts=[2,3,4,5,6,7]; c8:bw=31,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c3:bw=34,experts=[0,1,2]; c4:bw=56,experts=[0,1,2,3,4]; c5:bw=73,experts=[0,1,2,3,4,5,6]; c9:bw=22,experts=[5,6]","10.9452,0.4009,13.2987,10.4565,7.2143,4.8644,4.7106,48.1719,11.4833,3.1311"
5,2026-09-23 01:10:33,Ours,0.01,1.0168417250063944,49.77777777777778,49.77777777777778,5,154.2393,2:34.24,112.6291,0.1289,41.4804,773.9467,12:53.95,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,5];5:[0,1,2,7];4:[0,5,6,7];8:[0,1,7];0:[0,1,2,6,7];7:[5,6];6:[0,4,5,6,7];3:[0,3,4,5,6,7];2:[0];9:[0,1,2,3,4,7]","c1:bw=20,experts=[4,5]; c5:bw=40,experts=[0,1,2,7]; c4:bw=48,experts=[0,5,6,7]; c8:bw=37,experts=[0,1,7]; c0:bw=50,experts=[0,1,2,6,7]; c7:bw=24,experts=[5,6]; c6:bw=53,experts=[0,4,5,6,7]; c3:bw=63,experts=[0,3,4,5,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,1,2,3,4,7]","11.1164,9.1868,47.7763,7.4486,5.1101,0.4202,13.2428,4.6495,10.4091,3.2693"
6,2026-09-23 01:13:10,Ours,0.01,0.9825748034787084,32.14666666666667,49.77777777777778,5,157.4633,2:37.46,115.6079,0.124,41.7306,931.4237,15:31.42,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[2,3,4,5,6,7];2:[1,2,3,4];5:[3,4];7:[0,1,2,3,7];3:[1,2,3];1:[0,6,7];9:[0,5,6,7];0:[3,4,5];4:[1];6:[1,2]","c8:bw=67,experts=[2,3,4,5,6,7]; c2:bw=42,experts=[1,2,3,4]; c5:bw=27,experts=[3,4]; c7:bw=58,experts=[0,1,2,3,7]; c3:bw=36,experts=[1,2,3]; c1:bw=32,experts=[0,6,7]; c9:bw=48,experts=[0,5,6,7]; c0:bw=31,experts=[3,4,5]; c4:bw=17,experts=[1]; c6:bw=20,experts=[1,2]","7.3885,10.6371,11.2678,0.4095,4.7010,10.8074,3.1858,5.0539,49.7038,12.4530"
7,2026-09-23 01:15:45,Ours,0.01,0.9885519150662209,45.1,49.77777777777778,5,154.3732,2:34.37,113.1684,0.1258,41.0757,1085.8105,18:05.81,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,6,7];5:[0,5,6,7];2:[0,5,6,7];6:[3];3:[4,5];7:[4,5,6];4:[2];1:[1];8:[0,1,2,3,4];9:[1]","c0:bw=36,experts=[0,6,7]; c5:bw=49,experts=[0,5,6,7]; c2:bw=40,experts=[0,5,6,7]; c6:bw=13,experts=[3]; c3:bw=26,experts=[4,5]; c7:bw=31,experts=[4,5,6]; c4:bw=14,experts=[2]; c1:bw=10,experts=[1]; c8:bw=57,experts=[0,1,2,3,4]; c9:bw=10,experts=[1]","5.0769,11.6235,10.4167,10.6654,4.7459,0.3940,49.1420,10.6800,7.1625,3.2615"
8,2026-09-23 01:18:31,Ours,0.01,1.1430954545006984,28.57,49.77777777777778,5,166.0354,2:46.04,119.4953,0.1376,46.4017,1251.8609,20:51.86,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[5,6,7];1:[2,3,4,5,6];3:[0,6,7];0:[1,2,3];5:[1,2];2:[1,2,3,4,5];9:[2,3,4,5,6];7:[7];6:[4,5,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[5,6,7]; c1:bw=58,experts=[2,3,4,5,6]; c3:bw=37,experts=[0,6,7]; c0:bw=32,experts=[1,2,3]; c5:bw=28,experts=[1,2]; c2:bw=54,experts=[1,2,3,4,5]; c9:bw=59,experts=[2,3,4,5,6]; c7:bw=15,experts=[7]; c6:bw=41,experts=[4,5,6,7]","47.4274,7.1090,10.8247,4.5642,4.9074,12.1095,12.9054,2.8369,0.4330,16.3778"
9,2026-09-23 01:21:33,Ours,0.01,0.9556771541603138,34.14222222222222,49.77777777777778,5,182.3726,3:02.37,129.5116,0.1339,52.7262,1434.2504,23:54.25,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[6,7];0:[0,4,5,6,7];4:[0,4,5,6,7];9:[0,7];8:[0];6:[0,1,2];7:[0,1,2,3];5:[3,4,5,6,7];1:[7];3:[1,2]","c2:bw=21,experts=[6,7]; c0:bw=52,experts=[0,4,5,6,7]; c4:bw=59,experts=[0,4,5,6,7]; c9:bw=26,experts=[0,7]; c8:bw=18,experts=[0]; c6:bw=31,experts=[0,1,2]; c7:bw=46,experts=[0,1,2,3]; c5:bw=52,experts=[3,4,5,6,7]; c1:bw=14,experts=[7]; c3:bw=23,experts=[1,2]","9.9927,5.3028,52.7119,3.6172,8.0702,14.7587,0.4979,16.5352,12.3956,5.6293"
10,2026-09-23 01:24:38,Ours,0.01,0.987111156916676,52.852222222222224,52.852222222222224,10,184.6425,3:04.64,132.5789,0.1351,51.9275,1618.91,26:58.91,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,2,3];2:[0,1,2];7:[4,5,6];0:[1,2,3,4,5];6:[0,3,4,5,6,7];3:[3,4,5,6];5:[0,1,2,3,4];8:[1,2,3];9:[1,2,3];1:[0,1,2,3]","c4:bw=37,experts=[1,2,3]; c2:bw=34,experts=[0,1,2]; c7:bw=37,experts=[4,5,6]; c0:bw=59,experts=[1,2,3,4,5]; c6:bw=65,experts=[0,3,4,5,6,7]; c3:bw=46,experts=[3,4,5,6]; c5:bw=58,experts=[0,1,2,3,4]; c8:bw=35,experts=[1,2,3]; c9:bw=35,experts=[1,2,3]; c1:bw=41,experts=[0,1,2,3]","55.1124,11.1635,0.4255,5.2260,14.6487,5.3835,15.0786,9.2238,3.9731,12.3437"
