Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 10:13:45,Ours,0.00208,4.27810864216279,0.47,0.47,1,264.8509,4:24.85,252.645,0.3271,11.8773,264.8509,4:24.85,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","26.3403,24.4736,24.8236,24.3673,28.6941,23.4253,19.7193,27.4939,26.6825,26.6252"
2,2026-09-22 10:17:03,Ours,0.00406,3.8689972094918774,0.59,0.59,2,197.0166,3:17.02,190.7135,0.227,6.0746,462.1667,7:42.17,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,4,6];1:[0,2,4,6];8:[0,2,4,6];5:[0,1,2,4,5,6];3:[0,1,2,4,5,6];4:[0,4,6];7:[0,1,2,4,6];9:[0,2,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[0,4,6]; c1:bw=41,experts=[0,2,4,6]; c8:bw=48,experts=[0,2,4,6]; c5:bw=69,experts=[0,1,2,4,5,6]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[0,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,2,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","18.4704,18.8490,19.0826,19.4321,20.9104,21.1954,21.4977,15.0158,19.8754,16.3848"
3,2026-09-22 10:20:27,Ours,0.006040000000000001,3.7598678839228787,0.65,0.65,3,204.1336,3:24.13,197.4544,0.2161,6.4617,666.314,11:06.31,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[1,2,4,6];2:[1,2,4,6];0:[0,1,2,4,6];6:[1,2,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[1,2,4,6]; c2:bw=42,experts=[1,2,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[1,2,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","15.4697,16.9710,18.6633,19.6778,19.8893,20.2924,21.1373,21.9393,18.8021,24.6122"
4,2026-09-22 10:23:46,Ours,0.00802,3.6911091835305605,0.59,0.65,3,199.5444,3:19.54,193.1265,0.2239,6.1924,865.8731,14:25.87,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,6];7:[0,1,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,2,4,6];3:[1,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","18.9441,19.0048,20.8442,16.8739,19.7007,18.6968,21.4791,22.0252,20.4771,15.0805"
5,2026-09-22 10:27:08,Ours,0.01,3.6418319609739305,0.69,0.69,5,201.9534,3:21.95,195.6178,0.2197,6.1145,1067.8411,17:47.84,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,1,4,6];4:[0,1,4,6];8:[0,4,6];0:[0,1,4,5,6];7:[4,6];6:[0,1,4,5,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[0,1,4,6]; c8:bw=37,experts=[0,4,6]; c0:bw=50,experts=[0,1,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,4,5,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","19.0716,20.5965,22.4870,19.7514,18.5601,21.4517,20.6857,21.0672,16.7509,15.1957"
6,2026-09-22 10:30:30,Ours,0.01,3.5705891306975084,0.71,0.71,6,202.0621,3:22.06,195.66,0.2209,6.1796,1269.9192,21:09.92,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,1,4,6];5:[4,6];7:[0,1,2,4,6];3:[0,4,6];1:[0,4,6];9:[0,1,4,6];0:[0,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,2,4,6]; c3:bw=36,experts=[0,4,6]; c1:bw=32,experts=[0,4,6]; c9:bw=48,experts=[0,1,4,6]; c0:bw=31,experts=[0,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","19.9753,14.0870,20.4846,21.6226,22.5020,20.6986,15.3740,18.6049,21.6823,20.6288"
7,2026-09-22 10:33:51,Ours,0.01,3.498333377504882,1.69,1.69,7,200.4086,3:20.41,193.9924,0.2343,6.1805,1470.3437,24:30.34,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[4,6,7];5:[0,4,6,7];2:[0,4,6,7];6:[4];3:[4,6];7:[4,6,7];4:[4];1:[4];8:[0,1,4,6,7];9:[4]","c0:bw=36,experts=[4,6,7]; c5:bw=49,experts=[0,4,6,7]; c2:bw=40,experts=[0,4,6,7]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[4,6,7]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,4,6,7]; c9:bw=10,experts=[4]","18.9241,19.9622,16.8944,20.6389,21.0510,21.5153,21.9919,17.9105,19.7391,15.3648"
8,2026-09-22 10:37:10,Ours,0.01,3.563720513038136,2.74,2.74,8,199.1005,3:19.10,192.6822,0.214,6.2026,1669.4588,27:49.46,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,6];1:[3,4,5,6,7];3:[3,4,7];0:[3,4,6];5:[3,4];2:[0,3,4,6,7];9:[0,3,4,6,7];7:[3];6:[3,4,6,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,6]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,6]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[0,3,4,6,7]; c9:bw=59,experts=[0,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,6,7]","21.1434,19.8600,17.4919,21.2577,18.6584,20.5518,16.1061,15.3839,21.5347,20.6942"
9,2026-09-22 10:40:34,Ours,0.01,3.3677415610315578,4.09,4.09,9,203.6288,3:23.63,197.1015,0.2097,6.3161,1873.1039,31:13.10,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[1,3,4,6,7];4:[3,4,5,6,7];9:[4,6];8:[4];6:[4,6,7];7:[4,5,6,7];5:[0,3,4,6,7];1:[4];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[1,3,4,6,7]; c4:bw=59,experts=[3,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[4,6,7]; c7:bw=46,experts=[4,5,6,7]; c5:bw=52,experts=[0,3,4,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[4,6]","14.2588,19.6521,24.4468,15.3160,19.8412,21.3018,21.5581,20.6710,18.8326,21.2232"
10,2026-09-22 10:43:56,Ours,0.01,3.312102318685239,4.7,4.7,10,202.2579,3:22.26,195.8442,0.2132,6.1989,2075.3784,34:35.38,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[4,6,7];2:[4,6,7];7:[0,4,6];0:[0,3,4,6,7];6:[0,2,3,4,6,7];3:[2,3,4,6];5:[2,3,4,6,7];8:[2,4,6];9:[3,4,6];1:[2,4,6,7]","c4:bw=37,experts=[4,6,7]; c2:bw=34,experts=[4,6,7]; c7:bw=37,experts=[0,4,6]; c0:bw=59,experts=[0,3,4,6,7]; c6:bw=65,experts=[0,2,3,4,6,7]; c3:bw=46,experts=[2,3,4,6]; c5:bw=58,experts=[2,3,4,6,7]; c8:bw=35,experts=[2,4,6]; c9:bw=35,experts=[3,4,6]; c1:bw=41,experts=[2,4,6,7]","22.3194,16.3990,21.5455,18.6841,21.0602,21.1813,20.5889,19.7132,15.4380,18.9147"
