Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 05:33:48,Ours,0.00208,4.279671271707796,0.88,0.88,1,202.0663,3:22.07,193.8445,0.2003,8.0181,202.0663,3:22.07,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","19.9912,18.6163,19.8745,18.8817,18.6816,17.2275,15.9708,22.0169,21.4584,21.1257"
2,2026-09-22 05:36:56,Ours,0.00406,3.7586699803648167,2.16,2.16,2,187.6295,3:07.63,181.0571,0.1961,6.373,389.9631,6:29.96,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,2,4,6,7];3:[0,1,2,4,5,6];4:[1,4,6];7:[0,1,2,4,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,5,6]; c4:bw=30,experts=[1,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","13.1596,18.7312,18.8140,19.5860,20.7360,20.9827,19.3620,13.6885,19.7081,16.2888"
3,2026-09-22 05:40:08,Ours,0.006040000000000001,3.5342082178713623,4.13,4.13,3,192.0028,3:12.00,186.0947,0.1938,5.7127,581.9793,9:41.98,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,1,4,6];0:[0,1,2,4,6];6:[1,2,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[1,2,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","14.5975,16.1084,18.3348,19.5820,17.9262,19.4916,20.3119,20.0578,18.0185,21.6659"
4,2026-09-22 05:43:09,Ours,0.00802,3.372792250711617,6.9,6.9,4,180.9053,3:00.91,174.9864,0.2069,5.7105,762.8991,12:42.90,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,6];7:[0,1,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,2,4,6];3:[1,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","18.0712,19.8746,19.0726,15.7781,18.8534,16.8237,18.9166,17.2754,17.2586,13.0622"
5,2026-09-22 05:45:57,Ours,0.01,3.250146948397483,9.56,9.56,5,167.74,2:47.74,162.2701,0.1947,5.2708,930.855,15:30.85,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[1,4,5,6];4:[1,2,4,6];8:[1,4,6];0:[1,2,4,5,6];7:[4,6];6:[0,1,2,4,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[1,4,5,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[1,4,6]; c0:bw=50,experts=[1,2,4,5,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,2,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","16.2437,17.6475,19.3823,14.8943,14.8668,18.0106,18.0205,16.4254,13.6673,13.1117"
6,2026-09-22 05:48:43,Ours,0.01,3.097562743567022,12.15,12.15,6,166.0086,2:46.01,160.3629,0.1961,5.4455,1096.8775,18:16.88,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,1,4,6];5:[4,6];7:[0,1,4,5,6];3:[1,4,6];1:[1,4,6];9:[0,1,4,6];0:[1,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[1,4,6]; c1:bw=32,experts=[1,4,6]; c9:bw=48,experts=[0,1,4,6]; c0:bw=31,experts=[1,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","16.2238,13.9213,17.0803,17.9042,16.7533,15.2153,13.0945,15.7240,17.7615,16.6847"
7,2026-09-22 05:51:31,Ours,0.01,2.978904368275471,14.5,14.5,7,167.8703,2:47.87,162.6972,0.1959,4.9759,1264.761,21:04.76,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[1,4,6];5:[1,4,5,6];2:[0,1,4,6];6:[4];3:[4,6];7:[1,4,6];4:[4];1:[4];8:[0,1,2,4,6];9:[4]","c0:bw=36,experts=[1,4,6]; c5:bw=49,experts=[1,4,5,6]; c2:bw=40,experts=[0,1,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[1,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]","15.6862,17.5195,13.6493,17.2514,18.0660,17.7257,17.8893,15.8655,16.7069,12.3376"
8,2026-09-22 05:54:16,Ours,0.01,3.0132750838921245,16.08,16.08,8,164.5325,2:44.53,159.0718,0.176,5.2832,1429.3071,23:49.31,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,7];0:[3,4,7];5:[3,4];2:[1,3,4,6,7];9:[1,3,4,6,7];7:[3];6:[3,4,5,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,7]; c0:bw=32,experts=[3,4,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,5,7]","17.8663,15.8292,15.4705,17.1313,15.4744,16.9727,13.7616,11.8967,17.3835,17.2858"
9,2026-09-22 05:57:03,Ours,0.01,2.9346637427014732,17.23,17.23,9,166.9732,2:46.97,161.2405,0.2006,5.5306,1596.2956,26:36.30,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,4,5,6];4:[1,4,5,6,7];9:[4,6];8:[4];6:[1,4,6];7:[1,4,6,7];5:[0,1,4,5,6];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[1,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[1,4,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","13.7802,15.6263,18.2324,12.8822,16.0911,17.0298,17.8688,17.0716,15.1214,17.5369"
10,2026-09-22 05:59:51,Ours,0.01,2.768456636639649,18.94,18.94,10,168.5105,2:48.51,163.094,0.2069,5.208,1764.8207,29:24.82,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,4,6];2:[1,4,6];7:[2,4,6];0:[0,1,4,5,6];6:[0,1,2,4,5,6];3:[1,4,5,6];5:[0,1,4,5,6];8:[1,4,6];9:[1,4,6];1:[1,4,5,6]","c4:bw=37,experts=[1,4,6]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[1,4,5,6]; c5:bw=58,experts=[0,1,4,5,6]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[1,4,5,6]","18.6920,13.9617,17.7404,15.5100,17.6680,17.6065,17.0198,16.6581,12.6057,15.6318"
