Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 05:33:48,Ours,0.00208,4.278630430217041,0.76,0.76,1,202.0785,3:22.08,193.0014,0.1644,8.9112,202.0785,3:22.08,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,1,2,4,6];1:[2,6];5:[1,2,4,6];0:[2];7:[2,6];2:[2,4];9:[1,2,4,6];4:[1,2,4,6];3:[1,2,4,5,6];6:[1,2,4,6]","c8:bw=55,experts=[0,1,2,4,6]; c1:bw=29,experts=[2,6]; c5:bw=44,experts=[1,2,4,6]; c0:bw=10,experts=[2]; c7:bw=20,experts=[2,6]; c2:bw=29,experts=[2,4]; c9:bw=45,experts=[1,2,4,6]; c4:bw=40,experts=[1,2,4,6]; c3:bw=51,experts=[1,2,4,5,6]; c6:bw=41,experts=[1,2,4,6]","19.6017,19.0571,19.4719,18.8847,18.8369,16.8103,15.9659,22.5288,20.8833,20.9608"
2,2026-09-22 05:36:51,Ours,0.00406,3.679893785009509,2.32,2.32,2,181.8711,3:01.87,175.7219,0.1661,5.9816,384.1977,6:24.20,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[1,4,6];1:[0,1,4,6];8:[0,1,4,6];5:[0,1,2,4,6,7];3:[0,1,2,4,6,7];4:[1,4,6];7:[0,1,2,4,6];9:[0,1,4,6];6:[4];2:[4,6]","c0:bw=36,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]; c8:bw=48,experts=[0,1,4,6]; c5:bw=69,experts=[0,1,2,4,6,7]; c3:bw=67,experts=[0,1,2,4,6,7]; c4:bw=30,experts=[1,4,6]; c7:bw=55,experts=[0,1,2,4,6]; c9:bw=46,experts=[0,1,4,6]; c6:bw=17,experts=[4]; c2:bw=22,experts=[4,6]","12.7835,17.6684,18.1470,18.9669,19.2811,20.4917,20.0801,13.6887,19.0913,15.5230"
3,2026-09-22 05:39:56,Ours,0.006040000000000001,3.483811760619254,4.9,4.9,3,185.0466,3:05.05,178.9368,0.2253,5.883,569.2611,9:29.26,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,1,4,6];2:[0,1,4,6];0:[0,1,2,4,6];6:[1,2,4,6];8:[1,4,6];5:[4];3:[4,6];7:[1,4,6];1:[4];4:[0,1,2,4,6]","c9:bw=48,experts=[0,1,4,6]; c2:bw=42,experts=[0,1,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c6:bw=40,experts=[1,2,4,6]; c8:bw=30,experts=[1,4,6]; c5:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=33,experts=[1,4,6]; c1:bw=13,experts=[4]; c4:bw=52,experts=[0,1,2,4,6]","13.8259,16.0110,17.5569,19.6879,17.4448,17.9193,19.4773,19.6860,16.9225,20.4051"
4,2026-09-22 05:42:59,Ours,0.00802,3.3309764188426434,8.01,8.01,4,182.9628,3:02.96,177.0964,0.1831,5.6817,752.2369,12:32.24,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,1,4,6];7:[0,1,4,6];6:[0,1,2,4,6];2:[0,1,2,4,5,6];8:[1,4,6];0:[0,1,2,4,6];3:[1,4,6];4:[0,1,2,4,6];5:[0,1,2,4,5,6,7];9:[4,6]","c1:bw=40,experts=[0,1,4,6]; c7:bw=45,experts=[0,1,4,6]; c6:bw=53,experts=[0,1,2,4,6]; c2:bw=60,experts=[0,1,2,4,5,6]; c8:bw=31,experts=[1,4,6]; c0:bw=59,experts=[0,1,2,4,6]; c3:bw=34,experts=[1,4,6]; c4:bw=56,experts=[0,1,2,4,6]; c5:bw=73,experts=[0,1,2,4,5,6,7]; c9:bw=22,experts=[4,6]","16.2953,19.4794,18.8835,15.9716,18.0844,17.7301,19.1616,19.4638,18.1120,13.9148"
5,2026-09-22 05:45:54,Ours,0.01,3.202806332677217,10.51,10.51,5,175.5745,2:55.57,169.9911,0.1758,5.4062,928.031,15:28.03,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[4,6];5:[0,1,4,6];4:[1,2,4,6];8:[1,4,6];0:[0,1,2,4,6];7:[4,6];6:[0,1,2,4,6];3:[0,1,2,4,5,6];2:[4];9:[0,1,2,4,5,6]","c1:bw=20,experts=[4,6]; c5:bw=40,experts=[0,1,4,6]; c4:bw=48,experts=[1,2,4,6]; c8:bw=37,experts=[1,4,6]; c0:bw=50,experts=[0,1,2,4,6]; c7:bw=24,experts=[4,6]; c6:bw=53,experts=[0,1,2,4,6]; c3:bw=63,experts=[0,1,2,4,5,6]; c2:bw=10,experts=[4]; c9:bw=62,experts=[0,1,2,4,5,6]","16.9876,18.2369,19.7091,17.0472,15.8022,18.7674,18.4588,17.3565,14.0187,13.6066"
6,2026-09-22 05:48:47,Ours,0.01,3.047172433444486,13.83,13.83,6,172.2823,2:52.28,166.66,0.1856,5.4352,1100.3271,18:20.33,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,1,2,4,5,6];2:[0,1,4,6];5:[4,6];7:[0,1,4,5,6];3:[1,4,6];1:[1,4,6];9:[0,1,4,6];0:[1,4,6];4:[4];6:[4,6]","c8:bw=67,experts=[0,1,2,4,5,6]; c2:bw=42,experts=[0,1,4,6]; c5:bw=27,experts=[4,6]; c7:bw=58,experts=[0,1,4,5,6]; c3:bw=36,experts=[1,4,6]; c1:bw=32,experts=[1,4,6]; c9:bw=48,experts=[0,1,4,6]; c0:bw=31,experts=[1,4,6]; c4:bw=17,experts=[4]; c6:bw=20,experts=[4,6]","16.8449,14.1172,17.6864,18.9372,17.7244,15.6139,13.5653,16.5410,18.1957,17.4342"
7,2026-09-22 05:51:39,Ours,0.01,2.9279715035937444,16.08,16.08,7,172.1216,2:52.12,166.8234,0.1742,5.1227,1272.4625,21:12.46,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[1,4,6];5:[0,1,4,6];2:[0,1,4,6];6:[4];3:[4,6];7:[1,4,6];4:[4];1:[4];8:[0,1,2,4,6];9:[4]","c0:bw=36,experts=[1,4,6]; c5:bw=49,experts=[0,1,4,6]; c2:bw=40,experts=[0,1,4,6]; c6:bw=13,experts=[4]; c3:bw=26,experts=[4,6]; c7:bw=31,experts=[1,4,6]; c4:bw=14,experts=[4]; c1:bw=10,experts=[4]; c8:bw=57,experts=[0,1,2,4,6]; c9:bw=10,experts=[4]","16.2149,17.5859,14.1523,17.9335,18.4886,17.9459,18.4906,16.2879,17.2165,12.5073"
8,2026-09-22 05:54:29,Ours,0.01,2.9713635352737855,17.74,17.74,8,170.4603,2:50.46,164.8817,0.1656,5.4079,1442.9376,24:02.94,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[3];8:[3,4,7];1:[3,4,5,6,7];3:[3,4,6];0:[3,5,7];5:[3,4];2:[1,3,4,6,7];9:[1,3,4,6,7];7:[3];6:[3,4,5,7]","c4:bw=10,experts=[3]; c8:bw=37,experts=[3,4,7]; c1:bw=58,experts=[3,4,5,6,7]; c3:bw=37,experts=[3,4,6]; c0:bw=32,experts=[3,5,7]; c5:bw=28,experts=[3,4]; c2:bw=54,experts=[1,3,4,6,7]; c9:bw=59,experts=[1,3,4,6,7]; c7:bw=15,experts=[3]; c6:bw=41,experts=[3,4,5,7]","18.5401,16.6509,15.6443,17.9161,16.0859,17.8024,13.3464,12.6660,18.4070,17.8226"
9,2026-09-22 05:57:23,Ours,0.01,2.8001084548493154,21.02,21.02,9,173.4881,2:53.49,167.7028,0.1745,5.6079,1616.4397,26:56.44,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[4,6];0:[0,1,4,5,6];4:[1,4,5,6,7];9:[4,6];8:[4];6:[1,4,6];7:[1,4,6,7];5:[0,1,4,5,6];1:[2];3:[4,6]","c2:bw=21,experts=[4,6]; c0:bw=52,experts=[0,1,4,5,6]; c4:bw=59,experts=[1,4,5,6,7]; c9:bw=26,experts=[4,6]; c8:bw=18,experts=[4]; c6:bw=31,experts=[1,4,6]; c7:bw=46,experts=[1,4,6,7]; c5:bw=52,experts=[0,1,4,5,6]; c1:bw=14,experts=[2]; c3:bw=23,experts=[4,6]","14.5647,16.0623,19.1331,13.0869,16.4821,17.7337,18.4223,17.2156,16.4768,18.5252"
10,2026-09-22 06:00:16,Ours,0.01,2.6881599056479306,22.83,22.83,10,172.9609,2:52.96,167.5533,0.1725,5.2337,1789.4147,29:49.41,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[1,4,6];2:[1,4,6];7:[2,4,6];0:[0,1,4,5,6];6:[0,1,2,4,5,6];3:[1,4,6,7];5:[0,1,4,5,6];8:[1,4,6];9:[1,4,6];1:[0,1,4,6]","c4:bw=37,experts=[1,4,6]; c2:bw=34,experts=[1,4,6]; c7:bw=37,experts=[2,4,6]; c0:bw=59,experts=[0,1,4,5,6]; c6:bw=65,experts=[0,1,2,4,5,6]; c3:bw=46,experts=[1,4,6,7]; c5:bw=58,experts=[0,1,4,5,6]; c8:bw=35,experts=[1,4,6]; c9:bw=35,experts=[1,4,6]; c1:bw=41,experts=[0,1,4,6]","18.9267,14.1583,18.4845,16.4869,17.8534,18.2317,17.7697,16.8944,12.5498,16.1978"
