Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 15:12:58,Ours,0.00208,4.115997261554687,2.15,2.15,1,166.926,2:46.93,161.0663,0.155,5.7012,166.9261,2:46.93,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[3,4];5:[0,2,3,4];0:[3];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,5];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[3]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,4]","16.1495,14.9339,16.9117,17.2001,17.2413,13.5381,12.7775,18.5596,16.3610,17.3937"
2,2026-09-22 15:15:39,Ours,0.00406,3.5756767601059223,4.05,4.05,2,161.447,2:41.45,155.745,0.1444,5.5568,328.6021,5:28.60,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,7];8:[0,2,3,6];5:[0,2,3,4,6,7];3:[0,2,3,4,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,6];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,7]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,2,3,4,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,6]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","14.7329,15.2350,16.2446,16.0210,16.8432,17.3123,17.1903,12.1677,16.5496,13.4484"
3,2026-09-22 15:18:21,Ours,0.006040000000000001,3.2976935542242076,6.35,6.35,3,161.7408,2:41.74,156.0874,0.1391,5.5135,490.3568,8:10.36,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,7];2:[0,2,3,7];0:[0,2,3,4,7];6:[0,2,3,7];8:[0,2,3];5:[0];3:[0,2];7:[0,2,3];1:[0];4:[0,2,3,6,7]","c9:bw=48,experts=[0,2,3,7]; c2:bw=42,experts=[0,2,3,7]; c0:bw=50,experts=[0,2,3,4,7]; c6:bw=40,experts=[0,2,3,7]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,6,7]","12.2508,13.6846,15.0155,16.2438,15.9739,16.3809,16.5784,17.3748,15.0255,17.5592"
4,2026-09-22 15:21:07,Ours,0.00802,3.14227300775971,8.68,8.68,4,166.0038,2:46.00,160.453,0.1376,5.4123,656.3749,10:56.37,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,7];7:[0,2,3,7];6:[0,2,3,4,7];2:[0,1,2,3,4,7];8:[0,2,3];0:[0,2,3,4,7];3:[0,2,3];4:[0,2,3,4,7];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,2,3,7]; c7:bw=45,experts=[0,2,3,7]; c6:bw=53,experts=[0,2,3,4,7]; c2:bw=60,experts=[0,1,2,3,4,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,4,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,7]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","14.4147,17.2743,16.6584,13.5582,16.3690,18.1055,17.5640,17.7096,16.5051,12.2942"
5,2026-09-22 15:23:48,Ours,0.01,3.0208354381165563,12.18,12.18,5,161.1287,2:41.13,155.5682,0.1398,5.4199,817.5174,13:37.52,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,7];4:[0,2,3,7];8:[0,2,3];0:[0,2,3,6,7];7:[0,2];6:[0,2,3,6,7];3:[0,2,3,4,6,7];2:[0];9:[0,2,3,5,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,7]; c4:bw=48,experts=[0,2,3,7]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,6,7]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,2,3,6,7]; c3:bw=63,experts=[0,2,3,4,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,2,3,5,6,7]","15.3444,16.7769,15.0008,16.1684,14.8406,17.4728,16.8693,17.3892,13.7007,12.0050"
6,2026-09-22 15:26:34,Ours,0.01,2.8833173418940157,16.41,16.41,6,165.4377,2:45.44,159.7499,0.1381,5.5489,982.9703,16:22.97,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,5,6,7];2:[0,2,3,7];5:[0,2];7:[0,2,3,6,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[0];6:[0,2]","c8:bw=67,experts=[0,2,3,5,6,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","16.2947,11.7574,16.8017,17.7618,17.4547,15.3126,11.7367,17.7944,17.7939,17.0422"
7,2026-09-22 15:29:23,Ours,0.01,2.7794035347698163,18.19,18.19,7,169.4117,2:49.41,163.7311,0.1367,5.5431,1152.3968,19:12.40,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,6];2:[0,2,3,6];6:[0];3:[0,2];7:[0,2,3];4:[0];1:[0];8:[0,2,3,6,7];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,6]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,6,7]; c9:bw=10,experts=[0]","15.5449,16.6754,13.9871,17.1948,17.1690,17.6770,18.5457,17.5461,16.8437,12.5475"
8,2026-09-22 15:32:11,Ours,0.01,2.809493955548419,20.04,20.04,8,167.5873,2:47.59,161.9688,0.1387,5.479,1319.9989,21:60.00,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[0,1,2];1:[0,1,2,5,6];3:[0,1,2];0:[0,1,5];5:[0,5];2:[0,2,3,5,6];9:[0,1,2,3,6];7:[1];6:[0,1,2,5]","c4:bw=10,experts=[1]; c8:bw=37,experts=[0,1,2]; c1:bw=58,experts=[0,1,2,5,6]; c3:bw=37,experts=[0,1,2]; c0:bw=32,experts=[0,1,5]; c5:bw=28,experts=[0,5]; c2:bw=54,experts=[0,2,3,5,6]; c9:bw=59,experts=[0,1,2,3,6]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,2,5]","18.1632,16.4810,15.5285,17.5149,15.6834,17.1650,14.1538,12.7577,17.4652,17.0562"
9,2026-09-22 15:34:59,Ours,0.01,2.8290011021322266,21.11,21.11,9,168.2505,2:48.25,162.6796,0.1381,5.432,1488.2633,24:48.26,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,2];0:[0,2,3,6,7];4:[0,2,3,5,6];9:[0,4];8:[4];6:[0,2,3];7:[0,2,4,5];5:[0,2,3,6,7];1:[4];3:[0,5]","c2:bw=21,experts=[0,2]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,2,3,5,6]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,4,5]; c5:bw=52,experts=[0,2,3,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,5]","14.0735,15.5109,18.2481,12.5909,16.6394,18.2221,17.7280,17.0454,15.4419,17.1794"
10,2026-09-22 15:37:53,Ours,0.01,2.6118881063696877,20.88,21.11,9,173.8491,2:53.85,168.1967,0.1391,5.5124,1662.1268,27:42.13,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,2,3];0:[0,2,3,6,7];6:[0,2,3,5,6,7];3:[0,2,3,6];5:[0,2,3,6,7];8:[0,2,3];9:[0,2,3];1:[0,2,3,7]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,2,3,5,6,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,2,3,6,7]; c8:bw=35,experts=[0,2,3]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,7]","18.3091,14.3976,17.8409,15.6899,17.3613,17.6875,17.2507,16.9272,13.9570,18.7754"
