Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-22 10:28:14,Ours,0.00208,4.115966365054596,1.63,1.63,1,244.5549,4:04.55,231.4709,1.6176,11.4633,244.5549,4:04.55,10,"8,1,5,0,7,2,9,4,3,6",8:55;1:29;5:44;0:10;7:20;2:29;9:45;4:40;3:51;6:41,"8:[0,2,3,4,5];1:[3,4];5:[0,2,3,4];0:[3];7:[3,4];2:[3,4];9:[0,2,3,4];4:[0,2,3,4];3:[0,2,3,4,5];6:[0,2,3,4]","c8:bw=55,experts=[0,2,3,4,5]; c1:bw=29,experts=[3,4]; c5:bw=44,experts=[0,2,3,4]; c0:bw=10,experts=[3]; c7:bw=20,experts=[3,4]; c2:bw=29,experts=[3,4]; c9:bw=45,experts=[0,2,3,4]; c4:bw=40,experts=[0,2,3,4]; c3:bw=51,experts=[0,2,3,4,5]; c6:bw=41,experts=[0,2,3,4]","24.4598,22.0820,23.8487,21.4653,24.7259,19.5486,18.5614,26.5403,24.6258,25.6131"
2,2026-09-22 10:31:12,Ours,0.00406,3.4093592097054057,4.41,4.41,2,177.8544,2:57.85,170.6593,1.7084,5.4834,422.6545,7:02.65,10,"0,1,8,5,3,4,7,9,6,2",0:36;1:41;8:48;5:69;3:67;4:30;7:55;9:46;6:17;2:22,"0:[0,2,3];1:[0,2,3,7];8:[0,2,3,6];5:[0,2,3,4,6,7];3:[0,2,3,4,6,7];4:[0,2,3];7:[0,2,3,6,7];9:[0,2,3,7];6:[0];2:[0,2]","c0:bw=36,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,7]; c8:bw=48,experts=[0,2,3,6]; c5:bw=69,experts=[0,2,3,4,6,7]; c3:bw=67,experts=[0,2,3,4,6,7]; c4:bw=30,experts=[0,2,3]; c7:bw=55,experts=[0,2,3,6,7]; c9:bw=46,experts=[0,2,3,7]; c6:bw=17,experts=[0]; c2:bw=22,experts=[0,2]","15.7758,17.0569,19.7636,17.7414,18.2214,18.9612,17.9869,13.0941,17.7525,14.3055"
3,2026-09-22 10:34:06,Ours,0.006040000000000001,3.231775715796972,7.56,7.56,3,173.6222,2:53.62,166.4787,1.5744,5.5683,596.2879,9:56.29,10,"9,2,0,6,8,5,3,7,1,4",9:48;2:42;0:50;6:40;8:30;5:13;3:26;7:33;1:13;4:52,"9:[0,2,3,7];2:[0,2,3,7];0:[0,2,3,4,7];6:[0,2,3,7];8:[0,2,3];5:[0];3:[0,2];7:[0,2,3];1:[0];4:[0,2,3,4,7]","c9:bw=48,experts=[0,2,3,7]; c2:bw=42,experts=[0,2,3,7]; c0:bw=50,experts=[0,2,3,4,7]; c6:bw=40,experts=[0,2,3,7]; c8:bw=30,experts=[0,2,3]; c5:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=33,experts=[0,2,3]; c1:bw=13,experts=[0]; c4:bw=52,experts=[0,2,3,4,7]","13.0239,14.5047,15.8479,17.3793,17.1966,17.0798,17.9347,18.5707,16.4313,18.5097"
4,2026-09-22 10:36:57,Ours,0.00802,3.092442014666174,10.54,10.54,4,170.9955,2:51.00,163.6558,1.8048,5.5317,767.296,12:47.30,10,"1,7,6,2,8,0,3,4,5,9",1:40;7:45;6:53;2:60;8:31;0:59;3:34;4:56;5:73;9:22,"1:[0,2,3,7];7:[0,2,3,7];6:[0,2,3,4,7];2:[0,1,2,3,4,7];8:[0,2,3];0:[0,2,3,4,7];3:[0,2,3];4:[0,2,3,4,7];5:[0,1,2,3,4,6,7];9:[0,2]","c1:bw=40,experts=[0,2,3,7]; c7:bw=45,experts=[0,2,3,7]; c6:bw=53,experts=[0,2,3,4,7]; c2:bw=60,experts=[0,1,2,3,4,7]; c8:bw=31,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,4,7]; c3:bw=34,experts=[0,2,3]; c4:bw=56,experts=[0,2,3,4,7]; c5:bw=73,experts=[0,1,2,3,4,6,7]; c9:bw=22,experts=[0,2]","15.3794,18.2177,17.5190,14.1742,16.9294,15.6654,17.8322,17.8804,17.1646,12.8934"
5,2026-09-22 10:39:51,Ours,0.01,2.9768128626064128,13.67,13.67,5,174.4589,2:54.46,167.3132,1.716,5.4288,941.7688,15:41.77,10,"1,5,4,8,0,7,6,3,2,9",1:20;5:40;4:48;8:37;0:50;7:24;6:53;3:63;2:10;9:62,"1:[0,2];5:[0,2,3,7];4:[0,2,3,7];8:[0,2,3];0:[0,2,3,6,7];7:[0,2];6:[0,2,3,6,7];3:[0,2,3,4,6,7];2:[0];9:[0,2,3,5,6,7]","c1:bw=20,experts=[0,2]; c5:bw=40,experts=[0,2,3,7]; c4:bw=48,experts=[0,2,3,7]; c8:bw=37,experts=[0,2,3]; c0:bw=50,experts=[0,2,3,6,7]; c7:bw=24,experts=[0,2]; c6:bw=53,experts=[0,2,3,6,7]; c3:bw=63,experts=[0,2,3,4,6,7]; c2:bw=10,experts=[0]; c9:bw=62,experts=[0,2,3,5,6,7]","16.2377,17.5590,18.2007,17.9352,15.7809,18.4674,17.9259,17.8363,14.3955,12.9746"
6,2026-09-22 10:42:41,Ours,0.01,2.8386659278439152,17.74,17.74,6,170.1626,2:50.16,163.0539,1.6356,5.4722,1111.9468,18:31.95,10,"8,2,5,7,3,1,9,0,4,6",8:67;2:42;5:27;7:58;3:36;1:32;9:48;0:31;4:17;6:20,"8:[0,2,3,5,6,7];2:[0,2,3,7];5:[0,2];7:[0,2,3,6,7];3:[0,2,3];1:[0,2,3];9:[0,2,3,7];0:[0,2,3];4:[0];6:[0,2]","c8:bw=67,experts=[0,2,3,5,6,7]; c2:bw=42,experts=[0,2,3,7]; c5:bw=27,experts=[0,2]; c7:bw=58,experts=[0,2,3,6,7]; c3:bw=36,experts=[0,2,3]; c1:bw=32,experts=[0,2,3]; c9:bw=48,experts=[0,2,3,7]; c0:bw=31,experts=[0,2,3]; c4:bw=17,experts=[0]; c6:bw=20,experts=[0,2]","17.0193,14.3649,17.6295,18.2730,15.3685,15.9722,13.0929,15.8526,18.7068,16.7740"
7,2026-09-22 10:45:33,Ours,0.01,2.7302414714003254,19.83,19.83,7,171.422,2:51.42,164.4411,1.4165,5.5634,1283.3813,21:23.38,10,"0,5,2,6,3,7,4,1,8,9",0:36;5:49;2:40;6:13;3:26;7:31;4:14;1:10;8:57;9:10,"0:[0,2,3];5:[0,2,3,6];2:[0,2,3,7];6:[0];3:[0,2];7:[0,2,3];4:[0];1:[0];8:[0,2,3,6,7];9:[0]","c0:bw=36,experts=[0,2,3]; c5:bw=49,experts=[0,2,3,6]; c2:bw=40,experts=[0,2,3,7]; c6:bw=13,experts=[0]; c3:bw=26,experts=[0,2]; c7:bw=31,experts=[0,2,3]; c4:bw=14,experts=[0]; c1:bw=10,experts=[0]; c8:bw=57,experts=[0,2,3,6,7]; c9:bw=10,experts=[0]","15.9161,17.4499,14.2243,15.8449,17.9094,18.3214,18.5189,15.9756,17.0972,13.1834"
8,2026-09-22 10:48:30,Ours,0.01,2.6987073775254617,22.14,22.14,8,177.4859,2:57.49,170.4336,1.5122,5.5393,1460.8805,24:20.88,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:37;1:58;3:37;0:32;5:28;2:54;9:59;7:15;6:41,"4:[1];8:[0,1,2];1:[0,1,2,5,6];3:[0,1,2];0:[0,1,5];5:[0,5];2:[0,2,3,5,6];9:[0,1,2,3,6];7:[1];6:[0,1,2,5]","c4:bw=10,experts=[1]; c8:bw=37,experts=[0,1,2]; c1:bw=58,experts=[0,1,2,5,6]; c3:bw=37,experts=[0,1,2]; c0:bw=32,experts=[0,1,5]; c5:bw=28,experts=[0,5]; c2:bw=54,experts=[0,2,3,5,6]; c9:bw=59,experts=[0,1,2,3,6]; c7:bw=15,experts=[1]; c6:bw=41,experts=[0,1,2,5]","18.8141,17.0672,16.6338,20.9027,16.6888,17.5555,13.6257,13.1149,18.2591,17.7718"
9,2026-09-22 10:51:23,Ours,0.01,2.6170665450000414,25.54,25.54,9,172.9274,2:52.93,165.7868,1.5977,5.5421,1633.8215,27:13.82,10,"2,0,4,9,8,6,7,5,1,3",2:21;0:52;4:59;9:26;8:18;6:31;7:46;5:52;1:14;3:23,"2:[0,2];0:[0,2,3,6,7];4:[0,2,3,5,6];9:[0,4];8:[4];6:[0,2,3];7:[0,2,4,5];5:[0,2,3,6,7];1:[4];3:[0,5]","c2:bw=21,experts=[0,2]; c0:bw=52,experts=[0,2,3,6,7]; c4:bw=59,experts=[0,2,3,5,6]; c9:bw=26,experts=[0,4]; c8:bw=18,experts=[4]; c6:bw=31,experts=[0,2,3]; c7:bw=46,experts=[0,2,4,5]; c5:bw=52,experts=[0,2,3,6,7]; c1:bw=14,experts=[4]; c3:bw=23,experts=[0,5]","12.8462,16.2648,19.1794,13.2420,16.9601,17.9253,18.5594,16.7444,16.0708,17.9944"
10,2026-09-22 10:54:20,Ours,0.01,2.5043803452259636,26.42,26.42,10,177.2187,2:57.22,169.8253,1.7188,5.6737,1811.0546,30:11.05,10,"4,2,7,0,6,3,5,8,9,1",4:37;2:34;7:37;0:59;6:65;3:46;5:58;8:35;9:35;1:41,"4:[0,2,3];2:[0,2,3];7:[0,2,3];0:[0,2,3,6,7];6:[0,2,3,5,6,7];3:[0,2,3,6];5:[0,2,3,5,6];8:[0,2,6];9:[0,2,3];1:[0,2,3,6]","c4:bw=37,experts=[0,2,3]; c2:bw=34,experts=[0,2,3]; c7:bw=37,experts=[0,2,3]; c0:bw=59,experts=[0,2,3,6,7]; c6:bw=65,experts=[0,2,3,5,6,7]; c3:bw=46,experts=[0,2,3,6]; c5:bw=58,experts=[0,2,3,5,6]; c8:bw=35,experts=[0,2,6]; c9:bw=35,experts=[0,2,3]; c1:bw=41,experts=[0,2,3,6]","19.0995,14.5427,18.8997,16.3634,17.7780,18.3230,17.6959,17.1629,13.4226,16.5375"
