Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 08:27:11,Ours,0.00208,3.888609264712426,1.28,1.28,1,52.9348,0:52.93,51.6825,0.1296,1.1215,52.9348,0:52.93,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:17;5:25;0:2;7:12;2:16;9:26;4:23;3:29;6:23,"8:[2,4,6];1:[2];5:[2,6];0:[];7:[2];2:[2];9:[2,4];4:[2,4];3:[2,4];6:[2,4]","c8:bw=31,experts=[2,4,6]; c1:bw=17,experts=[2]; c5:bw=25,experts=[2,6]; c0:bw=2,experts=[]; c7:bw=12,experts=[2]; c2:bw=16,experts=[2]; c9:bw=26,experts=[2,4]; c4:bw=23,experts=[2,4]; c3:bw=29,experts=[2,4]; c6:bw=23,experts=[2,4]","5.6751,4.2341,6.3522,4.5803,4.6698,3.7902,3.5650,6.8275,5.2281,6.7601"
2,2026-09-23 08:28:02,Ours,0.00406,3.312106399328596,3.47,3.47,2,50.8078,0:50.81,49.5423,0.1413,1.1229,103.9521,1:43.95,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:24;8:27;5:39;3:38;4:17;7:31;9:26;6:10;2:12,"0:[4,6];1:[4,6];8:[4,6];5:[2,4,6];3:[2,4,6];4:[4];7:[2,4,6];9:[4,6];6:[4];2:[4]","c0:bw=20,experts=[4,6]; c1:bw=24,experts=[4,6]; c8:bw=27,experts=[4,6]; c5:bw=39,experts=[2,4,6]; c3:bw=38,experts=[2,4,6]; c4:bw=17,experts=[4]; c7:bw=31,experts=[2,4,6]; c9:bw=26,experts=[4,6]; c6:bw=10,experts=[4]; c2:bw=12,experts=[4]","4.6385,4.0792,5.1956,6.1465,4.8379,6.4978,4.6343,3.3310,6.5381,3.6434"
3,2026-09-23 08:28:52,Ours,0.006040000000000001,3.257031730245122,5.83,5.83,3,50.3623,0:50.36,49.1395,0.1243,1.0973,154.3261,2:34.33,10,"9,2,0,6,8,5,3,7,1,4",9:27;2:24;0:28;6:23;8:17;5:8;3:14;7:18;1:8;4:29,"9:[4,6];2:[4,6];0:[4,6];6:[4,6];8:[4];5:[];3:[4];7:[4];1:[];4:[4,6]","c9:bw=27,experts=[4,6]; c2:bw=24,experts=[4,6]; c0:bw=28,experts=[4,6]; c6:bw=23,experts=[4,6]; c8:bw=17,experts=[4]; c5:bw=8,experts=[]; c3:bw=14,experts=[4]; c7:bw=18,experts=[4]; c1:bw=8,experts=[]; c4:bw=29,experts=[4,6]","3.3699,3.6146,4.4097,6.5006,5.1097,6.2373,4.8860,4.4841,4.0464,6.4811"
4,2026-09-23 08:29:44,Ours,0.00802,3.10651439787799,8.03,8.03,4,51.7078,0:51.71,50.473,0.1288,1.1048,206.0459,3:26.05,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:30;2:34;8:18;0:33;3:19;4:32;5:41;9:12,"1:[4,6];7:[4,6];6:[2,4,6];2:[2,4,6];8:[4];0:[2,4,6];3:[4];4:[2,4,6];5:[2,4,5,6];9:[4]","c1:bw=22,experts=[4,6]; c7:bw=25,experts=[4,6]; c6:bw=30,experts=[2,4,6]; c2:bw=34,experts=[2,4,6]; c8:bw=18,experts=[4]; c0:bw=33,experts=[2,4,6]; c3:bw=19,experts=[4]; c4:bw=32,experts=[2,4,6]; c5:bw=41,experts=[2,4,5,6]; c9:bw=12,experts=[4]","4.0721,4.6742,6.8263,3.7016,5.3374,4.4086,4.9800,6.7316,6.3343,3.4069"
5,2026-09-23 08:30:35,Ours,0.01,3.0797274029732775,10.79,10.79,5,50.7996,0:50.80,49.569,0.1262,1.1031,256.858,4:16.86,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:21;0:28;7:14;6:30;3:36;2:4;9:35,"1:[4];5:[4,6];4:[4,6];8:[4,6];0:[4,6];7:[4];6:[2,4,6];3:[2,4,6];2:[];9:[2,4,6]","c1:bw=11,experts=[4]; c5:bw=22,experts=[4,6]; c4:bw=27,experts=[4,6]; c8:bw=21,experts=[4,6]; c0:bw=28,experts=[4,6]; c7:bw=14,experts=[4]; c6:bw=30,experts=[2,4,6]; c3:bw=36,experts=[2,4,6]; c2:bw=4,experts=[]; c9:bw=35,experts=[2,4,6]","4.0663,6.3281,6.5568,5.2969,4.3933,4.6126,6.4932,4.8286,3.6617,3.3314"
6,2026-09-23 08:31:27,Ours,0.01,2.898667591414032,14.33,14.33,6,51.889,0:51.89,50.6305,0.1287,1.1284,308.7595,5:08.76,10,"8,2,5,7,3,1,9,0,4,6",8:38;2:24;5:15;7:33;3:21;1:18;9:27;0:18;4:10;6:12,"8:[2,4,6];2:[4,6];5:[4];7:[2,4,6];3:[4,6];1:[4];9:[4,6];0:[4];4:[4];6:[4]","c8:bw=38,experts=[2,4,6]; c2:bw=24,experts=[4,6]; c5:bw=15,experts=[4]; c7:bw=33,experts=[2,4,6]; c3:bw=21,experts=[4,6]; c1:bw=18,experts=[4]; c9:bw=27,experts=[4,6]; c0:bw=18,experts=[4]; c4:bw=10,experts=[4]; c6:bw=12,experts=[4]","5.4015,3.5768,6.2879,4.7003,4.9848,4.1523,3.3867,4.4149,6.8490,6.8764"
7,2026-09-23 08:32:17,Ours,0.01,2.9672083931628377,14.64,14.64,7,50.2059,0:50.21,48.9813,0.1251,1.0984,358.9787,5:58.98,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:28;2:22;6:7;3:15;7:17;4:8;1:5;8:32;9:1,"0:[4,6];5:[4,6];2:[4,6];6:[];3:[4];7:[4];4:[];1:[];8:[2,4,6];9:[]","c0:bw=20,experts=[4,6]; c5:bw=28,experts=[4,6]; c2:bw=22,experts=[4,6]; c6:bw=7,experts=[]; c3:bw=15,experts=[4]; c7:bw=17,experts=[4]; c4:bw=8,experts=[]; c1:bw=5,experts=[]; c8:bw=32,experts=[2,4,6]; c9:bw=1,experts=[]","4.4427,6.2754,3.5525,6.5672,4.8047,4.3963,6.5593,4.0639,5.0253,3.2940"
8,2026-09-23 08:33:08,Ours,0.01,3.1078321177275012,16.71,16.71,8,50.6386,0:50.64,49.3459,0.1784,1.1131,409.629,6:49.63,10,"4,8,1,3,0,5,2,9,7,6",4:3;8:21;1:33;3:21;0:18;5:16;2:30;9:33;7:9;6:23,"4:[];8:[0,1];1:[0,1,3];3:[0,1];0:[0];5:[0];2:[0,1,3];9:[0,1,3];7:[];6:[0,1]","c4:bw=3,experts=[]; c8:bw=21,experts=[0,1]; c1:bw=33,experts=[0,1,3]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[0]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,1,3]; c9:bw=33,experts=[0,1,3]; c7:bw=9,experts=[]; c6:bw=23,experts=[0,1]","6.5746,5.2248,4.0740,4.8075,4.4045,6.3256,3.5257,3.3678,4.6281,6.4132"
9,2026-09-23 08:33:58,Ours,0.01,3.0000062822528193,18.85,18.85,9,50.128,0:50.13,48.8792,0.1286,1.1188,459.7701,7:39.77,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:30;4:34;9:15;8:10;6:18;7:26;5:30;1:8;3:13,"2:[5];0:[1,3,5];4:[0,1,3];9:[5];8:[3];6:[3];7:[0,1];5:[1,3,7];1:[];3:[3]","c2:bw=12,experts=[5]; c0:bw=30,experts=[1,3,5]; c4:bw=34,experts=[0,1,3]; c9:bw=15,experts=[5]; c8:bw=10,experts=[3]; c6:bw=18,experts=[3]; c7:bw=26,experts=[0,1]; c5:bw=30,experts=[1,3,7]; c1:bw=8,experts=[]; c3:bw=13,experts=[3]","3.5264,4.4158,6.5793,3.4451,4.9647,6.3286,4.3970,6.3642,4.0439,4.8142"
10,2026-09-23 08:34:48,Ours,0.01,2.783939145413679,15.93,18.85,9,49.8508,0:49.85,48.6019,0.128,1.1197,509.6344,8:29.63,10,"4,2,7,0,6,3,5,8,9,1",4:21;2:19;7:21;0:33;6:37;3:26;5:33;8:20;9:20;1:23,"4:[5,7];2:[7];7:[3,5];0:[4,6,7];6:[4,5,7];3:[5,7];5:[4,5,6];8:[5,7];9:[4,7];1:[5,7]","c4:bw=21,experts=[5,7]; c2:bw=19,experts=[7]; c7:bw=21,experts=[3,5]; c0:bw=33,experts=[4,6,7]; c6:bw=37,experts=[4,5,7]; c3:bw=26,experts=[5,7]; c5:bw=33,experts=[4,5,6]; c8:bw=20,experts=[5,7]; c9:bw=20,experts=[4,7]; c1:bw=23,experts=[5,7]","6.6566,3.5245,4.4176,4.4059,6.2348,4.7516,6.3051,4.9681,3.2934,4.0442"
