Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 14:06:05,Ours,0.00208,3.7996982481354955,2.29,2.29,1,66.2391,1:06.24,61.7322,3.2132,1.2922,66.2391,1:06.24,10,"8,1,5,0,7,2,9,4,3,6",8:104;1:55;5:84;0:10;7:38;2:55;9:86;4:75;3:96;6:77,"8:[0,1,2,4,5,6,10,11,13,15];1:[1,2,4,6,13];5:[0,1,2,4,5,6,13,15];0:[13];7:[2,4,13];2:[1,2,4,6,13];9:[0,1,2,4,5,6,11,13];4:[0,1,2,4,5,6,13];3:[0,1,2,4,5,6,11,13,15];6:[0,1,2,4,5,6,13]","c8:bw=104,experts=[0,1,2,4,5,6,10,11,13,15]; c1:bw=55,experts=[1,2,4,6,13]; c5:bw=84,experts=[0,1,2,4,5,6,13,15]; c0:bw=10,experts=[13]; c7:bw=38,experts=[2,4,13]; c2:bw=55,experts=[1,2,4,6,13]; c9:bw=86,experts=[0,1,2,4,5,6,11,13]; c4:bw=75,experts=[0,1,2,4,5,6,13]; c3:bw=96,experts=[0,1,2,4,5,6,11,13,15]; c6:bw=77,experts=[0,1,2,4,5,6,13]","6.6214,5.4460,7.0746,5.4677,5.7189,4.5860,4.3263,7.7123,6.4206,8.3586"
2,2026-09-23 14:07:08,Ours,0.00406,3.304628955288466,4.68,4.68,2,62.9652,1:02.97,58.1562,3.5299,1.2775,129.3461,2:09.35,10,"0,1,8,5,3,4,7,9,6,2",0:67;1:78;8:91;5:130;3:127;4:56;7:104;9:88;6:32;2:41,"0:[0,4,6,10,12,13];1:[0,4,6,10,11,12,13];8:[0,1,4,5,6,10,11,12,13];5:[0,1,2,4,5,6,8,9,10,11,12,13,15];3:[0,1,2,4,5,6,8,9,10,11,12,13];4:[0,4,6,10,13];7:[0,1,4,5,6,9,10,11,12,13];9:[0,1,4,6,10,11,12,13];6:[4,6,13];2:[4,6,10,13]","c0:bw=67,experts=[0,4,6,10,12,13]; c1:bw=78,experts=[0,4,6,10,11,12,13]; c8:bw=91,experts=[0,1,4,5,6,10,11,12,13]; c5:bw=130,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15]; c3:bw=127,experts=[0,1,2,4,5,6,8,9,10,11,12,13]; c4:bw=56,experts=[0,4,6,10,13]; c7:bw=104,experts=[0,1,4,5,6,9,10,11,12,13]; c9:bw=88,experts=[0,1,4,6,10,11,12,13]; c6:bw=32,experts=[4,6,13]; c2:bw=41,experts=[4,6,10,13]","5.3750,4.9618,6.0904,7.0238,5.8522,7.6021,5.2334,4.1045,7.5184,4.3946"
3,2026-09-23 14:08:11,Ours,0.006040000000000001,3.194033530103458,6.16,6.16,3,63.0808,1:03.08,58.6637,3.1413,1.2744,192.4419,3:12.44,10,"9,2,0,6,8,5,3,7,1,4",9:90;2:78;0:94;6:75;8:56;5:25;3:48;7:62;1:25;4:98,"9:[0,1,4,6,9,10,11,12,13];2:[1,4,6,9,10,11,12];0:[0,1,4,6,9,10,11,12,13];6:[1,4,6,10,11,12,13];8:[1,4,6,10,12];5:[4,6];3:[4,6,10,11];7:[4,6,10,11,12,13];1:[4,6];4:[0,1,4,6,9,10,11,12,13]","c9:bw=90,experts=[0,1,4,6,9,10,11,12,13]; c2:bw=78,experts=[1,4,6,9,10,11,12]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c6:bw=75,experts=[1,4,6,10,11,12,13]; c8:bw=56,experts=[1,4,6,10,12]; c5:bw=25,experts=[4,6]; c3:bw=48,experts=[4,6,10,11]; c7:bw=62,experts=[4,6,10,11,12,13]; c1:bw=25,experts=[4,6]; c4:bw=98,experts=[0,1,4,6,9,10,11,12,13]","4.2028,4.4036,5.4497,7.5819,6.0846,7.0262,5.9275,5.3747,5.0323,7.5804"
4,2026-09-23 14:09:15,Ours,0.00802,3.0990037692718126,9.17,9.17,4,63.7423,1:03.74,58.827,3.6366,1.2772,256.197,4:16.20,10,"1,7,6,2,8,0,3,4,5,9",1:75;7:84;6:100;2:113;8:59;0:111;3:64;4:105;5:138;9:41,"1:[1,4,6,9,10,11,13];7:[0,1,4,6,9,10,11,12];6:[0,1,4,5,6,9,10,11,12,13];2:[0,1,4,5,6,8,9,10,11,12,13];8:[4,6,10,11,13];0:[0,1,4,5,6,9,10,11,12,13,14];3:[1,4,6,9,10,11];4:[0,1,4,5,6,9,10,11,12,13];5:[0,1,4,5,6,8,9,10,11,12,13,14,15];9:[1,4,6,10]","c1:bw=75,experts=[1,4,6,9,10,11,13]; c7:bw=84,experts=[0,1,4,6,9,10,11,12]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c2:bw=113,experts=[0,1,4,5,6,8,9,10,11,12,13]; c8:bw=59,experts=[4,6,10,11,13]; c0:bw=111,experts=[0,1,4,5,6,9,10,11,12,13,14]; c3:bw=64,experts=[1,4,6,9,10,11]; c4:bw=105,experts=[0,1,4,5,6,9,10,11,12,13]; c5:bw=138,experts=[0,1,4,5,6,8,9,10,11,12,13,14,15]; c9:bw=41,experts=[1,4,6,10]","5.0348,5.3612,7.5984,4.4480,6.0958,5.5199,5.9333,7.6092,7.0400,4.1865"
5,2026-09-23 14:10:19,Ours,0.01,3.0073442550840572,12.55,12.55,5,63.6336,1:03.63,58.951,3.3949,1.2862,319.8435,5:19.84,10,"1,5,4,8,0,7,6,3,2,9",1:37;5:75;4:91;8:69;0:94;7:46;6:100;3:119;2:13;9:118,"1:[4,6,10];5:[0,1,4,6,10,11,13];4:[0,1,4,5,6,9,10,12,13];8:[1,4,6,10,12,13];0:[0,1,4,6,9,10,11,12,13];7:[4,6,10,13];6:[0,1,4,5,6,9,10,11,12,13];3:[0,1,4,5,6,9,10,11,12,13,14];2:[4];9:[0,1,4,5,6,9,10,11,12,13,14]","c1:bw=37,experts=[4,6,10]; c5:bw=75,experts=[0,1,4,6,10,11,13]; c4:bw=91,experts=[0,1,4,5,6,9,10,12,13]; c8:bw=69,experts=[1,4,6,10,12,13]; c0:bw=94,experts=[0,1,4,6,9,10,11,12,13]; c7:bw=46,experts=[4,6,10,13]; c6:bw=100,experts=[0,1,4,5,6,9,10,11,12,13]; c3:bw=119,experts=[0,1,4,5,6,9,10,11,12,13,14]; c2:bw=13,experts=[4]; c9:bw=118,experts=[0,1,4,5,6,9,10,11,12,13,14]","5.0627,7.0674,7.6684,6.0844,5.4706,5.3615,7.6272,5.9831,4.4495,4.1761"
6,2026-09-23 14:11:23,Ours,0.01,2.875657742896384,15.72,15.72,6,64.2755,1:04.28,59.6336,3.3358,1.3046,384.1311,6:24.13,10,"8,2,5,7,3,1,9,0,4,6",8:126;2:79;5:51;7:110;3:68;1:61;9:91;0:59;4:33;6:38,"8:[0,1,2,4,5,6,9,10,11,12,13,14];2:[0,1,4,6,10,12,13];5:[0,4,6,10,13];7:[0,1,2,4,5,6,10,11,12,13,14];3:[0,4,6,10,12,13];1:[0,1,4,6,10,13];9:[0,1,2,4,6,10,12,13,14];0:[0,4,6,10,13];4:[4,6,13];6:[4,6,10]","c8:bw=126,experts=[0,1,2,4,5,6,9,10,11,12,13,14]; c2:bw=79,experts=[0,1,4,6,10,12,13]; c5:bw=51,experts=[0,4,6,10,13]; c7:bw=110,experts=[0,1,2,4,5,6,10,11,12,13,14]; c3:bw=68,experts=[0,4,6,10,12,13]; c1:bw=61,experts=[0,1,4,6,10,13]; c9:bw=91,experts=[0,1,2,4,6,10,12,13,14]; c0:bw=59,experts=[0,4,6,10,13]; c4:bw=33,experts=[4,6,13]; c6:bw=38,experts=[4,6,10]","6.1395,4.5256,7.1101,5.4279,6.0907,5.1708,4.2327,5.5302,7.7222,7.6839"
7,2026-09-23 14:12:27,Ours,0.01,2.7685246904738237,17.47,17.47,7,64.4073,1:04.41,60.0588,3.0476,1.2937,448.5516,7:28.55,10,"0,5,2,6,3,7,4,1,8,9",0:68;5:92;2:75;6:25;3:50;7:58;4:26;1:18;8:108;9:10,"0:[0,4,6,10,13,14];5:[0,1,4,5,6,10,12,13,14];2:[0,1,4,6,10,12,13];6:[4,6];3:[0,4,6,13,14];7:[0,4,6,13,14];4:[4,6];1:[4];8:[0,1,2,4,6,8,10,12,13,14];9:[4]","c0:bw=68,experts=[0,4,6,10,13,14]; c5:bw=92,experts=[0,1,4,5,6,10,12,13,14]; c2:bw=75,experts=[0,1,4,6,10,12,13]; c6:bw=25,experts=[4,6]; c3:bw=50,experts=[0,4,6,13,14]; c7:bw=58,experts=[0,4,6,13,14]; c4:bw=26,experts=[4,6]; c1:bw=18,experts=[4]; c8:bw=108,experts=[0,1,2,4,6,8,10,12,13,14]; c9:bw=10,experts=[4]","5.5672,7.2419,4.5214,7.7622,6.1224,5.4290,7.8348,5.1398,6.2382,4.2019"
8,2026-09-23 14:13:33,Ours,0.01,2.6621998218503267,20.99,20.99,8,65.2636,1:05.26,60.6039,3.3455,1.3126,513.8281,8:33.83,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:70;1:110;3:70;0:61;5:53;2:102;9:111;7:28;6:78,"4:[4];8:[0,4,6,10,12,13,14];1:[0,1,2,4,5,6,8,10,12,13,14];3:[0,4,6,10,12,13,14];0:[0,4,6,10,13,14];5:[0,4,6,10,13];2:[0,1,2,4,6,8,10,12,13,14];9:[0,1,2,4,5,6,10,11,12,13,14];7:[4,6];6:[0,4,6,10,12,13,14]","c4:bw=10,experts=[4]; c8:bw=70,experts=[0,4,6,10,12,13,14]; c1:bw=110,experts=[0,1,2,4,5,6,8,10,12,13,14]; c3:bw=70,experts=[0,4,6,10,12,13,14]; c0:bw=61,experts=[0,4,6,10,13,14]; c5:bw=53,experts=[0,4,6,10,13]; c2:bw=102,experts=[0,1,2,4,6,8,10,12,13,14]; c9:bw=111,experts=[0,1,2,4,5,6,10,11,12,13,14]; c7:bw=28,experts=[4,6]; c6:bw=78,experts=[0,4,6,10,12,13,14]","7.8953,6.2516,5.1758,6.1803,5.6310,7.2368,4.5791,4.2735,5.4824,7.8980"
9,2026-09-23 14:14:38,Ours,0.01,2.5755093648733913,22.66,22.66,9,65.2342,1:05.23,60.7099,3.2131,1.3097,579.0762,9:39.08,10,"2,0,4,9,8,6,7,5,1,3",2:40;0:99;4:112;9:49;8:34;6:59;7:87;5:99;1:27;3:43,"2:[0,4,6,13];0:[0,1,2,4,6,8,10,13,14];4:[0,1,2,4,5,6,8,10,12,13,14];9:[0,4,6,13];8:[4,6,13];6:[0,4,6,13,14];7:[0,1,4,6,8,10,13,14];5:[0,1,4,5,6,10,12,13,14];1:[4,6];3:[0,4,6,13]","c2:bw=40,experts=[0,4,6,13]; c0:bw=99,experts=[0,1,2,4,6,8,10,13,14]; c4:bw=112,experts=[0,1,2,4,5,6,8,10,12,13,14]; c9:bw=49,experts=[0,4,6,13]; c8:bw=34,experts=[4,6,13]; c6:bw=59,experts=[0,4,6,13,14]; c7:bw=87,experts=[0,1,4,6,8,10,13,14]; c5:bw=99,experts=[0,1,4,5,6,10,12,13,14]; c1:bw=27,experts=[4,6]; c3:bw=43,experts=[0,4,6,13]","4.5970,5.6057,7.9549,4.2475,6.2876,7.8393,5.5240,7.2520,5.2111,6.1908"
10,2026-09-23 14:15:44,Ours,0.01,2.497356757050515,25.58,25.58,10,66.0518,1:06.05,61.2171,3.5123,1.3208,645.1422,10:45.14,10,"4,2,7,0,6,3,5,8,9,1",4:69;2:64;7:71;0:111;6:123;3:87;5:109;8:67;9:66;1:77,"4:[0,4,6,10,13,14];2:[0,4,6,10,13,14];7:[0,4,6,10,12,13,14];0:[0,1,2,4,5,6,8,10,12,13,14];6:[0,1,2,4,5,6,8,9,10,12,13,14];3:[0,1,4,6,10,12,13,14];5:[0,1,2,4,6,8,10,12,13,14];8:[0,4,6,10,13,14];9:[0,4,6,10,13,14];1:[0,4,6,10,12,13,14]","c4:bw=69,experts=[0,4,6,10,13,14]; c2:bw=64,experts=[0,4,6,10,13,14]; c7:bw=71,experts=[0,4,6,10,12,13,14]; c0:bw=111,experts=[0,1,2,4,5,6,8,10,12,13,14]; c6:bw=123,experts=[0,1,2,4,5,6,8,9,10,12,13,14]; c3:bw=87,experts=[0,1,4,6,10,12,13,14]; c5:bw=109,experts=[0,1,2,4,6,8,10,12,13,14]; c8:bw=67,experts=[0,4,6,10,13,14]; c9:bw=66,experts=[0,4,6,10,13,14]; c1:bw=77,experts=[0,4,6,10,12,13,14]","8.0227,4.6443,5.5220,5.6578,7.9455,6.2663,7.2765,6.3770,4.2633,5.2416"
