Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 18:01:51,Ours,0.00208,3.8637264867745045,0.99,0.99,1,77.8126,1:17.81,65.5313,10.9485,1.3311,77.8126,1:17.81,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24,26];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24,26];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24,26]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24,26]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","7.2438,5.6149,7.8800,6.0521,5.9358,5.1082,4.5680,8.2775,6.5660,8.2850"
2,2026-09-23 18:03:10,Ours,0.00406,3.544890027817768,1.01,1.01,2,78.7333,1:18.73,65.5939,11.8068,1.3303,156.6936,2:36.69,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,1,2,4,5,6,10,11,13,18,21,24,26];1:[0,1,2,4,5,6,10,11,12,13,18,21,24,25,26];8:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28];4:[0,1,2,4,5,6,10,13,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28];6:[4,5,6,10,13,26];2:[1,4,5,6,10,13,26]","c0:bw=130,experts=[0,1,2,4,5,6,10,11,13,18,21,24,26]; c1:bw=152,experts=[0,1,2,4,5,6,10,11,12,13,18,21,24,25,26]; c8:bw=177,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28]; c5:bw=251,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28]; c4:bw=109,experts=[0,1,2,4,5,6,10,13,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=62,experts=[4,5,6,10,13,26]; c2:bw=79,experts=[1,4,5,6,10,13,26]","5.8665,5.7988,6.6454,8.3274,6.8593,8.2603,5.7569,4.6652,8.2558,5.1581"
3,2026-09-23 18:04:28,Ours,0.006040000000000001,3.4115075671571886,1.16,1.16,3,78.3595,1:18.36,67.0047,10.0534,1.2995,235.0663,3:55.07,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28];2:[0,1,2,4,5,6,9,10,11,12,13,18,24,26,28];0:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,27,28];6:[0,1,2,4,5,6,9,10,11,12,13,18,26,28];8:[0,1,2,4,5,6,9,10,13,18,26];5:[4,6,13,26];3:[1,2,4,5,6,9,10,13,26];7:[0,1,2,4,5,6,9,10,12,13,18,26];1:[4,6,13,26];4:[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28]","c9:bw=174,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28]; c2:bw=152,experts=[0,1,2,4,5,6,9,10,11,12,13,18,24,26,28]; c0:bw=182,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,27,28]; c6:bw=146,experts=[0,1,2,4,5,6,9,10,11,12,13,18,26,28]; c8:bw=110,experts=[0,1,2,4,5,6,9,10,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[1,2,4,5,6,9,10,13,26]; c7:bw=120,experts=[0,1,2,4,5,6,9,10,12,13,18,26]; c1:bw=49,experts=[4,6,13,26]; c4:bw=190,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28]","4.7573,5.3717,6.1388,8.0312,6.8010,8.6550,6.7653,5.6769,5.9819,8.8255"
4,2026-09-23 18:05:50,Ours,0.00802,3.33027144937651,1.58,1.58,4,81.4486,1:21.45,68.1128,12.0353,1.2981,316.5288,5:16.53,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,9,10,12,13,18,21,26,28];7:[0,1,2,4,5,6,9,10,11,12,13,18,21,26,27,28];6:[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28];2:[0,1,2,4,5,6,8,9,10,11,12,13,17,18,21,23,24,25,26,27,28];8:[0,1,2,4,6,9,10,12,13,18,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,17,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,9,10,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29,30];9:[4,6,10,12,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,9,10,12,13,18,21,26,28]; c7:bw=164,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,26,27,28]; c6:bw=194,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,4,5,6,8,9,10,11,12,13,17,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,6,9,10,12,13,18,26]; c0:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,17,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,9,10,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29,30]; c9:bw=79,experts=[4,6,10,12,13,18,26]","5.9753,5.7212,7.9706,5.3275,7.0710,6.5093,6.8799,9.1809,8.6870,4.7901"
5,2026-09-23 18:07:06,Ours,0.01,3.2834549480026047,1.84,1.84,5,76.328,1:16.33,63.951,11.0725,1.3026,392.87,6:32.87,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[4,6,10,12,13,18,26];5:[0,1,2,4,5,6,9,10,11,12,13,18,21,26];4:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,26,27,28];8:[0,1,2,4,5,6,9,10,11,12,13,18,26];0:[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,26,27,28];7:[0,4,6,10,12,13,18,26];6:[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,8,9,10,11,12,13,16,17,18,21,23,24,25,26,27,28,29];2:[4,6];9:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28,29]","c1:bw=72,experts=[4,6,10,12,13,18,26]; c5:bw=145,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,26]; c4:bw=178,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,26,27,28]; c8:bw=135,experts=[0,1,2,4,5,6,9,10,11,12,13,18,26]; c0:bw=182,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,26,27,28]; c7:bw=89,experts=[0,4,6,10,12,13,18,26]; c6:bw=195,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,23,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,17,18,21,23,24,25,26,27,28,29]; c2:bw=26,experts=[4,6]; c9:bw=229,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28,29]","5.5144,7.8668,8.4535,6.6903,5.9510,5.7444,7.9644,6.2686,4.8985,4.5989"
6,2026-09-23 18:08:21,Ours,0.01,3.2491027311097205,2.06,2.06,6,74.7301,1:14.73,62.2767,11.1562,1.2952,467.6141,7:47.61,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,17,18,19,21,23,24,25,26,27,28,29];2:[0,1,2,4,5,6,9,10,11,12,13,18,24,26,28];5:[0,4,6,9,10,11,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28];3:[0,1,4,5,6,9,10,11,12,13,18,24,26];1:[0,4,5,6,9,10,11,12,13,18,26];9:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28];0:[0,4,5,6,9,10,11,12,13,18,26];4:[0,4,6,12,13,26];6:[0,4,6,9,12,13,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,17,18,19,21,23,24,25,26,27,28,29]; c2:bw=152,experts=[0,1,2,4,5,6,9,10,11,12,13,18,24,26,28]; c5:bw=100,experts=[0,4,6,9,10,11,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28]; c3:bw=133,experts=[0,1,4,5,6,9,10,11,12,13,18,24,26]; c1:bw=118,experts=[0,4,5,6,9,10,11,12,13,18,26]; c9:bw=176,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,28]; c0:bw=114,experts=[0,4,5,6,9,10,11,12,13,18,26]; c4:bw=64,experts=[0,4,6,12,13,26]; c6:bw=74,experts=[0,4,6,9,12,13,26]","6.4388,4.7490,7.5244,5.7343,6.2640,5.3299,4.4848,5.7259,8.0869,7.9387"
7,2026-09-23 18:09:34,Ours,0.01,3.210339333577841,3.81,3.81,7,73.4294,1:13.43,62.0258,10.0995,1.302,541.06,9:01.06,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,4,5,6,9,10,11,12,13,18,24,26];5:[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,27];2:[0,1,4,5,6,9,10,11,12,13,18,21,24,26];6:[4,6,13,26];3:[0,4,6,9,11,12,13,18,26];7:[0,1,4,6,9,10,11,12,13,18,26];4:[4,6,12,13,26];1:[4,6,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28,29];9:[4]","c0:bw=132,experts=[0,1,4,5,6,9,10,11,12,13,18,24,26]; c5:bw=178,experts=[0,1,2,4,5,6,9,10,11,12,13,18,21,24,25,26,27]; c2:bw=146,experts=[0,1,4,5,6,9,10,11,12,13,18,21,24,26]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,4,6,9,11,12,13,18,26]; c7:bw=113,experts=[0,1,4,6,9,10,11,12,13,18,26]; c4:bw=50,experts=[4,6,12,13,26]; c1:bw=35,experts=[4,6,26]; c8:bw=210,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28,29]; c9:bw=10,experts=[4]","5.7526,7.4849,4.7302,7.9414,6.2042,5.6684,8.0438,5.3110,6.4196,4.4698"
8,2026-09-23 18:10:48,Ours,0.01,3.1769771946938574,4.67,4.67,8,74.2431,1:14.24,62.2053,10.7557,1.2801,615.3199,10:15.32,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[4];8:[0,2,4,5,6,8,10,11,12,13,18,25,26];1:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,18,21,24,25,26,27,28];3:[2,4,5,6,8,10,11,12,13,18,21,25,26];0:[2,4,6,10,11,12,13,18,21,25,26];5:[2,4,6,10,11,12,13,18,25,26];2:[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];9:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28];7:[4,6,12,13,26];6:[0,2,4,5,6,8,9,10,11,12,13,18,21,25,26]","c4:bw=16,experts=[4]; c8:bw=135,experts=[0,2,4,5,6,8,10,11,12,13,18,25,26]; c1:bw=213,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,18,21,24,25,26,27,28]; c3:bw=136,experts=[2,4,5,6,8,10,11,12,13,18,21,25,26]; c0:bw=119,experts=[2,4,6,10,11,12,13,18,21,25,26]; c5:bw=103,experts=[2,4,6,10,11,12,13,18,25,26]; c2:bw=197,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c9:bw=215,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28]; c7:bw=55,experts=[4,6,12,13,26]; c6:bw=151,experts=[0,2,4,5,6,8,9,10,11,12,13,18,21,25,26]","8.0266,6.4671,5.3214,6.2442,5.7561,7.4573,4.7554,4.5056,5.6617,8.0099"
9,2026-09-23 18:12:02,Ours,0.01,3.1358130616071387,5.48,5.48,9,73.8429,1:13.84,62.1978,10.3598,1.2833,689.1793,11:29.18,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[4,6,11,12,13,18,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];9:[2,4,6,10,12,13,18,25,26];8:[4,6,12,13,18,26];6:[1,2,4,6,10,11,12,13,18,25,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,25,26];5:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];1:[4,6,12,13,26];3:[1,4,6,11,12,13,18,26]","c2:bw=78,experts=[4,6,11,12,13,18,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c9:bw=96,experts=[2,4,6,10,12,13,18,25,26]; c8:bw=66,experts=[4,6,12,13,18,26]; c6:bw=114,experts=[1,2,4,6,10,11,12,13,18,25,26]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,25,26]; c5:bw=192,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c1:bw=53,experts=[4,6,12,13,26]; c3:bw=84,experts=[1,4,6,11,12,13,18,26]","4.7518,5.7373,8.0946,4.4799,6.4527,7.9758,5.6542,7.4901,5.3213,6.2403"
10,2026-09-23 18:13:17,Ours,0.01,3.099012381428937,5.3,5.48,9,75.0882,1:15.09,62.327,11.4475,1.3115,764.2845,12:44.28,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[1,2,4,6,8,10,11,12,13,18,25,26,28];2:[1,2,4,6,10,11,12,13,18,25,26,28];7:[1,2,4,6,8,10,11,12,13,18,25,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28,30];6:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28,30];3:[0,1,2,4,5,6,8,10,11,12,13,18,24,25,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,14,16,18,21,24,25,26,27,28,30];8:[1,2,4,6,8,10,11,13,18,25,26,28];9:[1,2,4,6,8,10,11,13,18,25,26,28];1:[1,2,4,6,8,10,11,12,13,18,24,25,26,28]","c4:bw=135,experts=[1,2,4,6,8,10,11,12,13,18,25,26,28]; c2:bw=124,experts=[1,2,4,6,10,11,12,13,18,25,26,28]; c7:bw=137,experts=[1,2,4,6,8,10,11,12,13,18,25,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28,30]; c6:bw=238,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,27,28,30]; c3:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,25,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,10,11,12,13,14,16,18,21,24,25,26,27,28,30]; c8:bw=129,experts=[1,2,4,6,8,10,11,13,18,25,26,28]; c9:bw=129,experts=[1,2,4,6,8,10,11,13,18,25,26,28]; c1:bw=149,experts=[1,2,4,6,8,10,11,12,13,18,24,25,26,28]","8.0749,4.7312,5.7236,5.7415,8.0199,6.2372,7.4750,6.4504,4.4735,5.3998"
