Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 17:16:45,Ours,0.00208,3.864973964889316,1.47,1.47,1,72.0108,1:12.01,70.2859,0.279,1.4441,72.0109,1:12.01,10,"8,1,5,0,7,2,9,4,3,6",8:202;1:107;5:163;0:10;7:75;2:106;9:166;4:146;3:187;6:150,"8:[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30];1:[0,1,2,4,5,6,13,23,24,26];5:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];0:[13];7:[1,2,4,6,13,23,24];2:[0,1,2,4,5,6,13,23,24,26];9:[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30];4:[0,1,2,4,5,6,13,15,18,21,23,24,26,30];3:[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30];6:[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","c8:bw=202,experts=[0,1,2,4,5,6,10,11,12,13,15,16,18,21,22,23,24,26,28,30]; c1:bw=107,experts=[0,1,2,4,5,6,13,23,24,26]; c5:bw=163,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c0:bw=10,experts=[13]; c7:bw=75,experts=[1,2,4,6,13,23,24]; c2:bw=106,experts=[0,1,2,4,5,6,13,23,24,26]; c9:bw=166,experts=[0,1,2,4,5,6,10,11,13,15,18,21,23,24,26,30]; c4:bw=146,experts=[0,1,2,4,5,6,13,15,18,21,23,24,26,30]; c3:bw=187,experts=[0,1,2,4,5,6,10,11,13,15,16,18,21,22,23,24,26,30]; c6:bw=150,experts=[0,1,2,4,5,6,11,13,15,18,21,23,24,26,30]","8.4215,6.0187,8.7906,6.8695,7.0361,5.8108,4.0197,8.0371,6.4125,8.8694"
2,2026-09-23 17:17:51,Ours,0.00406,3.350480948576089,4.36,4.36,2,65.6704,1:05.67,64.0656,0.2418,1.3577,137.8585,2:17.86,10,"0,1,8,5,3,4,7,9,6,2",0:130;1:152;8:177;5:251;3:246;4:109;7:202;9:170;6:62;2:79,"0:[0,1,2,4,5,6,8,10,11,13,18,24,26];1:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26];8:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];3:[0,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,21,23,24,25,26,27,28,29];4:[0,2,4,6,10,11,13,18,24,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28];6:[2,4,6,10,13,26];2:[0,2,4,6,10,13,26]","c0:bw=130,experts=[0,1,2,4,5,6,8,10,11,13,18,24,26]; c1:bw=152,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,26]; c8:bw=177,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c5:bw=251,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c3:bw=246,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15,16,17,18,21,23,24,25,26,27,28,29]; c4:bw=109,experts=[0,2,4,6,10,11,13,18,24,26]; c7:bw=202,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,28]; c9:bw=170,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,26,28]; c6:bw=62,experts=[2,4,6,10,13,26]; c2:bw=79,experts=[0,2,4,6,10,13,26]","6.1800,5.8315,7.1136,8.5077,6.9243,8.7814,4.9270,3.9354,7.4454,4.4193"
3,2026-09-23 17:18:58,Ours,0.006040000000000001,3.2118016094591217,6.5,6.5,3,66.9907,1:06.99,65.5833,0.2266,1.1746,204.8644,3:24.86,10,"9,2,0,6,8,5,3,7,1,4",9:174;2:152;0:182;6:146;8:110;5:49;3:94;7:120;1:49;4:190,"9:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,18,24,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];6:[0,1,2,4,5,6,8,10,11,12,13,18,24,26];8:[0,2,4,5,6,10,11,12,13,18,26];5:[4,6,13,26];3:[0,2,4,6,11,12,13,18,26];7:[0,2,4,5,6,10,11,12,13,18,24,26];1:[4,6,13,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","c9:bw=174,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26]; c2:bw=152,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,24,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c6:bw=146,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26]; c8:bw=110,experts=[0,2,4,5,6,10,11,12,13,18,26]; c5:bw=49,experts=[4,6,13,26]; c3:bw=94,experts=[0,2,4,6,11,12,13,18,26]; c7:bw=120,experts=[0,2,4,5,6,10,11,12,13,18,24,26]; c1:bw=49,experts=[4,6,13,26]; c4:bw=190,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,28]","4.2319,5.1964,6.3970,9.1406,7.2082,8.5872,6.7669,6.0749,4.8887,7.0914"
4,2026-09-23 17:19:59,Ours,0.00802,3.1234594476530626,8.38,8.38,4,60.9746,1:00.97,59.2558,0.2611,1.4557,265.8522,4:25.85,10,"1,7,6,2,8,0,3,4,5,9",1:145;7:164;6:194;2:219;8:115;0:215;3:124;4:204;5:268;9:79,"1:[0,1,2,4,5,6,8,10,11,12,13,18,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,18,24,25,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];2:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28];8:[0,1,2,4,5,6,12,13,18,24,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28];3:[0,1,2,4,5,6,10,11,12,13,18,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28];5:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29];9:[2,4,6,12,13,18,26]","c1:bw=145,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26]; c7:bw=164,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,25,26,28]; c6:bw=194,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c2:bw=219,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28]; c8:bw=115,experts=[0,1,2,4,5,6,12,13,18,24,26]; c0:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,16,18,21,23,24,25,26,27,28]; c3:bw=124,experts=[0,1,2,4,5,6,10,11,12,13,18,26]; c4:bw=204,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,23,24,25,26,27,28]; c5:bw=268,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,15,16,17,18,21,23,24,25,26,27,28,29]; c9:bw=79,experts=[2,4,6,12,13,18,26]","4.4524,4.8516,6.9707,3.9149,5.8065,5.1180,6.4343,8.9261,8.1635,4.6177"
5,2026-09-23 17:21:05,Ours,0.01,3.032081443460278,11.21,11.21,5,66.2238,1:06.22,64.4683,0.2484,1.4995,332.0917,5:32.09,10,"1,5,4,8,0,7,6,3,2,9",1:72;5:145;4:178;8:135;0:182;7:89;6:195;3:232;2:26;9:229,"1:[2,4,6,12,13,18,26];5:[0,1,2,4,5,6,8,9,10,12,13,18,24,26];4:[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28];8:[0,1,2,4,5,6,8,10,12,13,18,24,26];0:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28];7:[0,2,4,6,12,13,18,26];6:[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28];3:[0,1,2,3,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28,29];2:[4,6];9:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]","c1:bw=72,experts=[2,4,6,12,13,18,26]; c5:bw=145,experts=[0,1,2,4,5,6,8,9,10,12,13,18,24,26]; c4:bw=178,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,23,24,26,28]; c8:bw=135,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26]; c0:bw=182,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,28]; c7:bw=89,experts=[0,2,4,6,12,13,18,26]; c6:bw=195,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,21,24,25,26,27,28]; c3:bw=232,experts=[0,1,2,3,4,5,6,8,9,10,11,12,13,14,18,21,23,24,25,26,27,28,29]; c2:bw=26,experts=[4,6]; c9:bw=229,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,27,28]","5.6761,8.2568,8.7473,5.9611,5.2367,5.1385,9.0564,6.7453,5.0118,4.6381"
6,2026-09-23 17:22:15,Ours,0.01,2.9094564956092563,14.56,14.56,6,69.1788,1:09.18,67.4912,0.2559,1.4261,401.2874,6:41.29,10,"8,2,5,7,3,1,9,0,4,6",8:245;2:152;5:100;7:213;3:133;1:118;9:176;0:114;4:64;6:74,"8:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,22,23,24,25,26,28,30];2:[0,1,2,4,5,6,10,11,12,13,18,23,24,26,28];5:[0,1,2,4,6,10,12,13,18,26];7:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,6,10,12,13,18,24,26];9:[0,1,2,4,5,6,8,9,10,11,12,13,18,24,25,26,28];0:[0,1,2,4,6,10,12,13,18,24,26];4:[2,4,6,13,18,26];6:[2,4,6,12,13,18,26]","c8:bw=245,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,16,18,21,22,23,24,25,26,28,30]; c2:bw=152,experts=[0,1,2,4,5,6,10,11,12,13,18,23,24,26,28]; c5:bw=100,experts=[0,1,2,4,6,10,12,13,18,26]; c7:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,23,24,25,26,28]; c3:bw=133,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=118,experts=[0,1,2,4,6,10,12,13,18,24,26]; c9:bw=176,experts=[0,1,2,4,5,6,8,9,10,11,12,13,18,24,25,26,28]; c0:bw=114,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=64,experts=[2,4,6,13,18,26]; c6:bw=74,experts=[2,4,6,12,13,18,26]","7.4386,5.5160,8.5599,5.3109,5.9405,4.8141,4.8539,7.0869,9.2157,8.7546"
7,2026-09-23 17:23:21,Ours,0.01,2.7990861124532147,16.83,16.83,7,66.6463,1:06.65,64.8791,0.2519,1.5076,467.95,7:47.95,10,"0,5,2,6,3,7,4,1,8,9",0:132;5:178;2:146;6:48;3:97;7:113;4:50;1:35;8:210;9:10,"0:[0,1,2,4,5,6,10,12,13,18,24,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,18,21,24,25,26,28];2:[0,1,2,4,5,6,8,10,12,13,18,24,26,28];6:[4,6,13,26];3:[0,1,2,4,6,10,13,18,26];7:[0,1,2,4,6,10,12,13,18,24,26];4:[2,4,6,13,26];1:[4,6,26];8:[0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,21,23,24,25,26,28];9:[4]","c0:bw=132,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c5:bw=178,experts=[0,1,2,4,5,6,8,10,11,12,13,18,21,24,25,26,28]; c2:bw=146,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]; c6:bw=48,experts=[4,6,13,26]; c3:bw=97,experts=[0,1,2,4,6,10,13,18,26]; c7:bw=113,experts=[0,1,2,4,6,10,12,13,18,24,26]; c4:bw=50,experts=[2,4,6,13,26]; c1:bw=35,experts=[4,6,26]; c8:bw=210,experts=[0,1,2,4,5,6,8,10,11,12,13,14,15,16,18,21,23,24,25,26,28]; c9:bw=10,experts=[4]","6.2485,8.3750,4.2931,7.6113,5.7160,6.1246,9.0238,5.7119,7.0781,4.6970"
8,2026-09-23 17:24:28,Ours,0.01,2.697338157683746,19.5,19.5,8,67.1113,1:07.11,65.3579,0.2609,1.4907,535.0787,8:55.08,10,"4,8,1,3,0,5,2,9,7,6",4:16;8:135;1:213;3:136;0:119;5:103;2:197;9:215;7:55;6:151,"4:[4];8:[0,1,2,4,5,6,10,12,13,18,24,26,28];1:[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28,31];3:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,6,10,12,13,18,26,28];5:[0,1,2,4,6,10,12,13,18,26];2:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,26,28];9:[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,24,25,26,28,30,31];7:[0,4,6,13,26];6:[0,1,2,4,5,6,8,10,11,12,13,18,24,26,28]","c4:bw=16,experts=[4]; c8:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c1:bw=213,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,16,18,21,24,25,26,28,31]; c3:bw=136,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=119,experts=[0,1,2,4,6,10,12,13,18,26,28]; c5:bw=103,experts=[0,1,2,4,6,10,12,13,18,26]; c2:bw=197,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,23,24,26,28]; c9:bw=215,experts=[0,1,2,4,5,6,8,9,10,11,12,13,15,18,21,24,25,26,28,30,31]; c7:bw=55,experts=[0,4,6,13,26]; c6:bw=151,experts=[0,1,2,4,5,6,8,10,11,12,13,18,24,26,28]","9.0485,6.9993,4.9292,5.8764,5.2840,8.3905,5.0489,4.7663,6.1120,8.9028"
9,2026-09-23 17:25:27,Ours,0.01,2.607282868567802,23.21,23.21,9,58.8422,0:58.84,57.4263,0.2169,1.1925,593.9382,9:53.94,10,"2,0,4,9,8,6,7,5,1,3",2:78;0:192;4:218;9:96;8:66;6:114;7:168;5:192;1:53;3:84,"2:[0,1,2,4,6,13,26];0:[0,1,2,4,5,6,8,10,11,12,13,14,18,21,22,23,24,26,28];4:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];9:[0,1,2,4,6,10,13,18,26];8:[0,2,4,6,13,26];6:[0,1,2,4,6,10,12,13,18,24,26];7:[0,1,2,4,5,6,8,10,11,12,13,14,18,24,26,28];5:[0,1,2,4,5,6,8,10,11,12,13,14,18,21,22,23,24,26,28];1:[0,4,6,13,26];3:[0,1,2,4,6,13,26,28]","c2:bw=78,experts=[0,1,2,4,6,13,26]; c0:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,21,22,23,24,26,28]; c4:bw=218,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c9:bw=96,experts=[0,1,2,4,6,10,13,18,26]; c8:bw=66,experts=[0,2,4,6,13,26]; c6:bw=114,experts=[0,1,2,4,6,10,12,13,18,24,26]; c7:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,24,26,28]; c5:bw=192,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,21,22,23,24,26,28]; c1:bw=53,experts=[0,4,6,13,26]; c3:bw=84,experts=[0,1,2,4,6,13,26,28]","5.1707,6.2249,7.9599,3.7734,5.6020,7.0934,4.9456,6.6593,4.5674,5.4295"
10,2026-09-23 17:26:23,Ours,0.01,2.5276619408902623,24.15,24.15,10,55.6668,0:55.67,54.2445,0.2168,1.2038,649.6172,10:49.62,10,"4,2,7,0,6,3,5,8,9,1",4:135;2:124;7:137;0:216;6:238;3:168;5:212;8:129;9:129;1:149,"4:[0,1,2,4,5,6,10,12,13,18,24,26,28];2:[0,1,2,4,5,6,10,12,13,18,24,26];7:[0,1,2,4,5,6,10,12,13,18,24,26,28];0:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];6:[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,22,23,24,25,26,28];3:[0,1,2,4,5,6,8,10,11,12,13,14,18,24,26,28];5:[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28];8:[0,2,4,5,6,10,12,13,18,24,26,28];9:[0,1,2,4,5,6,10,13,18,24,26,28];1:[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","c4:bw=135,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c2:bw=124,experts=[0,1,2,4,5,6,10,12,13,18,24,26]; c7:bw=137,experts=[0,1,2,4,5,6,10,12,13,18,24,26,28]; c0:bw=216,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c6:bw=238,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,15,18,19,21,22,23,24,25,26,28]; c3:bw=168,experts=[0,1,2,4,5,6,8,10,11,12,13,14,18,24,26,28]; c5:bw=212,experts=[0,1,2,4,5,6,8,9,10,11,12,13,14,18,21,22,23,24,25,26,28]; c8:bw=129,experts=[0,2,4,5,6,10,12,13,18,24,26,28]; c9:bw=129,experts=[0,1,2,4,5,6,10,13,18,24,26,28]; c1:bw=149,experts=[0,1,2,4,5,6,8,10,12,13,18,24,26,28]","7.2006,3.9951,4.9330,4.9978,7.0718,5.4101,6.6399,5.6111,3.7786,4.6065"
