Round,Timestamp,Method,LR,AvgLoss,TestAcc,BestAcc,BestRound,RoundTimeSec,RoundTimeHMS,LocalTrainTimeSec,AggTimeSec,EvalTimeSec,CumulativeTimeSec,CumulativeTimeHMS,NumClientsSelected,SelectedClients,Bandwidth,SelectedExperts,UploadDetail,ClientTrainTimesSec
1,2026-09-23 12:30:31,Ours,0.00208,3.756975588561881,1.21,1.21,1,49.8946,0:49.89,48.6377,0.1279,1.1278,49.8946,0:49.89,10,"8,1,5,0,7,2,9,4,3,6",8:31;1:16;5:25;0:10;7:11;2:16;9:25;4:22;3:28;6:23,"8:[0,1,2];1:[1];5:[1,2];0:[0];7:[3];2:[2];9:[1,2];4:[0,1];3:[0,3];6:[2,3]","c8:bw=31,experts=[0,1,2]; c1:bw=16,experts=[1]; c5:bw=25,experts=[1,2]; c0:bw=10,experts=[0]; c7:bw=11,experts=[3]; c2:bw=16,experts=[2]; c9:bw=25,experts=[1,2]; c4:bw=22,experts=[0,1]; c3:bw=28,experts=[0,3]; c6:bw=23,experts=[2,3]","5.4170,4.0592,5.9301,4.4251,4.3022,3.5555,3.3373,6.4344,4.7912,6.3857"
2,2026-09-23 12:31:21,Ours,0.00406,3.6710441468628345,3.39,3.39,2,48.971,0:48.97,47.7364,0.1301,1.1032,99.068,1:39.07,10,"0,1,8,5,3,4,7,9,6,2",0:20;1:23;8:27;5:38;3:37;4:17;7:31;9:26;6:10;2:12,"0:[1,2];1:[2,3];8:[0,3];5:[0,1,3];3:[1,2,3];4:[2];7:[0,1,2];9:[0,3];6:[0];2:[3]","c0:bw=20,experts=[1,2]; c1:bw=23,experts=[2,3]; c8:bw=27,experts=[0,3]; c5:bw=38,experts=[0,1,3]; c3:bw=37,experts=[1,2,3]; c4:bw=17,experts=[2]; c7:bw=31,experts=[0,1,2]; c9:bw=26,experts=[0,3]; c6:bw=10,experts=[0]; c2:bw=12,experts=[3]","4.3596,4.0367,5.0261,5.8326,4.8578,6.2728,4.3193,3.3034,6.2462,3.4817"
3,2026-09-23 12:32:09,Ours,0.006040000000000001,3.487325316396425,3.2,3.39,2,48.52,0:48.52,47.3026,0.1255,1.0906,147.5998,2:27.60,10,"9,2,0,6,8,5,3,7,1,4",9:26;2:23;0:28;6:22;8:17;5:10;3:14;7:18;1:10;4:29,"9:[1,2];2:[0,1];0:[0,3];6:[1,2];8:[1];5:[2];3:[0];7:[3];1:[0];4:[0,3]","c9:bw=26,experts=[1,2]; c2:bw=23,experts=[0,1]; c0:bw=28,experts=[0,3]; c6:bw=22,experts=[1,2]; c8:bw=17,experts=[1]; c5:bw=10,experts=[2]; c3:bw=14,experts=[0]; c7:bw=18,experts=[3]; c1:bw=10,experts=[0]; c4:bw=29,experts=[0,3]","3.3369,3.4657,4.4260,6.2249,4.8468,5.7747,4.7586,4.1930,4.0342,6.2418"
4,2026-09-23 12:32:58,Ours,0.00802,3.2714040569686373,5.27,5.27,4,48.7422,0:48.74,47.5159,0.1291,1.0959,196.3555,3:16.36,10,"1,7,6,2,8,0,3,4,5,9",1:22;7:25;6:29;2:33;8:17;0:33;3:19;4:31;5:40;9:12,"1:[1,2];7:[0,1];6:[0,3];2:[0,2,3];8:[2];0:[1,2,3];3:[1];4:[1,2,3];5:[0,1,2,3];9:[3]","c1:bw=22,experts=[1,2]; c7:bw=25,experts=[0,1]; c6:bw=29,experts=[0,3]; c2:bw=33,experts=[0,2,3]; c8:bw=17,experts=[2]; c0:bw=33,experts=[1,2,3]; c3:bw=19,experts=[1]; c4:bw=31,experts=[1,2,3]; c5:bw=40,experts=[0,1,2,3]; c9:bw=12,experts=[3]","3.9644,4.3194,6.2347,3.4966,4.9876,4.3671,4.8533,6.3141,5.7610,3.2177"
5,2026-09-23 12:33:47,Ours,0.01,3.2733833915884354,7.04,7.04,5,48.5544,0:48.55,47.3239,0.1246,1.1046,244.922,4:04.92,10,"1,5,4,8,0,7,6,3,2,9",1:11;5:22;4:27;8:20;0:28;7:14;6:29;3:35;2:10;9:35,"1:[3];5:[0,3];4:[0,1];8:[0,3];0:[0,1];7:[2];6:[1,2];3:[0,2,3];2:[1];9:[0,1,2]","c1:bw=11,experts=[3]; c5:bw=22,experts=[0,3]; c4:bw=27,experts=[0,1]; c8:bw=20,experts=[0,3]; c0:bw=28,experts=[0,1]; c7:bw=14,experts=[2]; c6:bw=29,experts=[1,2]; c3:bw=35,experts=[0,2,3]; c2:bw=10,experts=[1]; c9:bw=35,experts=[0,1,2]","4.0299,5.8395,6.3095,4.9016,4.3464,4.2445,6.1844,4.8031,3.4264,3.2386"
6,2026-09-23 12:34:36,Ours,0.01,3.1881042200398513,8.67,8.67,6,49.3013,0:49.30,48.0778,0.1301,1.0921,294.2353,4:54.24,10,"8,2,5,7,3,1,9,0,4,6",8:37;2:23;5:15;7:32;3:20;1:18;9:27;0:17;4:10;6:11,"8:[1,2,3];2:[2,3];5:[1];7:[0,1,3];3:[1,2];1:[0];9:[0,3];0:[2];4:[2];6:[3]","c8:bw=37,experts=[1,2,3]; c2:bw=23,experts=[2,3]; c5:bw=15,experts=[1]; c7:bw=32,experts=[0,1,3]; c3:bw=20,experts=[1,2]; c1:bw=18,experts=[0]; c9:bw=27,experts=[0,3]; c0:bw=17,experts=[2]; c4:bw=10,experts=[2]; c6:bw=11,experts=[3]","5.0270,3.4942,5.8956,4.3792,4.8508,4.0627,3.3028,4.4232,6.3979,6.2443"
7,2026-09-23 12:35:25,Ours,0.01,3.2118099243976346,7.32,8.67,6,49.0558,0:49.06,47.7948,0.1252,1.1345,343.3049,5:43.30,10,"0,5,2,6,3,7,4,1,8,9",0:20;5:27;2:22;6:10;3:15;7:17;4:10;1:10;8:32;9:10,"0:[0,3];5:[2,3];2:[0,1];6:[0];3:[3];7:[2];4:[3];1:[1];8:[0,1,2];9:[1]","c0:bw=20,experts=[0,3]; c5:bw=27,experts=[2,3]; c2:bw=22,experts=[0,1]; c6:bw=10,experts=[0]; c3:bw=15,experts=[3]; c7:bw=17,experts=[2]; c4:bw=10,experts=[3]; c1:bw=10,experts=[1]; c8:bw=32,experts=[0,1,2]; c9:bw=10,experts=[1]","4.4418,5.8240,3.5170,6.1986,4.8342,4.2903,6.4315,4.0128,4.9695,3.2752"
8,2026-09-23 12:36:14,Ours,0.01,2.947855721193114,12.74,12.74,8,48.6288,0:48.63,47.4102,0.1342,1.0832,391.9459,6:31.95,10,"4,8,1,3,0,5,2,9,7,6",4:10;8:20;1:32;3:21;0:18;5:16;2:30;9:33;7:10;6:23,"4:[0];8:[0,3];1:[0,2,3];3:[0,1];0:[1];5:[0];2:[0,2,3];9:[0,2,3];7:[3];6:[1,2]","c4:bw=10,experts=[0]; c8:bw=20,experts=[0,3]; c1:bw=32,experts=[0,2,3]; c3:bw=21,experts=[0,1]; c0:bw=18,experts=[1]; c5:bw=16,experts=[0]; c2:bw=30,experts=[0,2,3]; c9:bw=33,experts=[0,2,3]; c7:bw=10,experts=[3]; c6:bw=23,experts=[1,2]","6.2848,5.0745,3.9565,4.7388,4.3573,5.7513,3.4598,3.2377,4.2801,6.2694"
9,2026-09-23 12:37:03,Ours,0.01,3.0902813047013975,9.65,12.74,8,48.9751,0:48.98,47.7222,0.1245,1.1271,440.9347,7:20.93,10,"2,0,4,9,8,6,7,5,1,3",2:12;0:29;4:33;9:15;8:10;6:17;7:25;5:29;1:10;3:13,"2:[1];0:[2,3];4:[1,2,3];9:[1];8:[1];6:[3];7:[0,1];5:[1,2];1:[1];3:[2]","c2:bw=12,experts=[1]; c0:bw=29,experts=[2,3]; c4:bw=33,experts=[1,2,3]; c9:bw=15,experts=[1]; c8:bw=10,experts=[1]; c6:bw=17,experts=[3]; c7:bw=25,experts=[0,1]; c5:bw=29,experts=[1,2]; c1:bw=10,experts=[1]; c3:bw=13,experts=[2]","3.4742,4.3440,6.4448,3.2474,4.9416,6.1903,4.3261,5.9180,4.0527,4.7831"
10,2026-09-23 12:37:52,Ours,0.01,2.770930362898148,16.1,16.1,10,49.4052,0:49.41,48.1625,0.1311,1.1103,490.3522,8:10.35,10,"4,2,7,0,6,3,5,8,9,1",4:20;2:19;7:21;0:33;6:36;3:26;5:32;8:20;9:20;1:23,"4:[0,1];2:[2];7:[2,3];0:[0,1,2];6:[0,1,2];3:[0,3];5:[0,1,3];8:[2,3];9:[2,3];1:[2,3]","c4:bw=20,experts=[0,1]; c2:bw=19,experts=[2]; c7:bw=21,experts=[2,3]; c0:bw=33,experts=[0,1,2]; c6:bw=36,experts=[0,1,2]; c3:bw=26,experts=[0,3]; c5:bw=32,experts=[0,1,3]; c8:bw=20,experts=[2,3]; c9:bw=20,experts=[2,3]; c1:bw=23,experts=[2,3]","6.4791,3.5404,4.3959,4.4261,6.2681,4.8485,5.8823,4.9982,3.3186,4.0055"
